evaluations raw_y
1 46994126.7419608980
2 14631888.6433713920
17 13498818.7627549451
28 12939149.1068802215
31 8073700.7369651226
34 6884297.1179573126
116 5995532.7568872627
659 5755120.0578796845
761 5584816.7696836423
914 4555476.6493313871
1235 3852264.3342339289
1468 2974069.8688681535
5735 2936859.0757750235
6788 2878093.9954075357
15119 1845182.6979844146
21521 1712966.5873564936
21914 1671655.2101549783
23478 1305525.3653447949
30590 1232817.0348376327
31526 1215098.4182424452
31920 961903.6241478339
32162 858641.3490445567
34485 835954.9434610792
34798 629005.5808218610
35892 512748.4688809799
37187 442325.8067870814
40261 400984.4371526897
42309 306065.1679483864
50624 250220.6536606506
51113 196520.6727981033
54001 187232.0758887545
58212 172753.9770124203
58858 145359.6832731910
60034 137878.8486680115
62137 131814.6926872504
63076 92850.7017407750
64765 80647.8941878563
67588 64651.7540183090
73638 60940.8162224460
73862 60456.3517096432
74836 54983.2822130280
76046 42902.7123763845
80967 40889.3443693576
81100 39585.1984439625
81278 34283.5895295795
83316 33683.9998091139
87706 28018.9667013990
88612 25559.1822226097
91485 24944.8432677626
92602 23393.2558021695
94056 23196.6713243087
94357 23034.8243177793
94513 20861.0752540425
100242 20166.3465391600
101363 17076.1936875983
102782 16536.8626375317
105246 13893.6390812339
110370 12641.0855427342
119374 10851.4912242009
121182 10707.8523149866
122034 10641.3340024931
122049 10357.0763955169
122504 9995.4999470944
124221 9644.7671596050
126026 7806.5895745587
127695 7668.8129512618
127725 6635.2137068140
132643 6326.2086450197
133526 6172.3551679875
134958 6021.9887514093
136391 5624.1881402480
137140 5614.9924978019
137266 5571.6091367235
138209 5263.8132691716
139882 5111.6017715626
141454 4863.5371528762
146046 4841.2042246977
147093 4497.1192066909
149600 4398.2414510083
150422 4246.3517552832
151830 4086.5381485274
152767 3884.0467139615
153869 3731.8920335813
156163 3590.4228163172
156949 3575.2103272527
158596 3462.9340977049
158973 3162.6911793609
160037 3162.4449253691
162734 3088.8687007346
164340 2993.5487989426
165609 2866.0240195791
167502 2806.8702945215
168688 2368.3042816839
172562 2349.1751219904
172616 2279.3299769176
172694 2071.4823907719
179716 1743.5484470225
189607 1737.1466509151
189859 1635.8070134695
194167 1621.7084312143
198090 1499.8178822546
202548 1344.5962815029
205281 1279.6197115589
206190 1267.8998936002
207483 1195.1293720383
209746 1165.3551464342
215142 1158.3719374191
215523 1137.2834781690
219044 1064.3667677379
223100 1013.8949594298
225977 998.7545728423
226510 987.6976079178
226803 984.4528227139
228452 981.9962155748
228682 926.7226313657
232891 825.9670391770
240748 820.3911945336
244867 819.6468414697
247427 791.3884143502
249408 758.3345868302
249426 751.6083865629
252644 750.0165797963
252715 745.6501308398
252967 709.0916295297
254110 673.7974623251
261115 654.0598670393
261948 638.7026828639
266205 629.5820203021
267326 622.2537640893
268359 609.5673453676
270014 603.0364013262
270175 592.5227779960
270254 587.3111107525
274572 583.1567490060
274877 565.6470761442
275650 563.7965334936
275755 549.2227440024
281733 547.3510714461
284149 536.4550836969
287604 536.1309080774
292451 529.0653569416
293360 525.9671864864
294122 517.7377637271
296552 510.4761502288
299222 492.1483239939
323647 480.9628566014
324863 471.0667830907
325184 449.0575308256
328941 428.2755189457
329069 424.8172512059
329444 377.4943425841
329907 373.2088696139
331337 364.7480245802
332391 360.9679936166
333815 355.6363596225
333901 335.5151550412
335855 320.7678254772
336377 318.4084062276
344476 314.7987446317
344893 298.1304535856
345225 292.2665180823
352400 267.5677948001
354004 249.1464839262
356031 245.7836527467
356488 235.4679800302
358162 229.5398129833
360142 217.8424909477
361813 207.8689872385
362685 205.8198735534
363864 197.4047600759
364373 192.9350714069
364540 191.6548940315
365568 183.1635786620
365839 177.6107678398
370355 162.2534825834
374896 140.4405119410
381607 139.1582094334
381704 135.6704646197
397378 129.2799747648
399434 117.6057386316
399548 113.1232969322
400022 239.8696278811
evaluations raw_y
1 66303521.7024348751
2 50585362.2233953401
3 46065054.1180853471
17 39179962.3288035542
38 31705458.0129141994
50 22534706.5156753771
215 18814062.3123146519
326 17287430.8654588126
368 8876052.5771233886
408 8369456.9072324727
706 6041119.0611251611
887 4173904.2012933744
1366 3075859.1726370649
1773 2732526.4117785068
20662 2090425.5520100377
24692 1717197.9949567516
24814 1621443.2152494234
25338 1569143.4679075917
27400 916900.4061291865
35750 562853.1586013999
46109 514945.2347234137
47147 301551.7960508770
51981 278700.8171781133
51992 276457.3952535943
52776 243164.1484403458
52882 243125.2284933254
57068 232907.8844840981
59286 226052.7145434777
60293 220911.9963579732
61581 151415.6849273142
62375 124610.8394630908
66296 105234.5740864823
66611 88234.8119180566
69395 74682.3530466944
72572 69357.8799225858
77036 56143.2533062432
80558 48351.4997881313
88465 45505.3201172732
89997 39235.7776540138
90678 38416.5593270034
91046 37924.1441915894
94553 37269.0752266440
94753 34634.6812831248
96506 33707.7640321641
98424 30535.3695334019
98450 26409.3541246372
102736 25505.2479625237
103219 24912.1260739449
104144 22492.9815701675
108200 22225.7627584582
110907 17850.4549065537
118703 16695.8329283416
122726 16400.8043874501
122927 11242.8698616724
123430 10565.0921682247
129625 9139.9425585930
130486 7915.7949997832
142949 7550.0018054271
143411 7500.5305197182
144536 7203.6809312683
144703 6896.7960624069
145038 6842.3861586949
146835 6650.3847384270
147825 6568.7618176699
148183 6381.9812096616
149092 5844.7241431336
150919 5844.0250044963
151317 5794.4616537318
151860 5446.2648732782
153921 5422.4840655247
155616 5314.9212063172
158871 5219.6410620704
165999 5195.8758792996
166006 5065.0773969485
169646 4909.9818582590
170109 4805.0014473199
173443 4686.7092834706
174063 4669.5426453189
181687 4365.5261323262
187363 4056.5149685282
193315 4014.1121740896
194874 3834.7064810625
195096 3681.3869910268
197963 3678.0256045607
198621 3564.5859838045
200182 3427.6449496617
204343 3344.7702908531
211204 3240.3381047545
211679 3152.3432006408
213353 2919.8055049484
214309 2861.1660090385
215560 2812.0760794992
222150 2532.1347574000
225482 2467.0670919275
227287 2384.6163503419
227868 2203.2303405365
230244 2084.8199453532
237463 2039.8532513990
237771 2026.9877726406
240047 1984.7632761080
240107 1906.0770042818
240551 1786.9600606609
240732 1746.7625512874
251251 1738.1817380588
251683 1718.3605361309
252922 1692.3959370707
253078 1640.2661131775
256808 1619.0271095698
258225 1597.4012460640
258584 1545.5436196021
259960 1431.3368821033
260918 1417.5215575080
262463 1388.4443384327
265052 1381.9173804020
265089 1375.5338330409
266134 1371.6594768664
266306 1299.7691050768
268686 1292.5647241846
268863 1241.8747888761
270408 1238.5779554375
271890 1197.5859814953
277696 1195.0925478749
278699 1183.5754475214
281306 1139.4204750354
288358 1135.4696213712
288873 1111.7893346152
288932 1061.7933775005
291018 1042.2339000733
291782 1042.0390343572
291830 1016.4042840053
292362 993.2402005528
298968 992.6103788795
299568 969.0475344489
300603 953.3965973417
305132 928.8163105662
307232 927.3324473704
308681 909.3948824746
310822 898.4947646353
311564 893.1828190076
311822 891.4907818740
312196 875.4238036011
323225 857.1190457510
324974 844.1555952612
327916 843.7669233169
333555 830.9919788002
335950 824.0583952835
338500 814.3698156467
340793 797.1637121936
343788 774.0070018600
343984 767.6368239713
356341 766.3101811834
358195 681.6949883175
358498 568.6064790378
362633 558.9114657478
362691 505.1706996299
364234 489.1813552211
365879 484.6826970726
365939 480.0981779072
366209 477.3342833130
366824 441.6375058735
367524 435.7796380655
367785 402.4818132594
367860 395.1015445015
369682 393.1713228596
370412 369.8618889827
371481 364.1771616876
371743 338.6616796786
373550 331.9478802638
377983 322.7083339240
378252 321.0776393953
379153 316.6574091350
379401 305.3022979018
379914 293.0076940895
384285 292.6358427402
384693 281.7994676038
392067 278.4233379004
392596 274.4654940025
392967 273.3613641413
396138 270.2945094500
398791 263.4002085316
400022 573.1279891636
evaluations raw_y
1 47679365.4875503033
3 29918248.9771362543
17 27765097.2225995846
25 18721415.5466609523
68 15439091.7796277627
89 15341544.7301102318
91 11186176.1275601741
416 9667001.2829361726
523 9441384.2945620790
575 9107588.8246075902
614 6363591.9161939528
643 5621479.6511645215
1230 5428290.0462865243
1568 5066268.5766269239
11126 4694185.9116332605
12929 3777804.1624342408
12947 2712714.3452132009
25072 2622401.2462699763
29743 2575182.8724893192
29783 2410467.4115632898
30194 1901651.5340570565
30856 1891869.7093630170
33541 1520337.0838390049
36910 1517094.3908047127
37684 1094465.6131624163
38027 990434.6423280800
39602 959040.6038411489
39736 757057.2795526324
40934 725121.3730503209
44910 688511.4838076407
45060 435735.7772976909
50085 371275.8064876740
50861 341767.3347367073
53472 305949.3377450249
54535 294795.3717808562
55659 264164.3632141207
60751 244255.3560976091
62706 179787.3809904348
70399 157795.6746942383
77425 125504.8767585605
77978 98469.2620316183
83906 87797.0409797131
86389 69163.3607081146
89750 62781.0281127880
92165 62195.4230540674
92484 59864.4878428411
92906 59812.7797465896
94910 51626.2300415110
99503 44965.4333504064
105419 44486.0751206781
106393 41262.3460927676
108100 39415.0325799250
108821 36231.4009330805
110331 32860.9321666380
116052 27563.6747978722
116911 27211.8552095104
120753 22673.3838470102
121383 22320.1666069218
121988 22305.0674808711
123549 21717.6128715158
124248 20182.7041770753
126575 17429.8685183661
129587 16988.6211251812
133793 16708.4194101620
133967 15595.2969378718
138320 14330.8665794293
142609 14028.6668364886
143471 14010.7059143768
143655 13386.4925798275
147716 13285.2389865788
148055 12695.4548597780
149631 10244.5017190222
151884 10168.0846732737
153517 9984.5074842923
157434 9920.6617770791
159614 9164.1104164345
160394 8555.0184237303
164051 8414.1967808578
165556 8099.8478063263
166178 7980.1401078569
176081 7649.5526460418
178081 7267.2505800009
179880 6914.0215908792
183346 6350.6251994819
186421 6227.1253644776
187910 6045.3012399062
190293 5404.6453786591
192467 5350.4424325025
192627 5069.8305373421
194650 4893.9789902217
196034 4822.9093726941
196846 4796.2225313020
199147 4522.7120653462
202965 3942.0279500307
204358 3920.3765166123
210129 3717.1731129874
214385 3639.9259623233
215571 3437.8428554639
216369 3372.3534021243
217175 3364.4049369977
218248 3332.3538719014
218307 3307.1406543243
218956 3134.4435191255
227302 3040.7593628198
228962 3018.1324342438
232319 2929.8930344647
239462 2911.7257151529
240551 2758.9811663844
243393 2745.9774205044
243650 2544.1716876714
251806 2398.7258476243
254514 2351.9292606171
255059 2250.5287144927
257659 2194.4385968823
266270 2169.6654733677
266306 2036.1844350700
269120 1894.3172517876
271992 1828.9523009509
272289 1770.3542625752
280185 1698.4397943580
287204 1671.2875417263
287549 1657.2014159636
287730 1604.5572974563
287758 1561.2538448399
290171 1485.5059379518
291073 1411.9021210018
291587 1330.1189887565
292619 1293.7318054513
295473 1292.9871587740
298824 1278.9475168394
299560 1154.4253077562
301968 1151.0633790367
302685 1106.8781900223
304958 1013.1880539408
306789 1010.4052453034
306925 1008.7581170623
308441 956.4876620719
311565 948.6225633063
312339 907.9615286950
313595 887.4573355062
314862 885.6536378710
316406 826.1403487502
319176 786.9452337894
326313 779.1954943850
327916 759.8544445528
328477 665.2100764137
336590 570.2104878180
342638 569.1633527247
345628 562.6729395984
349813 559.3440229235
351874 554.6949646367
352936 545.9268879923
353023 517.2602576130
353354 476.9118648577
355643 397.1792355623
367759 395.0281095310
367785 382.0990295774
368514 360.9172660184
374264 352.7349136677
376395 351.8708914405
376584 347.7486288545
378364 345.1199351483
378698 344.5813456154
379564 338.2652329433
380150 332.9247102254
380929 331.2215496435
381136 329.3466089483
390669 315.9262176319
391794 313.5860386922
397762 311.4764678432
397856 310.3538865466
398791 299.4656722551
400022 763.3215359361
evaluations raw_y
1 40597841.5552519411
3 25365973.0319595486
5 17326100.9499556385
8 11470923.5479884166
21 10620235.8230721969
67 7902715.2006265260
91 7864118.5755381007
127 6380125.5391877443
