evaluations raw_y
1 123200.7121449114
4 45410.7419112800
5 2545.2767353593
58 1763.7276543288
116 1106.7317774778
333 659.8956852094
409 501.0167775173
495 415.0910964417
638 385.4930447503
926 383.8349942812
1796 353.2352409113
7960 324.6329668289
34734 274.1242498010
35745 216.7818190524
61574 214.6526711079
62854 212.0665640677
65082 195.1263068363
65188 175.2119703562
65486 174.1594999706
65900 167.9211993966
65978 145.9852015526
66794 110.5879901174
80333 87.0326272552
111098 72.3735576191
122864 68.2222293772
126905 59.4238248464
129287 55.2886475860
132942 52.6289856315
133937 43.8084535216
134566 37.8349300237
139453 37.5285482008
139534 36.5518071780
139975 35.1927489087
140260 30.2110391994
141660 30.2103984023
142610 25.7163218654
142994 23.2933767365
144300 21.5746623862
144433 21.2647503488
145560 17.7194873698
148923 16.6100038632
150334 15.2923709498
152194 12.0675656698
153804 10.3730448530
155978 8.4255149297
158377 8.3338094059
159644 6.4871343773
159894 5.9192025059
163578 2.5411680481
175317 2.4982837641
176587 1.5295724568
178010 1.4638039746
179974 1.4417542391
180598 1.2185478990
182348 0.9656186941
186597 0.8586693208
186664 0.6042782963
191210 0.5521526361
192407 0.4586839601
194878 0.4001918739
197258 0.3853939334
197365 0.3580117843
197738 0.3168242044
198367 0.3119031335
199393 0.2816034779
200152 1.3997932056
evaluations raw_y
1 464564.8263924442
2 18345.5410466681
38 665.9562303099
116 565.5402538364
424 522.0377463077
861 508.8415893694
963 269.5274209260
15128 261.1210604663
24062 258.3694823821
38594 250.6138717640
40327 241.9131271562
48266 235.5951216955
49516 235.3765103394
60603 230.9219883044
63461 197.1763149453
68135 180.5041847439
69002 167.8154328539
72726 156.9926062114
77434 148.7590932689
80455 147.0832858798
80674 146.9328192084
81273 132.2583833686
81921 123.0234992470
84515 110.0546957422
84757 109.0802577191
86174 98.3729224174
90038 89.9272501569
90631 81.9835295685
95528 81.2462584158
95763 77.5938262131
102205 64.8998335921
102323 47.1683011127
107431 46.3026600114
111673 36.7523508037
120957 32.2073305793
122253 26.6357079481
132207 14.9367822383
144049 13.1232474335
146075 12.3470705592
146229 12.1017107817
147122 11.8220010775
149420 9.1040241095
152492 8.7031746946
156544 7.7893072459
156553 5.8052488445
158349 5.3645240028
161442 3.9954232866
163194 3.0733142903
167851 2.7345449484
170689 1.9402415618
172853 1.4445286497
176249 1.0681846727
177539 0.7910269907
187357 0.7763672017
189069 0.7148676910
189093 0.6269761712
189373 0.4945440999
191206 0.4721769280
192214 0.3579513980
195512 0.3470813774
196338 0.3242038625
196513 0.2944356238
197590 0.2180986282
198884 0.1903930170
200152 2.7763577581
evaluations raw_y
1 21191224.0559222847
16 12025417.7540528197
20 11675454.5971304346
24 11452865.4667181000
31 2105689.2424028367
41 7102.5392768289
315 774.6646848789
445 545.3998128176
862 410.5090842347
1227 363.6320855052
14833 342.9503702426
17694 327.2039978393
19203 269.2229924969
20862 257.7617952360
33668 248.4596643155
34605 233.9351118001
38571 226.3876504361
38820 225.8075781605
39514 224.2560843979
39849 191.4820375083
53806 182.3614674449
60272 174.3504838238
69623 138.7417770788
75524 117.2155628895
89935 105.3053968841
99422 101.4382001020
100256 97.7440861264
101134 95.2082431285
101862 78.0462841337
104465 75.9741246300
104478 73.2182805265
105878 73.0896665661
106203 67.6608102520
106240 61.3590100140
108097 57.8356394709
108362 57.2739744415
109929 55.9977375833
110331 54.1112405805
110793 48.4931367166
110995 42.8985979384
117442 35.9324022110
120452 35.0813067835
121694 28.6229130902
123148 26.4481620240
129195 25.2346366838
129952 20.6454801243
138414 20.4885886568
142365 19.8114726859
142649 19.7407679627
143309 17.7929958096
144221 16.9320715826
147799 14.4375174484
148893 12.8347562756
149559 12.1106912330
153173 11.7126937711
153366 11.4014532357
154274 8.1948081259
156503 8.0594506468
158547 7.2430915582
158731 6.6862100280
159310 6.3154069710
159450 4.8779995283
161714 4.6825957041
165328 4.4577333521
166079 3.5763542608
168057 3.3907005753
168274 3.2967216653
170416 1.4828551417
176987 1.4300224413
178369 1.2889983330
180523 1.2088739669
180945 1.0796703123
184221 1.0052517552
185163 0.9474379763
186126 0.9420318115
186206 0.8861231665
187380 0.8592419617
187777 0.7279795396
188533 0.4491254503
190435 0.4230817092
192150 0.3525003072
