evaluations raw_y
1 19776306299.8118820190
2 1915441448.8275706768
3 407126256.3384285569
13 331331775.0040763617
29 225222487.9559626281
81 157089158.4969087541
132 124322400.7115563154
300 119995005.3648393601
325 94600117.0034145117
369 54330307.7352418080
703 45965834.0303140804
743 42870487.9351947159
857 39806376.5093987212
1068 24804676.2118064687
11894 8055044.9211989827
14305 5645985.9546815911
16671 5069111.6259380411
17758 4619659.5639016088
18824 3263770.2444321779
20268 1875649.9309931495
21721 1485192.5748531981
23630 990247.5833381821
26422 856865.3264172975
27049 792316.0944984610
27050 759855.1912363803
27085 691656.7747176060
27382 328989.4143803861
30248 240452.1022181234
30468 210994.8004924027
31674 136607.2905253480
32067 118276.4070505074
33707 105125.6567909266
33744 73199.8528314294
34362 61614.2526565580
34487 56191.8614883748
34833 52184.7145937715
35652 51129.8310650747
36071 37487.8181759326
36130 27419.1230936444
37989 21774.8610288266
39958 21545.7707194614
40048 21029.6329796143
40121 15479.4776232654
40672 10243.8996356683
41562 8155.6283027932
42661 7926.1569767106
43222 6565.1633638026
43343 5294.8706508733
44000 5162.9849482289
44090 2479.1182087704
44829 1796.1734537834
46740 1478.3261368372
47106 1452.7889390124
47404 1289.3930231318
48367 723.1802922065
50495 708.3426557287
51078 617.4972508881
51372 558.3123322650
51405 481.0907453571
52042 240.8367668951
53258 190.5396650257
55200 59.7806725722
58328 50.6907530386
58803 49.9461680314
59131 45.7379264637
59487 38.0331806600
59899 35.7828066010
59939 34.2741967293
61319 29.6758714787
61401 13.3397611767
63184 10.2260967119
64109 10.1345397807
64639 5.6930805576
65582 5.6887908468
66847 3.8098691475
68332 3.6116231088
68432 1.8228786657
69563 1.6552382235
69999 1.2969756153
70055 1.1665190362
71177 0.9325583600
72596 0.7546243318
73252 0.7094424827
74027 0.5940988644
74314 0.3387964341
77093 0.3147049396
77372 0.3114078651
77616 0.2678717787
78346 0.1500072482
79926 0.1423135283
80601 0.1401848667
81506 0.1199719516
82125 0.1190549023
82680 0.1016135792
84417 0.0951114999
86699 0.0899617343
88464 0.0860094321
89117 0.0760440925
90825 0.0726066176
91778 0.0717098402
92551 0.0710264327
93356 0.0689773083
93942 0.0641867153
95000 0.0614034406
97243 0.0560262994
97791 0.0500833019
99924 0.0447223776
100083 0.1469814432
evaluations raw_y
1 3010088758.9959392548
6 1018922092.9242744446
7 888658594.6780768633
10 504478186.3897956014
11 234754313.2652100027
37 149528373.0298343599
169 127037550.6378557086
174 103867304.2214117348
312 77133023.5034082085
401 65995951.4886030555
580 39213930.9208275825
598 38929608.6953745559
1044 36368645.2907332331
1131 31435056.0617532581
8799 28492391.4406541176
9568 23658109.8488080427
11960 14333231.5832657870
12257 13466664.6532994993
13741 13107665.9901772495
14540 10436400.8159575015
15424 8329424.7244531000
16622 4517349.2253640071
17243 2027875.2585553499
20182 1478643.3685858611
21654 1359592.3465734902
21721 1015731.6474069749
22791 735482.0881300410
24617 721129.1849462977
24726 657275.3561462401
25097 317601.3927005100
27382 284705.7632564139
28949 282857.6562337410
28969 249601.9883588334
29290 222145.7244925616
30248 115875.6287400805
31674 71886.1229036246
32067 63162.0555068459
32869 26777.5916027430
34362 25234.9302669025
35723 25220.1404944920
35788 9697.5788569738
38985 7662.0379737722
41364 4686.1920186664
41562 3181.1634925441
43343 1466.3675884679
44000 1173.9735626018
44829 961.0470396947
46115 829.2984822682
47863 459.5771232481
49618 358.2085814051
51372 322.8111815139
51417 322.4111866393
52325 219.8988388812
53258 163.3238087045
54018 159.3632280806
54027 76.7284121758
56012 54.9987831214
57305 48.8183269024
57397 47.5981658490
58328 29.2007272840
59282 20.0795737946
59732 16.8466383341
62128 15.5392823693
62541 15.3753587254
62992 12.8586534445
63184 9.0266538358
64212 8.9688952419
64461 7.8666019739
64639 5.2887767326
64948 3.8460301487
66954 2.4324064444
68432 1.8689954171
68882 1.5108903018
69999 0.9034909783
71177 0.7334129597
71187 0.6919749963
73094 0.5484690453
73183 0.4198199111
73409 0.2563459159
74833 0.2037102709
77507 0.1757425217
77616 0.1242649045
78569 0.1042574742
78766 0.0894192662
79867 0.0700659018
80095 0.0604699450
81506 0.0514430375
82793 0.0372516072
84481 0.0372345240
84662 0.0276636889
85225 0.0261332887
86093 0.0217749822
86200 0.0201671892
86699 0.0177598290
88464 0.0155915244
89117 0.0148579847
89283 0.0115794942
92093 0.0115214675
92551 0.0109446160
93356 0.0108806158
94391 0.0105466161
95708 0.0104511771
96141 0.0096643584
98008 0.0092440972
98865 0.0091535780
99924 0.0082012230
100083 0.0219307823
evaluations raw_y
1 208533723.3611133099
6 69767717.1942845881
11 46555561.6661003456
31 42193208.0547969416
81 37450156.8763620183
308 30665873.5983668715
360 27076696.5548755415
382 26238544.6958343908
445 17310903.4760161638
470 11507175.6047052611
5634 6696592.5918068485
8027 3928207.2466161870
8853 2807705.3286990188
10991 2626787.4693978792
11170 1049098.8877692197
14730 578617.8468009656
14816 453966.3446500960
18178 178088.8797534238
20970 119182.3018683735
21714 84565.1565805653
21930 71555.1668371685
23244 59023.4999063106
23872 57885.0956995662
24796 42511.8418991034
25872 42070.5628620661
26110 33114.6625443641
26311 32107.8975467256
26432 31756.9288061877
26615 20171.9552640310
27784 19749.5617829613
28076 16389.6715346195
28271 15048.3108530577
28518 13202.0350914383
29035 11841.2003166828
29381 9125.4898233300
30619 4177.7676406062
32073 3402.8565008322
32425 2722.3727988364
32886 1696.4020214465
34465 909.5780176694
37341 684.6874538705
38638 623.3256979354
38686 459.7831122638
39085 383.0278033907
40577 314.1561989114
40974 243.1397504454
41330 228.9913678504
42077 228.5805549433
42309 196.6810011587
42371 168.7523658216
42677 123.9702774413
43347 118.6044012748
43934 75.3208277876
45196 60.0802744394
45325 52.2284965759
46867 41.2137333239
46876 40.1591873124
47806 35.5797209027
47822 16.0602691123
49880 15.5577867397
50218 10.5937439368
51704 9.6419013210
51945 8.5970724956
52876 4.7405701041
54104 3.2897918987
55781 2.7940498498
55978 2.2983703927
57052 1.5862046659
57190 1.3290376622
57732 0.6116429266
59187 0.5721796207
60259 0.4698344244
61501 0.4170632832
61600 0.3432082427
62667 0.3413384553
62827 0.3347238748
62880 0.2302937447
62980 0.1995965276
63887 0.1281272102
64444 0.0980162432
64547 0.0810257940
65343 0.0497599104
68575 0.0441413537
68719 0.0430952682
68899 0.0327566224
69696 0.0245997227
71276 0.0175883403
74474 0.0154451378
76087 0.0145580893
77115 0.0131694805
77817 0.0123856847
78457 0.0122373431
79441 0.0118590579
79890 0.0113530393
80190 0.0109857758
81247 0.0108627895
81638 0.0108245365
82885 0.0107700429
83012 0.0106283396
83071 0.0105872939
83831 0.0104939272
84638 0.0104613371
85324 0.0104033681
85851 0.0103540909
86121 0.0103471975
86326 0.0102909399
87977 0.0102493994
88989 0.0102187234
89390 0.0101899159
90071 0.0100575836
90365 0.0099830101
90934 0.0099511765
93791 0.0098285291
93980 0.0095775564
96125 0.0092479608
99538 0.0085561808
100083 0.0182914707
evaluations raw_y
1 665305675.2767133713
2 457768425.9073358178
3 114083471.5524937809
13 69994433.0146016330
18 67958693.1163458824
30 44814069.8838529214
306 43261556.9746735618
436 30815340.4389136173
460 28342923.9905513339
844 17348330.0142545179
3648 15419046.3021247685
5932 14071104.6769049689
7713 13866386.8503794763
8559 13186277.5079453681
8817 9678659.1371678337
9120 8386472.0357711110
9220 6944575.1997334929
9871 6925170.0366898794
10511 5840554.2090578843
10592 4526106.4471869953
11469 3178462.0124683725
11960 2840916.9115131507
12257 2343272.4509863439
13479 1859558.5556749429
14587 1406932.1660539750
15436 1339863.6938922382
15909 1322092.5723271740
16035 932989.0471161616
16622 391692.5614924456
19811 348451.3974837832
19963 341891.8100260490
20182 212848.1546037357
20268 176179.3480683409
21579 152581.0242527385
21721 118445.1140428950
23289 116304.8828398200
23461 92502.8663113016
23750 84045.9287593991
24206 77482.8628258095
24268 60850.9920760559
25097 47315.6890466893
26820 43896.0741985094
27037 29933.0037797470
27382 26375.4615988464
28145 11823.9229984351
31074 10177.0842720675
31562 6330.5683117597
32056 4875.5388325398
32067 3053.6350210957
32869 1826.1546093299
35958 1749.3030852618
36130 1110.3606477393
38985 349.9450659744
39766 236.7167685172
42499 207.8290150356
43467 200.0018666737
43591 196.7569261462
44000 103.5404282956
46115 73.5543427586
46163 35.8106085009
47863 31.1411720920
49755 28.5696779987
49909 27.8910691748
50777 11.9026357907
53258 7.5516217603
53863 6.3972042127
55200 1.0459010978
57156 0.9776538479
61401 0.8832693545
62196 0.7119152265
63184 0.3076783183
64639 0.2368961257
67052 0.2348409115
67242 0.2242428407
68332 0.1419315370
68432 0.0720198381
69563 0.0685672300
69896 0.0656420000
69999 0.0499561776
71187 0.0330273268
73409 0.0261464584
74314 0.0096292309
78346 0.0072793953
78766 0.0061576964
79926 0.0055031429
80095 0.0049430084
81187 0.0046330280
81539 0.0040582675
82375 0.0039754502
82680 0.0031657450
83657 0.0028735990
85642 0.0027590976
86093 0.0027477468
86200 0.0025346564
86699 0.0023532092
88464 0.0022641810
89283 0.0021541993
89998 0.0021403246
92093 0.0021083420
92979 0.0020893564
92994 0.0020745995
94385 0.0020521991
95118 0.0020262466
95613 0.0020121084
96442 0.0020070278
97094 0.0019277028
97533 0.0019120163
97759 0.0018732458
99293 0.0018454411
99450 0.0018395946
99924 0.0017970116
99940 0.0016763315
100083 0.0032810975
evaluations raw_y
1 7428941874.2424230576
2 4462027992.2348089218
3 4284529566.2055039406
4 441755282.7576689124
12 363034620.8535097837
17 313278893.3564500809
19 226696385.4902383685
26 219197774.0817817152
39 194188306.5474490821
89 159169630.5941172242
113 153329820.4097585678
212 119816472.4204436690
297 109640962.3217745274
321 58932401.4065666422
691 57329044.2550114095
767 53534424.7732158229
822 26980168.2564524338
9946 23147144.5344324298
10779 19316069.8135799319
11452 11511557.4760355912
11960 8638593.7608746830
12257 8058060.0037600482
13597 7039527.8800899219
14587 2787073.2921097688
16622 892635.9681897195
20639 809201.2899896656
21239 603299.6441533896
21721 392165.1434793112
23630 342978.8695593638
24933 294810.5568778696
25097 151366.8058417822
27372 117957.6081965787
27382 79423.0290326276
30242 69265.4094389417
30248 56541.1046528458
30372 53770.3986285691
30468 47870.8393228193
30591 39541.8913998387
31541 33210.8339771383
32067 25408.8305778650
32869 13544.4683195293
34819 13150.5947925622
35723 7702.5358999653
35958 6093.1004234288
36130 6042.8504758814
37129 5683.8679332424
38170 4287.3528095849
39299 3572.1199072144
39546 3461.6132376087
39766 3072.0765601467
40794 3036.2144470343
41181 2878.7894108923
41360 2366.8488984979
41562 971.9482318641
43226 771.6705889706
43343 523.2098479463
44090 416.5097057091
46039 363.4551123489
46115 249.5735797065
47106 159.5491111492
47863 153.0331629702
49296 151.7858710372
49476 100.7748387823
50495 82.5088958800
50777 58.8383755410
51372 46.3779621066
53258 20.8801562483
54027 13.0194993579
55200 11.9248317002
57156 8.1212799494
58803 7.0728832223
59131 6.9528563310
59282 4.9270407085
59732 3.2406284232
62823 2.5833075860
63184 1.7192471416
64639 0.7799803084
67052 0.7601037450
67242 0.7324274177
67293 0.6951430380
68332 0.5255049995
68432 0.3969976031
68882 0.3558330228
69563 0.3258688781
69999 0.2685863107
71177 0.2403489990
71187 0.1948062644
72596 0.1227165730
75148 0.1223979543
76247 0.1158741555
78346 0.1060979687
79834 0.1041497469
79926 0.1001468431
80601 0.0968774569
82793 0.0962314688
82998 0.0958936440
83269 0.0956504532
83651 0.0947412123
83657 0.0939077448
83842 0.0936502125
84417 0.0930307163
84893 0.0928723512
85642 0.0923112949
86108 0.0912850089
88464 0.0907348354
88951 0.0897635896
91778 0.0893069985
92093 0.0891022797
92108 0.0889114102
92979 0.0862383779
95336 0.0853807960
95613 0.0818960665
97094 0.0781532245
97759 0.0755871431
98444 0.0755588365
99924 0.0702298318
99940 0.0682777204
100083 0.1869198458
evaluations raw_y
1 283557507.0451046228
7 135517149.3471913040
13 120680163.7120452672
20 96024767.9026623517
21 67379171.6440254152
44 67018387.4844507724
148 66054368.0491417944
222 49588065.6672257930
370 47087942.4164442047
446 29060108.3096141368
778 17624214.0685651042
6050 16707682.1201513708
6712 3944601.9099285547
12660 3158749.4211382857
13255 1526049.7580316197
15141 981948.8893047231
17553 581407.7530564788
18874 345887.5367629009
19989 321590.7265235388
20211 230119.4299402565
20812 194898.8568287947
21187 182459.5771843943
21327 145607.6274720939
23742 113480.2830678381
24079 103121.9121601616
24706 91026.6345545941
24843 90381.3383999384
24865 53370.6435475656
26351 28533.7651079590
26663 24452.9603486025
28079 18462.0636162396
30215 11422.1097160647
30988 9857.4354673705
32553 9670.2339023038
32678 4785.4709377845
33070 3418.7329958832
35292 2492.4697458626
35340 1781.5310503486
36197 1149.2039143838
38679 1057.4416672380
39006 866.0418299025
39499 695.8815940812
40229 486.5753410857
41028 408.8799270197
41978 287.4583924178
42455 255.4985499344
43422 235.4640693732
44214 181.8480027190
44863 180.7465886103
44962 162.7680231203
45156 157.5989820780
45499 147.1083140784
45540 118.7903447681
45806 114.2159871136
46545 77.4282060379
47753 63.9487584296
48816 41.7864606925
50372 33.4790161411
51000 21.4939232881
51166 10.1269346411
53173 8.5903371428
53976 7.0106199673
55239 5.9537094899
55571 5.7366329482
56112 4.4080840530
56274 4.1364143327
57804 4.1260474736
58159 4.0816790822
58269 3.9525672078
58626 3.8139815552
59126 3.2689810565
59281 2.8955235622
59416 2.6741228714
59445 2.0266614847
59498 1.4561937282
61333 1.3663158937
61807 0.8630959369
61823 0.8107154270
62462 0.6815883387
63747 0.6288490794
64029 0.4317457525
64411 0.4231764894
65168 0.3638917712
65958 0.2572709966
66737 0.2211975890
67772 0.1891545345
68495 0.1371079729
68943 0.1353278638
69472 0.1098024414
69646 0.0951567137
70367 0.0697431909
71120 0.0598683563
71393 0.0530051289
72698 0.0380109593
73194 0.0283793530
74087 0.0274347362
76094 0.0212327755
76099 0.0191571443
76479 0.0190162897
76550 0.0189027356
77289 0.0178513908
77804 0.0136311006
78388 0.0105928766
78957 0.0100330859
79811 0.0066740790
83000 0.0065024127
83434 0.0062449448
84768 0.0061188239
85229 0.0060666284
85423 0.0060070952
85565 0.0056769565
85898 0.0055519359
86333 0.0050424795
90834 0.0049349197
91590 0.0048516471
93691 0.0048421431
94253 0.0048329541
94522 0.0048017107
94537 0.0047874215
97674 0.0047048440
100083 0.0064043085
evaluations raw_y
1 283434376.9151806831
2 83295326.6999386996
4 47881937.8483539820
32 36686746.9989746287
53 36291483.7511798739
56 36265188.1928864717
78 29533296.0764457993
294 27906805.9923486076
307 15272630.3418173473
353 13428521.0022022482
1003 13346472.6845758390
3540 12909479.5273326039
4927 12152129.8123430777
5629 8730759.2243111990
5923 6682831.5591337373
6407 5200109.9135316657
6990 4826213.3705836879
7161 4532416.9134523980
7328 3272375.8606776232
7616 3082970.1890918049
7822 2283698.3895471822
8938 2154786.8796649296
10310 1997339.3624481009
10804 1977474.6256135954
10962 1336556.1946756952
11253 587572.7350200433
12615 383621.3415909287
15353 350174.7985349150
16306 236678.6891964901
17262 230941.6312295894
17280 181658.5384955256
17418 127780.2462481407
19018 127249.1899872619
19469 90639.4679104649
19509 47320.6343992805
22470 38521.7854408576
22632 13925.2935397616
25101 13532.4935803232
26954 10836.4277334540
27818 9611.7839442520
29255 8751.8783188948
29417 8054.8415862937
30163 5498.1350097335
30792 4225.2054755944
32104 3790.3107637581
32650 2707.6619647390
33512 1456.6880337643
33732 911.7477111426
34607 469.8950007662
37674 448.7745915022
39299 287.2517345652
39896 276.3478524818
40624 194.4197195271
41786 49.8084994593
45245 48.6725328731
45338 47.2980191018
46396 26.3258477621
47742 12.6594742875
48559 8.8765337252
51523 8.4103186976
52089 4.0754992106
52768 3.8281403765
53852 2.2800324929
55421 1.4442116564
58545 1.2318097785
58847 1.1803927104
59133 1.0763910044
59463 1.0128559144
59563 0.9821710344
59717 0.7966542427
60869 0.6638532939
62010 0.5757303081
62063 0.4302260281
63822 0.3784837674
64656 0.3524717605
65155 0.3473559505
65423 0.3340045342
65951 0.3235687219
66070 0.3156761794
66475 0.2950374093
66771 0.2794190947
68847 0.2527325807
69307 0.2448374604
69924 0.2395451276
72699 0.2378601343
73195 0.2366952756
74260 0.2351676070
74991 0.2335888375
75000 0.2316723596
76443 0.2313166184
77062 0.2270935483
77135 0.2242422148
77675 0.2238044712
77967 0.2210390696
79073 0.2176719928
82519 0.2176150232
83073 0.2134739857
83764 0.2129990691
84642 0.2126054957
84731 0.2005307773
84992 0.1995135612
85008 0.1930977030
85260 0.1864271816
85377 0.1530981993
85520 0.1500998131
87706 0.1302765964
90990 0.1005926065
92287 0.0899673219
93196 0.0872658697
93271 0.0570162717
96370 0.0397532102
98419 0.0352322067
99837 0.0279109510
100083 0.2148826965
evaluations raw_y
1 211431554.5711299777
8 89002022.7517417669
29 49730733.6983802766
35 39747128.9265199825
95 29375698.4169151634
106 25298978.1506663412
311 18570632.7554198690
616 15092856.8006159887
5285 12859447.9998023789
6265 10827949.6758542247
6550 9051467.5284581091
7156 5252107.7505731909
8027 4372553.8911029762
9590 4211569.3276738254
9677 4195903.8658083975
