evaluations raw_y
1 5846.6421590193
18 5246.1032383192
43 5228.1661482450
47 5070.7312254612
79 4755.6894686707
326 4361.6910458471
471 4339.4936834933
564 4271.3682260670
570 4179.2182632941
719 3902.0417020766
724 3887.9939280741
868 3460.6949263301
1091 3454.8465465694
1472 3426.0767600781
1611 3251.6380120349
11972 2925.6413317269
13223 2552.7714787296
14573 2535.4180242408
14815 2372.4581301543
15634 2305.4206971049
16220 1845.1690719824
17242 1819.2357801997
17327 1590.0063202095
19762 1463.8385047892
20375 1437.6522062971
20518 1422.2689374624
20798 1322.1524660057
21281 1212.0700162651
21758 1211.1626018878
21800 1195.5093105054
21822 1179.5374789678
22079 1039.1325747868
23698 1035.2447079953
23705 1018.7005432720
23893 889.5974218524
24582 887.8618090045
24780 858.8314836016
25048 857.7202599762
25228 855.1868721143
25240 816.9523842750
25364 799.4777573955
25722 775.0355541502
25735 751.5914268208
26197 691.4176255172
26218 690.8610609591
26449 661.0726476489
27013 599.8527696668
28278 595.8772134086
28541 560.1639182545
29255 553.5637581176
29295 526.9426307438
29356 508.2253394769
29727 485.0702482614
30487 460.6910529252
31135 446.3298456961
31768 441.5295820598
31815 423.5925379297
32040 399.9370959261
32070 396.2237229778
32544 389.9114400823
32857 377.0050259720
33086 331.9641120439
34333 317.3878122875
34471 300.1374342609
34841 299.7957586807
34924 299.2261886573
34937 264.1688786131
36088 243.9009137287
37076 231.8728361987
37711 230.8194440853
37939 227.5650782174
38030 226.9363669458
38500 221.8726179383
38756 217.7120209205
38760 217.5673522991
39155 205.1810794317
39305 183.1969829504
40298 178.4881485790
40672 161.6300329778
40728 151.1220022503
41185 143.0319446263
42087 142.9078140025
42524 122.0172143024
42801 121.5290237894
43239 119.5902655070
43391 116.4566968579
43965 107.8267395193
44774 107.3453257264
44947 106.4638805036
44955 99.3263381893
45064 95.6895777936
45342 87.8031996114
45472 82.7662218653
46936 82.3684937317
47067 73.7954003626
48224 62.7163950717
48284 60.9760213167
49413 58.9655270576
49769 57.7194157044
50175 52.4721033148
50621 50.8074486160
50851 45.0568880468
51865 41.3231596426
52520 39.9207697509
52934 39.1852749677
53117 36.3894822370
53285 33.3813249459
54604 31.9243883287
54683 28.8298225122
55887 28.6801964243
55956 28.4498209951
56071 27.1970371235
56434 26.1158006306
56613 25.2931384228
56670 24.0260808119
57316 22.9578767711
57329 18.3234091100
60759 17.6665404097
60770 16.2300681404
61641 13.7873493531
62579 13.3117960358
62758 12.4987798806
63383 11.9973144623
63548 11.1370402523
65003 10.8549808423
65343 10.7146126644
65793 10.5352536913
65842 10.2948468928
65958 9.9897870618
66159 9.4379682934
66334 9.3354487760
66522 9.0213148796
67117 9.0198936041
67296 9.0132385700
67308 8.2963494613
67313 8.2000151744
67317 7.0917988669
67838 6.9327945414
68073 6.8103335125
68766 6.3348187873
68778 6.2983382043
69618 5.7442229260
70685 5.7411281399
70913 5.5535278332
71237 5.5229382850
71337 5.4499031299
71485 5.2321783971
71541 4.9822790117
72977 4.4960684469
73750 4.3892733858
74145 4.1838157362
74823 4.0778340823
74920 4.0422872743
75005 3.9705865409
75220 3.7702561528
75816 3.6706350711
75974 3.4362468855
76561 3.3439832377
76602 3.3418518343
76636 3.2604055761
76777 3.1832518015
77157 3.1619077362
77246 3.1080192755
77543 2.8177322779
77651 2.6578420815
78115 2.6246008334
