evaluations raw_y
1 742.8237462722
2 329.1471320291
16 292.2013201127
22 287.8499031479
24 209.4279087216
33 199.8161136625
85 197.9859755725
99 196.9517346375
291 194.4727065302
301 152.2821591856
326 148.4752492918
376 137.8066343357
568 129.3486747070
579 126.7195727618
589 116.6071708669
636 110.1751069150
664 93.0536744694
994 84.3981144133
1006 76.5514123723
1129 67.1073730984
1179 53.8541868025
18805 51.6440967125
20214 48.5462849719
20395 44.4780231870
20829 41.4604346769
21101 39.1175245902
21223 37.1073152757
22199 35.6223685996
22546 30.1373480705
26037 29.3571224248
26307 28.9251741505
26445 25.7401014854
27217 21.0836726174
29840 20.4035352039
29997 16.9130196217
31590 16.1894042525
31866 16.1496509242
32028 15.5243481241
32058 14.0046006917
32483 12.2090245440
32846 12.0179360038
33736 11.0562514528
34726 10.9387590454
34765 10.5913343189
34785 9.8971747464
34823 7.3347365841
36162 6.9196356455
36902 6.9106011123
37182 6.6954640637
38667 5.9545080901
38714 5.8061071714
38993 5.4925082998
39256 5.2922369654
39915 4.9792459743
40028 4.7689815958
40859 4.5719890250
40980 4.4806196337
41867 4.4645247786
43257 4.4469939170
43302 4.1269942702
43353 3.5237746317
43667 3.2239870456
44180 2.9401554754
44576 2.5518420002
45526 2.4524652412
45842 2.1830013440
46092 2.1489299128
46539 1.8810894606
47246 1.6269090127
47416 1.6144864768
48145 1.5978978585
48251 1.4499281320
48333 1.3891832674
48539 1.1585825522
49136 1.0289738287
49389 0.9860201048
49636 0.8994068639
50376 0.8809793768
50481 0.8779812789
50607 0.7672287895
52183 0.6941382613
52646 0.6389624157
52905 0.5270641077
53826 0.5264328847
54145 0.4931326044
54207 0.4579315193
54609 0.3340282046
55874 0.3128363287
57637 0.2893171696
57758 0.2679688645
58252 0.2674108454
58265 0.2087249304
59739 0.2018963716
59888 0.1834801210
60064 0.1798244069
61180 0.1733299935
61268 0.1236884568
63888 0.1229389339
64103 0.1220625955
64378 0.1196493737
64421 0.0811876427
67520 0.0801600994
67872 0.0709779101
68132 0.0697424749
69349 0.0675822329
69507 0.0559225464
71657 0.0554515351
71762 0.0481804512
73561 0.0462557914
74016 0.0448363629
74623 0.0427736771
74731 0.0420942057
75223 0.0395193284
76047 0.0323232699
78002 0.0258100056
78958 0.0223553538
83818 0.0209434829
84171 0.0203730861
84379 0.0180848706
90135 0.0159053238
90650 0.0109339043
94640 0.0096859118
98864 0.0093939517
102594 0.0078249035
103583 0.0073339682
104548 0.0072603650
105412 0.0071867576
105940 0.0071806827
105969 0.0061904343
108280 0.0061570115
108317 0.0045812195
118350 0.0039847760
122390 0.0038687789
123649 0.0037463406
125058 0.0036557103
126044 0.0030435258
130786 0.0028554212
131797 0.0025165829
134950 0.0022007430
138431 0.0020917321
140407 0.0018609366
143903 0.0018336311
144661 0.0016440440
146619 0.0015540365
151929 0.0014920374
153846 0.0014704503
154471 0.0012986573
161990 0.0012231502
170686 0.0011707398
172354 0.0010702185
176300 0.0010680874
178381 0.0009489839
179572 0.0008835083
183359 0.0008669976
187249 0.0008517025
192473 0.0007778418
193205 0.0007760061
194774 0.0007194581
197821 0.0007119793
198997 0.0006801610
201638 0.0006762599
201951 0.0006611166
202441 0.0006537713
203166 0.0006431098
204507 0.0006158177
208007 0.0006092349
208701 0.0005836654
209394 0.0005754560
212158 0.0005739758
217407 0.0005678037
217762 0.0005543659
218706 0.0004978560
223220 0.0004959622
224243 0.0004769590
225462 0.0004761303
225685 0.0004677349
225981 0.0004366528
229332 0.0004257506
229824 0.0004083849
230535 0.0003794703
236161 0.0003691668
237861 0.0003557248
239073 0.0003451620
240345 0.0003442582
242020 0.0003230421
243363 0.0003139805
246254 0.0003069058
248272 0.0002851491
250398 0.0002769832
253751 0.0002707761
254523 0.0002633915
256368 0.0002632397
256777 0.0002511588
258703 0.0002462205
