evaluations raw_y
1 1565.5135892754
2 721.5313340549
5 246.9332909293
11 63.5168422444
299 56.3793104588
301 27.8981745131
399 18.6756088455
815 14.2233935778
1240 13.0355649362
1423 9.0755668890
4323 5.4965273054
4529 3.8257390616
5201 2.7957037286
7923 2.4039253419
9879 2.0382491364
9884 1.3295175051
11450 1.0212097480
15986 0.0570075833
21610 0.0419318778
22817 0.0285867462
22881 0.0158944879
23983 0.0065702773
24685 0.0010318419
27976 0.0002607873
28715 0.0001603171
29396 0.0001450657
30140 0.0006703906
evaluations raw_y
1 166.8055245791
2 59.0716132294
5 41.7922627170
23 13.4755550315
82 6.8461149005
813 5.7572901447
1079 5.6354076283
2578 2.9535105768
2800 2.1957620502
3651 1.7404469626
3883 1.6662199414
7945 0.0597872453
21772 0.0082403454
26235 0.0081943523
26357 0.0058466401
27417 0.0020203612
28291 0.0011971130
29160 0.0009734246
29423 0.0002695781
30140 0.0532556623
evaluations raw_y
1 1664.4883887495
2 698.7713523281
10 652.0557330679
11 551.3283645595
13 471.4180735100
16 389.3618541856
33 328.1738509657
40 326.7909348136
96 266.8295066292
210 187.8688187888
321 117.9971524254
334 109.8924739422
379 85.5389789280
406 84.3698020449
487 49.1980224910
575 16.1970530154
1062 15.9499781228
1267 15.4811266180
3601 11.3898629298
4396 8.5889044623
4685 8.1248298464
5175 2.8872959414
7853 1.5463047856
8865 1.0595748453
12218 0.1434202211
22543 0.0540420912
25450 0.0161555690
26457 0.0115410537
27446 0.0057336611
28971 0.0025580363
30140 0.3756901977
evaluations raw_y
1 5545.2452112118
2 938.7841049769
4 496.6402717927
14 259.5300067050
23 173.6637611516
47 88.4898883271
97 86.6102522517
127 18.5551191764
418 12.7240595278
908 9.8441960807
2708 2.7994253930
5169 2.3212749566
9211 1.1883638558
17994 0.9200617855
19448 0.5747876149
20437 0.3167540750
20679 0.3141701366
21537 0.3081467474
22974 0.1947738042
23106 0.1151619948
24485 0.0285282847
25742 0.0236697872
27064 0.0217571391
27308 0.0200315395
27543 0.0195828157
28152 0.0164778732
28542 0.0095526130
28788 0.0048982989
29998 0.0044802358
30036 0.0037631086
30140 0.1310301865
evaluations raw_y
1 107.9454787270
7 86.1242703806
9 84.9882244398
12 36.3399468614
22 34.0126076564
46 30.7014185154
47 18.1822352594
94 18.1089976159
372 11.1529839998
523 7.8349455158
2417 7.4311375253
2741 5.2649511646
4089 3.9247763318
6204 1.9895490931
6652 1.3346732549
9241 1.3203441649
10457 0.4355703949
11188 0.3534218377
11478 0.3123194281
13213 0.0616489779
16313 0.0251202910
17880 0.0194192631
18369 0.0122025829
18562 0.0080419617
19705 0.0050997277
19834 0.0017178444
21135 0.0004905359
23605 0.0004726404
24143 0.0003733982
24393 0.0002026804
24651 0.0000051864
28681 0.0000028822
30140 0.0000729810
evaluations raw_y
1 782.5465878887
2 173.9482706277
7 54.0983081665
22 19.4068720807
162 14.1543379281
496 11.2758132021
1960 11.0534300532
2331 6.5801284379
3220 6.0911478395
3794 4.3788610876
3827 4.2199886727
4092 3.5383258469
4368 1.2102652031
9527 0.6634951265
10266 0.3235418378
16639 0.2416458758
18017 0.0760195158
19703 0.0365356770
21488 0.0136450331
23276 0.0100879403
23555 0.0053618566
24166 0.0035849947
24418 0.0004049683
26081 0.0003224598
