evaluations raw_y
1 128.0278494004
2 45.4484043382
12 47.2460906265
18 28.7491470994
64 17.7075945390
346 17.2995509558
919 14.9551006485
1749 14.3656892491
2785 14.1596384847
6657 9.6170108924
26293 9.5722394545
54177 8.1748370233
54583 7.2358235387
57750 4.9381258922
60574 3.8502508848
62301 2.6890380306
63226 1.5591332504
65628 1.3698459124
67727 1.0169094596
70157 0.5116553400
74035 0.3574782759
74575 0.2787839493
76275 0.1810432903
81476 0.1767264544
81519 0.1678663727
81538 0.1079091449
81666 0.0599226215
85263 0.0498145471
86994 0.0397701475
87808 0.0377485504
88450 0.0241849885
91458 0.0129461915
93152 0.0120837441
94624 0.0074622018
96355 0.0053756843
98213 0.0045288048
98824 0.0042517484
100083 0.0663394998
evaluations raw_y
1 89.5526132016
3 79.9721695786
4 53.3865083269
5 35.2356178717
55 34.4015777285
61 32.7662246476
162 19.8005670916
230 24.9463994750
472 18.0500168625
1114 17.4991383813
1353 14.1854091916
6081 14.1664161945
6979 9.2422623158
10618 10.0553932379
12817 9.7084688943
75533 9.1784219944
87560 8.3661455886
90487 7.7160619797
91845 4.9193754667
93886 4.8937037322
95776 3.7340411977
96300 3.3069537138
99203 2.7968392363
100083 21.4864086068
evaluations raw_y
1 69.2186190883
2 35.4600190659
5 27.4506116268
63 15.2874385384
649 14.0732245571
19591 8.5791725869
56120 8.4050351186
73474 7.2133985954
84100 4.1490144798
100083 90.8272076268
evaluations raw_y
1 107.2625172024
2 73.9147902390
3 38.4111622247
7 25.2204228452
33 23.5871793564
288 15.2802845348
712 19.8256628516
1082 12.9247107254
13867 12.2265052202
17846 11.6878606540
20205 9.7169303894
21253 5.6649970658
25645 4.3655872322
29864 3.4124245366
32747 3.2536407927
33781 3.2462817670
33945 2.8357471055
33967 1.6027226233
35152 1.5922787544
37533 1.3914121165
38271 1.3669593958
38413 0.9842134730
39183 0.8131698748
40246 0.6640831333
42950 0.3200003662
45746 0.2297519736
48963 0.1871600412
49870 0.1774618741
49936 0.1601560320
50522 0.1216136404
50683 0.0987196643
50792 0.0916767607
51621 0.0833690648
52434 0.0817882828
52908 0.0763445560
52944 0.0660136548
53239 0.0488407532
54242 0.0447394132
54764 0.0340005080
55034 0.0228263168
55889 0.0180398302
57562 0.0156013411
58818 0.0153545322
59134 0.0143564335
59508 0.0131765901
59537 0.0114840950
59967 0.0079239379
60173 0.0079234400
60862 0.0055663196
61856 0.0046381395
64109 0.0016174709
66317 0.0010244439
66354 0.0008793179
69641 0.0006414818
70918 0.0006037457
71027 0.0005239416
71450 0.0004548337
71715 0.0002673081
73188 0.0002517147
74263 0.0001542875
76102 0.0001449919
76488 0.0000421113
80032 0.0000286716
80968 0.0000277709
81711 0.0000207675
82076 0.0000176741
83437 0.0000133454
84039 0.0000064975
85782 0.0000045877
86265 0.0000031156
90069 0.0000023962
90958 0.0000009788
93893 0.0000007394
94340 0.0000004616
95325 0.0000001882
98941 0.0000001498
99202 0.0000001044
99896 0.0000000447
100083 0.0000009752
evaluations raw_y
1 77.9789577111
3 79.2340460196
4 67.9190329172
6 69.6106562876
11 56.7282067690
35 47.5442752280
40 28.5735580825
56 26.8715437726
88 21.0736879194
615 19.8526327840
981 18.9853204527
3212 18.6681437459
3287 17.5357386992
3507 17.4509810297
3990 17.2070665805
4169 15.1149044556
5374 13.6242004094
7875 13.2398072425
9519 12.0557239159
19363 12.2233809508
19421 8.8023822008
25428 6.4092772552
32015 4.4560745506
38150 3.3715393083
40757 2.6599032794
41107 2.0893756764
43009 1.1180660468
43536 0.6584986989
48087 0.4883837165
49300 0.4507235781
50056 0.4394237566
50142 0.3171568657
52454 0.2886491614
52942 0.2261356263
54672 0.1963328916
54739 0.1747043132
55449 0.1398657819
56777 0.1394869030
57637 0.1035323731
58113 0.0748567662
58717 0.0639624554
61673 0.0561526388
61877 0.0484333961
62192 0.0452210998
62664 0.0437424895
63805 0.0423400853
64109 0.0193691189
67531 0.0036181240
73560 0.0025450910
75157 0.0023566031
76089 0.0012502105
78601 0.0011216408
79271 0.0007102893
79457 0.0006617651
80386 0.0005145415
81036 0.0004708144
81599 0.0004686608
82894 0.0004264662
82905 0.0003726110
83192 0.0003619201
83437 0.0003290751
83694 0.0003139949
84617 0.0002028877
86207 0.0001935194
87147 0.0001868609
87292 0.0001560078
87854 0.0000790341
88708 0.0000651779
89040 0.0000565245
90215 0.0000557445
90868 0.0000505417
91352 0.0000480202
92280 0.0000373012
92547 0.0000329617
92689 0.0000319797
93245 0.0000308999
93325 0.0000292234
93326 0.0000278680
94412 0.0000233980
95381 0.0000218233
95423 0.0000199998
95826 0.0000128132
97723 0.0000108510
98078 0.0000092838
98623 0.0000076221
99239 0.0000068314
99668 0.0000064362
99896 0.0000043908
100083 0.0000448148
evaluations raw_y
1 66.4178800126
2 43.5133614670
6 39.2686059471
42 38.6697358526
49 34.6066681110
56 31.5619692094
223 20.4146546222
292 15.3130975539
2048 14.5017464232
3362 12.0594412191
7372 8.1221880634
37183 5.3250371371
41610 3.8787667877
43398 2.6051880479
49828 2.2240189980
49935 1.9043286114
50856 1.6791438782
52883 1.1990819545
55582 1.1947381525
56462 0.9249846302
57177 0.7190645918
57336 0.5679473841
59334 0.4839902356
61161 0.4565180164
61162 0.4257450251
61326 0.3968504133
61790 0.3657697649
62261 0.1660164550
65651 0.1435518393
66602 0.1386414607
66951 0.1294092571
67772 0.0556925347
70809 0.0489472269
71939 0.0392206215
72006 0.0274615965
75165 0.0222670997
75882 0.0193042478
76001 0.0171203141
76600 0.0167988807
77036 0.0144118575
77823 0.0110630728
78077 0.0109581898
78337 0.0053682754
80885 0.0045235900
82412 0.0043527106
82504 0.0031362790
82764 0.0019447282
84681 0.0018919183
85273 0.0013445864
87160 0.0009180308
88580 0.0008055069
88631 0.0004959056
90608 0.0004940228
90958 0.0002737107
