evaluations raw_y
1 42.4045928751
2 31.2081511233
5 30.1734857155
10 11.9569744666
60 12.4311492638
103 10.8065847712
127 9.5962189487
173 9.1091046475
183 8.4098286389
433 7.8168786621
481 7.7974943812
551 5.9479244548
899 5.4870159271
1693 5.2687209185
2028 5.0977501268
2378 4.6590091924
2526 4.5484554500
2852 3.5496143486
3100 3.2070596866
4641 2.2296210908
5680 1.0129516171
8138 0.9772539733
8442 0.9292559696
9279 0.8213576043
9793 0.5774587490
12078 0.4543643457
12469 0.2904979774
14296 0.2626386238
15517 0.2100110011
16497 0.1703399689
16825 0.1557637985
17923 0.1472159928
19193 0.1392329050
19469 0.1318747466
19835 0.1159311190
20168 0.0561777042
20935 0.0137765113
29615 0.0124247684
29902 0.0120637347
31535 0.0103528535
31565 0.0096530743
31765 0.0095532835
31847 0.0054569440
34704 0.0053904293
34719 0.0051249592
34788 0.0047747153
34807 0.0027162077
36908 0.0025876972
38018 0.0017984405
39099 0.0014325487
41272 0.0008956853
42288 0.0007871510
42760 0.0005862002
45740 0.0005239641
46244 0.0004558657
46789 0.0003718438
47116 0.0003075937
47955 0.0002589206
48709 0.0002571972
49029 0.0001306945
50047 0.0008727968
evaluations raw_y
1 27.7068078287
3 10.7188945299
68 10.4751793688
286 9.3816423864
300 9.1202033128
313 5.7770019997
411 4.6579493987
487 4.4125792486
660 4.1576991352
854 3.8379891802
1295 3.6702055899
2265 3.0354329071
2428 2.5332465549
3933 1.6209532304
4979 1.1198268465
5938 0.8102558608
9394 0.7844122903
9424 0.3862157695
11713 0.3650381293
12099 0.3301457039
13476 0.2068460457
14726 0.1839013594
17371 0.1703636757
17518 0.1386542540
17999 0.1146304119
18905 0.1069822923
19009 0.1039152030
19599 0.0847125866
20036 0.0838905357
20123 0.0651465238
20357 0.0587865729
21934 0.0517742625
22725 0.0450745064
22836 0.0437603300
23818 0.0422318248
23862 0.0401117434
24297 0.0363637107
25013 0.0280623364
25343 0.0221266601
27779 0.0156659959
29517 0.0140930099
29612 0.0110965070
30399 0.0078892929
30838 0.0073566861
33356 0.0028545162
35226 0.0020210847
35511 0.0019018405
39503 0.0013106685
40566 0.0010698856
42404 0.0010379866
43270 0.0009822379
43797 0.0008924335
44899 0.0008708710
45043 0.0006595063
45880 0.0003143699
47960 0.0002737324
49061 0.0002547710
49222 0.0001701176
50047 0.0015242476
evaluations raw_y
1 128.5373704126
2 8.5529085637
16 7.0696273565
25 6.1483090653
36 5.9186655802
39 3.5378807087
64 2.2751683403
612 1.9275968346
1011 1.8739063405
1275 1.1678099279
3944 0.7492255324
7599 0.4338516110
9179 0.3981455934
9953 0.3106389895
11348 0.2689306200
12568 0.2636467614
13260 0.2532455671
13297 0.2417339416
13572 0.2225060151
13586 0.1958580356
15288 0.1328992913
16466 0.0935829170
16883 0.0561575418
21269 0.0536308034
21775 0.0488184485
22522 0.0357092007
22644 0.0264673232
24068 0.0168980346
26328 0.0166864193
27433 0.0089725138
28597 0.0083942289
29633 0.0082245282
30424 0.0070892299
30436 0.0053865675
32872 0.0050158174
33168 0.0049930255
33245 0.0046444362
33292 0.0039946630
33628 0.0037773954
34232 0.0032638760
35147 0.0030035265
35185 0.0016120152
36350 0.0015380859
36542 0.0011387061
39324 0.0009947315
40392 0.0007821338
42551 0.0007588124
42580 0.0007174951
43039 0.0007005715
43177 0.0006285287
43495 0.0005239237
45053 0.0004677519
45596 0.0003819056
46077 0.0003463744
46372 0.0002780663
47061 0.0002599486
47514 0.0002398023
