evaluations raw_y
1 123.6198824011
2 88.9867135384
4 68.2617468375
24 45.2499987490
25 44.4460372937
47 36.7491244258
330 33.4360513591
434 29.5890805078
496 26.2045093283
636 25.8554757929
859 22.9704691557
896 17.0686045589
1432 14.3073349231
12389 12.0539678684
13361 11.7600484893
14467 11.5452122951
14731 11.5171653625
14895 11.2117622515
14947 11.0144596843
15116 10.7513385512
15395 10.6911915465
15411 10.5572446059
15432 10.3497208657
15623 9.6702671280
15749 9.6594202904
16062 9.3486853890
16525 9.1081573708
17156 8.8140051748
17393 8.5368838044
17724 8.4248477634
17765 8.3061069586
18605 7.5978175790
19149 7.3720703379
21426 7.0439771462
22010 6.6110738814
28075 6.5840525186
34623 6.4951469068
36093 6.3644930686
41182 6.1210127579
43186 5.9648595342
50384 5.9616883618
56074 5.4099414124
66906 5.2264993398
80102 4.9089001431
94190 4.2891760342
107046 4.0647245878
107860 3.4925239298
122637 3.3250845826
127650 2.7952728096
130767 2.7829853175
131148 2.5841246552
133755 2.5633753816
135742 2.3798700101
136401 2.2941886946
137198 1.8816039070
138394 1.8083438334
138474 1.7805848200
140394 1.6242470845
140806 1.5235794838
143228 1.2905913991
145005 1.2696374280
145998 1.2610908428
146147 1.1713361682
146252 0.8471147229
149409 0.8303037221
151546 0.8163265993
152449 0.7005977654
153418 0.5896472470
157735 0.5311231775
167880 0.2852613923
183019 0.2791106644
185635 0.2577123889
186024 0.1932900864
187692 0.1916695196
190344 0.1655368284
196866 0.1476897434
198590 0.1378074983
206601 0.1365942208
207363 0.1347233935
207946 0.1296384231
210807 0.1256344935
221293 0.1220871479
222937 0.1170201169
229609 0.1166658718
230234 0.1126760432
239956 0.1126566892
241910 0.1111819638
246322 0.1102466876
247137 0.1089909227
253839 0.1083504357
259254 0.1082667556
259395 0.1079996475
259775 0.1073797158
265801 0.1073607853
266347 0.1062270856
268700 0.1059890469
269074 0.1058555865
270587 0.1048336599
274812 0.1042718482
282764 0.1041772640
282838 0.1037701442
284390 0.1037259577
285685 0.1030650015
294508 0.1029701837
295141 0.1028080068
295914 0.1027977800
295953 0.1027707771
297281 0.1025457616
299044 0.1019478567
301883 0.1016636296
304268 0.1006415697
314180 0.1003869085
317188 0.0997908524
319538 0.0997477305
319900 0.0996347330
320772 0.0995814956
322144 0.0993424971
325827 0.0993172318
326495 0.0992093723
326733 0.0986095451
329219 0.0984852922
330778 0.0980980226
333633 0.0974921356
336705 0.0973511456
338453 0.0966694069
340813 0.0964352261
342359 0.0955887172
349172 0.0950609537
350337 0.0946406501
350348 0.0940286489
351072 0.0934797075
352772 0.0929207123
356523 0.0927629555
360503 0.0918897869
362794 0.0913494065
365014 0.0895204313
366963 0.0894047264
367494 0.0888503655
373461 0.0887539965
376562 0.0882575999
384272 0.0878969273
386003 0.0874727563
386283 0.0872864439
387142 0.0865478389
387533 0.0856661379
388201 0.0845068717
392088 0.0843810572
392133 0.0838165356
393784 0.0834888042
394637 0.0827318335
397996 0.0825093747
399875 0.0820526167
400022 0.0938157241
evaluations raw_y
1 136.5140728253
2 113.1625773295
4 87.1831812904
5 74.2952747985
15 62.8977364323
16 62.8016740838
18 50.4078676599
64 42.2938727301
100 38.7573478722
195 29.0395603286
289 25.2629967516
460 24.7468472685
699 23.4525253675
704 23.2748548859
729 22.1345694766
936 16.9426025282
1034 16.7660481576
11956 16.0651175551
12482 13.7478447012
12679 12.8424611592
13647 12.6882898456
13966 12.5780154849
14301 12.2913211091
14466 11.4099531849
14997 11.0136127248
15300 10.7960894275
15322 10.7333109113
15553 10.6244650267
15599 9.1826515518
16975 9.1657477518
17360 9.0666714874
17444 8.2622051349
17606 7.9382089946
18955 7.8588772415
19250 7.6343777309
20170 7.4973605702
20373 7.0699932485
21747 6.4420846535
29536 6.4033704499
37377 6.1407820702
49380 5.6373648860
52086 5.0586672597
81099 4.9944038149
103238 4.9879675654
105119 4.3898008287
111089 3.6294366077
144222 3.4683825547
145207 2.4311312269
146975 2.3488603166
148598 2.2505140854
150689 2.1984066709
150828 2.0857285436
151290 2.0428924239
153589 1.6957641467
156284 1.6220856913
156366 1.5303431211
156470 1.5137571491
156714 1.1702451720
157360 1.1416923518
158355 1.0676890502
159184 0.9918840530
159330 0.9744928536
159641 0.9373071324
159921 0.7615374188
161840 0.5140729663
166179 0.5018622803
166293 0.4881612480
167124 0.4746326122
167739 0.4699067367
168261 0.4480363489
171450 0.4319855937
172012 0.3829549833
172599 0.3220775830
175551 0.2783269962
176817 0.2472673388
184617 0.1633911924
195643 0.1555923957
199176 0.1542936704
201585 0.1501705422
202613 0.1397254895
203559 0.1188377138
204955 0.1072094917
208277 0.1043462344
209414 0.0997675613
212608 0.0984862725
212738 0.0950174514
213602 0.0934557948
214178 0.0754035188
222049 0.0712776825
231751 0.0710021027
232246 0.0671186707
239129 0.0667992829
242422 0.0663768566
244623 0.0646481685
252971 0.0640016427
255118 0.0629043183
259402 0.0627728922
264765 0.0627189856
264863 0.0610734979
265044 0.0608892326
265132 0.0607917840
276432 0.0607388841
277867 0.0605596477
277944 0.0597746742
280443 0.0595726798
286728 0.0594635526
287465 0.0593794258
288922 0.0592522130
292382 0.0586607493
300577 0.0586272776
301093 0.0584704276
302071 0.0584236533
303272 0.0583161693
305901 0.0579568277
307364 0.0579048006
308155 0.0578944500
308302 0.0578121053
309760 0.0577795118
310017 0.0576479335
310086 0.0576014924
310782 0.0575240654
313312 0.0574293464
320608 0.0570765229
322680 0.0569828675
323604 0.0567187574
326054 0.0564716782
329584 0.0562345484
330467 0.0562127146
332191 0.0561929349
332687 0.0559604064
338122 0.0556839855
338825 0.0545410950
350361 0.0537986516
353805 0.0536632933
360196 0.0533755672
360404 0.0524250672
366337 0.0522538537
368966 0.0519628707
371457 0.0511821095
377414 0.0510811881
377447 0.0508026178
380612 0.0505243443
382129 0.0501906699
382864 0.0499224437
384638 0.0494392975
389575 0.0484840772
396989 0.0477292808
400022 0.0709778942
evaluations raw_y
1 70.8897200426
2 55.7587238439
16 39.8729244885
21 37.5004730169
88 34.0258765686
272 30.0507466325
290 27.0154976228
302 23.8650182242
555 21.2615203933
616 17.9920781533
867 16.7868338522
1075 15.6390093238
1355 15.6042023725
11114 13.7510929321
11612 12.3816679268
11741 12.0617785054
12754 11.6175147658
13525 10.9289833324
13830 10.3967393637
14104 9.9705128660
14549 9.9552641784
15357 9.4362799043
16121 8.1472583548
17823 7.6741520137
18890 6.9269812544
20522 6.5464922735
25207 6.5059751927
31104 5.6818248292
44690 5.2501032718
61780 4.8682758383
106103 4.7814228002
106245 4.3995863446
113395 4.3597933673
121083 4.3439620394
121337 4.0739558039
123132 3.4464979645
127890 2.5702916596
133093 2.4045699519
134150 1.9401744514
140500 1.7522950645
141178 1.6988550313
141308 1.6405241362
141570 1.5714691464
141599 1.5136350898
141918 1.4772685930
142509 1.3685938688
143166 1.3622924652
143893 1.2544743900
144233 0.6935189892
149695 0.6934147371
150100 0.5979347274
156860 0.4557722343
162282 0.3779218016
162489 0.3504488859
172739 0.3383818291
175659 0.2811258224
180176 0.2492889127
190154 0.2296002732
192670 0.2160763256
200337 0.2071172793
200788 0.2017505619
202629 0.1845621874
212847 0.1831221984
213108 0.1707329523
216613 0.1703183913
220544 0.1678063316
221715 0.1650787380
221908 0.1640666734
222187 0.1618662417
226577 0.1610448720
234488 0.1590267359
239542 0.1560101307
242314 0.1544485183
243302 0.1528538061
244947 0.1527774086
245928 0.1495412941
248987 0.1491384623
249907 0.1487211418
250201 0.1486383115
252408 0.1480586552
253863 0.1479556378
254154 0.1469612889
258630 0.1454784469
259092 0.1451776235
261201 0.1449362791
266981 0.1431093038
278051 0.1422189416
279588 0.1407655498
281648 0.1404887627
282039 0.1402225051
289515 0.1394233790
294428 0.1393921347
294493 0.1391795889
295579 0.1383891896
297899 0.1380145139
300395 0.1379626326
303715 0.1375752488
303921 0.1373867918
303957 0.1372128516
307868 0.1366276966
308898 0.1366120987
309577 0.1362348696
310330 0.1355537171
310604 0.1352607776
315257 0.1349147095
316390 0.1347577761
318380 0.1338878036
322553 0.1336647262
324340 0.1335574445
324395 0.1334507402
324504 0.1323977836
325892 0.1323659554
329962 0.1320560871
335435 0.1316691691
335488 0.1311491270
339724 0.1309931300
339903 0.1309357064
341774 0.1300249159
349161 0.1296319384
351930 0.1279929960
364675 0.1277441612
365641 0.1276999702
366400 0.1271966812
368297 0.1262796274
370332 0.1258482736
370822 0.1256877469
372450 0.1249056734
375034 0.1244121179
