evaluations raw_y
1 548.0922266070
2 238.3595025646
6 216.2607489617
13 188.8669965927
16 152.9173322064
77 144.5138270199
287 139.2508992781
302 111.1888649672
446 96.7931581242
674 87.9199792237
694 72.8818455614
848 56.3584074191
8453 46.5986301185
10717 38.4810496328
10858 35.1666083220
11837 22.3467125607
12564 17.5613120869
14316 12.0565444563
15623 10.8271038757
16044 9.8129724704
16179 6.8367022401
17827 3.8267653468
18661 2.3247371998
21899 2.0305235990
22085 1.8129645052
22178 1.6071208896
22332 1.2943962184
24078 1.1539755238
24841 1.0511401813
24947 1.0506734312
25106 0.8981683890
25154 0.8592440288
25253 0.8188746202
25489 0.8073352001
25512 0.6429902840
26248 0.4314361313
27594 0.4215249819
27837 0.3817499684
27983 0.2145981527
29590 0.1809960053
31025 0.1632197154
31286 0.1579439819
32106 0.1201902042
32228 0.0998014900
32873 0.0788312466
33871 0.0751596180
33917 0.0709573272
34504 0.0620691013
34923 0.0373079944
36530 0.0358275514
37138 0.0297177447
37974 0.0269571073
38642 0.0198848895
39611 0.0156718710
40472 0.0150871686
40565 0.0131032966
40992 0.0125770229
41015 0.0088687893
42417 0.0087160822
42533 0.0077198610
43379 0.0075882837
43619 0.0042769576
44708 0.0038665238
44983 0.0037931932
45580 0.0032095454
46555 0.0029999395
46674 0.0029063539
46793 0.0025295240
46889 0.0024421325
47464 0.0021755847
47659 0.0020374000
47837 0.0016644757
48545 0.0012708292
49832 0.0011972408
50369 0.0011882213
50670 0.0007815790
51444 0.0006956436
52245 0.0006112941
52724 0.0006064759
52775 0.0005719805
53019 0.0005278867
53165 0.0004211009
53877 0.0003472745
54590 0.0002446575
55003 0.0002436743
55446 0.0002363191
55736 0.0001291946
58678 0.0001007740
59262 0.0000984174
59634 0.0000978205
59720 0.0000921346
59754 0.0000868460
60198 0.0000607857
61174 0.0000559619
61648 0.0000410453
62067 0.0000382486
62788 0.0000375113
63134 0.0000258722
64263 0.0000244330
64584 0.0000242475
64946 0.0000208915
65037 0.0000199376
65245 0.0000151718
65925 0.0000148433
66098 0.0000142155
66810 0.0000131899
66945 0.0000123437
67296 0.0000120744
67521 0.0000117798
67606 0.0000100857
67615 0.0000088486
68333 0.0000079258
68370 0.0000077746
68763 0.0000057591
69700 0.0000045348
70752 0.0000043561
71266 0.0000042530
71331 0.0000040051
71528 0.0000033600
72509 0.0000033076
72646 0.0000026650
72937 0.0000024414
73112 0.0000021957
73488 0.0000021577
73578 0.0000020368
73733 0.0000020205
74023 0.0000018026
74399 0.0000012855
74411 0.0000012230
75779 0.0000009852
76496 0.0000009812
76614 0.0000007498
77046 0.0000004000
80041 0.0000003831
80482 0.0000003270
80598 0.0000003195
81324 0.0000002752
81511 0.0000002726
81844 0.0000002487
81885 0.0000001607
83085 0.0000001445
83805 0.0000001345
84385 0.0000001062
85136 0.0000001038
86021 0.0000000901
86065 0.0000000890
86500 0.0000000848
86583 0.0000000770
86633 0.0000000725
87035 0.0000000655
87376 0.0000000655
87513 0.0000000645
87765 0.0000000529
87804 0.0000000512
88184 0.0000000511
88249 0.0000000466
88399 0.0000000429
88898 0.0000000360
89228 0.0000000357
89367 0.0000000285
89521 0.0000000251
90847 0.0000000182
91649 0.0000000177
91778 0.0000000164
92075 0.0000000132
92733 0.0000000112
94168 0.0000000066
95719 0.0000000066
96371 0.0000000050
96934 0.0000000045
97292 0.0000000044
97795 0.0000000033
97948 0.0000000025
98616 0.0000000015
100637 0.0000000014
101094 0.0000000013
101248 0.0000000012
101358 0.0000000012
101990 0.0000000010
102673 0.0000000010
103033 0.0000000008
103374 0.0000000007
103754 0.0000000006
104194 0.0000000006
104396 0.0000000005
104917 0.0000000005
105399 0.0000000003
107264 0.0000000002
107591 0.0000000002
107604 0.0000000002
108136 0.0000000002
108908 0.0000000002
109541 0.0000000001
112111 0.0000000001
112558 0.0000000001
113449 0.0000000000
