evaluations raw_y
1 34925.3619457691
4 1022.0264308767
17 378.9699528874
20 4.6547289198
100 4.3685346972
104 4.1645481877
146 3.9279513765
234 2.8694291575
400 2.6877678805
443 2.3393138204
531 1.6239263808
1151 1.4925035396
2791 0.6366299925
3761 0.4235905486
12760 0.4110790440
15561 0.2867002182
15583 0.1309515390
17885 0.0590690894
22094 0.0408615117
25192 0.0299679121
26960 0.0121019797
27257 0.0075815265
28552 0.0061843397
30140 0.3747786395
evaluations raw_y
1 22077.3858273372
2 1720.5490522130
13 1135.4862863198
35 3.8360135393
160 3.2809580049
226 2.9738940142
251 2.3561063976
296 1.9707324152
933 1.8184428705
1074 1.2738415509
5570 1.0859589082
5841 1.0574458332
6581 0.9452107534
7613 0.1677894126
17121 0.0968317261
18630 0.0346355178
24417 0.0050398883
26549 0.0033813120
27917 0.0028199530
27956 0.0016451370
29508 0.0006428401
30140 0.0530735670
evaluations raw_y
1 72298.1601447006
2 37670.5930197624
7 28086.5652965553
10 11851.7970391861
13 92.1098930725
113 3.7554548835
283 3.2525722818
385 2.4360607076
561 2.0303052456
845 0.7079259393
7053 0.6020357755
9406 0.5197474797
12165 0.4725509389
16023 0.3082885145
16213 0.0442257743
24033 0.0011881285
27072 0.0011055744
29222 0.0006541399
29780 0.0005386344
30140 0.0155444341
evaluations raw_y
1 117383.2016365895
2 51293.6970867920
4 40561.6889658933
6 28778.9909210578
7 1853.0993731911
10 1239.6305437178
16 11.7164605684
123 3.6736589933
282 2.8728776945
468 2.2841338170
931 2.0613758958
1691 1.8824874086
2443 1.5571795968
2758 1.2485360494
6959 1.1959026744
8500 1.0346256083
8689 0.8692616067
9128 0.0616242714
23448 0.0389020518
24006 0.0168102973
25963 0.0062219634
25970 0.0049145863
26654 0.0031986977
28054 0.0022742598
28218 0.0022038285
28539 0.0012257551
29957 0.0011762983
30022 0.0004933931
30110 0.0003007869
30140 0.1590303468
evaluations raw_y
1 41586.9557467034
2 11569.2976771348
5 8520.9058646186
8 7677.8065526174
9 6389.0435649383
10 4459.9061181082
26 57.7435805792
153 4.7668987072
332 4.5086953118
442 2.5544365225
610 2.4237293177
733 2.3942793580
789 2.0621242941
996 1.7668490244
3866 1.6240139796
4075 1.4779664485
4342 1.3605285360
4406 1.1406252679
5524 0.9262543447
5923 0.7865709189
6886 0.4422974336
10521 0.1552144022
15945 0.1204251097
17960 0.0066718978
23652 0.0032752460
24323 0.0005140407
28361 0.0002220037
29920 0.0000933709
30140 0.0309289736
evaluations raw_y
1 63875.7795454233
5 41977.7641042317
9 27124.2802835080
23 12014.8697455317
28 8762.2673815435
31 7226.0591139142
44 4871.2184340136
67 2512.0728225044
209 839.1648930307
382 185.9026349582
580 5.1294252888
679 4.4935632126
939 2.3982826697
1061 1.9152069408
3421 1.8241516358
4156 1.4378496094
4769 0.9898407498
6975 0.1022408932
10536 0.0408135745
26848 0.0140009688
30032 0.0045726436
30140 9.2439298415
evaluations raw_y
1 78093.5161283322
3 9171.2385647653
12 8468.7719333929
14 4954.3535016519
22 1230.8435585239
88 3.9716136815
282 0.5740898402
5874 0.0787726163
18439 0.0551173575
20635 0.0388249593
22269 0.0155435304
23635 0.0131454266
25664 0.0105655098
26222 0.0053171533
26949 0.0028720299
27519 0.0019188238
28080 0.0004859861
30140 0.0676852513
evaluations raw_y
1 160134.7523477744
4 44008.7664637276
9 9556.9081982962
11 8105.3751479305
12 1497.9349571582
17 303.1771257683
43 4.4992428063
136 3.6991151152
376 3.3230750006
558 3.0524645910
725 2.7909977441
852 2.6067908849
1124 1.3285263713
3486 1.2264671765
4047 1.1240932258
8888 0.5821407031
23793 0.3064025506
30140 0.7483327411
evaluations raw_y
1 625.0308147806
9 68.0133862842
12 2.9875579271
95 2.0244166335
843 1.5377650294
1775 1.1330171993
5769 0.9670192534
8670 0.2737972429
20239 0.1959678319
21809 0.1758546182
24495 0.1534428185
25974 0.0830834000
26689 0.0797799996
30140 3.1844891649
evaluations raw_y
1 77236.4557175983
4 6548.2805292670
21 5637.2638862205
34 4755.4032341403
40 4.8997175955
128 3.9764332954
309 2.6693516485
835 1.4858850479
4304 1.2550466197
4686 0.8887429163
7261 0.7028176210
11207 0.6681061832
13997 0.5412842302
14051 0.1494878695
15372 0.0101416231
18365 0.0048149218
21385 0.0015470764
24665 0.0001394605
27657 0.0000111775
30140 0.0081865874
evaluations raw_y
1 7259.0879762032
2 2.7874787951
71 1.5933522775
329 1.3780570099
423 0.8268562944
14676 0.7941042510
26646 0.7916089924
29222 0.7915869775
29626 0.7910870320
29780 0.7904658499
30140 0.9118710523
evaluations raw_y
1 13561.2669820723
2 8266.0655445249
3 575.3059564194
28 4.5061093202
51 3.6882356224
112 3.6529271347
186 3.1198409939
297 3.0594208951
313 3.0449653184
475 2.0878708356
1614 1.5101228779
2325 1.2438002666
3352 1.2097805860
5468 1.1832642990
7260 0.7889716851
9125 0.6945738986
9481 0.2009764511
9968 0.1915567845
12240 0.0637290200
14762 0.0237945583
18489 0.0126284775
19998 0.0111944690
20305 0.0109232958
21031 0.0074005058
21139 0.0024488184
21994 0.0014132190
23705 0.0013334011
24112 0.0004152345
24435 0.0003610050
26361 0.0001632980
27338 0.0000802515
27608 0.0000229944
28824 0.0000211277
29081 0.0000182474
29107 0.0000138083
29735 0.0000123236
30140 0.0019528847
evaluations raw_y
1 152987.1992378520
2 92334.1071769638
3 12436.3159190006
6 1799.5176412753
8 707.9611775631
13 569.8436239834
71 449.2566295920
100 57.6110478673
101 4.8346832034
109 4.3995901096
243 3.0217688066
316 2.8504730129
561 1.9473554159
1040 1.4884778995
1419 1.1659103306
4751 0.5911439309
11172 0.5755010035
14376 0.3933449083
15858 0.1144908341
18191 0.0764505217
18550 0.0661991678
18637 0.0129280673
23834 0.0106867080
25065 0.0081372494
25464 0.0076389155
25810 0.0070527213
25825 0.0044983035
26289 0.0039272547
26728 0.0017294326
26805 0.0005894481
26936 0.0003912358
28430 0.0002289379
28548 0.0000812092
30140 0.0220902430
evaluations raw_y
1 26963.1068281677
2 2710.2516759958
10 111.9326444018
33 5.7902347989
44 2.9703449856
348 2.9365440462
406 1.1234078060
4292 0.9809402364
5180 0.3816351303
8834 0.2049940393
11126 0.1379542209
13509 0.0713459845
15635 0.0211313682
17312 0.0133157837
18726 0.0033677985
20143 0.0014365931
21772 0.0011024010
23578 0.0006759436
24138 0.0004083185
25902 0.0003712724
26230 0.0002544034
26867 0.0001067306
27072 0.0000682382
29216 0.0000462360
29222 0.0000212386
30045 0.0000033277
30140 0.0010630061
evaluations raw_y
1 41497.9974684481
8 15064.2161301312
14 5561.5906495344
43 1278.8250261036
283 4.5208947760
349 2.2589686839
622 2.1086869928
1915 1.7551219644
2302 1.5338873214
2728 1.3964540815
4597 1.1384902173
4812 0.9193140008
6374 0.8531933822
8808 0.5964788000
10618 0.5862580678
11645 0.4618297346
13466 0.1268309395
16164 0.1156341573
16835 0.0873409285
20935 0.0855410504
22262 0.0211418470
25711 0.0112736887
26309 0.0086844099
27106 0.0005054664
28990 0.0004972527
29105 0.0002703936
30140 0.0262533597
