evaluations raw_y
1 54.8988749167
3 17.6466113253
7 14.6121377265
8 11.5240076620
18 7.9614742577
24 7.9381214370
29 7.8485550001
30 7.6498999624
36 1.9232746034
75 1.6809355477
1894 1.6635200670
3002 1.6496595851
3083 1.6295566752
3815 1.6140046016
4447 1.6092142853
4479 1.6052718755
4984 1.5840756252
5040 1.5769528554
5408 1.5759169257
5620 1.5695683587
5916 1.5660665736
7025 1.5655526919
7086 1.5650520579
7162 1.5647297729
7522 1.5641725893
7641 1.5639506891
7957 1.5634106108
9763 1.5633670253
9832 1.5632715743
9948 1.5630259122
13355 1.5630195041
14473 1.5630109419
14834 1.5630109414
19135 1.5630099221
20890 1.5630099095
23538 1.5630098663
24959 1.5630098599
27351 1.5630098576
30140 1.5630098763
evaluations raw_y
1 23.1344447317
3 22.6210066240
7 20.2010215354
23 16.6653783779
25 12.1823767155
43 7.6374364723
61 5.9859758848
137 4.1725006539
411 2.5660281342
484 2.0051747126
592 1.9779220971
909 0.1251939999
2035 0.0929611176
3550 0.0400364126
9280 0.0012814612
13249 0.0010145573
13284 0.0007387990
13338 0.0002336767
13672 0.0000036027
16526 0.0000032915
16868 0.0000005281
18191 0.0000002343
18965 0.0000001560
19043 0.0000000515
19053 0.0000000076
21596 0.0000000070
21992 0.0000000003
23447 0.0000000000
26623 0.0000000000
27841 0.0000000000
28171 0.0000000000
29184 0.0000000000
29378 0.0000000000
29531 0.0000000000
29669 0.0000000000
29828 0.0000000000
30044 0.0000000000
30140 0.0000000001
evaluations raw_y
1 65.1298525210
2 15.4734155794
7 13.3841752037
33 10.2305640105
35 7.1390713400
45 5.3408160020
79 4.2209596851
98 3.6448934329
224 3.3013129559
299 1.4199330154
945 0.7020641933
952 0.4489532284
1113 0.2697216862
1269 0.0144114765
3582 0.0044049530
4258 0.0002631955
4361 0.0000072336
9556 0.0000028003
10815 0.0000007839
11489 0.0000000448
13581 0.0000000027
15695 0.0000000004
18170 0.0000000004
18534 0.0000000001
18579 0.0000000001
19051 0.0000000000
19682 0.0000000000
20143 0.0000000000
21772 0.0000000000
22769 0.0000000000
29064 0.0000000000
evaluations raw_y
1 43.8455561485
3 23.2283762424
8 19.6793433234
9 10.7316440993
32 9.8244783810
68 7.6657750541
89 2.4827583939
336 1.9796077073
510 1.8864372064
987 1.6326118700
2358 0.8752877606
3942 0.7148610824
30140 0.9302469445
evaluations raw_y
1 39.5474541895
2 25.1156141657
4 18.7397967311
9 18.4921335300
13 8.2251045617
22 6.9405695326
25 0.5625367723
30 0.0475914455
239 0.0198345133
473 0.0031638402
1925 0.0005604130
5068 0.0004488168
5117 0.0000009858
5804 0.0000005459
8139 0.0000000115
11702 0.0000000044
12087 0.0000000022
12992 0.0000000012
15124 0.0000000009
15562 0.0000000001
16152 0.0000000001
16393 0.0000000001
16789 0.0000000001
17169 0.0000000000
19197 0.0000000000
19407 0.0000000000
20220 0.0000000000
20551 0.0000000000
20983 0.0000000000
30140 0.0000000000
evaluations raw_y
1 28.0665359938
10 15.4834200064
12 13.9560593907
16 4.3613369940
44 2.7648281303
477 2.1245077977
1799 1.8992425138
1835 1.6783141538
2768 1.6778942075
3026 1.1245698247
4898 0.7034971086
6228 0.6984475922
13163 0.6958292576
13581 0.6920305986
18320 0.6919934087
18579 0.6919484659
18775 0.6919353106
18875 0.6919139624
19051 0.6919044905
19524 0.6918710962
20143 0.6918583156
22769 0.6918582350
24033 0.6918570019
27072 0.6918569660
29222 0.6918569298
30140 0.6918577135
evaluations raw_y
1 19.5570073920
2 18.2080900262
5 8.7163128667
14 1.7994411929
1678 1.7172865983
2912 0.5991287295
2968 0.4499822018
3113 0.0145294129
3968 0.0023854981
5051 0.0021097765
5245 0.0002949070
8004 0.0000732543
10641 0.0000246214
12142 0.0000244429
12425 0.0000066201
13440 0.0000060210
14743 0.0000000102
18821 0.0000000013
19664 0.0000000003
20191 0.0000000003
20637 0.0000000001
20764 0.0000000001
21431 0.0000000000
25622 0.0000000000
30140 0.0000000000
evaluations raw_y
1 20.1366779926
4 9.2946484264
6 7.4999758738
9 7.4017175545
10 4.4487125732
78 4.2225115328
81 3.8041642884
96 2.1667179183
592 2.1618999186
601 2.0843087194
865 1.9694450196
889 1.4857284507
1248 1.1915604319
30140 1.2452556138
evaluations raw_y
1 66.3294804535
3 9.9512316504
9 5.3503885810
17 3.0463635548
52 2.3269302945
85 0.5954205717
496 0.5089912629
644 0.3597008494
931 0.1638261737
1352 0.1608107091
2399 0.0022711091
5347 0.0000068520
10730 0.0000034788
12445 0.0000001065
14466 0.0000000361
15227 0.0000000242
15410 0.0000000005
16275 0.0000000001
18103 0.0000000001
18245 0.0000000000
19744 0.0000000000
24589 0.0000000000
30140 0.0000000000
evaluations raw_y
1 27.9059657237
3 22.6675833636
5 11.5286117262
8 9.7516989228
16 7.3559298026
49 2.2281433598
78 1.9907235287
220 1.9783021712
469 1.7557575401
745 1.7384460496
826 1.4673790823
873 1.2034473829
1189 0.0645898809
1802 0.0587810663
3029 0.0571066762
3922 0.0114916771
4115 0.0068840347
4261 0.0025543620
4442 0.0008521668
4870 0.0000962408
9966 0.0000253981
10593 0.0000091287
11012 0.0000015616
11937 0.0000006550
12224 0.0000001867
13469 0.0000000564
13857 0.0000000010
15534 0.0000000005
17177 0.0000000002
18227 0.0000000000
20479 0.0000000000
20756 0.0000000000
23258 0.0000000000
23972 0.0000000000
29602 0.0000000000
evaluations raw_y
1 37.2491205263
2 9.8683118654
14 4.9967491127
23 2.0034373738
35 0.7670995385
84 0.7129552876
1121 0.6630634627
1322 0.5196042681
1686 0.0219424998
3068 0.0167361632
3152 0.0090562013
5641 0.0004697996
6017 0.0002248472
8064 0.0002085861
10198 0.0000906780
10389 0.0000100791
11091 0.0000002154
14041 0.0000002021
14151 0.0000001525
14594 0.0000000120
14688 0.0000000040
15763 0.0000000004
17953 0.0000000003
18086 0.0000000002
18377 0.0000000000
20106 0.0000000000
20833 0.0000000000
22020 0.0000000000
22755 0.0000000000
23573 0.0000000000
24126 0.0000000000
29871 0.0000000000
evaluations raw_y
1 24.8752688570
3 2.1973302123
4 2.1705768573
15 0.0152058300
1025 0.0136262365
1283 0.0031712094
2733 0.0001008637
6167 0.0000165307
10745 0.0000024273
11034 0.0000011456
13026 0.0000001575
15249 0.0000001454
15257 0.0000000085
18093 0.0000000000
19968 0.0000000000
20796 0.0000000000
30140 0.0000000000
evaluations raw_y
1 18.9579982160
2 18.7966872867
5 3.7674370979
9 2.2620056623
22 2.0738704572
49 0.2196267179
2536 0.1472274864
2836 0.1304996733
3029 0.0005439057
5754 0.0005426020
6661 0.0004486648
6796 0.0002283815
8056 0.0001639190
8700 0.0000307009
9153 0.0000021006
10585 0.0000005980
11526 0.0000004062
12643 0.0000001008
13687 0.0000000133
14687 0.0000000113
15383 0.0000000037
15777 0.0000000009
17353 0.0000000003
18115 0.0000000000
18356 0.0000000000
20349 0.0000000000
21010 0.0000000000
23768 0.0000000000
24761 0.0000000000
30140 0.0000000000
evaluations raw_y
1 30.9566109380
2 19.6682051155
11 10.2529640717
20 9.1219515830
28 6.0418350841
106 5.5704898099
112 3.1860389121
275 2.7060612752
283 1.9707987782
416 1.1878118070
980 0.0059217955
2022 0.0013351332
6179 0.0004017650
6410 0.0000631932
8397 0.0000404416
10386 0.0000371072
12143 0.0000066365
13156 0.0000017570
14264 0.0000014039
14474 0.0000009314
15638 0.0000004706
15677 0.0000001601
16172 0.0000000657
16544 0.0000000466
16809 0.0000000140
17502 0.0000000003
20501 0.0000000001
20853 0.0000000000
24103 0.0000000000
30140 0.0000000000
evaluations raw_y
1 23.1968154856
3 15.9367386729
4 10.2135312873
17 8.9280536757
21 8.0647609734
34 7.4175881035
42 4.4372763672
51 3.9450356050
55 2.0223658749
272 0.3197281083
908 0.0571662778
30140 0.9299986189
