evaluations raw_y
1 25.3312232353
2 19.3404636766
3 15.2927982182
12 9.5779144390
20 8.0536686622
46 4.8378239842
165 3.9638018330
389 3.9078568650
474 3.6681353407
616 3.3624674233
1229 3.2107644626
1433 2.0715041787
4274 1.5529055029
6858 1.5471465243
8457 1.5122238687
11833 1.5278821982
24637 0.9790602513
100083 13.6477660297
evaluations raw_y
1 7.2489739280
3 2.0489882319
452 2.9383343570
539 2.4546221919
1740 2.2551314557
2977 1.8425795078
14545 1.4118725111
37658 1.3697036250
98659 0.9193693307
100083 10.5849480707
evaluations raw_y
1 9.5655206088
5 4.0669443246
36 3.8650809587
157 1.9719105425
2438 1.8403192340
6539 1.6483224523
9731 1.7657256329
45528 1.5161720710
77189 1.4139388059
88654 1.3884584115
100083 11.0776244793
evaluations raw_y
1 12.9266978975
8 11.2816912867
11 4.0320875805
178 3.1720170555
187 3.5879631155
276 2.1485106129
16052 1.8266016783
26247 1.7995476003
31366 1.6035895208
60345 1.3042939656
100083 22.1259543166
evaluations raw_y
1 14.8841011607
4 12.2109031880
12 4.0191880335
26 2.4949572725
578 2.3918150524
722 1.1935711340
35608 1.6135433915
96104 1.5714568879
99436 1.5320513249
100083 28.4320114790
evaluations raw_y
1 17.9045663371
2 11.1918824316
14 3.8499723733
183 3.6267107604
540 3.1190764690
809 3.0167361355
2882 2.2255445054
3367 1.9868149075
15006 1.5660871041
22921 1.3771386203
22922 1.3322696392
32044 0.9660762908
50654 0.9439131922
100083 12.7726708757
evaluations raw_y
1 9.3491264294
11 7.8846411255
12 5.4031706619
20 6.3612395548
83 5.5081660353
95 5.0530233110
153 4.8946397500
676 3.9002794510
1153 3.3997600180
1234 3.2213294205
1396 2.3732412552
2866 2.3467231041
3924 2.1356675829
12990 1.6443668473
28081 1.2955578942
100083 26.9794177795
evaluations raw_y
1 17.0302667135
4 4.0766478340
16 4.6286297092
50 5.9386448932
353 3.9091012679
856 3.1057445484
1046 2.6067852654
1408 2.0972616301
3790 1.4007391835
20785 1.1640420665
74131 1.0850524170
100083 14.8078347801
evaluations raw_y
1 18.8590637864
3 10.4112148673
14 8.1070649073
40 7.9925345570
52 7.5641854920
62 6.0692300812
108 5.2125192665
245 4.0194536406
375 2.2292144472
2163 1.8783579086
30737 1.8525412352
31659 1.5419862841
62624 1.3789482624
100083 9.3801244323
evaluations raw_y
1 18.9455419732
3 14.2992874882
4 6.3454552594
12 4.2184198578
80 4.7113905456
609 4.2060584119
788 2.7057435083
3553 2.1540680267
6440 1.6118801842
19063 1.3170215565
100083 15.8983213714
evaluations raw_y
1 35.2942408398
2 16.1423217164
4 2.4196268344
75 3.1702631993
699 2.9739034155
1799 2.8814756201
5158 2.6453492304
7088 2.0079332870
16311 1.1695312649
100083 21.0752516505
evaluations raw_y
1 21.6931305714
2 9.1720580711
13 8.7246980932
46 3.2331570941
108 3.5463081186
530 1.3309397908
41175 1.3127165602
100083 9.2110212821
evaluations raw_y
1 26.3895688210
2 23.9018015595
3 4.4616221671
39 6.4016025443
62 5.7274525982
106 6.8679804997
122 6.3732890543
129 3.5126794252
285 3.6095333127
1460 2.4957491029
1628 2.3155417990
7536 1.9293510710
9986 1.5922052417
12611 1.5365506374
52891 1.3392573150
55212 1.3033371566
56349 1.1049808738
57100 1.1600544010
100083 8.3257048273
evaluations raw_y
1 13.0100537192
2 11.8616184222
7 9.6889067602
13 8.7720762037
21 7.1670303879
41 6.3109416324
95 2.4101778350
192 3.8238424441
771 1.7517784966
13948 1.6382593794
17473 1.5041389391
21758 1.2662200109
51816 1.0637344339
100083 20.2277410240
evaluations raw_y
1 11.2828175253
6 4.5086236938
129 2.4434258847
287 3.2873966717
800 2.6283494762
6212 1.9171272771
18967 1.8405815778
25121 1.5582196912
48357 1.2106178106
53941 0.8559082953
100083 26.0470019423
