evaluations raw_y
1 42427.0342821315
2 357.0623490986
4 69.3862980441
28 69.2858345701
115 62.0086038892
148 59.5034852606
188 45.5959507936
321 37.6803750941
678 31.3542676175
1938 24.9125580515
2753 23.0267003224
5391 19.2756501333
5915 13.5404113500
9539 12.3152537834
14290 10.7409482900
19129 10.7376157321
22586 9.4798891648
30102 8.1482524269
36323 8.0271056018
41843 6.6346760893
50047 70.9325383599
evaluations raw_y
1 106.1157429350
19 53.2946150293
79 44.3767706521
471 43.0654528636
514 36.0690889643
542 35.7875558743
1324 35.2364824646
1620 29.3743480853
1914 28.4767600985
3275 28.2606689779
3559 23.5837159325
6517 17.3393336732
8894 16.2811345468
11462 15.7474939818
15614 13.3163663299
17352 10.6258224734
19999 9.8764558545
21670 9.4084374025
31546 8.8308192216
35441 7.5952268457
50047 63.6952912907
evaluations raw_y
1 41051.3633454415
4 34677.4415052346
8 186.8293983021
31 133.2684331851
69 77.5675385073
340 59.2547419923
366 46.3090239829
864 41.6578300265
1736 40.4078122450
3705 31.4017289841
5461 29.9381565058
6006 29.2838462463
6614 26.7260630690
8070 25.6025271200
8623 25.4021804286
8921 24.9848335426
9204 24.6231031424
9986 22.3716391661
10007 20.3568115896
10615 19.7461806853
12488 19.1785169161
13546 16.1233195137
13606 13.7532771124
18356 13.3881694712
18767 10.2298308201
19821 9.5302282360
25736 9.2012732137
30124 7.9900430021
50047 63.8708757891
evaluations raw_y
1 164.6989414448
2 95.6307281419
3 72.4121318347
7 68.5510067278
13 54.9161560863
23 34.1209658578
169 33.3495742719
1376 25.3016992538
1761 19.4106372554
4968 17.2169922713
6893 12.1076674735
9443 10.6387154797
15491 9.4258486977
17035 8.5681030141
31688 7.0911226204
50047 49.8308553531
evaluations raw_y
1 116.4944081057
2 79.4015203002
18 68.9240783129
19 65.3323577532
24 57.4907912740
62 48.3636715972
240 45.3409491922
344 42.9077395319
580 40.8536497548
581 36.8969438047
784 30.7097440605
1046 18.6697968303
5534 15.8983901461
8164 12.9420415099
10134 12.7342701289
11269 11.0530353325
16965 10.8419619089
21788 8.4073168913
26599 8.1891821428
50047 42.5652759329
evaluations raw_y
1 41074.7440785285
4 34663.3445835381
8 252.0860271153
29 146.7979754183
31 93.3511545495
69 35.6328829744
860 20.3980641812
7636 16.6571303671
12633 13.0366825092
20766 12.0324401809
22324 11.3952791334
22546 10.8661736488
23965 8.7659126794
25757 7.5647702143
37931 7.4838147235
38157 7.4821541001
50047 66.9040537038
evaluations raw_y
1 212.5664483300
3 111.3812575642
6 83.3516173386
15 76.5370391132
22 75.7352839828
26 70.3862429301
31 63.8715608088
51 53.5622106573
53 50.4723741613
186 48.5331117522
292 47.2479261746
295 46.5158411547
370 36.4379931957
1120 32.5253708005
2020 24.0427362356
4136 19.6521499879
4303 17.2701553590
4651 17.0327762667
6205 15.6025776963
7985 15.4792501042
10375 14.0250076756
11102 11.2100849034
13132 10.1599542634
14563 8.8149200361
21976 8.4891266234
49623 8.0420313133
50047 67.2414627308
evaluations raw_y
1 40133.4533343776
3 6442.1007117896
4 166.4258823706
6 131.5036724248
8 130.5170228963
10 125.3802415899
11 51.9128861666
304 41.0268919239
423 40.2716704057
698 37.1987305293
1780 24.1897527296
3628 16.1077763798
5125 15.5585199545
6840 14.4139049210
9541 13.7651074303
9997 10.8294389866
19542 10.2517373602
29341 9.3596321212
40959 8.9492932646
42338 8.7671812273
43188 7.7500001480
50047 81.2002076985
evaluations raw_y
1 6246.4959107570
6 170.9665511638
9 164.3555443678
11 111.9094812116
15 87.6503943262
27 72.2366870583
331 69.4219596641
341 58.1236940227
357 51.0441057796
556 48.3712186405
