evaluations raw_y
1 29397501.4836938120
2 16751107.3262614924
5 14492015.5212595351
7 10318345.3980852794
8 7397871.3380419370
11 2102396.8538147765
38 1091939.9390463659
455 881800.0435699708
955 768015.6756118068
986 542246.9957560737
1329 512091.8838655000
1459 407381.6120127140
2507 393019.2288886436
5918 317957.2461972314
10373 312658.0160745755
10555 226217.7886727912
13291 151079.9975805704
13578 125945.5652200282
14685 106213.7218035610
21123 92690.0242408184
21528 78310.5491649971
21837 64122.7687371921
25623 62149.9115052418
26204 54971.8356890905
28228 38743.0611684810
31939 38042.4007117559
32043 32283.9358281337
33454 22066.4219718698
33628 20106.3064011243
40571 16175.2522355016
41920 11145.0370863931
44116 8825.1061008300
50423 8006.6518569584
52489 7251.0174745256
53914 6640.1199533880
56235 6031.7477889215
58482 5509.4996495702
63577 5440.2409453323
64044 4932.8160698104
67460 4872.9014624026
68801 4605.4829189888
70226 4079.7479528933
74136 4060.9450190031
74399 3871.6230206922
76294 3510.8679660167
76614 3492.6463885239
77046 3490.8139897261
77998 3390.5821092326
79173 3045.5301431398
81426 2978.0046847691
81974 2777.6912525931
82514 2714.4018184964
84508 2509.2458434579
85381 2498.2371681940
87376 2458.7762271696
89521 1895.2802187836
94271 1667.1625903321
97242 1632.9436171038
97505 1521.0343514420
98099 1260.9050438439
100267 1228.8618775929
101284 1056.5816167331
101826 681.4354466068
104917 621.8108603173
107401 455.2364561968
109116 444.8284784031
112537 435.7032880700
113720 377.2825899903
114262 299.6671663827
116298 295.6126839791
119352 294.2582801700
119482 287.5678581065
120435 269.6580350584
120475 231.9527808851
122464 214.2662980444
123873 206.7465914037
125187 201.6794056724
128005 179.3397774649
128336 177.9455128352
132839 171.5613924488
136398 161.7201223171
137994 152.9678917611
139171 149.5290524723
145252 137.3780870947
145821 110.8869034886
146225 104.5822512860
147193 99.6745131825
148047 97.4983681810
148333 79.1330200596
149340 65.2559096613
150239 61.7021449792
152053 53.3852569611
152726 53.3331182762
152977 47.9117250412
154047 45.6845086388
154739 38.4234740881
155514 31.5622419973
157136 29.0180890507
159061 25.5462457615
163643 22.0013741246
164181 21.1462348946
164754 20.5495783918
165135 19.9118461874
166166 18.7885250077
166340 18.6404223211
169718 17.9215214473
171737 17.3991691897
173044 13.7130243142
179738 13.5820278282
183038 9.0007097334
184183 8.9957282836
185591 8.8271333210
186394 8.2456005473
187541 6.4370181613
189007 5.9180095143
189618 4.9346970062
192220 4.8384572829
192929 4.7304501682
193017 4.3819647618
194562 4.2460964525
194971 4.0920939579
197418 4.0368850491
198467 3.8848445359
199424 3.5965782064
199819 3.4662246291
200152 5.4336771937
evaluations raw_y
1 47980604.5179086179
2 23017692.7020323463
5 22170182.1776171401
7 6708998.5439526942
21 4450016.8474575877
29 4233752.1116254469
77 4086870.4716340303
128 3759186.1488931901
211 2031388.6000241158
234 1663964.4266679902
258 1463000.3340189396
315 1169509.0310329581
489 1166105.7795170625
603 1003117.7923948166
727 977517.7803306456
835 512798.2378981997
4358 377043.3794596058
8453 314370.3030766867
10717 200208.1571051632
12385 124479.1103375017
14685 109082.0468862782
17739 65935.3891183852
21441 53260.5606944203
25332 51622.9303832887
26194 43094.4024511662
26451 41503.0785311787
26692 28741.3655969762
27723 23909.0579428901
31967 23883.7901347990
32601 23755.4428778717
33600 22983.3946032785
33628 22526.9765751846
33746 19926.4846378482
33917 19446.2460659116
34226 15134.7846507449
36399 14376.9918486037
41920 12257.8124467349
42134 10496.4259432184
44205 9586.3671423809
49796 6340.0987434205
52489 5900.6550658054
56860 5858.4378231215
