evaluations raw_y
1 460.1082956830
2 262.3564670210
3 239.5183451040
4 108.5347390892
15 60.3807413235
56 32.5717921479
285 32.5029911130
476 27.5688168175
893 27.1287964276
938 24.8723499068
3176 20.2758732667
5440 18.3576008886
5455 15.9783540795
5485 15.5917732419
7650 11.2944746158
8636 10.3087386601
10952 9.8506416753
12901 9.2819587923
13434 6.4605203481
13502 5.5760683065
14350 5.4941276751
24218 4.5283318060
24567 4.0894825025
25564 3.1153620156
33670 3.0846398737
36914 3.0323482458
37422 3.0250211567
38864 3.0236773862
39602 3.0197125332
39673 3.0096227501
39822 3.0070731158
39883 2.9950749970
40708 2.9928948754
41165 2.9913032211
43005 2.9896928039
43058 2.9879893362
43898 2.9875437731
46014 2.9875141694
46095 2.9863463032
46351 2.9862317424
46531 2.9855837877
47603 2.9853508227
47774 2.9851582599
48468 2.9851528815
50047 2.9921498183
evaluations raw_y
1 127.1813522042
9 124.7746428938
14 117.4381498866
30 98.4924808228
41 62.4530344896
49 57.3564692559
57 57.0725713364
74 54.6727733866
307 53.5502260863
320 50.3311507639
425 48.2608184878
464 42.4896244619
525 32.4475038281
3140 30.3998643543
3253 23.6524179174
3936 20.4909425467
4419 20.2017237416
4498 16.3018711583
7332 14.2186861788
8433 14.0807624743
8653 10.9815887229
8737 8.7626086753
11444 6.2222031321
14043 5.4156578951
23535 5.2376790882
25466 2.9695140837
31128 2.3783641967
35680 2.1411870264
37049 2.0904689904
38760 2.0604421667
39704 2.0191897241
41307 2.0081922649
42103 2.0070045094
42210 1.9977171388
43282 1.9974965617
45069 1.9950982972
45134 1.9937188640
45370 1.9935280004
46917 1.9932259430
46921 1.9913917649
47400 1.9905639699
47775 1.9905088859
50047 2.0089394562
evaluations raw_y
1 261.0565961635
6 237.2396347036
7 156.5984291710
14 137.0235790662
21 135.3775597871
49 121.8413605689
70 116.7729809811
71 104.2201867986
96 74.8762699972
403 55.1554173870
606 50.5439961808
889 49.4513707953
941 31.6509684284
2752 27.1819769975
3416 23.8507001958
5698 15.1205324358
10291 13.9513084993
10382 9.7938522699
12313 7.2516368819
13903 5.3927795539
19583 2.9881574594
46532 2.9867660028
46921 2.9867092771
47400 2.9853138672
50047 2.9990936592
evaluations raw_y
1 960.4375264540
2 719.2472327714
3 598.2247584386
4 188.4474448578
10 151.6082002453
19 133.4206325485
35 73.9216918451
122 57.3783555525
132 51.1960008637
408 39.4233710492
620 37.1884401633
906 33.6142187453
2782 25.8057997527
5370 15.1447026539
9047 14.7414924250
9424 11.9480182082
9479 7.8397425847
12358 6.3907187671
19680 5.8943522680
25702 5.3123478404
26426 4.9262304083
27456 4.6464503119
27726 4.5042765951
27778 4.3237908636
28970 3.8594082303
29623 3.7527250131
29847 3.6872558214
30616 3.3134246244
31425 3.3084436339
32319 3.2701310785
32844 3.2336661006
33111 3.2009145861
33128 3.1857956509
33141 3.1525062077
33670 3.1183919259
34140 3.1086008623
34361 2.9982139622
37422 2.9897232606
39673 2.9886428125
39883 2.9864747072
40708 2.9858119711
42668 2.9857024609
43898 2.9855171507
44624 2.9855127633
45436 2.9855006003
45478 2.9852967754
46095 2.9851860522
46351 2.9851762429
46531 2.9850328713
47556 2.9850272688
47774 2.9849641520
47967 2.9849446410
49391 2.9849399763
50047 2.9864588424
evaluations raw_y
1 564.4328767820
5 448.8803430702
9 322.2189070391
10 308.2242643664
24 249.7009661026
25 246.4808209847
32 182.5753030033
58 174.0862960559
359 150.6857415643
361 138.0425154739
390 82.6441729815
557 68.1066532857
652 52.6466319711
703 46.6578757969
1643 43.2947683331
2080 39.8930336596
4994 15.9669252785
7427 15.2023394727
7573 11.1285028617
11223 10.4897143613
14805 9.0578517797
15307 8.4101184851
15437 5.5955277399
35393 5.5020988722
