evaluations raw_y
1 978.7758855280
2 601.8892608214
6 629.5403466419
8 622.4739307806
21 575.7547400364
23 477.4112143071
24 524.1888503237
28 477.3299088536
112 431.9201888660
321 427.0743430732
338 393.7564910830
380 382.8608981376
384 360.7323605834
397 335.2551076867
414 308.8193446447
512 298.8493164590
654 256.2549665318
884 249.2473147286
1573 244.9229633479
1717 207.0175302161
4306 202.1519483765
4884 165.0619062003
7156 157.6796000912
7163 128.3636677786
9793 127.1465520729
10843 89.7569880407
12624 72.0913411334
18029 59.5080637979
18183 53.0784649859
20003 47.6730244204
26096 44.8677918653
26289 40.1550477498
30159 38.3949331006
34749 33.0980750526
37166 27.6265809031
40926 25.0960006483
44528 24.2748333166
47240 23.2417128290
47749 12.7773917967
52149 11.8928594868
56601 10.7280711870
57004 10.7071763994
57626 9.6639480269
58005 9.6297448558
58539 8.5859027632
59702 8.5451975014
60843 8.2723988835
61404 8.2663378688
61918 7.7781147660
62391 7.6685531443
63447 7.5673826066
64413 7.5532789844
64531 7.5307359676
64581 7.3254797094
66040 7.2936524366
67794 7.2783901827
68139 7.2263532144
68448 7.2098202732
68495 7.0993232050
68591 7.0928698498
69797 7.0790571546
69971 7.0536772312
70067 7.0478333513
70190 7.0076133078
70992 6.9938551346
73775 6.9873804343
74253 6.9827469158
76293 6.9784943470
77347 6.9759830030
77848 6.9757350501
78344 6.9750886285
78862 6.9747365630
78968 6.9742939740
79051 6.9742187932
79345 6.9732062798
79685 6.9677373023
81714 6.9674863460
82016 6.9674159182
82123 6.9660424758
82952 6.9655080034
84238 6.9650755866
88900 6.9649817502
89203 6.9649654708
89495 6.9649111416
90448 6.9648209501
91381 6.9647881613
91986 6.9647852362
93366 6.9647831900
93793 6.9647597755
94135 6.9647556095
94763 6.9647501451
95781 6.9647455111
96124 6.9647409709
96451 6.9647264211
99062 6.9647248280
99465 6.9647235177
99982 6.9647187703
100083 6.9647471347
evaluations raw_y
1 2295.4952276047
2 1009.2381641357
3 990.9350069605
4 887.9530284383
6 658.3350948647
16 624.4215020799
98 520.3094028925
100 476.3250200741
116 400.3507826803
300 374.0958751048
406 373.7399040088
587 363.5980767450
638 357.0331035421
697 333.9533695847
705 279.7504083113
1029 260.9450361184
1944 245.8889321795
2138 201.7696517813
4085 190.7322071843
5363 187.1412602986
5794 154.9741294916
6560 151.6124097307
7653 146.9684828330
7838 132.4228803289
9606 125.3095843471
10526 117.6562829647
11286 114.3219686342
11578 96.2784952587
12615 91.7247302890
13338 78.0044123370
14875 71.3010347706
16066 69.4035685990
16389 67.9788780204
16680 61.9899415774
17436 60.3803184026
18522 56.1913590501
21383 51.7048165511
22237 49.8585537614
22688 47.6805584632
24832 34.7797555796
33201 28.1649688633
34392 24.5154145520
49552 23.3641127853
49763 22.9340127739
49859 21.0042651386
50740 18.9019307463
53317 16.9715944294
53509 14.5061908850
53940 13.1349424440
56270 12.2840306407
56567 12.2416886959
57267 12.1950018779
57619 11.9792631301
58569 9.3903331773
60028 9.3884539703
61753 9.3639601969
62350 8.7967958241
63518 7.9835149466
64456 7.8845387621
66020 7.7999922907
66819 7.7022482464
67092 7.7000755576
67496 7.6059909599
68586 7.5621602467
68591 7.4426757788
68707 7.3381888744
70190 7.0820609138
70992 7.0515084822
75252 7.0360854694
75387 7.0337431791
77394 7.0252236981
