evaluations raw_y
1 443.8120725766
12 337.2187647077
35 337.2028694105
42 314.7476516643
61 312.1869029014
289 294.9056629717
296 290.8443732506
314 283.1266374935
324 272.9545682872
341 260.6544832909
407 244.6232653210
560 212.9429028733
570 201.2461615361
595 191.5327675171
705 177.7757156286
834 148.7748488532
838 143.9783098926
942 138.2075806786
1052 128.6384740448
1110 116.5006098456
1111 98.6471172907
1158 98.0180839141
1174 76.4614977698
1378 69.0187797735
1379 66.9275877425
1664 59.7060262202
1697 18.6246072249
2390 10.3038014272
2837 4.5572568440
3902 0.0000000000
32090 917594.5222610573
evaluations raw_y
1 390.2235098498
2 303.1270705362
13 297.5556608028
15 288.4711313012
25 256.8370520141
56 256.3357541824
70 235.4747261967
292 231.6313182026
293 215.8025072611
349 194.0712112643
353 168.4722587127
445 156.8956775272
567 142.2404901874
679 132.8861604262
829 122.9882232956
837 99.1499950099
1110 87.9874003000
1175 75.7930987622
1228 69.9184254046
1477 69.6840713306
1662 53.9151784204
1813 53.4762739433
1817 45.8560080185
1959 36.4302857238
1979 23.4154022649
2181 23.0100703730
2734 9.9748123159
2895 1.2071006516
3637 0.0000000000
32119 364200.6326881102
evaluations raw_y
1 417.5250706776
2 361.6181338585
14 347.8710037650
19 325.4579222275
21 307.2097094986
48 294.4325875184
82 283.8490995753
290 259.6608544273
298 259.2656702225
318 239.8690182328
556 224.1797132113
614 205.3689442058
622 184.5469167434
861 184.4563938811
873 172.7992752166
875 149.6545655772
1088 148.8138289473
1121 136.8601734166
1124 129.2218739202
1130 117.9605423638
1139 113.3437164655
1174 107.6440009478
1367 98.3537087569
1378 97.0413166193
1387 87.4755515677
1433 85.2918584805
1462 84.1035910323
1488 67.7900104444
1675 49.7710538178
1740 43.4647024812
1872 37.1128144817
1908 34.8030208137
2229 34.4484681771
2331 34.2005051739
2657 32.6624486196
2770 18.4134341207
2866 16.6373826351
3035 13.4584894472
3065 5.9905560485
3970 0.0000000000
32129 64619.6540822340
evaluations raw_y
1 486.5110432546
2 440.1060155019
4 382.7183165936
5 343.7609784789
11 322.8118667159
13 308.5951839730
28 274.7560589015
39 254.0359382961
58 231.9861076435
328 208.9119978384
377 190.8678659567
611 147.0356928473
824 139.7029736924
831 111.3649950303
871 105.9683915625
1125 90.5548460775
1413 87.0654450529
1435 82.8794396904
1535 81.8944330456
1544 74.1040847694
1566 58.7448123472
1672 47.5863638201
2040 32.5445704521
2275 31.7004665247
2643 14.8623743751
2711 6.7987910215
2878 5.7271772541
6128 0.0000000000
32119 337991.1314106407
evaluations raw_y
1 462.7530454159
2 300.9941797700
13 273.6107786602
25 255.2373273870
106 242.6899286177
237 222.6413620046
295 221.8128337710
300 210.3350222608
309 208.0045842463
331 205.8018030688
560 164.4067050401
568 159.4199685148
824 159.1048444294
827 119.1061510554
870 118.2720460262
874 100.3306347254
1103 94.5536374277
1104 91.6423064871
1150 69.5580640952
1347 67.2263092790
1409 47.5189998485
1661 39.8808399376
1702 35.8535655810
1949 30.9422642738
1974 27.0165017702
2032 20.1604169096
2264 18.7418431292
2350 0.0000000000
33657 974772.0629410319
evaluations raw_y
1 504.7203581926
2 406.5286404604
8 365.3380159961
13 362.7204159156
31 359.6716543528
32 339.4690047343
125 292.6989840281
286 288.2683809038
310 286.8039677843
311 251.2082058335
562 233.1915616596
594 225.0208133862
646 220.1368792413
668 182.0903316549
850 152.3880414375
969 132.3903829540
1002 124.6584039884
1377 93.6736721474
1430 82.9766324512
1648 77.8583594829
1794 73.5593174058
1966 65.4595085464
2146 33.8108670519
2525 25.0766252087
3085 0.0000000000
32130 254482.7545465858
evaluations raw_y
1 375.5831703447
5 371.8992828256
10 367.0201999547
11 351.1042410337
