evaluations raw_y
1 1354874.7291803698
2 1009191.6130557144
13 930842.6408912413
19 727042.5583622437
24 665529.7345951741
30 546950.5249124732
151 512050.1413893648
156 319273.1037114061
365 313989.2194067751
385 304198.1330402344
569 298956.2128372397
602 275928.1208177529
626 219507.0168240856
647 120424.8091603811
981 96112.0278029337
1675 12090.2182174793
17653 11601.7834471290
17858 11103.2934941480
19380 2246.0157856100
32119 4321027841230.7944335938
evaluations raw_y
1 592150.9396968529
2 201152.3556176869
36 190963.8584144876
120 112779.0439475617
318 67442.8712088548
350 38089.4184043039
610 33560.6165939199
768 26378.3656855529
843 4258.3240712341
914 2563.6685989311
1249 883.9301254291
32164 9269036.1187591627
evaluations raw_y
1 1478871.9518955299
3 630280.4907446228
7 599600.7788834975
16 571928.1810675960
46 293596.1158967214
59 169279.1332466635
311 123396.1951723761
434 114391.3338328296
567 86863.6594795660
603 21376.6228118320
875 6172.1012226562
937 1853.7968469694
1204 691.6241903556
32123 4286743.3463787585
evaluations raw_y
1 1781327.8063412579
5 1703456.4293255657
9 698221.5971794616
21 609667.9940702849
24 576215.7598179829
184 572927.8131272271
287 490490.3776387944
298 456990.9177281604
307 428570.8396452150
323 358472.2114037682
352 342438.5339188818
393 205527.7357355646
567 121699.8860267624
573 115360.3536862421
831 83715.9803807371
893 59628.8657241831
1070 27332.2457215684
1280 12145.8182516720
1334 11826.2016642973
1458 11485.1518631171
1463 6198.5945941198
1775 1926.4566421970
1820 1254.6946480150
16396 702.3267662862
16716 657.8418630475
16877 444.3368590717
31661 440.1283514098
32092 78686.8057027170
evaluations raw_y
1 1086751.5208399561
2 950026.5441050533
3 431727.6520084675
16 397133.7296514990
20 318549.6553275167
28 189978.8405156902
35 175468.0663989233
265 129633.9036664016
297 106771.8115053106
405 70453.2910126283
536 66738.5862000217
571 64524.2532591008
740 64441.6601069568
752 49968.7112438548
847 16281.3297325985
1149 13684.8344254376
1302 7429.5269390614
1643 5251.8011838649
1911 4951.4555151128
2130 1340.4271082390
32060 709959.8279529701
evaluations raw_y
1 2604446.5540059404
2 1783695.2015307543
3 1388181.2934088346
7 1192805.1520697293
13 1090315.8833106519
16 1080930.9469299435
