evaluations raw_y
1 658.0281339735
2 161.5800099430
7 116.7284420845
8 108.5171772792
10 73.7461209214
12 60.9874196520
15 50.0640814980
99 40.8821292099
166 25.4488357995
641 20.3933953010
703 13.5850568805
744 6.3867459175
1046 4.5972931873
1099 2.7946359292
1162 1.4893015685
1825 1.4863191593
1997 0.9944696414
2503 0.8987608733
2680 0.3967629172
5045 0.1879641895
5450 0.0557043613
6239 0.0117477618
10448 0.0078892537
12315 0.0000000000
18573 0.0117477618
evaluations raw_y
1 145.2316679810
6 118.2437587392
8 104.9174777290
9 74.7464004673
14 60.1159282991
23 19.8046074209
28 18.0749806050
42 16.2877577714
45 9.5816945785
78 9.4660503724
89 7.9201974316
102 7.1765165937
138 3.5576162402
461 2.8916148656
881 0.6896882854
1472 0.6794780918
1885 0.6211247756
2580 0.5169279323
3045 0.1463291826
5248 0.0895348144
5449 0.0230147423
8377 0.0000000000
17228 0.0000000000
evaluations raw_y
1 556.0205832781
2 324.0438602070
3 37.8608613687
19 28.1546769911
31 24.0032097423
54 4.7179939827
389 1.3868654146
461 1.0656012815
742 0.1254657283
5045 0.0911036925
5282 0.0831173362
5450 0.0129020182
7821 0.0116631095
10746 0.0106560128
11040 0.0000000000
17766 0.0122653054
evaluations raw_y
1 4069.1168890079
2 391.2963968534
4 202.4964521102
7 43.2321629471
8 37.2422602529
10 7.3355694791
12 2.9287470429
13 2.5446586000
492 0.7713368633
1354 0.2907964376
3877 0.2258744105
4132 0.2182717413
4297 0.1415685542
4314 0.0499678074
4761 0.0147220418
7821 0.0128038568
8504 0.0032009642
9675 0.0000000000
16959 0.0608856651
evaluations raw_y
1 1817.9804166658
3 1210.8114283252
4 995.1924037713
12 227.7405251859
15 196.1755167271
19 185.5447955582
22 100.4617844815
68 92.9638148457
93 40.4421444849
123 14.2108547822
171 8.2981880934
528 6.9789460764
553 5.7728065087
1251 4.4767443571
1763 1.4432016272
3366 0.7754384529
4981 0.6015940197
5164 0.5478457950
6286 0.3140997324
7184 0.2474053205
7792 0.1703175268
8377 0.0054320907
12284 0.0000000000
19380 0.0517434421
evaluations raw_y
1 539.4587048705
2 124.5283767231
7 57.0439548219
8 29.1905390218
43 10.1473659043
70 9.0132485115
207 6.7746101829
268 6.5296579689
339 4.9462204291
440 4.0199554145
848 3.4399076775
1036 1.2211881128
2503 0.7527344648
3854 0.2991889542
4384 0.0276410713
6289 0.0104380440
9773 0.0000000000
17497 0.0636391139
evaluations raw_y
1 2548.3135655957
2 780.5021697994
4 596.5455799472
7 376.5147892614
8 159.9627922549
10 124.8032926671
12 60.3146965065
55 33.6597467605
72 9.9332513318
82 7.0977696773
126 5.5908944518
478 1.9955552750
1472 0.9270077264
1808 0.7890972057
2565 0.2770661019
4761 0.1552083844
5459 0.1483212362
6239 0.1394877829
6496 0.0342331549
6902 0.0196990744
7821 0.0092700773
10438 0.0067879465
11603 0.0000000000
16959 0.0067879465
evaluations raw_y
1 3224.1486680711
2 1979.7595705866
3 1142.3770300684
4 70.0393973885
8 61.3582478051
9 26.1019448089
20 23.7092861879
124 21.3648733146
172 5.5757303530
508 3.4274360914
1268 2.1274165651
1516 1.6916652430
1661 1.2119737770
1731 0.9935675175
2503 0.0591416862
6182 0.0588971045
6837 0.0498182157
6954 0.0207507110
9527 0.0171734550
9620 0.0134574922
9851 0.0055045908
10132 0.0000000000
17497 0.0505420758
evaluations raw_y
1 1868.5437588091
2 331.3577964826
7 259.7087343233
10 202.6110191864
14 76.6774955891
17 12.5339810502
85 5.0823814025
389 0.6400803345
1270 0.5627362791
2503 0.5121952827
2706 0.1675883029
5045 0.0466257773
6496 0.0129113949
8537 0.0087116297
8928 0.0051806419
9675 0.0000000000
17228 0.0000000000
evaluations raw_y
1 434.6815289086
2 105.0354731120
19 87.6185024223
32 56.7469933720
40 49.8119659568
53 39.6002768954
67 18.7828212906
372 14.6748514718
373 12.3645048065
440 10.3795069181
641 10.2323268318
957 8.8884333390
1032 6.0258675576
1235 1.0452046310
2509 0.9759525341
4314 0.2510709344
5723 0.2251301274
6239 0.0703693851
7656 0.0681845293
7821 0.0145271913
9527 0.0070156438
11674 0.0000000000
18304 0.0000000000
evaluations raw_y
1 1337.4718922100
2 628.4373865977
7 571.5814386314
8 429.3438836335
10 404.7755936774
12 348.1014949248
15 287.7506681194
56 102.5007528344
166 76.1841907765
371 2.3984710449
1385 1.9343153387
2969 1.6350296984
3877 0.2446562467
5045 0.2368570419
5450 0.1460120973
6239 0.0507957857
7821 0.0252233304
9773 0.0141212885
10961 0.0125619964
11336 0.0118745668
11988 0.0077977427
13204 0.0000000000
19380 0.0203839910
evaluations raw_y
1 9453.3852245970
2 2348.7671507901
4 1214.0386310377
7 855.3061508968
8 557.2661643157
10 412.4889089809
12 344.5878166871
15 222.0848575564
22 34.6821304049
126 30.2330293277
148 19.9349806229
178 13.3328683837
395 9.9551069699
500 8.1274250654
580 4.2978045823
921 2.4852065330
1294 1.1261401408
1913 0.5727819142
2369 0.4593284688
4276 0.4197773216
5157 0.2309217379
5279 0.1854699150
6239 0.0523184551
8878 0.0304720105
9527 0.0210697376
9681 0.0205185376
10132 0.0201196596
10448 0.0051296344
12360 0.0000000000
18573 0.0000000000
evaluations raw_y
1 26.1185483449
19 22.5642790743
20 8.0978938246
24 5.6326687132
77 4.7831559718
106 1.6456449469
325 0.3714052030
1091 0.1577405902
1312 0.1247704309
3045 0.1111723771
4981 0.0077981519
7170 0.0071692627
8377 0.0000000000
15345 0.0000000000
evaluations raw_y
1 207.5763316677
2 29.0631838908
7 15.1715722413
8 8.2557787535
41 7.6421198502
43 6.9888737464
73 1.5244632321
199 0.8154281391
551 0.6442201799
801 0.4357508437
1237 0.1625184118
3458 0.1537179261
3658 0.0864449280
3854 0.0609019223
4384 0.0572663428
4475 0.0468435262
5045 0.0134003794
5450 0.0067170506
7821 0.0000000000
15345 0.0000000000
evaluations raw_y
1 1000.8261006098
2 212.2562919735
7 83.8812545802
8 40.7928085067
43 21.8243864607
72 4.3670136834
82 2.2566873652
359 2.0373212077
1487 1.7127624930
1719 1.0857758327
2139 0.5370207911
3042 0.3349354765
4206 0.1555361013
4753 0.0869348181
6496 0.0101188838
8537 0.0045779223
10807 0.0000000000
17766 0.0060843864
