evaluations raw_y
1 108648.2337837062
5 60689.0291581015
11 53246.8468045578
12 10530.2456405256
63 9202.4702991662
141 3044.0604479726
191 2580.7700833756
285 421.6538264243
548 292.1464512420
597 37.5116231442
7688 14.6534583204
9913 7.8793528208
12883 7.2501546662
13224 5.6473070115
14063 3.3442126887
18957 3.2226299722
19694 2.8807601688
20748 2.7493345398
21326 2.4688814409
21987 2.0621252809
23795 1.6921483248
25618 1.6726013187
26652 1.4479077879
27497 1.3322484055
29535 1.3126183534
29746 1.1639008068
29989 1.0275793430
31462 0.9249493668
31801 0.7902604472
32660 0.6666234839
33973 0.6028731519
34949 0.5729486487
35314 0.4042069593
35722 0.4002124782
36609 0.3886991468
37045 0.3731303079
37988 0.2719981348
38935 0.2598225354
38949 0.2312478903
39753 0.2039719056
39995 0.1715191969
42002 0.1684467884
42679 0.1451699739
42831 0.1336599124
43413 0.1111684231
43419 0.1087909382
44414 0.0827753070
44679 0.0750119832
44699 0.0571800843
45650 0.0450435563
45978 0.0356099664
46963 0.0228698769
48474 0.0134062326
49677 0.0125342534
50047 0.2571677622
evaluations raw_y
1 165803.1081043727
2 8633.6875981957
11 3458.5058970695
22 921.9771171778
60 688.9118162251
142 195.0635121310
291 174.9751483763
541 155.8460645535
904 40.0888890010
3220 39.8274298415
3935 16.2284472166
7354 15.9327686701
7549 15.0179935439
7681 12.2396531454
7765 11.8547381722
7773 10.7497118136
7850 5.3361401455
10843 3.1127349081
16993 2.6664862805
17020 2.5850713918
19125 2.5593577066
19649 2.4501398776
20060 1.9091967443
22157 1.8390919295
22743 1.6111525312
23700 1.5673602190
24756 1.4190343842
24799 1.3210579858
26453 1.2284947494
26843 1.1981345797
27053 0.9863433888
27675 0.9517437514
27874 0.9437982183
28042 0.9331472208
28603 0.8726827028
29097 0.6205533211
30173 0.5011560707
32276 0.4647958125
33459 0.3839189789
33709 0.3426967537
34336 0.3180390717
34611 0.3071846099
35064 0.1915122944
37066 0.1179298091
37191 0.1020440642
37365 0.0887089317
39884 0.0662577361
41446 0.0613315439
41499 0.0540430606
41664 0.0123577727
46268 0.0091889076
46851 0.0088783545
47084 0.0055652272
48557 0.0055042758
48586 0.0044274032
49877 0.0034906432
50047 0.0480256974
evaluations raw_y
1 154123.3812669853
5 142041.4542841329
9 39110.0484772819
20 26933.6177913935
77 22852.8662396663
116 9651.9761658483
286 3005.2345699641
291 1439.9774278408
294 975.8114059845
357 540.3662224317
381 473.0442382952
618 441.9814742162
686 308.8770558878
4444 131.3004283772
6207 74.1147418404
8433 47.4598443718
8647 42.8611029175
9052 25.5598980774
9172 13.0207299194
10392 12.6698169989
12580 8.8087205900
14065 7.9588091858
14110 7.6472327550
15085 6.4328669037
16085 6.4203021525
16292 4.1402519315
18056 4.0852189794
19557 4.0111349969
20717 3.1507992627
22854 3.0455072332
23929 2.4939221970
25088 2.0551788471
25758 2.0069178989
26658 1.7894501006
27881 1.3548952559
29167 1.1389493531
30377 1.0301157180
31587 0.9276936097
31777 0.9024139128
33985 0.8797376497
34158 0.7519783355
34295 0.6722080884
36639 0.6354796708
36806 0.5931144539
37378 0.5831676334
37406 0.5733172140
37620 0.4931002465
38326 0.4802059413
38527 0.4549148705
39363 0.4082667711
39703 0.2992484197
40850 0.2874888807
41620 0.2005109854
42788 0.1811693066
42930 0.1661101125
43452 0.1624179272
43692 0.1344089768
43787 0.1239349375
43874 0.1119144728
43940 0.0556410918
47155 0.0396590777
47684 0.0137425337
49955 0.0096556704
50047 0.3793080567
evaluations raw_y
1 1023882.5748187954
3 932846.4313157498
5 521078.4825872866
9 139849.4938428523
20 122608.6548026445
27 45760.8765015332
307 39914.5855565964
340 21153.0866260111
461 7966.6608039106
599 226.8819307112
5885 171.8000446890
7333 165.9199672670
7746 83.0090769058
10079 9.3335484892
15550 7.7728164737
17952 7.4889292244
18429 6.9761136938
19129 6.7595666336
19847 5.7947062005
20384 4.5660245734
20736 4.0265964158
21667 3.5625089459
21946 2.9173156820
26044 2.9000172199
26990 2.8446601212
27667 2.7837903102
27957 2.2585945782
29657 1.8026982387
29749 1.7811736372
30988 1.7553501361
31044 1.7540403404
31095 1.3261690087
32609 1.1408290604
34788 1.1339306857
35271 1.1208611294
35873 0.7949009000
37378 0.7698661792
38326 0.7620457799
38527 0.7119835012
39293 0.6986984914
39363 0.6094093552
39428 0.5858391534
40127 0.5597418838
40286 0.4403228341
40808 0.4339417784
41336 0.3069663188
42121 0.2286975069
45525 0.2254663267
45737 0.2156582916
45761 0.1598108297
47126 0.1026024855
47731 0.0865217454
48866 0.0477022530
50047 0.8331433195
evaluations raw_y
1 371537.5159519002
4 36369.5409158994
20 6703.7831082797
40 6397.2907819758
153 1048.0398934840
478 755.2015389113
568 380.3585763912
1039 242.4839921004
3449 198.7390043761
4835 188.9292693275
4890 171.7909531333
5295 75.7591304922
5654 44.5387872516
8338 43.6444614150
8749 20.8177309843
9591 9.6410557369
10849 5.5866468106
11985 4.2394171677
12106 3.7401313977
13411 2.3670259918
24441 1.9743946050
24563 1.8274524124
25399 1.6077832390
27832 1.4871752067
28143 1.4348355356
28999 1.3433655774
29159 1.2810154920
29443 1.2594580506
30064 1.2249340617
30537 1.1808189017
30576 1.0654740697
30665 0.9340228554
31014 0.9318922149
31239 0.8717164043
32626 0.7224597415
33405 0.7005553664
34421 0.5176001471
34936 0.4829025527
36652 0.4419962060
37289 0.4291883024
37690 0.3909539532
37949 0.3677663476
39018 0.3361116267
39049 0.3017112922
39079 0.2744024832
39771 0.2317245159
40708 0.2232536453
41206 0.2059634508
41475 0.1908372119
41492 0.1812412872
41929 0.1397892672
42058 0.1114327656
43775 0.0968468371
44146 0.0788805043
44381 0.0709067663
45027 0.0607433353
45747 0.0354059216
46419 0.0333118227
47967 0.0306787019
47990 0.0271786645
48209 0.0226279462
48634 0.0199773140
49105 0.0108047658
50047 0.1863414124
evaluations raw_y
1 22628.8488181356
6 15022.8186759241
9 1129.2201455120
295 612.1611026487
332 164.3924605848
376 82.7663577270
3045 59.8941016719
5654 44.6407564444
5725 28.3195299336
6509 26.3687411043
8152 17.4140968102
8539 16.9473014815
8631 6.3848684623
9742 6.0185972926
11014 4.3693574510
14348 3.9472300317
15160 3.8562873997
15917 3.4526841817
16338 3.2300662174
17262 2.7748008146
19749 2.3044057221
21017 2.2271713706
22523 2.0670424200
22828 1.7190682836
24067 1.5177203721
25140 1.4961512260
25491 1.1396643856
26016 1.0501793624
26473 0.9165691826
27740 0.8776667475
29159 0.7067168517
30665 0.6186948241
31014 0.6023977902
31858 0.5840275412
32626 0.4914651695
32880 0.3023515267
34208 0.3000844107
34737 0.2624820740
36042 0.1707823789
37747 0.1409405279
39943 0.0732047289
42245 0.0692565405
42335 0.0431270054
44542 0.0352018039
44796 0.0335588028
44905 0.0176907535
45747 0.0138431282
48209 0.0096857872
48510 0.0084541305
48688 0.0041569947
49974 0.0024805315
50047 0.1135321656
evaluations raw_y
1 142370.0343562355
4 19052.9332075704
9 12487.1091655115
16 3756.9614902233
23 1921.8073492254
82 1113.8883404670
181 659.2952479720
295 383.1716100191
332 85.8239673486
3005 59.2958755932
3139 26.3109502697
5295 23.0062811543
6895 15.3577825758
8379 10.7530966735
9406 5.9221591531
11014 5.4918000211
12271 4.1670227676
12475 4.1169580284
15243 4.0419011012
15652 2.9564579269
16431 2.9505631432
18633 2.9090605643
19686 2.6291418965
20461 2.4206049599
20967 1.8396355674
23004 1.7220194638
23940 1.6760064799
24639 1.6396803565
24913 1.5161090843
25744 1.0146162816
28794 0.9616901237
28832 0.9236171776
29159 0.8367477495
29635 0.8130295866
30665 0.7100262969
31014 0.5874594943
31858 0.5598862788
32626 0.5247655148
32871 0.4857455017
32880 0.2985144516
36042 0.1998972964
37302 0.1168937714
39140 0.1050420089
39943 0.0852433593
41929 0.0568078637
42462 0.0412329688
44624 0.0406548559
45536 0.0392418197
45766 0.0208432403
46906 0.0181652487
47967 0.0173620303
47990 0.0143412892
48209 0.0099340276
48688 0.0083447434
49827 0.0066602259
50047 0.1388668222
evaluations raw_y
1 355184.6449055907
2 141697.6038775609
3 115794.8330864113
6 70526.9791358697
8 45446.1676073324
12 33950.8559983041
14 29208.4906641715
16 4744.5272978931
106 4334.7018096164
163 2572.9431844496
177 2229.7056033419
274 1222.0702328789
316 1148.0622274544
320 950.4754429476
330 321.3717140062
975 216.1437807958
1188 134.2996027914
4136 32.7188841069
7475 18.2991174582
9272 11.0200711581
11567 9.0670247478
11880 5.3335191721
15181 4.8469350546
16202 3.5240148964
16829 3.0360528913
20841 2.9780733723
21230 2.9506015919
21487 2.7323854931
22119 2.3244420258
22700 1.8183364735
24254 1.8073709623
25705 1.7822360700
25874 1.5689987956
27339 1.0752442200
29405 0.9803309979
30831 0.8507797614
30969 0.8431922654
31317 0.8275404248
31509 0.7745845986
32225 0.6699131554
33480 0.6412207854
33638 0.5163823281
34317 0.3703677032
36552 0.3486845161
37570 0.3245567681
38199 0.2561606757
39112 0.2090721305
39620 0.1627129561
40301 0.0948264339
42722 0.0879017644
43676 0.0536172174
45496 0.0371569272
45606 0.0351537979
46793 0.0115468730
47981 0.0060651151
50047 0.1712312417
evaluations raw_y
1 129131.2836265166
4 2328.7916069600
12 1272.7847314551
51 732.5500776071
345 451.8659413023
421 140.7793468220
532 111.2015133557
2046 76.1476110306
2425 66.1376337876
4355 22.9815940945
6336 11.3955174806
7435 8.6497954644
8618 7.9716150568
8850 7.2800672481
9343 2.0848192102
14776 1.9789993468
20151 1.5067687260
22523 1.4671502369
23982 1.2948800659
25970 1.2317892023
25974 1.1528540689
26452 1.1463476305
26502 0.8330317849
28832 0.7197455385
29159 0.6293055206
30665 0.5377086970
31014 0.4908594964
31239 0.4292910450
31718 0.4192680272
31897 0.2798595474
34834 0.2778942179
34889 0.2415122729
35155 0.1421774502
37224 0.1377746177
38291 0.1373836016
38313 0.1068746511
39219 0.0774510160
39767 0.0703954171
39943 0.0654150517
41492 0.0589453062
41553 0.0433871165
41929 0.0329127498
42462 0.0235368841
44370 0.0220217478
44624 0.0195398236
44681 0.0054845933
47990 0.0039203920
49391 0.0026743964
50047 0.0467993774
evaluations raw_y
1 65283.8752601330
4 61646.4825299831
9 20245.9165176280
16 7005.0855305130
154 883.3528679619
424 403.9734016279
954 228.0024667626
2961 179.6026194699
4941 110.6870105956
5486 80.7654275431
6510 72.8232878389
8093 67.2215684826
8285 44.0968640220
8563 32.8388044223
9030 23.3896184582
9601 13.5582240344
10414 12.1109524252
11259 7.9744506430
12523 6.8601453720
13006 2.8221054156
21455 1.8554728007
26141 1.5837966611
26953 1.5400976452
27406 1.5249622320
27484 1.3669883580
27695 1.3150249256
28103 1.2682107474
28903 1.1257080712
30004 1.1011693072
30408 0.9795025368
31179 0.9700051153
31426 0.7609591605
33371 0.5627256285
34213 0.5305421819
34501 0.4664351072
34937 0.4464301029
35781 0.4445429234
37007 0.3989983049
37173 0.2319152567
39084 0.1552074529
41203 0.1357011369
41336 0.0891048662
43014 0.0593861104
44403 0.0550654624
45557 0.0368059813
45982 0.0322004122
46137 0.0233366403
46698 0.0148436558
48821 0.0111698718
49350 0.0090499007
50047 0.1489212778
evaluations raw_y
1 78718.1261421035
2 3646.3498817742
41 3471.0325680214
45 2640.9435688448
72 2134.2290940910
282 1541.3867865881
339 851.9978833288
351 764.8518895678
662 290.3837805121
1069 165.6977112429
2341 151.0608370440
2495 133.4041492780
5573 130.7334654820
5605 77.8563557310
5742 60.9175131614
5930 52.4436131989
7158 42.7535910303
7557 40.2125830919
8513 20.2490937968
9103 17.0161084146
9676 16.4473305780
10727 10.5869384061
10969 7.3265527103
13406 7.0115558090
14461 4.5650275215
14579 4.4564547214
15857 4.1979966957
17224 3.8347791249
17933 3.4216491157
18435 3.3275631008
19476 3.2163276669
19757 3.0987881231
20319 2.8623219665
22111 2.7240357582
23234 2.6866747314
23339 2.4580092001
23693 2.2647487516
24298 2.2534341616
24425 2.2129053368
24591 2.0971365529
24779 1.9113994585
25636 1.9094067880
25841 1.8020580646
26812 1.5149241213
27654 1.3783749521
28035 1.3369399834
28809 1.2674708901
29813 1.1568369656
30988 1.0198988156
31800 0.9303118117
33135 0.6803055162
33244 0.6593187741
34650 0.5928858542
35342 0.5659388554
36097 0.4112184757
37487 0.3979156215
37942 0.3228886113
39764 0.3153606313
40111 0.2443019388
40185 0.2337609614
40370 0.2293239048
41390 0.1504938678
41923 0.1428631448
42430 0.0919076177
44871 0.0919030607
45263 0.0518100524
46937 0.0466818313
47051 0.0271068383
47434 0.0210111833
47736 0.0144598180
49093 0.0097391350
50047 0.4257898002
evaluations raw_y
1 417834.3526554620
4 59851.1945745417
20 20512.8481994807
40 14919.6255756864
153 10492.6592644640
315 5681.1727207835
345 4108.1489663780
382 3525.4400966456
407 2148.6424309453
478 1025.9941759367
576 493.4567822658
710 184.3433795536
4083 157.3543797656
4643 91.8282365587
5295 55.4382114741
7312 20.6180817350
9336 17.5204972378
11014 6.7344855346
13303 6.2798214421
14183 4.5916487042
16712 1.8874669696
23015 1.6207515400
27236 1.5180121041
27885 1.3630539079
29232 1.0456451619
29635 0.9632216046
30240 0.9324473882
30576 0.7824786859
31239 0.7585814918
32626 0.6631180568
33571 0.5944594929
34553 0.5815192518
34671 0.5761060361
34737 0.4939767451
35780 0.4464880012
36197 0.2664791209
36228 0.2473499668
38894 0.2048837760
39079 0.1898679810
39943 0.1522829489
41415 0.1412032923
41929 0.0944730506
42058 0.0680903734
44681 0.0531685416
44905 0.0419601534
46419 0.0244738232
47990 0.0213620311
48209 0.0169153471
48224 0.0154988051
49391 0.0100324572
50047 0.1764110644
evaluations raw_y
1 403624.0292735564
2 164100.3106766225
4 153273.5376196409
6 107667.9619637303
19 40574.9966809766
24 31125.2449894051
34 10646.2871989938
76 10477.9214575122
86 6919.2443503377
285 2630.8292717108
290 1998.5778520389
372 1834.4772662197
381 344.9354393657
1588 323.8541037642
1619 298.3894924801
3954 237.0686103317
4460 160.3326926836
5429 148.0304820356
5568 130.0437174391
5642 71.2186507005
6182 43.6794816841
7843 37.7643675830
8027 37.0263003744
8744 18.5638177468
9277 9.7090307340
11158 8.5047117048
12936 2.9092769254
21620 2.8473107270
21692 2.7034176954
22013 2.6313412034
23016 2.1653213199
25024 2.0619880757
25179 2.0440528340
25182 2.0101228221
25871 1.7616426018
26615 1.2868078369
29314 1.0803172047
30412 1.0338665488
31033 0.9996314377
32263 0.8522373526
34120 0.7293238143
34294 0.6123216904
34735 0.5409702403
35084 0.5106474199
35100 0.4117089699
36113 0.2606706235
38438 0.1966475659
41246 0.1624227360
43364 0.1290150137
45092 0.1281526948
45268 0.1150416577
45347 0.1046355236
45655 0.0935432328
46005 0.0787671207
46274 0.0470163147
47814 0.0401158766
48350 0.0395260979
48719 0.0263191203
50047 0.0581736859
evaluations raw_y
1 147862.8508218619
2 38725.2054137870
7 4334.7717307699
16 1538.9538494148
59 1155.3883587629
486 160.2588304414
3263 144.3356494497
4242 130.7207589044
5242 77.6629104586
6133 73.0181261408
6151 51.1550108459
6993 46.6646195242
7114 40.4139448440
7979 23.0767992319
8726 19.6079210961
9190 7.9051033336
10960 7.4086934329
11447 6.7638943337
12286 5.8701908753
12963 5.8109389994
13089 5.4255477242
13513 5.3781490338
13840 5.2787932371
14349 4.2563335646
15950 4.1398256289
16441 3.8146421918
16448 3.4296195409
17606 3.3266694552
17907 3.1651979730
18357 2.8834725715
19777 2.7920716585
21397 2.7775578926
21416 2.7695747904
21794 2.2353309978
22520 2.1911365730
23561 2.0739242408
24049 1.9358549391
24602 1.5382575026
26819 1.3544288585
26931 1.1458566364
27661 0.8068515012
28612 0.8067253993
32070 0.7195967827
33019 0.5823298277
33453 0.5309643318
33952 0.5223964581
33984 0.5087489310
34274 0.4119607084
37189 0.3932118343
37267 0.2997814791
37752 0.2666233234
38765 0.1783658828
40678 0.1662371046
41278 0.1263698450
42443 0.1007455029
43006 0.0803604407
43086 0.0748368020
44471 0.0479582220
45618 0.0394174711
46446 0.0216339517
48092 0.0123120196
48442 0.0106175847
50047 0.9534236447
evaluations raw_y
1 26475.2651339363
2 22242.8581356004
6 1424.9309603147
7 366.7268609855
134 97.1565601697
344 15.1592438816
5470 9.2961650780
7233 6.3040298478
7270 3.3581293001
16279 3.2024857744
16709 3.1034829783
17543 3.0020851269
18291 2.7792661738
18562 2.6403750137
18983 2.5876844561
19455 2.5753608152
19728 2.4900665154
20028 2.3654609364
20770 2.3320710755
20815 2.0744334158
21073 1.7210030852
21683 1.6435342352
22763 1.3489248492
25462 1.1646221964
25738 1.1364662620
26604 1.0680126067
26964 0.6816052997
30562 0.5964792848
30935 0.4963572799
31741 0.3828877248
33809 0.3187429130
36044 0.2407907769
36374 0.2146821459
36626 0.1200478247
38400 0.0509971224
41203 0.0479074435
41336 0.0475565005
41651 0.0343719190
42631 0.0274107262
44263 0.0191369758
