evaluations raw_y
1 1909508.2906440953
2 1790044.2711442949
4 1580141.9230477733
5 966361.2715663270
8 838942.3349092338
29 632849.6672671987
58 445252.6445988712
139 421909.5174044276
289 371316.4256748300
327 307060.3856663262
560 234930.5626724979
650 149904.8896153265
1230 125302.8736737061
11417 122135.0607750226
11879 64378.9056123286
12777 56176.0771289250
12807 53604.8438339034
13490 37289.6870913473
13506 32769.8761643703
14243 32400.5641080901
14483 31722.6522661816
14640 28067.2875927299
14765 27021.7120410255
15064 26883.9190951841
15160 25944.6055767847
15680 25780.3286278301
15732 24823.9825991253
15765 20209.5728694830
16201 18935.7880081551
16236 16632.8075718430
16237 12647.0861183189
17246 8345.1394485503
17712 6983.5970294513
18794 6361.4517275786
19148 5459.0155259908
19568 4296.2228016571
19711 4242.3527835223
19935 3020.5814894631
21367 2888.1778564842
21583 2835.5729428348
21832 2560.8822297265
21888 2364.8707371706
22325 2205.4344495390
22518 1944.2806301511
22664 1577.7895150415
22884 1443.8975485374
23701 1231.6383951401
24050 847.2022847537
24619 836.5785787906
24902 810.7739318241
25470 658.3452275257
26101 627.0699720735
26449 525.5998909201
26810 494.5294399863
27304 432.6476010498
27489 363.3409902794
27813 276.1135207976
29704 274.8032049237
29924 256.1040390705
30240 249.5108077421
30405 247.9455499478
30740 221.3821893097
31417 214.1710676924
31559 203.6367528211
31587 185.0848864933
31946 179.1726128592
32347 164.5444686741
33235 137.4986872429
34511 128.8074423821
35119 124.6701553222
35251 123.3438168936
35432 122.1243550351
35810 109.2085955559
36231 97.1281139964
37159 94.8865872868
37269 90.6837754164
37903 89.6408966829
37959 87.8562325744
38027 86.0350135007
38254 79.4335891403
39240 71.0049442678
39689 67.7794012460
40387 64.4190478307
40803 64.0258130851
41036 63.6897091102
41069 60.1390228236
41486 59.2979210335
41557 55.4840028840
42679 53.6596135474
43265 51.9661103510
43986 50.2417682980
44059 49.9192684625
44395 49.1639290785
44956 47.0894441298
45041 46.2672543718
46203 45.3930222920
46280 45.3074752614
46431 45.2514933357
46559 44.2835261133
47162 43.6658882578
47524 43.5376992110
47870 42.9085753980
48208 42.8603876297
48243 42.5177879268
48269 42.3771065450
48522 41.4499865054
49336 41.3128364622
49403 41.1987514632
49519 41.1297032404
50396 41.0168024252
50408 40.7723168060
50509 40.6838461345
50633 40.5573051769
51115 40.4168461711
51482 40.3280398577
51516 40.1210527409
52033 40.0107239978
52226 39.8638930450
52831 39.7938805698
54269 39.4509385130
56487 39.4373183670
56775 39.3308382931
56874 39.2840107511
57425 39.2198419020
57596 39.1589144224
58647 39.0597866333
59165 38.6819828665
61712 38.5772453736
64138 38.5731325488
68948 38.5392853447
69355 38.4766104265
71369 38.3911724982
71748 38.3579977514
72562 38.2782735441
73023 38.1980184348
73236 38.1664359759
73378 38.0866748042
73871 38.0619729995
73950 37.8833369660
76788 37.6138249482
77785 37.5670629703
79803 37.3389949743
81167 37.2286041647
82996 37.0674150038
84573 36.9917627877
84619 36.7793160680
86262 36.7520839731
86331 36.6373052838
87101 36.4134502056
89120 36.2600368054
91015 36.2328959563
92665 36.0932974950
92910 35.9576321685
94231 35.9103008834
94782 35.9026695716
95321 35.8220263180
95328 35.7357636403
100533 35.5491771599
100735 35.5372252265
101403 35.5296830860
101756 35.2356110699
103708 34.9693340945
105607 34.7262615954
107387 34.5112658877
111904 34.4688732122
113667 34.4369706810
114299 34.2454611543
116126 34.1607241879
116139 34.0485147475
119318 34.0068980566
120174 33.9899483809
120310 33.9456575586
121640 33.7946380764
123201 33.5649728918
127183 33.5335977033
127329 33.5306610832
128178 33.4467469631
128301 33.4141243871
128656 33.4136536567
129299 33.2174460268
129570 33.1090305203
130282 33.0560227211
131826 32.9766732347
132278 32.9653030585
132706 32.9502324001
132840 32.8729202726
133177 32.8521941821
133351 32.8186881118
135222 32.7262080392
135737 32.7115484581
136929 32.6112155267
138357 32.6020421378
139414 32.5847538790
139580 32.4932804272
141739 32.4583230263
142444 32.3361454750
143589 32.3344716980
145566 32.2587627935
147286 32.1029009038
147717 31.9691554653
148524 31.9337279972
151535 31.8708752293
151818 31.8269128462
152005 31.7925479268
152017 31.5841143477
153517 31.4268182832
157120 31.3872017993
159137 31.3670277158
159754 31.3527925598
161062 31.2442255673
161896 31.2388303886
162380 31.1663887737
