evaluations raw_y
1 3852843.0773931788
7 1018090.2871877963
13 2560.8095753324
17 1141.5452066101
145 525.4881452752
276 388.6328621965
565 372.4564279974
990 344.3983712459
11504 332.1053875699
11541 318.7858317069
11984 292.5127621139
17192 284.2832453125
17229 275.8068460591
17456 262.1370685069
17836 233.8310793294
18010 219.9648300293
18118 219.8838024382
18160 202.3337144995
18206 193.4690706431
18622 191.9751318051
19028 171.3924876469
19117 167.5320102807
19152 159.0108013994
19286 154.8429120987
19314 150.6914845199
19404 148.2192516070
22682 129.4056876416
22916 121.2875931004
23073 120.9145129569
23129 98.6184286353
23788 98.3270558993
23881 96.5252505267
23922 76.1787206404
25916 75.5613250027
26340 74.0977846054
26445 69.4555269272
26489 67.5804292420
26585 65.4640611913
27155 62.8894140149
27272 50.2527960816
27372 49.9313816242
27409 46.4102797273
27553 41.6701537672
29566 40.4616675635
29613 36.4414420627
29944 35.0316523444
30094 32.5804857503
30212 32.4129221363
30386 28.2370428039
30674 27.1439134892
30806 24.9399914386
30819 22.9056808692
31078 19.6338941222
31235 18.5398193278
31396 18.3242306138
32145 17.9478922019
32197 17.2797186072
32388 16.7632457315
32440 16.5149465380
32450 16.2612408878
32474 13.7128117634
32763 13.1147006169
33088 12.1637574090
33623 11.1867929140
33645 10.6553649737
33735 10.4184978554
33779 9.8836114702
33799 9.7548297141
33848 9.6564220190
34049 8.4124223234
34060 6.7804318609
34414 5.1213637567
34721 5.0359045216
34920 4.8360077741
35111 4.4819865481
35118 4.1743784780
35188 3.8404558742
35344 3.1324310967
35376 3.1036670112
35504 3.0178561379
35510 2.9689788257
35586 2.4021718429
36757 2.3571644655
36883 2.2439041475
37439 2.0897603596
37591 2.0772907418
37668 2.0102157499
37683 1.5940870852
37846 1.3794282588
37866 1.2970380498
37924 1.0868192761
37992 1.0655726873
37997 1.0357767197
38249 1.0032429098
38356 0.9253267417
38710 0.9238165633
38727 0.7427404877
38773 0.6558201683
38837 0.5554808071
38905 0.5275788960
39222 0.4225627651
39319 0.4207382454
39386 0.4207376398
39454 0.3276600079
39458 0.3170334802
39663 0.2548902294
39832 0.2401615141
39842 0.2199891845
39923 0.1839366054
40036 0.1646342411
40073 0.1418242431
40410 0.1274657425
40434 0.1133402674
40450 0.0906509041
40561 0.0841738729
40593 0.0800873988
40816 0.0602746173
41232 0.0552145228
41245 0.0519839667
41501 0.0464099159
41548 0.0371337523
41623 0.0341602041
41739 0.0324185734
41746 0.0273792530
41835 0.0233441145
41928 0.0181359371
42173 0.0168344848
42311 0.0166725561
42323 0.0141161697
42433 0.0138231619
42611 0.0125477050
42717 0.0088150153
43104 0.0070731702
43223 0.0057964182
43280 0.0052512202
43498 0.0051751098
43603 0.0049154640
43608 0.0036051542
43859 0.0021802246
44318 0.0018125606
44513 0.0015405227
44764 0.0013578821
44905 0.0009236605
45018 0.0007747875
45060 0.0007701731
45271 0.0007314935
45488 0.0006386814
45577 0.0005723425
45815 0.0003785464
46010 0.0003503961
46196 0.0003213369
46352 0.0002419304
46548 0.0002410628
46575 0.0002267756
47018 0.0002107558
47068 0.0002038637
47084 0.0002016372
47089 0.0001833102
47250 0.0001426226
47261 0.0001267208
47588 0.0000684881
47707 0.0000626120
48224 0.0000614173
48230 0.0000444955
48394 0.0000444435
48435 0.0000433799
48474 0.0000393303
48475 0.0000371304
48582 0.0000337607
48641 0.0000328378
48687 0.0000285754
48773 0.0000251158
48824 0.0000137371
48920 0.0000127427
49122 0.0000107010
49181 0.0000090292
49284 0.0000045464
49503 0.0000042364
49628 0.0000027203
49673 0.0000022918
49930 0.0000019191
50109 0.0000018624
50134 0.0000018308
50163 0.0000018084
50196 0.0000016023
50208 0.0000015099
50229 0.0000013513
50307 0.0000012805
50329 0.0000008734
50479 0.0000008158
50518 0.0000007660
50624 0.0000007113
50637 0.0000006533
50807 0.0000004969
50921 0.0000004923
50982 0.0000004601
51007 0.0000003488
51022 0.0000002795
51081 0.0000002450
51163 0.0000002420
51312 0.0000001779
51453 0.0000001621
51597 0.0000001328
51639 0.0000001065
51779 0.0000000670
51837 0.0000000646
51891 0.0000000572
52121 0.0000000535
52169 0.0000000314
52286 0.0000000216
52786 0.0000000201
52816 0.0000000177
52871 0.0000000173
52895 0.0000000153
52937 0.0000000123
52999 0.0000000121
53134 0.0000000120
53194 0.0000000119
53226 0.0000000083
53392 0.0000000068
53535 0.0000000066
53583 0.0000000063
53584 0.0000000041
53701 0.0000000035
53738 0.0000000032
53840 0.0000000031
53853 0.0000000028
53931 0.0000000028
53933 0.0000000027
53937 0.0000000027
53998 0.0000000025
54005 0.0000000024
54036 0.0000000022
54098 0.0000000010
54331 0.0000000010
54377 0.0000000008
54465 0.0000000007
54526 0.0000000006
54600 0.0000000005
54602 0.0000000004
54648 0.0000000003
55020 0.0000000003
55053 0.0000000003
55071 0.0000000002
55082 0.0000000002
55086 0.0000000002
55108 0.0000000002
55161 0.0000000001
55190 0.0000000001
55228 0.0000000001
55439 0.0000000001
55493 0.0000000001
55548 0.0000000001
55675 0.0000000001
55694 0.0000000000
55731 0.0000000000
55823 0.0000000000
55830 0.0000000000
55876 0.0000000000
56148 0.0000000000
56327 0.0000000000
56343 0.0000000000
56376 0.0000000000
56549 0.0000000000
56591 0.0000000000
56635 0.0000000000
56704 0.0000000000
56794 0.0000000000
56881 0.0000000000
56980 0.0000000000
57033 0.0000000000
57036 0.0000000000
57177 0.0000000000
57196 0.0000000000
57208 0.0000000000
57216 0.0000000000
57236 0.0000000000
57311 0.0000000000
57386 0.0000000000
57429 0.0000000000
57430 0.0000000000
57476 0.0000000000
57691 0.0000000000
57730 0.0000000000
57800 0.0000000000
57838 0.0000000000
57902 0.0000000000
58035 0.0000000000
58104 0.0000000000
58281 0.0000000000
58345 0.0000000000
58370 0.0000000000
58805 0.0000000000
58843 0.0000000000
58944 0.0000000000
59252 0.0000000000
59843 0.0000000000
60534 0.0000000000
evaluations raw_y
1 2372687.6158957952
3 24278.3823785237
32 3903.5249286369
63 1114.5704885492
271 701.8538082061
459 510.4712899876
481 361.0606820093
579 323.5789428010
683 302.7345287203
18464 294.8835691850
18712 274.7811230726
19272 260.8454086387
19322 237.9830175555
19882 232.5262782598
19984 221.1108741911
20070 214.1707167110
20147 197.2208538253
20473 180.7927188228
20716 173.1308794474
20845 149.8670761898
21471 139.3316482194
21743 120.8992930311
22136 101.1641815056
22439 94.9253873093
22937 68.4664637113
24616 65.7475319719
24712 63.5740521548
24731 61.3743792159
24800 60.2565228069
24814 54.8167881746
24860 54.2599425972
24875 52.2550405746
24948 50.7960781987
25077 47.4961508715
25095 45.9721577663
25195 44.9001372355
25336 39.6474053109
25536 31.6938605945
25634 31.6875443542
25657 28.4796927497
25686 19.6728728716
26014 19.5765668572
26062 19.3751038186
26083 18.8196168731
26348 14.4776628445
27257 13.7521784423
27972 9.6620973794
28017 8.8124048167
28843 7.5658333565
28881 6.6700029176
28929 4.8657596823
29390 3.8590408660
29422 3.8093433054
30184 3.2684606958
30281 2.6434083020
31256 2.4735543738
31402 2.4014707291
31519 2.0981185894
32009 2.0726865115
32412 2.0726342311
32425 2.0035709375
32446 1.9873472007
32449 1.8886974019
32464 1.8666725004
32592 1.8125449789
32632 1.7454697746
32644 1.6970271698
32698 1.6279168988
32943 1.5190274691
33011 1.2782738955
33427 1.0625848133
34426 1.0444932341
34495 1.0232415797
34531 1.0082999158
34535 0.9177504560
34669 0.8576862797
34690 0.8088385692
34889 0.7431213016
35141 0.5202808867
35896 0.5144510524
35985 0.5085050143
35999 0.4907874676
36027 0.4577996776
36147 0.3445807722
36348 0.3382846455
36550 0.3343385781
36605 0.3233792010
36631 0.3156026996
36839 0.2956564302
36840 0.2894959443
36904 0.2647939058
37208 0.2347740211
37527 0.2108834108
37713 0.1666958101
37895 0.1502016682
37928 0.1301962605
38549 0.1271108635
38563 0.1022610833
38618 0.0992421825
38644 0.0921635397
38683 0.0825680764
38813 0.0643599014
39307 0.0643198790
39757 0.0513874087
39945 0.0508214846
40148 0.0454130313
40259 0.0375600450
40313 0.0198306323
40551 0.0190230752
40627 0.0178449942
41053 0.0143878819
41072 0.0139503350
41210 0.0091225686
41542 0.0076826606
41910 0.0064867331
42009 0.0061645666
42122 0.0053234055
42209 0.0045911757
42265 0.0038093957
42374 0.0037034351
42554 0.0033452794
42621 0.0032885433
42715 0.0028148071
42730 0.0026600609
42756 0.0019007618
43023 0.0015593995
43118 0.0014393886
43228 0.0014116971
43263 0.0012783187
43394 0.0012030424
