evaluations raw_y
1 709.8536463364
16 691.3655983611
18 485.2378775610
30 457.5006735754
33 447.8006297779
42 370.9724972637
59 320.0127536752
60 303.2523957203
107 238.5037018528
239 201.6757119880
400 162.1940135084
490 112.3724578158
672 58.5434450620
724 57.6366758724
781 36.2104787710
1020 30.3935202463
1136 24.9792183829
1144 24.7459175790
1348 22.3338454119
1365 18.7340427691
1493 11.5439299453
1584 9.9080059476
1772 7.0238857426
1827 5.7698152860
1989 4.7545408061
2256 1.4754038909
2675 1.0787288920
2752 1.0785152525
2809 0.9038618314
2873 0.8948579034
3173 0.8598328930
3189 0.7632934653
3193 0.5392400737
3378 0.5122913190
3420 0.4882630985
3450 0.3303396720
3825 0.2458259403
3888 0.1466703729
4174 0.1232519843
4409 0.1225423314
4445 0.0889604818
4483 0.0862701352
4488 0.0819035766
4503 0.0604466046
4892 0.0428595343
4924 0.0332889342
5218 0.0249533200
5303 0.0208945590
5433 0.0176901169
5436 0.0158668102
5507 0.0102363466
5727 0.0077392590
5922 0.0071248369
6042 0.0069733627
6062 0.0067780128
6139 0.0067282092
6182 0.0066505410
6191 0.0064295860
6208 0.0054462595
6298 0.0053350138
6320 0.0047697428
6346 0.0034682458
6485 0.0032374651
6718 0.0031112861
6936 0.0029553041
6949 0.0028932472
7080 0.0027671939
7190 0.0026388789
7419 0.0025819029
7507 0.0025712441
7523 0.0025366781
7618 0.0024673975
7645 0.0024527672
7673 0.0023175268
7852 0.0023005041
8135 0.0022782286
8166 0.0022440729
8248 0.0021539224
8495 0.0020962160
8603 0.0019281336
8832 0.0017384856
8867 0.0017290567
8879 0.0017234310
8937 0.0016695926
8969 0.0012333467
9087 0.0011254050
9171 0.0009294128
9541 0.0006180868
9774 0.0004935965
9834 0.0003695203
10212 0.0003677669
10213 0.0002379223
10414 0.0002374989
10426 0.0002217604
10446 0.0002118675
10577 0.0001538539
10722 0.0000924565
10890 0.0000571698
10902 0.0000465145
11242 0.0000444361
11325 0.0000280615
11479 0.0000206740
11533 0.0000206250
11716 0.0000146904
11767 0.0000109284
11894 0.0000062578
12134 0.0000062446
12158 0.0000062136
12202 0.0000051135
12250 0.0000045996
12385 0.0000036013
12618 0.0000035973
12621 0.0000025314
12719 0.0000019714
12748 0.0000012595
13211 0.0000009404
13349 0.0000004261
13446 0.0000004049
13849 0.0000002798
13881 0.0000001953
14068 0.0000001516
14256 0.0000001226
14323 0.0000001139
14374 0.0000001109
14396 0.0000001098
14405 0.0000000909
14532 0.0000000816
14590 0.0000000651
14788 0.0000000526
14816 0.0000000417
15005 0.0000000365
15056 0.0000000355
15092 0.0000000244
15364 0.0000000241
15499 0.0000000212
15534 0.0000000152
15765 0.0000000144
15996 0.0000000141
16036 0.0000000133
16126 0.0000000128
16179 0.0000000125
16211 0.0000000124
16621 0.0000000115
16960 0.0000000115
17015 0.0000000109
17392 0.0000000107
17488 0.0000000105
17567 0.0000000103
17587 0.0000000101
17749 0.0000000098
17846 0.0000000093
17952 0.0000000093
17978 0.0000000086
18012 0.0000000084
18091 0.0000000084
18099 0.0000000056
18168 0.0000000053
18463 0.0000000036
18837 0.0000000025
19109 0.0000000013
19474 0.0000000010
19572 0.0000000010
19619 0.0000000009
19662 0.0000000009
19670 0.0000000006
19690 0.0000000005
19927 0.0000000003
19953 0.0000000003
20090 0.0000000002
20251 0.0000000002
20541 0.0000000002
20558 0.0000000002
20575 0.0000000001
20620 0.0000000001
20935 0.0000000001
20963 0.0000000001
21145 0.0000000001
21346 0.0000000000
21358 0.0000000000
21528 0.0000000000
21898 0.0000000000
21981 0.0000000000
22325 0.0000000000
22754 0.0000000000
22774 0.0000000000
23040 0.0000000000
evaluations raw_y
1 1938.7851344500
5 1614.6026315691
6 1414.8946803741
14 1230.1772466753
18 1204.6629300575
23 782.8035172553
71 770.2881557400
84 753.7645779222
99 714.2009095505
106 578.4577084605
132 540.6169360267
138 373.9232164251
192 368.7276931075
195 343.2902690597
237 280.5608194261
253 219.5480510894
696 178.0841852775
749 151.7521252681
850 144.8360043938
909 144.4606145041
915 82.1884737664
972 41.5010008445
1406 34.0358202749
1631 31.7530299449
1681 30.9781085221
1750 30.6659302014
1809 27.6955824651
1814 22.9013307661
1927 13.9751331014
2069 11.0882532454
2172 8.4649961081
2276 7.5419748775
2349 2.9804552623
2933 1.9469773793
2941 1.6429423153
3078 0.8181516318
3382 0.7225289383
3782 0.5328771718
4038 0.3046512605
4207 0.2538001561
4217 0.1902055694
4295 0.1685762383
4367 0.0989859169
4781 0.0791917767
4943 0.0723933710
4945 0.0660033460
4952 0.0526837731
5115 0.0403665669
5249 0.0395430768
5257 0.0393455651
5302 0.0391192972
5340 0.0380731891
5347 0.0342705747
5404 0.0237947614
5504 0.0133577686
5663 0.0128605024
5682 0.0119281565
5741 0.0064706340
5854 0.0050743616
5869 0.0043750997
6025 0.0034775523
6302 0.0019711725
6618 0.0016106464
6749 0.0016047965
6888 0.0014619146
6922 0.0014617271
6935 0.0009223555
7003 0.0003902872
7491 0.0003581584
7638 0.0002991524
7694 0.0002684070
7860 0.0002602060
7917 0.0002395138
7955 0.0001810384
8441 0.0001597771
8569 0.0001544946
8613 0.0001539195
8649 0.0001532646
8730 0.0001518132
8746 0.0001512909
