evaluations raw_y
1 71.1026195313
9 39.5431879571
23 18.3240488273
72 8.4200209084
128 1.9479617571
170 1.3354659833
851 1.1255793705
1062 1.1215608919
1095 0.8280670155
1143 0.5100111184
1308 0.4244781354
1316 0.4190710593
1359 0.3917495937
1365 0.1835517520
1561 0.1566654123
1603 0.0936462086
1788 0.0884490337
1792 0.0573131654
1829 0.0517289569
1966 0.0299106184
2035 0.0216037536
2065 0.0188670782
2108 0.0178694283
2133 0.0084906388
2485 0.0029699662
2543 0.0021769360
2730 0.0020604618
3007 0.0019095898
3119 0.0015573344
3427 0.0013118022
3456 0.0009452315
3461 0.0008745016
3469 0.0007963776
3539 0.0007108999
3807 0.0006185035
3827 0.0004015033
4204 0.0003358075
4249 0.0002842645
4602 0.0002637684
4660 0.0001849987
4713 0.0001192010
4789 0.0001162890
5139 0.0000466166
5815 0.0000312397
6539 0.0000197820
6621 0.0000145020
6854 0.0000102838
7117 0.0000100378
7345 0.0000069554
7386 0.0000041642
7553 0.0000023850
8008 0.0000023061
8069 0.0000019782
8155 0.0000015229
8627 0.0000011395
8932 0.0000010894
9025 0.0000007643
9058 0.0000005002
9334 0.0000004536
9660 0.0000001596
9950 0.0000001532
10643 0.0000000921
11554 0.0000000775
11625 0.0000000606
11829 0.0000000532
11871 0.0000000378
11985 0.0000000335
12108 0.0000000237
12614 0.0000000156
13089 0.0000000144
13133 0.0000000120
13163 0.0000000084
13357 0.0000000083
13361 0.0000000068
13452 0.0000000067
13570 0.0000000065
13609 0.0000000025
13856 0.0000000019
14031 0.0000000013
14454 0.0000000011
14539 0.0000000009
14544 0.0000000007
14722 0.0000000005
14871 0.0000000004
15246 0.0000000004
15278 0.0000000004
15301 0.0000000002
15331 0.0000000001
15780 0.0000000001
15896 0.0000000001
16130 0.0000000001
16527 0.0000000001
16557 0.0000000001
16694 0.0000000001
16881 0.0000000001
16884 0.0000000001
16893 0.0000000000
17006 0.0000000000
17150 0.0000000000
