evaluations raw_y
1 75.7764136947
2 41.1874585274
25 47.1733619299
55 32.9148579689
58 40.4183621525
183 35.8698091961
198 31.0871426926
231 25.9939176715
369 21.0459385760
394 20.8081933537
620 17.8068465820
1516 11.6333938471
2173 11.9098568920
2174 11.1657539601
2198 7.7046644844
2215 3.8293658774
2321 3.4980479958
2519 3.3601758308
2628 1.8631517539
2950 1.4317483200
3129 1.1593339388
3459 1.1364101919
3462 0.7571684513
3823 0.7143555233
3899 0.5417901949
3902 0.4161404928
4184 0.5020285243
4228 0.4910887493
4294 0.2923044384
4297 0.2370672104
4603 0.2047603508
4606 0.2050626037
5010 0.1597084026
5011 0.0962504655
5125 0.0811283305
5293 0.0892128920
5362 0.0537065304
5456 0.0655196253
5476 0.0574382975
5888 0.0515926508
5889 0.0368578571
5973 0.0384120046
6745 0.0422900647
6829 0.0272784013
6867 0.0410133500
6880 0.0447437210
7252 0.0331073520
7375 0.0258845084
7974 0.0289342389
8130 0.0268948480
8202 0.0259655329
8297 0.0200999603
8935 0.0221714406
8941 0.0207095526
9094 0.0194631807
9528 0.0161206047
9765 0.0167674452
9797 0.0167340516
9814 0.0158480816
10035 0.0154039301
10100 0.0146613635
10526 0.0137773417
10588 0.0140138519
10675 0.0135588945
10714 0.0133696701
10739 0.0135501658
10846 0.0133312065
10860 0.0132058076
10883 0.0132272739
11001 0.0129070636
11296 0.0127874295
11334 0.0126976380
11363 0.0126477883
11365 0.0125360748
11491 0.0123005095
11640 0.0122570657
11800 0.0121368247
11821 0.0121793954
11861 0.0122330705
11898 0.0121223956
11927 0.0120206084
12054 0.0120225127
12131 0.0119740676
12240 0.0117976814
12379 0.0118087534
12394 0.0116691279
12551 0.0116667619
12764 0.0115948161
12823 0.0115622776
12880 0.0115696949
12958 0.0115320524
12996 0.0115236555
13004 0.0114795873
13163 0.0114795613
13222 0.0114531691
13283 0.0114406227
13337 0.0114221273
13581 0.0114154522
13582 0.0114199575
13806 0.0114118872
14013 0.0114081783
14173 0.0114024164
14193 0.0114048133
14200 0.0114022703
14231 0.0113985587
14475 0.0114001064
14530 0.0114003776
14533 0.0113989069
14539 0.0113981435
14677 0.0113983814
14794 0.0113976592
14804 0.0113981573
14887 0.0113982955
14930 0.0113978307
14963 0.0113972862
15210 0.0113975283
15330 0.0113978135
15342 0.0113976927
15390 0.0113976193
15397 0.0113973901
15752 0.0113975690
15758 0.0113973129
15866 0.0113974739
15890 0.0113973854
16068 0.0113974562
16070 0.0113974331
16287 0.0113974330
16293 0.0113974498
16423 0.0113974048
16502 0.0113974257
16503 0.0113974492
16586 0.0113974475
16643 0.0113974524
16658 0.0113974670
16665 0.0113974510
16719 0.0113974586
16748 0.0113974705
16763 0.0113974668
16809 0.0113974675
16898 0.0113974504
17311 0.0113974558
17409 0.0113974530
17458 0.0113974602
17469 0.0113974662
17471 0.0113974619
17524 0.0113974656
17527 0.0113974660
17537 0.0113974616
17547 0.0113974626
17636 0.0113974629
17651 0.0113974622
17760 0.0113974643
17890 0.0113974604
18003 0.0113974598
18333 0.0113974615
18481 0.0113974616
18492 0.0113974607
18579 0.0113974605
18624 0.0113974608
18772 0.0113974599
18812 0.0113974608
19017 0.0113974600
19070 0.0113974595
19128 0.0113974603
19178 0.0113974603
19241 0.0113974601
19348 0.0113974601
19371 0.0113974601
19393 0.0113974599
19679 0.0113974601
19708 0.0113974600
19882 0.0113974600
20130 0.0113974601
20745 0.0113974601
evaluations raw_y
1 94.9402282856
2 67.5469596075
6 62.5626454164
13 35.9272495681
17 35.6960463192
18 32.8384011016
81 28.4458812351
84 18.9402280048
1654 18.9188542811
1772 16.9745701994
1917 14.6206744033
2212 12.8641615461
2502 9.4996578666
2795 9.2277660806
3165 7.2231443685
3209 7.0822474099
3791 6.8295820117
3940 6.1418029513
3948 4.1830836985
4239 3.2980767798
4484 2.0304016233
4910 1.7893127117
5019 1.6342581842
5028 1.4569027278
5144 1.2951776734
5163 1.2737073954
5171 0.9689718215
5392 0.6932304402
5556 0.4735786399
5660 0.3629276924
6067 0.3515983890
6110 0.3423424205
6147 0.2502416044
6396 0.2056225430
6508 0.2005799428
6635 0.1958569997
6653 0.1211767180
7067 0.1079162033
7104 0.1028530961
7493 0.0913204635
7627 0.0819677191
7730 0.0788408740
7753 0.0714294957
7977 0.0676591223
8032 0.0644263361
8136 0.0601897901
8256 0.0561617190
8556 0.0540765199
8676 0.0516549195
9157 0.0499477102
9177 0.0493588715
9212 0.0493294755
9265 0.0479836721
9306 0.0477444995
9444 0.0449546922
9665 0.0447068926
9798 0.0442533229
9810 0.0440881707
9811 0.0431968343
9861 0.0425035750
9916 0.0405370611
10173 0.0403035704
10187 0.0398876573
10357 0.0389171271
10495 0.0388534340
10578 0.0373690592
10914 0.0373444051
10953 0.0368385046
11023 0.0365873433
11056 0.0365303002
11183 0.0364489849
11192 0.0354345182
11308 0.0351993777
11655 0.0350785083
11682 0.0350635528
11689 0.0348609024
11739 0.0346698975
12041 0.0344371593
12213 0.0344121406
12415 0.0342997503
12550 0.0342104457
12643 0.0341583593
12690 0.0340771906
12711 0.0340770793
12851 0.0339950164
12919 0.0338942924
13099 0.0338907333
13268 0.0338613578
13386 0.0338552058
13406 0.0338066235
13511 0.0337892336
13643 0.0337766926
13706 0.0337655557
13931 0.0337646296
13981 0.0337607920
14007 0.0337553130
14176 0.0337551180
14178 0.0337533311
14253 0.0337531139
14400 0.0337523878
14421 0.0337523272
14504 0.0337521654
14527 0.0337510459
14683 0.0337510267
14741 0.0337508390
14746 0.0337506731
14790 0.0337506516
14838 0.0337505577
14869 0.0337505051
14874 0.0337504817
14918 0.0337502569
15047 0.0337502222
15071 0.0337502214
15130 0.0337501732
15264 0.0337500941
15373 0.0337500763
15379 0.0337500739
15444 0.0337500481
15566 0.0337500474
15624 0.0337500462
15647 0.0337500357
15654 0.0337500329
15673 0.0337500282
15773 0.0337500162
15913 0.0337500142
15934 0.0337500140
15939 0.0337500056
16161 0.0337500036
16234 0.0337500035
16334 0.0337500031
16336 0.0337500020
16356 0.0337500010
16382 0.0337500006
16503 0.0337500006
16504 0.0337500003
16534 0.0337499998
16614 0.0337499996
16635 0.0337499995
16779 0.0337499994
16824 0.0337499994
16862 0.0337499993
16874 0.0337499992
16922 0.0337499992
16927 0.0337499991
16975 0.0337499990
16980 0.0337499989
17147 0.0337499989
17189 0.0337499989
17287 0.0337499988
17339 0.0337499988
17354 0.0337499988
17486 0.0337499987
17550 0.0337499987
17657 0.0337499987
17702 0.0337499987
17836 0.0337499987
17866 0.0337499987
17960 0.0337499987
17990 0.0337499987
18174 0.0337499987
18232 0.0337499987
18243 0.0337499987
18272 0.0337499987
18357 0.0337499987
18381 0.0337499987
18546 0.0337499987
18770 0.0337499987
18774 0.0337499987
18859 0.0337499987
18886 0.0337499987
18888 0.0337499987
18919 0.0337499987
18921 0.0337499987
18992 0.0337499987
19100 0.0337499987
19260 0.0337499987
19388 0.0337499987
19501 0.0337499987
19537 0.0337499987
19677 0.0337499987
19721 0.0337499987
19884 0.0337499987
20453 0.0337499987
evaluations raw_y
1 92.7071842595
2 57.3254720205
10 47.5860940517
13 40.5249219139
25 33.1327313423
166 30.6324467618
240 29.8941348443
426 24.3751373051
504 16.5164217039
1228 14.1785095294
2083 13.8519650537
2225 12.6615432573
2825 12.0267245350
3182 11.4653341078
3209 11.4176939900
3367 10.5051546852
3553 7.6008391380
3574 7.0316077501
3767 6.8338204186
4090 6.1501323492
4196 2.4581859772
4665 2.1135223351
4735 2.0054360237
4784 1.7847817711
4803 1.7038106095
4811 1.5896516959
4873 1.3468553425
5005 1.1685190079
5078 1.1441687944
5314 0.9843454013
5323 0.9253074102
5389 0.4997159857
5759 0.4571189857
5856 0.4400141506
5874 0.3824409394
6028 0.3736970723
6087 0.2899432937
6450 0.2206755775
6671 0.1856350770
6789 0.1835775307
7090 0.1570821472
7150 0.1324336863
7442 0.1280244656
7619 0.1278220060
7682 0.1129275886
7745 0.1116623886
8032 0.1104325056
8033 0.1096929862
8046 0.1017497553
8100 0.0897788888
8142 0.0893078505
8221 0.0890784764
8385 0.0884447100
8423 0.0861314720
8425 0.0810892224
8486 0.0791612697
8609 0.0722283377
9104 0.0716269560
9142 0.0696929549
9166 0.0676047037
9378 0.0662600345
9501 0.0643441605
9587 0.0635107565
9999 0.0625135848
10434 0.0619078121
10479 0.0612011743
10627 0.0607659521
10689 0.0603129606
10717 0.0596503068
10786 0.0596471767
10858 0.0592166000
11178 0.0590139815
11203 0.0587873962
11270 0.0587066530
11468 0.0586984513
11548 0.0586107837
11628 0.0585412864
11658 0.0584850232
11682 0.0583115239
11776 0.0582871460
11895 0.0581311616
11940 0.0579245906
12112 0.0578981415
12233 0.0578968078
12240 0.0573648267
12861 0.0572300630
13245 0.0571822228
13268 0.0571224765
13366 0.0569421610
13583 0.0569311573
13638 0.0568229069
13684 0.0567540533
13813 0.0567099306
13955 0.0566629211
14023 0.0566552499
14034 0.0566165585
14193 0.0566111889
14227 0.0565474461
14496 0.0565365546
14530 0.0565185337
14670 0.0565180538
14704 0.0565172016
14837 0.0565113213
14944 0.0565098858
15045 0.0565046697
15191 0.0565031782
15240 0.0565015384
15291 0.0565010993
15303 0.0565003079
15336 0.0564999781
15406 0.0564998127
15423 0.0564993812
15424 0.0564993735
15436 0.0564991248
15536 0.0564988181
15555 0.0564987665
15571 0.0564978866
15576 0.0564978069
15683 0.0564976845
15717 0.0564974923
15793 0.0564974418
15811 0.0564971072
15946 0.0564971009
15977 0.0564970150
15987 0.0564970119
15994 0.0564969891
16001 0.0564969669
16080 0.0564969401
16104 0.0564969110
16139 0.0564968326
16161 0.0564967687
16408 0.0564967672
16441 0.0564967637
16471 0.0564967439
16484 0.0564966913
16613 0.0564966805
16654 0.0564966521
16701 0.0564966453
16960 0.0564966422
17115 0.0564966396
17147 0.0564966379
17150 0.0564966371
17163 0.0564966359
17240 0.0564966330
17404 0.0564966321
17417 0.0564966311
17481 0.0564966308
17605 0.0564966304
17693 0.0564966303
17724 0.0564966302
