evaluations raw_y
1 96.0382886604
3 35.3149163895
4 29.7802956258
5 28.3585976261
7 16.2278393098
13 14.2467961392
75 10.6605565055
123 10.0226136479
367 8.4076734824
437 5.5519518114
551 4.2962066057
643 2.5243925169
892 2.2914602198
894 2.2490106558
964 2.1514622599
1041 1.2204369595
1388 0.8014882272
1531 0.7023784036
1582 0.6100970169
1689 0.2409235482
2202 0.1968001319
2330 0.1281890573
2922 0.0963581620
3060 0.0746897903
3134 0.0697174356
3178 0.0629396855
3361 0.0252361387
4343 0.0245615428
4346 0.0201779510
4496 0.0158548476
4577 0.0084324500
4923 0.0076755252
5017 0.0073049603
5045 0.0060448077
5109 0.0033904166
5340 0.0020442203
5608 0.0012418305
5973 0.0009862738
5986 0.0009795247
6298 0.0008295519
6392 0.0007990864
6402 0.0007757087
6554 0.0007102349
6599 0.0007011093
6621 0.0005460076
6781 0.0003756685
6798 0.0003016884
6860 0.0001946559
7021 0.0001875261
7074 0.0001340284
7273 0.0001247341
7417 0.0001192010
7449 0.0000849718
7540 0.0000647581
7781 0.0000463054
7964 0.0000316358
8073 0.0000308601
8119 0.0000244192
8303 0.0000091603
9268 0.0000077900
9323 0.0000012043
9652 0.0000009452
9704 0.0000007142
9976 0.0000006783
10073 0.0000004474
10564 0.0000003854
10688 0.0000003367
10707 0.0000002873
10719 0.0000002481
10873 0.0000002249
11213 0.0000001080
11356 0.0000001012
11420 0.0000000779
11655 0.0000000714
11685 0.0000000524
11908 0.0000000214
12332 0.0000000203
12351 0.0000000190
12439 0.0000000077
12858 0.0000000076
12862 0.0000000068
12884 0.0000000064
12954 0.0000000040
12974 0.0000000029
12987 0.0000000024
13339 0.0000000016
13404 0.0000000014
13424 0.0000000014
13425 0.0000000011
13443 0.0000000008
13517 0.0000000007
13649 0.0000000007
13712 0.0000000004
14011 0.0000000003
14013 0.0000000003
14045 0.0000000008
evaluations raw_y
1 171.2082962556
3 74.9073750326
10 59.1137470050
15 56.7524485129
44 51.9681749147
56 33.9788728394
61 29.3220137772
114 29.0198369909
119 25.8552121780
137 23.8945906709
202 21.6056765677
206 18.3567147858
263 18.1262926429
457 16.7678351475
459 13.1263813281
707 13.0359852928
708 10.8513188672
722 10.6150739810
745 9.1284314026
933 8.3678402507
1001 5.6013162001
1011 4.7383842514
1050 4.1603669103
1132 3.3887175194
1134 3.0986826318
1348 3.0817001231
1413 2.5443088664
1514 2.1298849122
1594 1.9272640562
1639 1.6393562398
1707 1.6335342437
1713 1.0118961350
1769 1.0106118772
1898 0.8886825641
1964 0.6263369404
2180 0.4876833067
2336 0.4531268121
2452 0.3272956157
2508 0.2271556433
2663 0.2171783122
2929 0.2099723879
3019 0.2012627959
3032 0.1300462328
3115 0.0962060237
3410 0.0818631862
3501 0.0787320431
3593 0.0671777835
3702 0.0561566736
3904 0.0333523140
3942 0.0332976473
4267 0.0247409596
4530 0.0231287593
4786 0.0130442648
4995 0.0054711865
5294 0.0029823957
6023 0.0009394901
6247 0.0009319820
6887 0.0007585446
6960 0.0006120584
7079 0.0006028483
7103 0.0005592479
7177 0.0005242758
7305 0.0002472621
7656 0.0002358272
7695 0.0001913569
7713 0.0001162377
7840 0.0001044447
8052 0.0000822206
8228 0.0000712839
8255 0.0000674832
8280 0.0000596958
8440 0.0000313299
8608 0.0000307761
8682 0.0000302924
8721 0.0000240979
8753 0.0000180932
9064 0.0000135649
9378 0.0000122950
9398 0.0000111042
9479 0.0000107200
9566 0.0000076205
9592 0.0000066762
9812 0.0000052266
9978 0.0000050346
10015 0.0000047180
10048 0.0000042035
10092 0.0000039892
10221 0.0000021720
10281 0.0000015510
10512 0.0000006397
10813 0.0000005996
10877 0.0000005799
11004 0.0000005498
11057 0.0000004994
11077 0.0000004591
11172 0.0000004371
11176 0.0000003938
11222 0.0000002858
11560 0.0000002798
11580 0.0000002767
11600 0.0000002297
11828 0.0000002085
11879 0.0000001670
11940 0.0000001600
12045 0.0000001414
12096 0.0000000804
12343 0.0000000751
12361 0.0000000689
12481 0.0000000651
12489 0.0000000615
12500 0.0000000421
12627 0.0000000299
12723 0.0000000295
12774 0.0000000289
12810 0.0000000202
12842 0.0000000185
12850 0.0000000175
12895 0.0000000119
13166 0.0000000109
13179 0.0000000106
13193 0.0000000077
13235 0.0000000062
13320 0.0000000030
13588 0.0000000024
13652 0.0000000017
13671 0.0000000011
13801 0.0000000006
14137 0.0000000003
14414 0.0000000002
14652 0.0000000002
14723 0.0000000002
14776 0.0000000001
15040 0.0000000000
15240 0.0000000000
15414 0.0000000001
evaluations raw_y
1 134.3741375896
2 96.6997222768
9 69.8378689838
16 66.1771524344
23 58.0009955671
56 42.8098790310
59 38.8544728033
107 34.8154348526
111 24.2580014599
181 22.8859667366
182 15.1201953264
291 10.8150426433
599 7.2105105273
731 3.2107928877
1165 1.6481464406
1570 1.5953171163
1634 1.3938099217
1795 1.3664248542
1797 1.3197191212
1826 1.0909935972
1863 0.7975118886
2261 0.1965496649
3160 0.1706981706
3289 0.1643015869
3354 0.1606998581
3361 0.1186913338
3696 0.1140717417
3697 0.0943024862
3769 0.0916470980
3842 0.0787703326
3881 0.0683110911
4099 0.0540621293
4256 0.0512877575
4275 0.0291701225
4779 0.0263328741
5088 0.0255357300
5092 0.0178984189
5138 0.0161266659
5226 0.0060853653
5621 0.0053685432
5808 0.0053229495
5928 0.0040665459
6021 0.0034228124
6194 0.0015475378
6560 0.0014690302
6621 0.0014073913
6714 0.0011786633
6778 0.0003506247
7265 0.0002536987
7483 0.0002441879
7754 0.0002249274
7782 0.0002169182
7842 0.0002099426
7845 0.0001639184
8084 0.0001501938
8219 0.0000969774
8277 0.0000902069
8336 0.0000860124
8535 0.0000710301
8589 0.0000561266
8593 0.0000414095
8608 0.0000400658
8639 0.0000314942
8841 0.0000295387
8980 0.0000284276
8992 0.0000248319
9118 0.0000241330
9184 0.0000206675
9198 0.0000168412
9720 0.0000069610
10333 0.0000064903
10342 0.0000028412
10641 0.0000017127
10662 0.0000013684
10971 0.0000008774
11098 0.0000008076
11171 0.0000006396
11242 0.0000006239
11324 0.0000004497
11630 0.0000004379
11678 0.0000004064
11698 0.0000003338
11741 0.0000001778
12320 0.0000001730
12345 0.0000001291
12498 0.0000001005
12621 0.0000000950
12749 0.0000000929
12773 0.0000000692
12987 0.0000000687
12988 0.0000000370
13114 0.0000000336
13134 0.0000000145
13420 0.0000000053
13550 0.0000000042
13697 0.0000000037
14021 0.0000000033
14056 0.0000000021
14096 0.0000000014
14231 0.0000000010
14487 0.0000000006
14633 0.0000000005
14662 0.0000000004
14775 0.0000000004
14778 0.0000000004
14855 0.0000000003
14953 0.0000000003
14973 0.0000000001
15102 0.0000000001
15185 0.0000000001
15459 0.0000000001
15487 0.0000000000
15702 0.0000000000
15861 0.0000000000
16008 0.0000000000
16056 0.0000000000
16250 0.0000000000
evaluations raw_y
1 251.2780044356
2 198.2996891632
3 97.8981588032
4 82.0518442769
9 69.7638515540
12 48.2650151666
22 37.1837196608
82 37.2239046875
95 28.5542749186
158 26.7081601395
184 22.5035962910
333 19.0310899136
388 18.2614272777
474 15.0855575419
660 13.5095066657
699 12.3575236413
766 11.0210625773
858 7.1112757152
1065 3.2143128754
1373 3.0362073811
1433 1.7466071228
1664 1.5598459768
1769 0.7525566997
1988 0.4585976271
2494 0.4278474793
2534 0.2871303387
2752 0.2820145448
2920 0.2082232934
2959 0.1658656834
3076 0.1412944131
3122 0.1365106163
3283 0.1279740061
3589 0.1066468945
3684 0.1024506561
3685 0.0937951225
3708 0.0929815900
3711 0.0753340359
3721 0.0656115543
3767 0.0640903965
3817 0.0438925444
3879 0.0436317512
4070 0.0417787120
4338 0.0416844905
4350 0.0395009498
4352 0.0371501496
4354 0.0343662909
4496 0.0265489365
4545 0.0249386704
4663 0.0144772743
4944 0.0114465686
5066 0.0112182016
5075 0.0074975069
5478 0.0072820564
5479 0.0029369861
5848 0.0014661064
6112 0.0012224376
6169 0.0006026171
6659 0.0003599030
7017 0.0002426344
7179 0.0002193974
7250 0.0001697689
7508 0.0001105569
7730 0.0000788335
8088 0.0000756515
8192 0.0000755233
8269 0.0000354523
8296 0.0000343158
