evaluations raw_y
1 257.6110758257
4 131.0576136231
5 14.8826876855
13 12.5759210343
14 10.0104078219
20 8.2632080049
27 7.7595190962
30 6.2830838084
84 2.4251529115
454 2.2460962670
520 0.7867872073
566 0.1312242874
3361 0.0270386843
17455 0.1492253611
evaluations raw_y
1 9.4404178465
7 8.1466692144
15 7.8913250059
29 5.0743345315
31 1.1642102068
141 0.0860452682
1248 0.0811203996
1964 0.0806087400
2860 0.0367640106
7295 0.0367261375
7300 0.0357450257
7329 0.0334125034
7522 0.0333198759
7635 0.0326965839
7655 0.0303485974
7769 0.0282012798
7839 0.0277031902
8064 0.0274739690
8124 0.0271559281
8253 0.0264161545
8316 0.0258441527
8445 0.0252240518
8774 0.0249455035
9252 0.0248322022
9369 0.0247789768
9464 0.0247056654
9620 0.0246013732
9663 0.0245883388
9725 0.0245813386
9783 0.0245316634
9832 0.0244833462
9867 0.0243670876
9954 0.0243452338
10073 0.0242497773
10273 0.0242321651
10292 0.0242086159
10322 0.0241922767
10377 0.0241581680
10393 0.0241462436
10438 0.0240235344
10469 0.0239878898
10515 0.0239173746
10640 0.0238399408
10897 0.0238164850
11191 0.0238054235
11202 0.0238033130
11326 0.0237652719
11411 0.0237627185
11427 0.0237192507
11497 0.0237179558
11620 0.0236903555
11806 0.0236678721
11982 0.0236652947
12073 0.0236489773
12095 0.0236281235
12176 0.0236057537
12225 0.0236017636
12666 0.0235971430
12696 0.0235960995
12725 0.0235813220
13236 0.0235797368
13266 0.0235793547
13305 0.0235781416
13317 0.0235780337
13390 0.0235779873
13418 0.0235764429
13493 0.0235729552
13564 0.0235726763
13678 0.0235705517
13794 0.0235667990
13828 0.0235667533
14004 0.0235663972
14156 0.0235661595
14268 0.0235648120
14443 0.0235646524
14555 0.0235641323
14881 0.0235639539
14935 0.0235635298
15211 0.0235632725
15316 0.0235630986
15408 0.0235629977
15483 0.0235629538
15566 0.0235628875
15655 0.0235627289
15755 0.0235625618
15878 0.0235624473
15984 0.0235624061
16008 0.0235622453
16244 0.0235622009
16326 0.0235621381
16581 0.0235620914
16722 0.0235620692
16739 0.0235620379
16768 0.0235620282
16857 0.0235620148
16866 0.0235619950
16899 0.0235619773
16936 0.0235619529
17016 0.0235619112
17062 0.0235619020
17118 0.0235618949
17230 0.0235618812
17295 0.0235618730
17457 0.0235618589
17609 0.0235618472
17652 0.0235618382
17660 0.0235618262
17752 0.0235619254
evaluations raw_y
1 89.8348185391
5 34.3930116774
11 29.1107357609
12 16.9210161456
20 16.7448530751
25 11.5171196539
37 6.6474868736
40 4.0463171818
66 2.9116314363
151 1.4628377528
455 0.7408049637
536 0.6191196211
815 0.2797137636
1447 0.2219213869
1876 0.2093839845
1995 0.0698126735
4035 0.0587480213
4166 0.0157577117
5223 0.0157081778
5239 0.0066375784
5511 0.0059312582
5601 0.0053870010
5711 0.0038784853
5802 0.0026808944
6115 0.0026444803
6160 0.0025491047
6168 0.0024252069
6362 0.0023243884
6420 0.0023075725
6470 0.0021628854
6499 0.0020575790
6511 0.0019138811
6571 0.0014384221
6584 0.0013569749
6620 0.0008610821
6716 0.0008190441
6728 0.0007581005
6783 0.0006218535
6856 0.0002507693
7000 0.0001251519
7075 0.0000850929
7161 0.0000551955
7167 0.0000033423
7227 0.0000029842
7282 0.0000027886
7420 0.0000027352
7441 0.0000001414
7762 0.0000000545
8200 0.0000000453
8227 0.0000000231
8491 0.0000000187
8525 0.0000000030
8690 0.0000000026
8725 0.0000000020
8828 0.0000000011
8999 0.0000000011
9062 0.0000000005
9069 0.0000000004
9182 0.0000000002
9231 0.0000000002
9269 0.0000000001
9425 0.0000000001
9427 0.0000000001
9526 0.0000000000
9560 0.0000000000
9639 0.0000000000
9719 0.0000000000
9779 0.0000000000
