evaluations raw_y
1 103.7806942402
2 93.8869128651
12 89.1545804703
13 89.0376140728
24 88.6912284269
35 88.2679624190
43 87.8654309269
55 86.7020649903
63 86.4494224058
76 86.3679332334
84 86.3580571281
85 85.6158099583
131 84.9316646006
208 84.7411038146
223 83.8924663360
239 83.2184129021
274 77.9235316970
366 77.8251400582
424 76.0512225433
951 74.0131022209
1145 73.0719236002
1227 72.4148627167
1229 72.1187346856
1244 71.4022608947
1257 70.6208124345
1291 67.8330218907
1344 67.6721130773
1368 67.0485051862
1456 65.9690637731
1470 65.6657597892
1499 60.8401451040
1519 50.3455972222
1677 37.4507647705
1763 34.6046002110
1925 33.3695883480
1941 24.7583372470
1961 18.8983024703
2034 17.6521432605
2225 15.8658520445
2231 15.6834365028
2261 12.3790186381
2299 11.0798498500
2371 10.8759664308
2378 6.4740962430
2714 5.6156827007
2746 2.5327126986
2992 2.2166352863
3002 2.1032072792
3004 1.1634570437
3131 1.1115960564
3378 1.0836518002
3453 0.6507635006
3461 0.6142691127
3468 0.5305901590
3532 0.5062005544
3553 0.4969554636
3554 0.4441912924
3737 0.2329526647
3853 0.1644735313
4004 0.1550503861
4066 0.1507530988
4127 0.1386350917
4300 0.1208247884
4379 0.1172308894
4475 0.0981515450
4634 0.0807283971
4681 0.0693255550
4814 0.0476458069
4869 0.0393523367
4958 0.0304546142
5067 0.0210344568
5182 0.0204883477
5259 0.0066310071
5631 0.0065334224
5709 0.0050223700
5923 0.0048936006
5966 0.0042873775
5977 0.0040809993
5980 0.0040197513
6033 0.0037159310
6085 0.0036293621
6103 0.0033524822
6118 0.0029231383
6512 0.0020227014
6561 0.0011027362
6615 0.0010692094
6661 0.0010209444
6674 0.0009245528
6677 0.0008849466
6815 0.0008293350
6880 0.0006335589
6961 0.0005152170
7101 0.0003218687
7234 0.0003192242
7368 0.0002825362
7569 0.0002783503
7616 0.0002508604
7637 0.0002226608
7649 0.0002065001
7742 0.0001519037
7774 0.0000912353
7911 0.0000878330
7916 0.0000804699
7918 0.0000776642
8081 0.0000740786
8096 0.0000736703
