evaluations raw_y
1 137.0698822133
2 119.0156744452
3 113.3661146216
9 105.6145466837
10 91.4559294352
46 89.3858491295
58 85.9805389888
61 82.4094320150
65 77.7050412238
81 65.3795820597
104 47.7142063270
116 44.9619315855
131 11.1069923993
171 9.8553416380
188 3.9968912919
211 1.6096054183
252 0.0000000000
417 5.4969158893
evaluations raw_y
1 89.7261216557
2 64.3049936015
4 53.9824467972
8 43.0548022958
11 36.3577357581
14 23.6806240355
28 23.1383187379
40 15.8406730190
64 8.2588104796
68 6.8457653839
112 5.9584440532
113 3.1027664994
115 2.1160517957
162 0.0000000000
289 1.7840275483
evaluations raw_y
1 48.5653802453
3 42.2887365084
4 42.1378843758
7 19.5466954703
8 11.9928164762
10 9.1766477599
59 7.6431109481
82 7.3791346045
90 5.9523897721
109 5.4225703566
110 5.3275701635
132 4.6534829506
133 1.9970944905
151 0.0000000000
288 0.5968995481
evaluations raw_y
1 69.4873689658
2 65.1910055931
9 53.0918550530
22 48.2336768355
31 39.3234426456
40 37.2534660420
45 30.3415408455
54 26.6171213708
62 25.3816231625
64 22.1623235377
67 13.1732949005
78 10.3510588700
88 8.9863985387
92 8.8481304562
106 7.7458448282
107 3.3960266527
151 1.3306944548
153 0.0000000000
291 0.0000000000
evaluations raw_y
1 69.4873689658
2 65.1910055931
9 53.0918550530
22 48.2336768355
31 39.3234426456
40 37.2534660420
45 30.3415408455
54 26.6171213708
62 25.3816231625
64 22.1623235377
67 13.1732949005
78 10.3510588700
88 8.9863985387
92 8.8481304562
106 7.7458448282
107 3.3960266527
151 1.3306944548
153 0.0000000000
291 0.0000000000
evaluations raw_y
1 48.5653802453
3 42.2887365084
4 42.1378843758
7 19.5466954703
8 11.9928164762
10 9.1766477599
59 7.6431109481
82 7.3791346045
90 5.9523897721
109 5.4225703566
110 5.3275701635
132 4.6534829506
133 1.9970944905
151 0.0000000000
288 0.5968995481
evaluations raw_y
1 20.4474081966
13 17.3182147549
22 12.8542579746
28 9.7049855543
61 8.7275964071
66 6.7386324479
93 4.7465528938
104 3.0778104632
129 2.4397483399
159 2.0924403711
175 0.6249028741
188 0.0000000000
340 0.0000000000
evaluations raw_y
1 45.5947150587
10 32.3009452280
12 9.8411857502
60 9.0988656078
62 3.1796441545
68 2.7175985454
73 0.2462540988
86 0.0000000000
240 0.0000000000
evaluations raw_y
1 137.0698822133
2 119.0156744452
3 113.3661146216
9 105.6145466837
10 91.4559294352
46 89.3858491295
58 85.9805389888
61 82.4094320150
65 77.7050412238
81 65.3795820597
104 47.7142063270
116 44.9619315855
131 11.1069923993
171 9.8553416380
188 3.9968912919
211 1.6096054183
252 0.0000000000
417 5.4969158893
evaluations raw_y
1 97.7263828514
2 72.4458344428
4 58.1429488557
5 56.6086769434
8 50.9409914410
11 33.9056312211
14 19.1524322714
28 17.9612871527
40 14.1726418983
64 9.0299725906
72 0.0000000000
297 10.7397468435
evaluations raw_y
1 97.7263828514
2 72.4458344428
4 58.1429488557
5 56.6086769434
8 50.9409914410
11 33.9056312211
14 19.1524322714
28 17.9612871527
40 14.1726418983
64 9.0299725906
72 0.0000000000
297 10.7397468435
evaluations raw_y
1 48.5653802453
3 42.2887365084
4 42.1378843758
7 19.5466954703
8 11.9928164762
10 9.1766477599
59 7.6431109481
82 7.3791346045
90 5.9523897721
109 5.4225703566
110 5.3275701635
132 4.6534829506
133 1.9970944905
151 0.0000000000
288 0.5968995481
evaluations raw_y
1 89.7261216557
2 64.3049936015
4 53.9824467972
8 43.0548022958
11 36.3577357581
14 23.6806240355
28 23.1383187379
40 15.8406730190
64 8.2588104796
68 6.8457653839
112 5.9584440532
113 3.1027664994
115 2.1160517957
162 0.0000000000
289 1.7840275483
evaluations raw_y
1 89.7261216557
2 64.3049936015
4 53.9824467972
8 43.0548022958
11 36.3577357581
14 23.6806240355
28 23.1383187379
40 15.8406730190
64 8.2588104796
68 6.8457653839
112 5.9584440532
113 3.1027664994
115 2.1160517957
162 0.0000000000
289 1.7840275483
evaluations raw_y
1 45.5947150587
10 32.3009452280
12 9.8411857502
60 9.0988656078
62 3.1796441545
68 2.7175985454
73 0.2462540988
86 0.0000000000
240 0.0000000000
