evaluations raw_y
1 1102132.1049170052
9 1006740.4125377248
11 997228.9833880910
13 968189.4539142881
15 578048.2377486750
17 569076.2411656703
39 347616.3892693073
59 322627.2974027808
64 271411.3743985419
119 197703.2882813137
132 119923.1346042584
156 114456.7044461038
166 111161.4090948180
194 43348.7838521367
247 15874.4270200211
292 1837.6721259254
13583 25899713173.3969573975
evaluations raw_y
1 714693.5009815587
3 580843.8765178653
8 568450.8130829318
11 387992.1914054396
14 355031.6060748090
17 309878.7383980221
21 249405.9985356066
65 148538.2783366385
112 97759.0356100739
140 42297.7364458363
171 18573.1033012934
249 14220.8287453335
374 13353.8969418128
549 2260.8888208075
10064 1748.4037912490
12050 83235189.3895755410
evaluations raw_y
1 1571288.0503391610
2 1202590.2908801269
7 1009401.1856236928
16 595303.3708193559
19 581025.4708096036
23 578704.8428485778
39 577157.8614022632
53 558863.6589565478
60 533238.2910161593
69 342285.1519593763
101 337516.0759023452
108 324795.1032906423
114 224910.1508990164
152 197458.5986509503
154 171055.9624611907
234 88206.6675290343
338 81291.5235660925
468 8574.7877769210
803 3737.3734409653
9330 2264.7608100061
11897 1716391775.9781525135
evaluations raw_y
1 1321336.1540606443
8 855880.0433904649
27 801688.4571705005
39 611274.8848338953
59 603893.9677359548
63 395287.6204523717
124 324327.8732140228
157 219573.6668622592
182 104464.4988675220
319 70122.3449106970
411 34299.1644365801
421 19342.2705523108
562 16263.3797899353
566 11774.5690124014
686 6192.8573614975
9050 3725.1582104317
13345 144596407076.8495788574
evaluations raw_y
1 2205689.0957979588
2 789836.4340185993
5 540408.4924046692
14 306119.8856078914
60 202651.7287397000
65 124039.9148970194
93 113365.5346544609
127 32457.6273362565
167 30345.2956074082
177 17301.4360538352
234 12555.3908118767
267 2105.2760502373
469 1969.3637901180
8908 1860.5899708317
8931 1043.6469760590
13397 759931980303.7795410156
evaluations raw_y
1 980384.9315034474
11 832283.7639103065
13 694896.3700528839
19 577224.8036403527
28 498143.2510066746
77 465360.1891582432
79 414383.7767266380
96 320780.3230049401
116 255736.5181642518
159 243640.0800106721
166 191400.8028768194
169 169012.5672804258
203 108961.7848229279
309 78383.1859611388
319 38170.6038384750
398 17886.9760206037
430 981.4967795976
10719 958.9114181488
10744 839.3437057427
10752 672.6492937034
11200 492.3682183324
11736 405.9816478965
11819 343.3417207318
12133 326.2291295358
12143 209.2848745941
12324 184.5212278992
12499 146.9093505218
12868 144.3481622712
12997 109.9172960422
13149 95.3087801201
13243 68.8749942074
13448 65.1108349617
13576 62.5714431117
13598 52.5528779938
13643 51.0628438143
13661 49.9595379390
13681 48.4027608900
13894 44.2754209481
14048 31.7969939881
14140 31.3361609584
14157 29.1779120070
14279 19.1471852860
14597 18.4498921400
14684 15.2315754037
14703 15.1300616629
14757 10.1211206605
15146 8.6020462207
15375 6.5672047192
15458 5.0997174688
16095 3.2430121399
16398 3.1092851286
16453 1.4155230333
17299 1.4094857460
17381 0.9292303124
17793 0.8989818812
17940 0.8316557301
18062 0.7174695436
18228 0.3683226778
18685 0.2748527958
19026 0.2637087453
19151 0.2278048712
19271 0.2240098395
19527 0.2112483246
19666 0.1045618610
20128 0.1001698170
20158 0.0817464491
20160 0.0804443885
20437 0.0778751973
20444 0.0755141296
20551 0.0660322015
20704 0.0646402917
20749 0.0557324043
20814 0.0430700671
20960 0.0424645682
21001 0.0390939202
21089 0.0352379683
21318 0.0257232118
21380 0.0212108546
21489 0.0186119772
21561 0.0180256774
21625 0.0169178279
21838 0.0162311735
21888 0.0125260226
22103 0.0121761508
22119 0.0095137301
22299 0.0089619413
22320 0.0087246226
22370 0.0082827524
22472 0.0081353944
22562 0.0076114372
22743 0.0047644607
22977 0.0046870903
23167 0.0035288983
23334 0.0032602556
23441 0.0026150232
23442 0.0025310869
23516 0.0024923319
23547 0.0018336961
23722 0.0014205638
24053 0.0008766223
24743 0.0008411661
24843 0.0007074013
25331 0.0006559361
25353 0.0005665118
25391 0.0005186098
25504 0.0004016401
25573 0.0003954545
25579 0.0003597394
25807 0.0003394314
25835 0.0003313029
25886 0.0002821437
25971 0.0002549687
26012 0.0002000513
26052 0.0001911383
26326 0.0001627758
26437 0.0001395385
26503 0.0001244682
26641 0.0001141191
26697 0.0000923893
26802 0.0000831003
27031 0.0000800750
27033 0.0000549806
27322 0.0000423458
27579 0.0000366929
27625 0.0000302796
27720 0.0000298452
27857 0.0000294906
27880 0.0000254123
27941 0.0000185353
28114 0.0000162859
28169 0.0000159210
28206 0.0000158944
28220 0.0000153163
28313 0.0000150795
28367 0.0000110075
28373 0.0000103713
28610 0.0000084970
28715 0.0000045083
28936 0.0000036887
29430 0.0000033443
29476 0.0000029641
29518 0.0000017605
29539 0.0000017283
30469 0.0000017281
30553 0.0000016566
30597 0.0000009581
30809 0.0000009527
30810 0.0000008807
31150 0.0000008167
31220 0.0000005183
31600 0.0000005091
31661 0.0000005076
31820 0.0000004718
31836 0.0000003943
31934 0.0000002948
32160 0.0000001873
32249 0.0000001865
32321 0.0000001649
32463 0.0000001593
32564 0.0000001054
32689 0.0000001023
32758 0.0000001003
32881 0.0000000997
33079 0.0000000927
33144 0.0000000715
33326 0.0000000705
33353 0.0000000569
33416 0.0000000546
33590 0.0000000540
33597 0.0000000525
33658 0.0000000362
33879 0.0000000295
33907 0.0000000276
33931 0.0000000261
34032 0.0000000241
34166 0.0000000204
34335 0.0000000182
34372 0.0000000169
34418 0.0000000159
34518 0.0000000154
34556 0.0000000104
34851 0.0000000057
35777 0.0000000052
35852 0.0000000039
35970 0.0000000034
36013 0.0000000032
36065 0.0000000026
36343 0.0000000022
36466 0.0000000020
36522 0.0000000016
36731 0.0000000014
36891 0.0000000013
36942 0.0000000013
36995 0.0000000013
37010 0.0000000011
37160 0.0000000010
37235 0.0000000008
37362 0.0000000007
37391 0.0000000007
37469 0.0000000006
37554 0.0000000006
37639 0.0000000005
37660 0.0000000004
37944 0.0000000003
38025 0.0000000002
38275 0.0000000002
38521 0.0000000002
38627 0.0000000002
39145 0.0000000002
39214 0.0000000002
39264 0.0000000002
39267 0.0000000002
39278 0.0000000002
