evaluations raw_y
1 34232390.5423539579
2 26742437.1207271107
3 11487093.3960984703
7 372782.4835258119
54 260550.7494470606
58 38706.1882885238
62 26281.9509418743
65 12055.3735051969
126 2748.8639926688
160 8.9393573960
944 7.0153429688
1143 2.1982699924
1782 2.1458557712
1789 2.0676620993
1903 1.5747363507
2021 0.1842641905
2239 0.0070644555
3180 0.0024383250
3463 0.0020032715
3510 0.0013465322
3583 0.0001831966
3670 0.0001693145
3924 0.0000192367
4484 0.0000046696
4603 0.0000016976
4962 0.0000001648
5178 0.0000001096
5214 0.0000000126
5291 0.0000000063
5643 0.0000000001
6840 0.0000000000
7001 0.0000000000
7236 0.0000000000
7398 0.0000000000
7956 0.0000000000
7957 0.0000000000
8517 0.0000000000
9116 0.0000000000
evaluations raw_y
1 1831537.4673817514
2 282207.3148547481
7 28.3665973144
239 12.1885213933
2517 12.1378280116
2543 11.4801747907
2582 11.4231393828
2593 9.8773102440
2640 9.4122842966
2643 9.0873290201
2645 9.0620850298
2750 8.9391736519
2787 8.8251721311
2858 8.3844812255
2900 7.9145559112
2954 7.6030202857
3056 6.1399133130
3087 5.4140036540
3148 4.7834589669
3260 3.0577044005
3267 2.3463240506
3366 2.0271759533
3383 2.0236898494
3398 1.1323312259
3401 0.3709486704
3509 0.0138470115
3933 0.0034835625
4315 0.0031505402
4345 0.0001977503
4981 0.0000987126
5047 0.0000569522
5204 0.0000435124
5289 0.0000367126
5292 0.0000330565
5305 0.0000272062
5383 0.0000091775
5412 0.0000091630
5448 0.0000073711
5574 0.0000061279
5642 0.0000051071
5650 0.0000016898
5750 0.0000012899
5759 0.0000008250
5830 0.0000002341
5921 0.0000001351
6221 0.0000000184
6327 0.0000000044
6839 0.0000000022
7017 0.0000000000
7808 0.0000000000
7924 0.0000000000
8064 0.0000000000
8153 0.0000000000
8261 0.0000000000
8872 0.0000000000
9656 0.0000000000
evaluations raw_y
1 413145.7689608610
29 121800.9174360034
60 30519.8602860642
65 14920.3440163085
86 13683.2576435149
106 3191.5228425886
151 2489.2987186214
181 167.8086831288
329 56.8679042899
492 2.0222749622
1385 1.9173209285
1401 0.4944806225
1746 0.0814211578
2446 0.0545676312
2481 0.0336107940
2565 0.0313213367
2596 0.0199663660
2712 0.0026176232
3184 0.0025393671
3359 0.0020396454
3742 0.0017436663
3858 0.0000447265
4254 0.0000299586
4540 0.0000204139
4832 0.0000096420
4870 0.0000037823
4876 0.0000028175
5058 0.0000013509
5107 0.0000006017
5427 0.0000004305
5523 0.0000000074
5924 0.0000000025
6521 0.0000000023
6621 0.0000000006
6673 0.0000000006
6733 0.0000000005
6750 0.0000000003
