evaluations raw_y
1 740666845.2913440466
2 231512515.4118032455
15 216680397.3717664182
16 144461684.4374578893
27 130624134.4991764724
36 108021323.9728823602
54 76376502.7197290510
78 56318513.9629342556
88 33921231.1314119622
149 19391770.7425396666
1084 5519166.2241507685
1339 3759927.4166861880
1660 3640129.9796709372
1835 3505056.2129057837
1858 3065356.6880871025
1863 2741904.9011449008
1932 2160813.8903763364
2007 1900731.8944316013
2038 1761891.5630044688
2040 883614.1739431303
2128 513280.4469283863
2355 379830.1783456309
2896 362753.0048144654
2906 344310.9335254800
2973 325359.6829519988
3002 258322.5519608868
3005 249383.2588033392
3065 218970.4441010617
3103 161961.5721428092
3223 45112.1306153990
3508 32024.9039866544
3603 20814.8351999862
3813 14736.4796482961
4034 6594.7830720861
4205 6384.2987409966
4265 4018.2929074907
4447 3240.2871844773
4635 3231.1245276061
4646 2529.0033078291
4799 2222.2359624016
4800 1932.4496456358
4807 1221.1303195451
5011 1176.7235325506
5071 957.7797987009
5123 887.2258389863
5144 696.2440996761
5166 436.3932719112
5227 263.9158818712
5331 237.0733375831
5508 175.6776134100
5677 158.2922604958
5824 47.1131874542
6262 46.0320450703
6413 27.3496041113
6587 26.4429978404
6655 21.8082859674
6723 19.8085617644
6798 15.9263095699
6811 13.4072079255
6944 13.0945862391
6947 7.1381772377
7131 6.9282800664
7139 5.4291409999
7302 4.4491192157
7327 3.7955559730
7494 3.0507260242
7516 2.4127152556
7603 2.2597664518
7658 2.2233649663
7808 2.0815540730
7913 1.7452563654
7951 1.6435379577
8172 1.5579727092
8401 1.4799522807
8627 1.4590104155
8651 1.3870370146
8946 1.3632906454
9228 1.3612234128
9375 1.3589074045
9428 1.3576916521
9448 1.3557389778
9464 1.3523899005
9499 1.3483013243
9602 1.3416131458
9641 1.3413358763
9892 1.3407681633
9970 1.3404038299
10021 1.3397395925
10332 1.3396221679
10402 1.3390998566
10462 1.3389805299
10496 1.3389785469
10515 1.3389272154
10576 1.3389152929
10588 1.3388380947
10592 1.3386926079
10620 1.3384639722
10747 1.3383884230
10752 1.3383217262
10759 1.3383121637
10776 1.3382409020
10963 1.3382361773
11028 1.3381666499
11099 1.3381290943
11103 1.3380672458
11140 1.3378818858
11187 1.3378765921
11433 1.3377814607
11676 1.3377502713
11682 1.3375120559
11852 1.3372551963
12028 1.3372324242
12171 1.3368553994
12632 1.3362303467
12633 1.3360495421
12676 1.3358318830
12732 1.3356630909
12762 1.3335343055
13157 1.3317638202
13407 1.3307151789
13422 1.3290772568
13541 1.3269098480
13905 1.3253881465
13910 1.3239546633
14001 1.3075012363
14286 1.3065609813
14528 1.3041614023
14639 1.2963318865
14735 1.2782947130
14974 1.2679657331
15339 1.2407916778
15388 1.1950170288
15722 1.1520128167
15965 1.1350023662
16021 1.1290200444
16424 1.0923466759
16631 0.9960233537
16764 0.9835752403
17092 0.9572029792
17363 0.9421461202
17508 0.9180974480
17519 0.9169810064
17647 0.9041131202
17702 0.8947863761
17771 0.8544733927
18038 0.8410016671
18102 0.8082971904
18163 0.7823388405
18213 0.7572182994
18357 0.7552929388
18425 0.7539885771
18495 0.7404724172
18545 0.7375848273
18687 0.7172090287
19110 0.7072211425
19241 0.6660886914
19250 0.6437004714
19415 0.6340477371
19436 0.6250577617
19486 0.6230446410
19553 0.6190456324
19587 0.5949481288
19626 0.5844181289
19779 0.5502452570
20164 0.5132139342
20891 0.5128961133
20939 0.4881611558
21030 0.4835293970
21032 0.4209188227
21072 0.4158948888
21343 0.4111026412
21531 0.4004507891
21617 0.3983147488
21650 0.3829107074
21725 0.3793096957
21965 0.3619278005
22072 0.3501496714
22212 0.3477920335
22304 0.3231949791
22364 0.3158401455
22390 0.3150441543
22808 0.2834467773
23019 0.2555972918
23248 0.2394425531
23388 0.2370527107
23507 0.2008838255
23633 0.1919355631
23868 0.1885830630
23952 0.1695332531
24436 0.1159628988
24764 0.1146993119
25229 0.1133683515
25276 0.1117725095
25395 0.1033989948
25409 0.0974393656
25475 0.0736672683
25876 0.0637252344
25983 0.0492096850
26387 0.0435103401
26751 0.0407249558
27168 0.0371786019
27172 0.0337491045
27387 0.0328120497
27422 0.0292188931
27723 0.0262420400
27906 0.0233293146
27982 0.0229173367
28105 0.0200335178
28175 0.0168751735
28702 0.0152537159
28725 0.0145604048
29139 0.0132632675
29425 0.0103021832
29502 0.0095053196
29649 0.0094425299
29692 0.0085541484
29859 0.0079387878
29876 0.0077034357
30038 0.0075562757
30047 0.0064334030
30232 0.0061942912
30452 0.0059976633
30482 0.0058986492
30508 0.0053580684
30612 0.0049662607
30853 0.0041554366
31329 0.0035772200
31346 0.0034682361
31398 0.0033893115
31530 0.0023051564
31738 0.0018694325
32781 0.0017986071
32856 0.0017322737
32993 0.0016917609
33085 0.0016246351
33094 0.0014188994
33100 0.0013376042
33262 0.0011978248
33329 0.0008380366
34351 0.0007750714
34676 0.0007614157
34677 0.0006888908
34852 0.0005771001
34996 0.0005413312
35231 0.0005282585
35590 0.0005146839
35616 0.0005114479
35678 0.0004404722
35814 0.0004163350
35856 0.0003471063
36270 0.0003466669
36332 0.0002896143
36503 0.0002521915
36661 0.0002204457
37044 0.0002060217
37290 0.0002049868
37319 0.0001924019
37329 0.0001652665
37387 0.0001627202
37464 0.0001563331
37577 0.0001514680
37616 0.0001216624
37698 0.0001153736
38221 0.0000982514
38265 0.0000915191
38672 0.0000904664
38868 0.0000881712
39083 0.0000702843
39971 0.0000551138
40312 0.0000547184
40319 0.0000473113
40395 0.0000403097
40484 0.0000367481
40840 0.0000357756
41078 0.0000321065
41289 0.0000316312
41315 0.0000300025
41332 0.0000293665
41352 0.0000277365
41591 0.0000230017
41886 0.0000215029
42105 0.0000187103
42352 0.0000184438
42472 0.0000181360
42525 0.0000166961
42527 0.0000153265
42691 0.0000150335
42778 0.0000137107
42779 0.0000131066
42903 0.0000102587
