evaluations raw_y
1 315.1305822053
2 75.4891400077
13 31.2913603583
22 10.2962404791
60 7.9043729566
73 5.6032649483
255 2.8572043334
779 2.2369777961
885 2.1813665115
945 1.4375006494
1042 0.8071593142
1183 0.4122381939
1296 0.1823554487
1321 0.1206106082
1593 0.0926715161
2135 0.0467476938
2243 0.0286981799
2277 0.0020644105
3363 0.0015118303
3640 0.0014681294
3724 0.0008136806
3942 0.0005744862
4086 0.0003949456
4213 0.0001536618
4870 0.0001377581
4918 0.0000600285
5072 0.0000358491
5542 0.0000267145
5577 0.0000241412
5602 0.0000006094
6173 0.0000003806
6835 0.0000001780
7197 0.0000001682
7288 0.0000001496
7319 0.0000001425
7389 0.0000000152
7799 0.0000000064
8229 0.0000000057
8606 0.0000000027
8665 0.0000000006
9200 0.0000000003
9433 0.0000000002
9744 0.0000000002
9843 0.0000000002
9897 0.0000000000
11058 0.0000000000
11062 0.0000000000
11213 0.0000000000
11285 0.0000000000
11448 0.0000000000
11457 0.0000000000
11554 0.0000000000
12227 0.0000000000
12453 0.0000000000
12470 0.0000000000
evaluations raw_y
1 2237.0009585543
2 1104.4403656712
3 970.9253171355
5 82.7327031244
11 32.1601083054
18 24.8607266209
74 15.2312309923
141 11.4512416881
165 8.6739921194
257 6.9534468435
514 3.9738007386
593 2.8295323277
755 1.3250270453
772 0.0361698482
1960 0.0336646074
2368 0.0313142874
2505 0.0095839572
2848 0.0085846570
2904 0.0072068999
2918 0.0040852828
3118 0.0037680555
3136 0.0035044455
3399 0.0004437566
4004 0.0002936448
4021 0.0000646033
4505 0.0000565555
4841 0.0000261509
5023 0.0000219810
5554 0.0000101639
6055 0.0000045638
6080 0.0000028806
6094 0.0000022010
6495 0.0000004960
6933 0.0000004844
6968 0.0000003662
7355 0.0000002118
7570 0.0000001446
7867 0.0000000831
7888 0.0000000460
8003 0.0000000257
8102 0.0000000237
8406 0.0000000112
8678 0.0000000074
8688 0.0000000023
9125 0.0000000020
9154 0.0000000019
9246 0.0000000014
9336 0.0000000007
9423 0.0000000006
9941 0.0000000006
9964 0.0000000001
9999 0.0000000001
10612 0.0000000000
10837 0.0000000000
11201 0.0000000000
11320 0.0000000000
11363 0.0000000000
11364 0.0000000000
11717 0.0000000000
12157 0.0000000000
12322 0.0000000000
12441 0.0000000000
12510 0.0000000000
evaluations raw_y
1 935.5264251839
2 711.5107859907
4 542.4174362737
6 337.6700868433
11 109.8571601252
72 72.2822085631
101 61.8919281620
111 37.0868000572
148 14.2353359646
234 3.3252413215
340 2.8832788370
584 0.8885541236
1060 0.1614653916
1152 0.0539058330
1612 0.0354590945
2018 0.0319289327
2280 0.0077320820
2527 0.0067939799
2672 0.0022503630
2746 0.0007578604
3165 0.0000601791
4040 0.0000404679
4749 0.0000300828
4763 0.0000155639
5156 0.0000115909
5195 0.0000062341
5347 0.0000035800
5391 0.0000029845
5722 0.0000008807
6122 0.0000001595
6505 0.0000001217
6781 0.0000000151
7696 0.0000000036
8628 0.0000000001
9749 0.0000000001
10257 0.0000000000
10951 0.0000000000
11081 0.0000000000
11267 0.0000000000
11420 0.0000000000
11551 0.0000000000
11890 0.0000000000
12188 0.0000000000
12380 0.0000000000
13006 0.0000000000
13428 0.0000000000
evaluations raw_y
1 356.3832767505
3 145.7726573816
17 108.3165620880
41 63.3005111768
81 44.1555913561
172 29.6593515977
188 26.7679833595
621 15.5457670352
635 13.9008609744
781 5.5625125717
895 4.1053908316
1065 2.3759064307
1207 2.2054265681
1306 2.0703348894
1340 0.8416435094
1815 0.1657327804
2055 0.1233383464
2185 0.1185767567
2261 0.0494440513
2318 0.0449957066
2481 0.0398219395
2502 0.0384775395
2714 0.0035146209
3649 0.0029822960
3663 0.0023548878
3706 0.0010530547
3870 0.0007738634
4129 0.0006380482
4169 0.0000965989
4462 0.0000674164
4885 0.0000255484
5078 0.0000222590
5412 0.0000056932
5533 0.0000055965
5656 0.0000019118
5970 0.0000014157
6249 0.0000002868
6694 0.0000002117
7184 0.0000000964
7286 0.0000000491
7424 0.0000000195
7768 0.0000000043
8068 0.0000000034
8302 0.0000000032
8741 0.0000000029
8929 0.0000000001
9680 0.0000000000
11645 0.0000000000
11797 0.0000000000
12182 0.0000000000
evaluations raw_y
1 1103.6262389252
3 195.9366176170
4 111.4617437841
10 50.9965178130
28 3.2920927774
550 3.1198909843
641 3.1028894729
721 0.7266566489
879 0.7236266841
984 0.1756384372
1580 0.1271342587
1620 0.0907915585
1919 0.0335967454
2045 0.0060917852
2336 0.0060380368
2341 0.0050595738
2535 0.0024088307
2863 0.0022604283
3040 0.0020835822
3107 0.0009598009
3134 0.0008222711
3225 0.0004236335
3421 0.0001047683
3544 0.0000891772
3615 0.0000571440
