evaluations raw_y
1 3171.3956581555
5 3171.3829744423
14 2037.4390125236
88 1932.0905724860
102 1756.9817540386
123 1487.2236020191
164 1363.1714432934
182 1342.1950350614
185 1122.7138764809
241 1047.6129711636
270 1000.5851432746
274 780.7941488772
353 651.6601496771
1663 550.2148422490
1674 497.7820127226
1727 494.5359490158
1952 462.6695683207
2181 453.3667440476
2262 450.1539800350
2277 366.4576718948
2297 365.0967174241
2344 363.0945607349
2419 284.0730964576
2666 233.8056935708
2953 202.0516744944
3239 181.1261769946
3570 149.4965404105
4079 129.6599937133
4132 124.7516134697
4555 122.6183149614
4727 120.0362304673
5361 117.2857760280
6643 111.0764016370
7729 109.6341720145
8340 102.9545128834
8979 96.0920681209
9200 93.6165847086
9259 89.7371407105
9427 85.5238325729
9460 69.1422244554
9525 53.9920373475
9964 42.0702714966
10245 36.1482916623
10268 27.6998175529
10314 26.4420871382
10561 24.9421554934
10739 24.2383857018
10743 19.8326924104
11110 16.8442676227
11263 15.1209941327
11302 14.3968552294
11419 11.4572050646
11699 9.1214594843
11837 9.0272874710
11902 8.7010175412
11904 8.3024641587
12018 7.1827021686
12256 6.8905465276
12383 6.7542393645
12400 6.0558541953
12482 5.4875471905
13155 5.4674721919
13227 5.4008067230
13335 5.3813843717
13351 5.3728970619
13422 5.3490703779
13429 5.2052987517
13618 5.1837775709
13683 5.1797451961
13732 5.1644906933
13758 5.1610748526
13779 5.1462674030
13785 5.1203043275
13849 5.1172783874
13881 5.1050007623
13990 5.0940351246
14119 5.0690748068
14227 5.0672424499
14322 5.0645668641
14569 5.0643919176
14580 5.0570266543
14588 5.0559612985
14611 5.0461859820
14624 5.0402875024
14640 5.0362064526
14644 5.0255929491
14905 5.0109357570
15262 5.0106372957
15347 5.0030908802
15382 5.0007204340
15399 4.9968724756
15483 4.9955839442
15543 4.9933003491
15642 4.9930580575
15681 4.9902718523
15848 4.9883614447
15923 4.9876020516
16110 4.9872922881
16142 4.9869499218
16249 4.9820619737
16396 4.9800216202
16518 4.9790905601
16626 4.9777277193
16675 4.9773024507
16738 4.9769721824
17030 4.9763591975
17188 4.9760946441
17221 4.9758614555
17311 4.9758193671
17366 4.9757889792
17448 4.9755287809
17452 4.9754643751
17483 4.9754283455
17650 4.9753660937
17656 4.9753646046
17658 4.9753536202
17751 4.9752205200
17849 4.9751139427
17948 4.9751117012
17984 4.9751093142
17992 4.9750727870
18051 4.9750719488
18173 4.9750542386
18174 4.9749817075
18178 4.9749778433
18286 4.9749409425
18301 4.9748854452
18312 4.9748700244
18651 4.9748485564
18967 4.9748398845
19056 4.9748343861
19107 4.9748281755
19115 4.9748259802
19146 4.9748219541
19261 4.9748187769
19397 4.9748179643
19411 4.9748145729
19454 4.9748050842
19776 4.9747992600
20291 4.9747988847
20316 4.9747985797
20336 4.9747984459
20425 4.9747982331
20446 4.9747981796
20450 4.9747978027
20473 4.9747973631
20563 4.9747968602
20616 4.9747968330
20637 4.9747966103
20676 4.9747966041
20746 4.9747964885
20747 4.9747962239
20795 4.9747960761
20904 4.9747959376
21071 4.9747958850
21201 4.9747957224
21327 4.9747956568
21366 4.9747955959
21571 4.9747955833
21680 4.9747955102
21729 4.9747954932
21797 4.9747954895
21807 4.9747954567
21874 4.9747954107
21940 4.9747954107
21942 4.9747954076
21949 4.9747953858
22018 4.9747953781
22050 4.9747953640
22166 4.9747953562
22218 4.9747953554
22225 4.9747953510
22235 4.9747953416
22354 4.9747953397
22410 4.9747953344
22412 4.9747953219
22446 4.9747953197
22464 4.9747953148
22621 4.9747953106
22685 4.9747953096
22763 4.9747953075
22767 4.9747953004
23019 4.9747952985
23086 4.9747952967
23128 4.9747952959
23203 4.9747952935
23302 4.9747952914
23389 4.9747952912
23488 4.9747952900
23550 4.9747952885
23633 4.9747952881
23700 4.9747952881
23889 4.9747952878
23905 4.9747952873
23986 4.9747952870
24019 4.9747952869
