evaluations raw_y
1 120.6809583598
2 55.8116122634
38 57.5733421039
42 54.0603336146
67 50.6259864505
75 42.1588046202
85 38.3309973248
86 32.9984161352
96 20.9506039687
145 16.6588780056
326 15.1718729496
525 14.6032690737
606 13.1387703020
900 11.4734689821
930 6.2282238769
1037 4.6836075996
1191 3.6287361677
1329 3.0718356122
1587 2.3101081775
1767 1.8045118145
1874 1.5646319331
2305 1.4553819657
2425 0.6972234700
2820 0.5999263164
2832 0.5417210751
3207 0.5023525625
3343 0.4725252584
3373 0.4526901383
3409 0.4397854850
3487 0.3515015264
3506 0.3330205286
3532 0.3309746232
3544 0.3108085622
3638 0.2955600992
3804 0.2582281223
3991 0.2560230383
4012 0.1506470799
4113 0.1301106267
4308 0.0847337992
4447 0.0762250451
4626 0.0701735772
4674 0.0514793513
5192 0.0273264251
5620 0.0235189633
5695 0.0158830426
6205 0.0079979259
6567 0.0073263123
6747 0.0050893820
6908 0.0050730189
6959 0.0039780907
7104 0.0035183432
7290 0.0024418519
7618 0.0017183944
7670 0.0013052258
7908 0.0011001700
8073 0.0006854241
8638 0.0005875439
8859 0.0004305309
9035 0.0003187438
9244 0.0003174598
9474 0.0003100858
9476 0.0002397065
9743 0.0001692487
9801 0.0001403817
10142 0.0001311769
10247 0.0001091966
10436 0.0001091529
10475 0.0000739220
10744 0.0000461298
11213 0.0000395004
11238 0.0000316070
11360 0.0000299762
11499 0.0000286499
11638 0.0000285001
11683 0.0000267168
11754 0.0000217745
11811 0.0000170622
11882 0.0000148019
12009 0.0000074336
12603 0.0000066698
12670 0.0000063514
12764 0.0000035264
13072 0.0000016201
13371 0.0000016177
13394 0.0000012962
13477 0.0000008513
13756 0.0000008439
13825 0.0000007989
13829 0.0000007183
14108 0.0000006988
14125 0.0000006379
14131 0.0000006309
14167 0.0000005910
14186 0.0000005837
14188 0.0000005736
14237 0.0000005723
14244 0.0000005449
14367 0.0000004639
14442 0.0000002815
15065 0.0000002508
15191 0.0000002460
15224 0.0000001976
15510 0.0000001908
15513 0.0000001487
15601 0.0000001365
15850 0.0000001301
15933 0.0000000971
15979 0.0000000837
16140 0.0000000741
16197 0.0000000619
16342 0.0000000575
16507 0.0000000532
16531 0.0000000377
16568 0.0000000340
16608 0.0000000278
16612 0.0000000274
16740 0.0000000271
16858 0.0000000227
16919 0.0000000210
16946 0.0000000198
17058 0.0000000110
17127 0.0000000085
17585 0.0000000049
17681 0.0000000036
17738 0.0000000031
17826 0.0000000015
18194 0.0000000012
18377 0.0000000011
18465 0.0000000011
18600 0.0000000010
18726 0.0000000008
18825 0.0000000006
18899 0.0000000005
19002 0.0000000005
19089 0.0000000003
19206 0.0000000003
19292 0.0000000002
19297 0.0000000002
19357 0.0000000002
19462 0.0000000002
19507 0.0000000001
19654 0.0000000008
evaluations raw_y
1 371.6559008940
2 55.7809930754
3 35.1521344409
16 26.6636095567
40 18.6216208877
51 11.5115483318
158 9.6789868823
176 9.6272124512
209 7.0807983930
435 4.4798324897
1012 2.7317306535
1268 1.4858553992
1688 1.2124796251
1776 1.1523101732
1853 1.1307145970
2078 0.9370539718
2313 0.5995402934
2516 0.5712773359
2722 0.3024244470
2786 0.2263304581
3010 0.1335378249
3512 0.1093576009
3779 0.0940259931
3819 0.0865950912
3824 0.0643612651
3842 0.0431682899
4416 0.0304057749
4881 0.0144757457
5135 0.0124360640
5142 0.0106484945
5346 0.0104060063
5588 0.0103946213
5599 0.0088152936
5783 0.0057466603
5876 0.0037594607
6069 0.0029124605
6538 0.0026757843
6754 0.0023711079
6990 0.0016856690
7066 0.0016509007
7309 0.0013179257
7342 0.0011442563
7352 0.0007364564
7905 0.0006187920
7941 0.0004713122
8108 0.0004214026
8113 0.0003123742
8251 0.0002075633
8302 0.0001876057
8807 0.0001728125
9106 0.0001684195
9119 0.0001106879
9210 0.0000635354
9707 0.0000568451
9968 0.0000323241
10266 0.0000319055
10353 0.0000316311
10411 0.0000300095
10540 0.0000292108
10646 0.0000249890
10746 0.0000231583
10886 0.0000221889
11147 0.0000128879
11619 0.0000122151
11717 0.0000121410
11762 0.0000090481
11781 0.0000080151
12111 0.0000060087
12152 0.0000049003
12259 0.0000046245
12454 0.0000031217
12688 0.0000018232
12792 0.0000016602
12942 0.0000011492
13044 0.0000007769
13320 0.0000006590
13328 0.0000006518
13392 0.0000006083
13626 0.0000005489
13682 0.0000005358
13891 0.0000003781
13936 0.0000003199
14243 0.0000003087
14275 0.0000003002
14459 0.0000002991
14522 0.0000002206
14704 0.0000002085
14709 0.0000001958
14773 0.0000001855
14990 0.0000001784
15077 0.0000001784
15109 0.0000001400
15134 0.0000001314
15161 0.0000000980
15178 0.0000000790
15700 0.0000000660
15821 0.0000000576
15869 0.0000000459
15872 0.0000000351
16018 0.0000000271
16058 0.0000000266
16109 0.0000000105
16251 0.0000000061
16852 0.0000000050
16876 0.0000000028
17132 0.0000000017
17565 0.0000000015
17620 0.0000000015
17763 0.0000000012
17770 0.0000000010
17771 0.0000000010
17789 0.0000000009
17829 0.0000000007
17929 0.0000000004
18311 0.0000000004
18333 0.0000000004
18358 0.0000000004
18360 0.0000000003
18411 0.0000000003
18503 0.0000000003
18513 0.0000000003
18541 0.0000000002
18556 0.0000000002
18646 0.0000000001
18744 0.0000000005
evaluations raw_y
1 473.3608197733
2 436.7684521661
3 356.8210557179
4 192.1418666024
7 176.2492813325
17 150.9870058454
22 138.9505509005
23 71.0632550795
68 67.3578764778
93 42.5914239720
123 31.8639516962
167 11.9952479407
817 11.5095239175
849 11.4209839755
858 9.8442697195
911 4.5014262193
918 3.1329971640
1071 2.5249481047
1526 2.3114400037
1588 2.2249288478
1916 1.7249469615
1943 1.3528729815
2089 1.1442695608
2102 0.5668893401
2390 0.4718543479
2908 0.3747801196
3078 0.3638102303
3079 0.2840401078
3270 0.2191947716
3535 0.1726200797
3737 0.1338522932
4079 0.0711366981
4870 0.0601577396
4878 0.0418250606
5398 0.0405980408
5419 0.0256009732
5535 0.0133560647
6188 0.0046678046
7347 0.0045140769
7392 0.0032992888
7400 0.0031929839
7572 0.0030834410
7620 0.0023474799
7672 0.0019806642
7751 0.0016753804
8092 0.0015604611
8094 0.0007032430
8183 0.0006535950
8682 0.0006372725
8765 0.0005131985
8867 0.0004792644
8976 0.0004536242
9015 0.0002852572
9362 0.0002818862
9496 0.0002600294
9530 0.0001943184
9707 0.0001683775
10091 0.0001082269
10403 0.0000794351
10657 0.0000622358
10682 0.0000477461
10822 0.0000418204
10925 0.0000332258
11033 0.0000321301
11088 0.0000280311
11281 0.0000252255
11402 0.0000233087
11458 0.0000224160
11540 0.0000209053
11690 0.0000193793
11792 0.0000185824
11903 0.0000161291
12080 0.0000097753
12195 0.0000080907
12317 0.0000032282
12800 0.0000023079
12890 0.0000019933
13116 0.0000011259
13233 0.0000007885
13719 0.0000007698
13853 0.0000006443
13944 0.0000005951
14012 0.0000005606
14288 0.0000004946
14385 0.0000004765
14411 0.0000004116
14522 0.0000004093
14589 0.0000004005
14667 0.0000003619
14725 0.0000003578
14874 0.0000002893
14990 0.0000002543
15167 0.0000002345
15342 0.0000001855
15494 0.0000001156
15667 0.0000001035
15878 0.0000000821
16163 0.0000000351
16202 0.0000000329
16508 0.0000000306
16551 0.0000000249
16662 0.0000000229
16889 0.0000000215
16891 0.0000000191
16893 0.0000000184
16912 0.0000000127
17117 0.0000000103
17148 0.0000000088
17222 0.0000000062
17436 0.0000000049
17528 0.0000000043
17675 0.0000000039
17678 0.0000000038
17801 0.0000000030
17879 0.0000000023
18038 0.0000000016
18359 0.0000000014
18397 0.0000000012
18476 0.0000000009
18516 0.0000000008
18670 0.0000000008
18710 0.0000000007
18770 0.0000000006
18827 0.0000000006
18864 0.0000000006
18883 0.0000000006
19021 0.0000000006
19048 0.0000000005
19086 0.0000000004
19113 0.0000000003
19214 0.0000000002
19322 0.0000000002
19556 0.0000000001
19814 0.0000000005
evaluations raw_y
1 140.1356544892
3 99.5271675300
4 120.2676870561
5 68.7789815598
12 69.0243638592
20 66.6802724574
35 55.9460199753
36 54.6006487082
43 36.7685333757
60 34.2287496443
64 29.2342546132
91 23.2038615146
191 21.6206498130
337 20.5889014703
383 20.1123040245
533 19.3922335407
636 18.6390142082
681 18.2741813668
722 11.8888595524
790 6.3012470461
1063 5.7241143935
1262 5.7073660084
1265 5.4315003112
1322 4.4184446853
1397 3.0640950745
1446 2.0708296915
1479 1.7136789898
2159 0.9823560346
2446 0.6876201669
2842 0.4140478441
2952 0.4047120369
3314 0.3941374525
3550 0.2427108829
3593 0.2116606051
3730 0.1481437572
3926 0.1435799140
4204 0.1230954473
4340 0.1019724986
4347 0.0953887607
4394 0.0843925768
4446 0.0723287627
4787 0.0360108156
5002 0.0295268834
5277 0.0200466535
5890 0.0164726732
5986 0.0102950272
6431 0.0095460560
6470 0.0086814192
6626 0.0067711979
6853 0.0044700959
6958 0.0041321713
7189 0.0023216779
7641 0.0017954206
7756 0.0012358536
8068 0.0012321722
8294 0.0010215414
8459 0.0009240005
8666 0.0005866908
8737 0.0003060598
9004 0.0001995734
9419 0.0001846953
9523 0.0001735121
9874 0.0001238423
9910 0.0000642679
10315 0.0000547791
10654 0.0000486104
10663 0.0000359498
10795 0.0000319324
10960 0.0000297627
11302 0.0000227023
11372 0.0000162269
11876 0.0000145422
12264 0.0000139601
12288 0.0000073032
12901 0.0000053574
13017 0.0000035539
13128 0.0000019768
13537 0.0000017459
13600 0.0000016760
13650 0.0000015641
13821 0.0000014001
13841 0.0000010851
13927 0.0000009723
13973 0.0000007447
14014 0.0000007160
14116 0.0000005519
14398 0.0000005006
14407 0.0000004816
14486 0.0000004501
14614 0.0000004468
14631 0.0000002908
15204 0.0000002541
15412 0.0000002464
15474 0.0000002124
15614 0.0000001465
15733 0.0000000976
16001 0.0000000970
16202 0.0000000765
16317 0.0000000655
16446 0.0000000408
16759 0.0000000391
16769 0.0000000386
16807 0.0000000322
16925 0.0000000291
17038 0.0000000232
17063 0.0000000230
17204 0.0000000199
17226 0.0000000100
17315 0.0000000095
17547 0.0000000069
17587 0.0000000052
17702 0.0000000045
17835 0.0000000042
17889 0.0000000038
18057 0.0000000029
18121 0.0000000012
18363 0.0000000009
18616 0.0000000007
18804 0.0000000003
19193 0.0000000003
19229 0.0000000003
19452 0.0000000001
19593 0.0000000001
19708 0.0000000001
19777 0.0000000001
19977 0.0000000000
20501 0.0000000000
20525 0.0000000000
20656 0.0000000000
20794 0.0000000000
20933 0.0000000000
21171 0.0000000000
evaluations raw_y
1 94.5726794200
2 85.8747997010
3 53.7804323774
10 34.8223254955
63 9.5002885510
634 6.8921332505
655 5.5547808662
783 4.9593058285
969 4.3705486913
982 4.3643786857
987 2.9969758701
1204 2.6484112361
1605 1.8330241570
1624 1.5994006791
1871 1.1460554813
2416 0.9949446381
2474 0.6991763913
2665 0.6926156040
2914 0.5744572247
3053 0.5194697471
3175 0.3925781402
3262 0.3678370816
3605 0.2697974406
3811 0.2313031717
3996 0.1215189431
4324 0.0848179531
4434 0.0563184337
4693 0.0452400321
5201 0.0435001617
5383 0.0429121574
5416 0.0420575814
5578 0.0405628923
5588 0.0302698945
5719 0.0237101207
5775 0.0133555347
6283 0.0118225718
6575 0.0053826066
7021 0.0047501481
7029 0.0033998095
7249 0.0015848748
7733 0.0006148305
8435 0.0004954265
8841 0.0004068114
9075 0.0002779269
9225 0.0002369933
9415 0.0002177667
9562 0.0002154804
9611 0.0001702143
10150 0.0001616407
10188 0.0001471403
10195 0.0000903956
10359 0.0000896055
10400 0.0000585577
10438 0.0000556046
10706 0.0000310182
11056 0.0000302551
11104 0.0000263144
11611 0.0000229954
11695 0.0000189439
11882 0.0000182718
11976 0.0000151033
12392 0.0000082710
12534 0.0000024727
13415 0.0000012860
13583 0.0000012332
13810 0.0000010962
13934 0.0000009501
14046 0.0000007534
14053 0.0000007480
14112 0.0000006894
14212 0.0000005797
14594 0.0000004895
14641 0.0000004074
14839 0.0000003502
15087 0.0000002801
15295 0.0000002506
15360 0.0000002293
15567 0.0000002075
15664 0.0000001910
15693 0.0000001045
15939 0.0000000945
16482 0.0000000941
16486 0.0000000716
16506 0.0000000707
16730 0.0000000457
16866 0.0000000329
17053 0.0000000283
17277 0.0000000272
17285 0.0000000210
17457 0.0000000151
17531 0.0000000132
17712 0.0000000037
18192 0.0000000032
18319 0.0000000025
18330 0.0000000023
18428 0.0000000008
19091 0.0000000007
19162 0.0000000007
19203 0.0000000006
19218 0.0000000005
19280 0.0000000005
19404 0.0000000012
evaluations raw_y
1 256.6616120095
2 175.1616874997
4 126.9054226844
12 148.3753239261
13 131.7223777449
14 134.1349053282
17 56.9914933895
127 27.9334341432
373 26.6392139785
605 25.0751820350
615 24.8445720498
758 24.3779472564
792 22.0954329205
886 11.9763381791
915 8.0841013666
1321 6.2019893227
1630 4.8362980756
1647 4.0175336790
1653 2.9381692075
1656 2.3197128329
2082 1.0584100565
2211 0.9132491273
2573 0.5684549596
2765 0.5605871509
3001 0.4491733195
3047 0.3275364168
3317 0.2421721445
3774 0.1964727508
4217 0.1617172260
4290 0.1416903494
4474 0.1288885002
4648 0.1013793616
4801 0.0876129926
4865 0.0730152188
4920 0.0654626216
5092 0.0364585187
5127 0.0353483617
5153 0.0289166062
5537 0.0152168103
6120 0.0100065613
6171 0.0046403912
6822 0.0045624385
7184 0.0036862244
7297 0.0036147226
7390 0.0006649605
8539 0.0004312983
8770 0.0004178179
9034 0.0003034368
9166 0.0002281987
