evaluations raw_y
1 72.6960424546
2 17.7519641984
7 15.2775068853
20 8.8509269181
43 4.3001428535
93 3.7738952322
102 0.1040441311
286 0.0464492642
511 0.0192683964
830 0.0015238722
1206 0.0009312536
1507 0.0000160801
1672 0.0000020516
1834 0.0000017334
1883 0.0000002375
1886 0.0000001479
2123 0.0000000035
2487 0.0000000015
2669 0.0000000005
2698 0.0000000003
2705 0.0000000001
2828 0.0000000000
3002 0.0000000000
3056 0.0000000000
3432 0.0000000000
3553 0.0000000000
3591 0.0000000000
3747 0.0000000000
4558 0.0000000000
evaluations raw_y
1 57.7411131697
2 57.6672734912
5 17.1503628507
7 13.1116541677
8 7.4789826367
16 3.7492512259
136 1.9139369655
183 1.5362465333
476 1.0464167669
611 0.9331065759
707 0.6965175434
1331 0.6964591039
1445 0.6937070796
1607 0.6936040352
1768 0.6919605160
2431 0.6919570906
2556 0.6918755251
2998 0.6918746477
3046 0.6918623372
3157 0.6918595320
3247 0.6918584048
3331 0.6918573472
3473 0.6918573077
3474 0.6918572993
3476 0.6918572049
3562 0.6918570368
3804 0.6918570314
3830 0.6918569225
4030 0.6918569162
4157 0.6918569133
4425 0.6918569127
4458 0.6918569122
4653 0.6918569116
4950 0.6918569112
5719 0.6918569112
5955 0.6918569112
6142 0.6918569112
6391 0.6918569112
7384 0.6918569112
evaluations raw_y
1 36.7401585889
9 15.7464032890
17 4.0251170672
99 3.0422096351
146 0.3812029633
338 0.1329196351
7102 2.5905477301
evaluations raw_y
1 35.9033534956
3 6.3030455033
205 6.0762136336
225 5.3007802053
301 5.2034191434
360 2.0948745324
6918 5.0627374564
evaluations raw_y
1 26.8351956924
9 25.0120312690
17 12.6679274121
33 8.0556578711
44 7.6378879655
63 2.1832065709
118 0.0284891320
782 0.0031602710
1247 0.0028543278
1297 0.0010084214
1411 0.0002015002
1501 0.0001395998
1543 0.0000485291
1638 0.0000460230
1705 0.0000014677
1868 0.0000001701
2034 0.0000000118
2420 0.0000000003
2538 0.0000000001
2861 0.0000000000
2991 0.0000000000
3321 0.0000000000
3327 0.0000000000
3469 0.0000000000
3681 0.0000000000
4565 0.0000000000
evaluations raw_y
1 73.8129739451
2 51.6081302954
5 19.3080948510
11 2.5788154707
39 1.4292873142
49 0.0513183394
75 0.0452868647
192 0.0166826570
529 0.0019139904
834 0.0004955248
868 0.0000967236
900 0.0000019521
1692 0.0000000202
2145 0.0000000135
2231 0.0000000005
