evaluations raw_y
1 73148.8957243314
5 63656.2041664577
18 22226.0103951066
20 15603.2813560684
44 4054.9188552386
68 1977.5695566279
176 1955.1674345811
191 1609.0745406273
234 1405.9715311426
244 1392.3289155550
263 1246.1860767968
322 1137.5048782090
427 1010.2625416022
558 1008.7765793240
682 955.5044502582
1346 935.4607419271
1375 796.0512243847
1647 736.7337377773
1665 653.6528560274
1819 612.2179823397
1920 587.2454485558
1949 534.0067577033
2213 528.4492927680
2392 519.1922250386
2394 513.1346675574
2410 513.0557327887
2572 511.7642608432
2596 504.4136928345
2613 500.4967883700
2722 456.4434059698
2841 451.3744925202
2947 427.8079874212
3202 396.2195985458
3982 384.5768661658
4092 366.4756018870
4696 346.9610458459
6008 346.8710340913
6723 336.9898903372
8417 330.9794299073
10613 309.0903212439
11536 278.4619162043
22503 263.2734049542
38422 254.7262761399
39465 245.8231760713
39492 238.6677465152
39920 208.9577016916
40693 206.5040075022
40752 205.8417169919
41081 196.5681410023
41123 190.6585897842
41295 188.6413587619
41356 183.5029547319
41374 167.9151707000
41477 154.8122717972
41711 153.7503167274
41809 137.2485256172
41943 124.7016668257
42168 120.9524340156
42219 118.9240322809
42242 109.2762564522
42863 106.1931555153
42995 104.1911818984
43225 103.2188374263
43506 100.1145129868
43684 94.9204438831
43952 92.6410609748
44021 90.8001329738
44400 83.2848291255
44526 80.6615912436
45005 78.5231327525
45282 78.3942143365
45409 77.3651520202
45627 77.3371261993
45648 75.6235219274
45779 75.0722607610
45891 73.7988269149
46181 70.6515579068
46824 69.7807288809
47006 69.3355210022
47034 69.0495866933
47096 67.5456049203
47664 67.2182047985
47821 65.2615038566
48111 64.7504843668
48332 63.5830046241
48637 62.6715660053
48796 62.4490511271
48939 62.1880143916
49086 61.9017211058
49420 61.6417390523
49511 61.1475630563
49562 61.0876866075
49655 60.9695484470
49688 60.7720017958
50151 60.7641055866
50316 60.5764776368
50460 60.2214960442
50731 60.2139859281
50814 59.8607495467
51204 59.8376504995
51325 59.3873861184
52207 59.3430603615
52736 59.3236956913
52791 59.2471177360
52807 59.1419623999
52926 59.0956171499
52974 59.0336813109
53022 58.9918433870
53057 58.7394420933
53297 58.7270294002
53708 58.6760883257
53990 58.6755939553
54132 58.5428664644
54333 58.5019725274
54454 58.4789457367
54511 58.4583445861
54614 58.4175335618
54768 58.4015906942
54952 58.3858106582
55505 58.3855061889
55532 58.3550893094
55560 58.3469936976
55698 58.3421854121
55773 58.3374231204
56131 58.3261872794
56341 58.3248298083
56373 58.3179340893
56453 58.3021402276
56928 58.3020730808
57010 58.2974393870
57216 58.2949740798
57235 58.2911773631
57452 58.2890827224
57455 58.2860273887
57473 58.2844422112
57563 58.2770304090
59019 58.2766737496
59586 58.2730170237
59827 58.2713902538
60120 58.2709573585
60267 58.2705381155
60285 58.2701175330
60315 58.2699027596
60317 58.2693286685
60392 58.2685212460
60510 58.2680938641
60829 58.2679031294
60834 58.2677954267
60843 58.2677308653
60896 58.2675466920
60925 58.2668005200
60993 58.2666131480
60999 58.2662346416
61259 58.2660735912
61509 58.2659738635
61623 58.2656930930
61776 58.2654786005
62037 58.2650077670
62207 58.2649781065
62272 58.2648572533
62366 58.2648506492
62395 58.2645379434
62483 58.2644768039
62588 58.2643622222
62596 58.2643393774
62718 58.2642121310
62992 58.2641861399
63026 58.2641764959
63113 58.2641496241
63121 58.2641441965
63204 58.2641134165
63210 58.2640391496
63311 58.2640157978
63377 58.2639445484
63415 58.2639184222
63472 58.2639173222
63596 58.2639136413
63715 58.2638907568
63757 58.2638217001
63825 58.2637721704
63966 58.2637205508
64019 58.2637164517
64252 58.2637023873
64258 58.2636883739
64343 58.2636727266
64358 58.2636705076
64408 58.2636517220
64422 58.2636431034
64493 58.2636420117
64546 58.2636400088
64675 58.2636338328
64725 58.2635985859
65144 58.2635536617
65681 58.2635529309
65909 58.2635276637
65988 58.2635274280
66092 58.2635116766
66108 58.2634778633
66258 58.2634645980
66450 58.2634544793
66542 58.2634486994
66623 58.2634434870
66756 58.2634421380
66838 58.2634406239
66858 58.2634130751
67841 58.2634049217
67880 58.2634042211
67904 58.2634031297
67924 58.2633986845
68082 58.2633962722
68561 58.2633905210
68575 58.2633892880
68714 58.2633877153
69035 58.2633838825
69299 58.2633733191
69898 58.2633732736
69958 58.2633730917
70032 58.2633719227
70058 58.2633702980
70431 58.2633700332
70460 58.2633692460
70592 58.2633686188
70674 58.2633685932
70757 58.2633684604
70766 58.2633679180
70859 58.2633676045
70902 58.2633660868
71315 58.2633660323
71460 58.2633657236
71498 58.2633657159
71510 58.2633656883
71549 58.2633656047
71594 58.2633652053
71674 58.2633651010
71713 58.2633640768
72048 58.2633640182
72104 58.2633639030
72156 58.2633634836
72498 58.2633633292
72552 58.2633633238
72589 58.2633632311
72650 58.2633630589
72722 58.2633629170
72803 58.2633628791
72926 58.2633628430
72984 58.2633626431
73529 58.2633626032
73654 58.2633625851
73669 58.2633625497
73841 58.2633625495
73850 58.2633625275
73923 58.2633624502
73996 58.2633624337
74001 58.2633623541
74397 58.2633623499
74457 58.2633623203
74674 58.2633623172
74880 58.2633622880
75055 58.2633622704
75165 58.2633622589
75292 58.2633622571
75549 58.2633622483
75550 58.2633622289
75721 58.2633622167
75768 58.2633622152
75891 58.2633621992
76259 58.2633621991
76329 58.2633621978
76503 58.2633621962
76607 58.2633621941
76639 58.2633621917
76642 58.2633621913
76649 58.2633621910
76680 58.2633621905
76794 58.2633621905
76828 58.2633621876
76832 58.2633621868
76881 58.2633621853
76915 58.2633621846
77017 58.2633621822
77110 58.2633621783
77177 58.2633621781
77372 58.2633621751
77433 58.2633621721
77611 58.2633621715
77784 58.2633621697
77808 58.2633621693
77812 58.2633621691
77868 58.2633621686
78002 58.2633621683
78048 58.2633621677
78072 58.2633621675
78125 58.2633621665
78324 58.2633621660
78485 58.2633621653
78567 58.2633621653
78701 58.2633621653
78767 58.2633621652
78796 58.2633621649
78830 58.2633621648
78858 58.2633621647
78892 58.2633621646
78911 58.2633621645
78998 58.2633621642
79005 58.2633621641
79090 58.2633621636
79099 58.2633621634
79297 58.2633621631
79361 58.2633621629
79434 58.2633621628
79789 58.2633621627
79797 58.2633621625
79833 58.2633621623
79928 58.2633621622
80117 58.2633621622
80257 58.2633621620
80335 58.2633621620
80395 58.2633621620
80411 58.2633621618
80464 58.2633621618
80489 58.2633621616
80613 58.2633621615
80877 58.2633621613
81006 58.2633621613
81085 58.2633621612
81180 58.2633621612
81261 58.2633621612
81314 58.2633621611
81396 58.2633621611
81416 58.2633621611
81510 58.2633621611
81536 58.2633621611
81607 58.2633621610
81646 58.2633621609
81808 58.2633621609
82133 58.2633621609
82140 58.2633621609
82149 58.2633621608
82375 58.2633621608
82545 58.2633621608
82564 58.2633621608
82677 58.2633621608
82745 58.2633621608
82753 58.2633621608
82899 58.2633621607
82912 58.2633621607
83244 58.2633621607
83251 58.2633621607
83324 58.2633621607
83325 58.2633621607
83420 58.2633621607
83453 58.2633621607
83463 58.2633621607
83538 58.2633621607
83554 58.2633621607
83813 58.2633621607
83969 58.2633621607
84043 58.2633621607
84065 58.2633621606
84282 58.2633621606
84408 58.2633621606
84478 58.2633621606
84567 58.2633621606
84714 58.2633621606
84740 58.2633621606
84833 58.2633621606
84867 58.2633621606
85055 58.2633621606
85083 58.2633621606
85286 58.2633621606
85429 58.2633621606
85602 58.2633621606
85701 58.2633621606
85738 58.2633621606
85752 58.2633621606
85756 58.2633621606
85776 58.2633621606
86000 58.2633621606
86065 58.2633621606
86080 58.2633621606
86096 58.2633621606
86335 58.2633621606
86408 58.2633621606
86419 58.2633621606
86445 58.2633621606
86525 58.2633621606
86530 58.2633621606
86652 58.2633621606
86843 58.2633621606
86900 58.2633621606
86902 58.2633621606
87085 58.2633621606
87087 58.2633621606
87182 58.2633621606
87256 58.2633621606
87303 58.2633621606
87336 58.2633621606
87353 58.2633621606
87355 58.2633621606
87374 58.2633621606
87487 58.2633621606
87492 58.2633621606
87508 58.2633621606
87590 58.2633621606
88054 58.2633621606
88080 58.2633621606
88281 58.2633621606
88347 58.2633621606
88632 58.2633621606
88673 58.2633621606
88720 58.2633621606
88757 58.2633621606
88903 58.2633621606
88994 58.2633621606
89387 58.2633621606
89643 58.2633621606
89774 58.2633621606
91277 58.2633621606
91702 58.2633621606
92243 58.2633621606
93257 58.2633621606
94344 58.2633621606
94806 58.2633621606
