evaluations raw_y
1 5069.8513070142
2 4130.2127215396
3 3799.4607373584
7 3699.5596067492
12 3333.0252519077
20 2827.8768532174
61 2632.9188433764
75 2301.0774451218
127 1896.7249600134
193 1441.6579421247
331 1312.2691718078
335 1249.5222180459
400 1082.4025095144
484 975.0547895270
546 903.2430107126
1869 875.7715611822
1928 858.6281291990
1962 836.8275055760
2007 804.2566926383
2017 774.4950141743
2088 772.1223862252
2127 720.2715594164
2200 564.7208142011
2518 531.9386781158
2691 526.9176260552
2799 500.0416010205
3177 492.1007068281
3218 445.5656153749
3483 443.1808973593
3618 441.3925755999
3642 439.5817571620
3756 436.9379771565
3760 416.0280238794
3862 407.7696397437
3882 392.8540881333
3896 391.5608340288
4260 387.8026604282
4485 362.4749239053
4665 354.5908321665
4782 350.0487006051
4806 315.1485661602
6296 313.5990407487
6942 289.4221779890
8177 287.9214062321
8700 277.6109154095
8837 274.0130287736
9214 272.8146791277
9290 248.5582414618
9855 240.3634699240
9980 221.5551448097
10112 203.5268873589
10340 198.9732822672
10629 196.3932481367
10631 163.6055230953
10858 158.9362410588
11128 155.3205362612
11186 154.9708232431
11196 148.9378362590
11318 116.5516684496
11444 111.6208781909
11571 107.2336234259
11727 101.1832132858
12004 86.2029558597
12103 77.9760492527
12206 76.1420822575
12301 75.1504930312
12358 56.3698009876
12473 55.8253434021
12488 49.3006470966
12680 41.6955063266
12784 38.3529923460
12948 33.2053677636
13123 33.0002644618
13227 32.0817327072
13270 30.6473751236
13326 26.9260333930
13369 26.5398490287
13464 26.1858525523
13501 23.5555917470
13795 23.3931941210
13817 22.6376608882
13832 21.8900255285
14022 21.8396998399
14033 21.5474890598
14071 20.9086337846
14164 20.3098076933
14226 20.2174497638
14320 20.1995039764
14325 19.6454352909
14497 19.4814444734
14557 19.2204039247
14589 19.0045421813
14733 18.2297841187
14871 17.9696091873
15066 17.7155449968
15128 17.6761964197
15155 17.6287743475
15199 17.4626925283
15219 17.3952005629
15292 17.2359560144
15314 17.2091485483
15377 17.1760463584
15387 17.1241733762
15432 16.9205465752
15665 16.8095813456
15853 16.5606541213
15884 16.4896052034
16264 16.4698365189
16299 16.4153338338
16352 16.3770206448
16440 16.3588289791
16496 16.3460087328
16567 16.3435627856
16577 16.2993978159
16631 16.2785272628
16670 16.2487428081
16775 16.2380523859
16810 16.2144505835
16838 16.1985381977
16859 16.1507039789
16988 16.1137735174
17037 16.0809407269
17217 16.0792770069
17333 16.0417667011
17572 16.0244108233
17623 15.9920769190
18134 15.9919220602
18155 15.9762815783
18238 15.9727285582
18352 15.9720109450
18409 15.9694044553
18411 15.9676349439
18454 15.9642910474
18472 15.9630896553
18532 15.9510970915
18736 15.9440650909
18756 15.9416524352
18910 15.9386214719
18981 15.9379497122
19043 15.9379304716
19063 15.9377569589
19190 15.9334513822
19241 15.9318336226
19242 15.9315255463
19396 15.9301411245
19403 15.9277680011
19836 15.9265324206
19974 15.9258131607
20061 15.9256786685
20119 15.9251307146
20285 15.9244281471
20334 15.9237017623
20338 15.9232725645
20385 15.9230799443
20526 15.9230567787
20528 15.9229084332
20580 15.9224862128
20765 15.9219916567
20947 15.9215035045
21081 15.9212776602
21129 15.9209865495
21157 15.9209615368
21204 15.9207266647
21223 15.9206759579
21284 15.9204149971
21456 15.9203751883
21465 15.9203380393
21556 15.9202615032
21658 15.9202096218
21670 15.9201974868
21696 15.9201145451
21773 15.9200589136
21825 15.9199359371
22001 15.9198420555
22125 15.9197916217
22354 15.9197434860
