evaluations raw_y
1 2031837.9682027281
2 519018.5307818033
5 238246.7787952073
18 43177.2619274232
22 25662.4540856229
39 864.2777484940
167 28.8331574458
1223 22.4984337455
1704 10.6084003960
5812 9.1781404947
6120 1.7024719532
16584 0.5007963393
19785 0.3559814829
20145 34.2102188217
evaluations raw_y
1 231122.5775999734
17 141852.0731431959
18 112777.7074953247
28 10320.8794726116
62 2240.5604454551
181 1396.3462605437
345 1298.4814239813
385 170.4041311168
512 0.1931933351
5945 0.0060185234
18542 0.0023382505
19665 0.0008398444
20146 44.5751348943
evaluations raw_y
1 217894.3841930282
5 178560.6887897367
7 2376.8810238532
21 1800.0241561477
223 37.4655643770
592 11.9269113402
6720 7.8900215359
15146 4.1723453554
20143 270.7704132400
evaluations raw_y
1 5964124.6396987960
2 1694338.0308801848
5 439.2741174725
147 50.6559254402
167 1.4508583915
743 0.1531904350
20132 293.0816216258
evaluations raw_y
1 290065.2947402697
4 50425.0615385720
16 5709.2624530026
17 3353.3161127361
25 3047.2819172157
48 2224.2176301113
58 384.0581718169
237 46.9702234518
687 25.7405685489
1113 10.0223367909
1834 3.0435804182
2711 3.0215699568
3104 2.6539910112
6209 0.5750270137
11390 0.5617421326
12279 0.2129961137
14667 0.0620299404
17358 0.0235237628
18834 0.0063830465
20129 8.0515680230
evaluations raw_y
1 3599368.9512944822
2 3015.9054768626
9 56.3347360792
683 47.5890504676
1121 29.9095049616
1248 20.4586908976
1367 4.9129612358
4386 1.6100037713
9757 0.5487275032
14354 0.4866795342
15692 0.0841726086
16408 0.0285757909
20129 47.8511919639
evaluations raw_y
1 12098441.1946100257
2 7044439.3439925145
3 921674.9088236425
9 62849.2827359105
12 36171.6033176849
36 2589.5974320458
145 193.2177949998
204 116.0627378602
224 34.7213939837
330 20.3118785857
2411 18.1769155770
3017 0.7694376168
20139 244.1968856344
evaluations raw_y
1 125657.6468499952
21 24691.4081784657
42 3638.5604241384
54 78.3235314460
725 14.3901639990
854 3.6918380252
6570 0.5455861927
13720 0.4076464378
14494 0.1839426810
15517 0.1171469955
16916 0.0987643063
19511 0.0439137209
20140 177.3646052409
evaluations raw_y
1 23857.8041737162
15 5967.3504473033
47 79.7127694963
510 22.9569325157
1300 22.1505170609
3913 13.4586650954
4615 6.7347843719
6637 4.4214612280
7278 3.1708992305
8735 2.1046610249
13157 1.0476834224
14274 0.4069301286
14837 0.3003641426
15196 0.2575150742
16356 0.0576963931
19275 0.0480099515
19639 0.0060091835
20126 333.7007074137
evaluations raw_y
1 1955678.5640568803
2 54021.6838530138
40 12621.2924355310
63 3626.4223455529
119 214.0669982195
356 39.1450777959
902 7.9234866096
4973 7.6508654114
5844 4.2721111439
7880 2.1640661121
9169 0.5172262690
18025 0.4460694229
19253 0.3165010288
19649 0.0060270333
20138 919.4469698163
evaluations raw_y
1 18253880.0483680889
2 1593755.0207574668
7 492818.4254169233
15 321059.5270483496
18 63007.8372146746
19 14275.4229234007
32 5881.8426016933
47 3618.7996743354
53 2936.3664344044
143 2185.4061044071
241 110.1980423526
946 32.2658016259
1224 9.1253567729
1293 6.2258806410
4353 3.5020729922
5291 0.2657459019
12772 0.0762152040
13037 0.0641731265
16130 0.0501962838
18702 0.0144021466
18834 0.0039163143
20098 113.0364686135
evaluations raw_y
1 14960518.8676551357
3 12831479.6335855220
9 5044400.5579226147
13 562362.6669466572
51 3887.9871681833
618 1552.0482292337
891 965.5399522101
1184 951.9045190864
1209 32.4763163038
1714 27.2717378431
1756 0.1785533901
13448 0.1411741997
16469 0.0758221862
18475 0.0455472735
20108 1303.8123709618
evaluations raw_y
1 5550693.7711652406
4 239628.6839624913
10 125330.3883591426
15 109403.5016578507
29 29969.0382436404
45 27084.1464812379
57 2700.7827957553
71 1050.1440601254
95 99.3604742057
339 97.9507944193
871 83.1063312909
1201 69.7690111134
5759 68.2155122902
6644 55.6382496389
7352 43.4203815537
9061 26.6767131950
14279 15.8387185399
14529 8.6423500197
15259 5.5146629845
20140 42.2775936468
evaluations raw_y
1 11093567.1393807828
2 8752648.5479520112
3 272468.3700421133
16 60824.4868327589
19 21144.4896536701
53 2481.2362650110
55 43.5662730191
192 22.5124474899
502 8.4306789350
4454 8.4211148314
6683 7.0737427172
7510 3.3625831166
8748 3.0981046419
9413 2.3018578480
10920 1.5527735343
14969 0.3307680481
18157 0.1800426651
18513 0.0417501327
19237 0.0034529194
20136 190.9269113352
evaluations raw_y
1 6634524.7725301217
3 4487431.4643180501
6 114814.2977832678
22 104648.1448916781
48 89404.3013031536
52 24551.9118733630
58 249.4292287206
216 67.1845526167
306 56.4689297029
626 39.8781633658
3349 35.7607940894
6039 32.0917627378
10064 29.8690067730
11525 28.5785224950
11590 20.2411272770
20134 50.2389030357
