evaluations raw_y
1 348224.1775890542
8 48394.8319677956
30 31749.0058925444
31 1314.7531916363
208 1037.3153720528
213 947.3641596810
251 885.5802120392
346 785.6384991195
493 57.8678831735
3686 50.4970200973
13858 39.0655854939
45192 38.5302264731
53111 34.2981468410
53786 32.1908099572
54817 30.9815924672
59684 18.7197377960
66560 15.6992524500
68725 11.8783831523
75870 11.5308013168
76060 8.0773636982
76802 7.0839630323
78221 5.8016312226
93249 5.7638702521
93731 5.6754555219
94008 4.3249042827
94275 3.2623891492
95399 2.8900671071
96791 2.8585938136
100086 593.7933313341
evaluations raw_y
1 2757566.1631784886
6 235074.7483787839
8 3918.9138804309
80 245.4711740102
112 206.6067311851
1355 136.7274628274
5748 134.0202151681
6584 123.8177124793
10441 115.9909122928
11960 114.2143606030
12497 73.3355108996
52672 66.1285922286
53541 55.1106885505
55061 47.8877764592
66323 44.4311055556
66551 41.1174833937
66676 35.0072989284
68394 32.3352229542
71901 27.1392111303
73230 27.0643489164
73242 24.6853458442
74970 16.9022011828
78175 14.2446090814
79882 12.6229512145
81367 10.1837101395
87362 8.8677070731
100459 7.7980099193
100464 1959.4651625905
evaluations raw_y
1 1052651.2746169588
5 3655.6125021423
27 2897.1751106891
139 2722.5220539590
155 406.5575437263
499 360.8176060122
670 269.9895217520
1279 164.4532216035
47902 127.1128371389
51814 99.0784829821
55573 87.2763488743
56871 86.2153226364
59506 77.9250674897
60402 56.9094632089
63674 50.9301618953
64244 49.1985917975
64925 41.4697413851
67975 32.1829125605
70700 29.7011830853
72132 27.8776068948
73815 27.7789621753
75800 27.1997535614
75880 16.6655061397
90699 15.4716500014
93082 13.7289847520
93268 13.3845928856
93966 11.4634562953
100015 355.0164000573
evaluations raw_y
1 2443610.2915135887
4 890405.4096904543
7 352801.5447390433
8 11875.6313113963
20 3991.7150230073
38 617.9862626384
259 33.2528068686
2701 26.9981235585
5375 17.5601289322
35823 17.4787798750
38895 16.6437452616
40092 13.8399543141
40275 6.5341614470
76335 5.7943721664
85142 5.5997057938
87167 5.5488523971
89426 5.3850542542
89950 3.8007345784
91509 3.2905002247
92665 3.1915942839
97086 2.4822538411
100087 130.8643634911
evaluations raw_y
1 28182690.3571620882
2 3091430.3597177081
3 2001462.6584915970
6 1549.9385396175
43 828.3505778920
273 205.2751400315
423 153.2189283793
477 85.3154626306
5445 68.3020418579
15834 51.4414766740
21367 49.9120940048
22193 48.1836545482
25546 39.5734932149
33232 34.6937518590
45965 33.7609380212
74777 32.9506199127
77191 28.3935648425
77565 23.6003319624
79439 20.4639262772
79988 19.1205448530
80647 11.9996520426
90756 10.9307126340
92580 8.2518932859
94817 7.5690259467
98404 7.5148234245
98551 6.3439427727
100046 2348.8910238372
evaluations raw_y
1 17122125.7471147627
2 7597009.7191493604
3 4183252.1561572365
9 2297987.7027987461
11 4030.1341503867
61 1849.5314255966
99 507.8290273852
147 260.7787151899
443 176.5358892316
5870 108.5389249356
46034 96.1572864525
48060 76.9980342736
50023 62.3445739461
56702 51.0226661141
65453 40.7695309310
68598 29.1199009806
72437 28.2333452701
73118 24.5378213359
77654 18.6555444567
79949 13.6154304875
82781 6.6679782527
97692 6.0443481664
100004 1205.5251898922
evaluations raw_y
1 4769327.4331112932
5 175755.6637877806
12 59912.2513904539
18 33267.0597905756
21 4062.9036894353
22 3953.8877901224
35 2501.7081766339
127 1217.6171984683
139 1050.2025354743
179 166.2849345233
7055 152.3012378692
17156 140.4140423645
27742 134.8166841270
28165 132.1135138936
35968 119.5069520109
39286 111.5658682955
50384 106.3282883071
53360 97.5541810166
53624 89.7915280193
53700 86.0888290493
54661 78.6127600238
60420 70.4485111994
62122 57.5107350328
67274 56.0992788455
67370 49.2009419059
69965 47.1543041641
70501 43.7715826331
71195 40.7772154119
74139 34.0231245075
74706 25.2792565142
77447 24.8321696238
77645 19.1493118669
78810 17.0024059512
84272 15.4513849054
85725 14.6749717140
86032 13.9045823237
86150 9.8252114426
90881 9.6015346392
90971 7.9751568560
91892 7.6035135860
99115 5.9265778256
100036 1194.5728907047
evaluations raw_y
1 44256286.0470030755
2 21023008.3729270846
