evaluations raw_y
1 130481607.5791515410
3 60381899.9668443203
7 44668587.4066230431
9 22320802.2141681165
33 21053336.7735269256
53 5112460.6019429928
271 2767020.6017239923
490 2261000.4717038632
617 2071979.0486866366
664 1766479.9164357542
929 1010533.1470841521
967 307219.5062149263
6319 302732.3238058137
10546 263019.8005606007
11155 170234.0350251794
11711 106418.6616891510
14352 55378.7435607087
17313 51082.3194688972
18459 43594.5042260040
18739 34072.1104311134
19935 15952.0707630483
21235 11143.6968967021
23667 7248.9776676013
26415 5378.8248180822
26764 3687.6907385885
27995 2685.2529714144
28169 659.3351377172
36077 531.7916105177
37668 519.0538567332
38381 278.5391159155
39841 241.2417812440
43878 124.5299850855
47229 122.9307311416
48090 103.7118100284
49310 96.6765941548
49966 94.7102736636
50185 789.6213824376
evaluations raw_y
1 65213626.8523843586
2 15970577.7597196102
3 13525352.6161131449
12 5454768.3449046295
26 4053806.1410494829
37 2425827.3800290199
137 1082765.7878945887
798 981186.8288239264
1167 971275.0694192863
1231 749855.5800166508
1454 490408.4106707136
1770 121056.6386910119
7481 91662.1764805495
8444 50281.6024026880
13481 33675.9639813225
14590 20390.4928489004
16220 19183.9874539240
16644 12072.7632682681
17529 4978.8504535307
22203 2590.5302646470
27002 2158.4391554754
28096 1651.0001896158
28233 1292.7851690748
28393 796.6148505863
30132 653.7124895606
30775 286.9532796108
35850 160.3040379700
36315 73.6359908534
44116 71.0147963012
44816 54.1061198050
46463 37.8118110686
47261 31.9325105924
48328 26.4899659952
50227 830.7397469901
evaluations raw_y
1 256710952.4200206101
2 208042931.4790041745
6 65853377.5517274961
12 61185754.8469773456
18 45171019.7596652582
22 25193885.7409345098
206 16482219.5877914689
476 8075122.6393589657
498 5996177.8584544742
513 5726765.3483007615
919 4994605.7534766654
937 1589694.7594964211
1066 1469867.5493498347
1427 431769.5288563297
14919 198913.5904237083
17469 50864.6911720530
18516 20284.0588329044
28844 12746.8341510536
30134 8055.0401230433
30286 4528.4878296672
30713 1694.5586784084
37061 1284.6264508280
39970 877.8449015856
41756 527.3459777679
42595 440.4975189913
45903 365.2371448586
46087 333.9255722689
50145 1409.7908682151
evaluations raw_y
