evaluations raw_y
1 2084.8500128802
2 1999.1535571646
6 1863.3665166178
14 1856.6997433482
16 1421.6637106892
24 1305.5757608952
57 1290.3276772099
83 1170.9599856993
453 1092.4984533098
561 937.6192957036
649 926.9296120269
658 863.7635803812
949 491.3635036144
14804 247.5595136696
24369 243.1324321457
24563 223.5631646545
26326 162.0945456839
30409 155.9533914264
30651 143.5560951103
32733 114.5278780603
35860 83.6384569133
39892 75.4801677498
40691 73.9740509422
42147 67.7080822695
43877 62.6167868402
44819 61.6829313717
45203 56.4828070365
45248 52.7730982448
46527 47.3809759912
48479 45.5241863241
49565 44.4702039335
49900 38.9797654292
50829 26.0024432801
54902 25.5297679096
55937 25.5163347982
58944 25.0039429460
59079 23.6867738938
59119 20.3352453116
59161 17.0037958491
61486 16.7098994583
63319 16.3420172531
63692 14.2823158008
64831 13.1292968110
68158 12.8001100740
68172 12.2457226655
68606 11.7251971730
69135 8.0119096025
71056 7.4330234442
72361 7.4136034800
72664 7.2083778906
73616 6.8886778366
73750 6.5069857743
74485 6.4807374450
76142 5.9283490334
76604 5.1650820022
78620 4.3889020645
79474 2.4718153325
86996 2.3119997964
87700 2.0256049696
90497 1.7562921892
93354 1.5990446693
95101 1.4026392111
97241 1.3809337994
97337 1.0951051112
99641 0.9976171732
100029 3.1274575593
evaluations raw_y
1 3309.5865520262
5 2869.5365567242
7 2675.1314499768
8 2599.4259405995
12 2279.4468590320
40 2001.5758911280
48 1714.6548404511
226 1633.4041363015
248 1504.3757666779
387 1364.0665490352
466 1331.2012924813
481 1164.3181175113
579 993.2920979454
860 904.0561845677
931 752.0209276222
5574 643.7954824705
7737 576.0950377701
12397 547.5162477513
14832 428.8301420320
17390 311.2550537021
20503 275.2513489501
21271 235.4631613995
26354 181.5660460020
28528 157.1731891942
30679 120.3848704954
34698 111.5162381577
36492 105.2173224522
36722 91.2387610759
39920 69.4539972545
42755 66.2496508269
43037 58.1114377729
46953 56.8471285628
47231 52.2820724278
48019 52.2668568491
48073 44.6469802892
48796 43.4942095242
49083 42.4775925412
49593 33.0872228621
50691 32.8381670608
52167 32.1630770954
52350 31.1222169786
54304 30.0340118509
54568 28.1924759567
55894 28.1119607959
55965 24.8234556736
57362 23.9185534033
57781 23.8104578920
60119 15.8985221031
62926 15.7224172198
66158 13.8303500117
66428 12.4686490668
68011 12.2209153539
68386 11.3809800654
69163 9.7434125256
69268 9.6230427231
71088 7.6985451852
72463 7.3203826899
74078 6.0681421878
75923 6.0504060742
76170 5.8403500014
78648 5.5828016251
79502 4.5135022876
83125 4.2828108497
83338 4.2293624300
83429 3.9096425919
84459 3.6206049195
85114 3.0419384136
86262 2.9970925568
87663 1.9182367886
93382 1.6638499064
95762 1.3913546961
99281 1.2551148955
99669 1.2250708614
100029 2.8642314047
evaluations raw_y
1 2749.4092565418
2 2493.1133719477
3 2325.3567067982
7 2247.4542151679
8 1682.1742150756
16 1647.6493675588
31 1544.2723419059
44 1469.9623683530
103 1383.0753882339
123 1149.4317849981
403 841.9147995578
1097 729.4705224211
11485 513.1163854492
15422 340.0678418621
19499 283.3894487039
24074 258.5920424733
24494 233.7427732970
24754 211.7944019394
25793 197.1627923522
25817 167.0949634167
31146 130.9844005601
31557 130.3520082818
33101 128.5642804541
36002 107.6422145992
37995 105.9232830425
38440 98.7558158632
38595 98.1498757218
38740 86.6882075389
38828 85.4138323419
39751 81.1513613678
43076 79.0157353849
43512 56.2633899389
43935 44.3491426665
50686 41.6805728393
51347 41.3690857100
52066 38.3601010097
53033 32.1638561772
55477 31.5670632132
55754 28.8454785609
57278 27.9400754280
57478 18.9718264085
59008 18.2310278293
61522 17.8485890776
62147 16.9426700651
62512 14.7679146049
63728 10.9095572655
70195 7.7055074761
73477 7.4868238780
74037 6.4266651711
74925 6.0595916840
76201 5.4009673868
77239 4.6889324016
80738 4.6530411004
81237 3.9352673274
83911 3.1528285693
84455 2.2908730416
91897 2.0202337315
92552 1.9625910878
92956 1.8429837260
93677 1.5997587262
93978 1.5842334838
96019 1.5638921505
97673 1.5001572637
98650 1.4593184822
99071 1.2271864703
99855 1.1384228715
100029 2.1896921137
evaluations raw_y
1 2222.1543078356
6 1877.3356842328
10 1848.2868975126
11 1741.5911330746
14 1453.6855523490
21 1411.1556460389
30 1206.8778876374
193 1147.2708954667
465 765.2561245464
1769 689.2961699079
12226 443.5919886003
17615 220.0968861633
27688 216.0447052678
28127 206.2306123030
28850 161.9205070964
31603 141.7702418429
34396 137.8470901340
34807 130.3270334375
36121 120.5434553058
36813 120.1232005706
37738 118.4871476798
37809 105.7628871282
37957 103.0641503280
38056 94.6012795530
38221 84.0288130270
40364 78.4456911961
42888 69.6401667135
43164 63.7676955295
43668 62.1045077647
45338 50.8853731891
46619 45.0767984684
49830 42.8270466598
53962 34.5732847571
55255 34.4010155324
56270 31.3713108181
57812 29.0763502444
58337 28.3293416899
58865 25.8621377353
59453 23.3039969228
61685 19.3770367917
63870 18.0838720250
65670 17.2960519613
66001 17.1623029222
66208 16.0545637254
66408 14.7693083804
67063 12.2231732988
67215 9.0342344607
71946 8.7432441275
72082 8.6442182841
72891 8.4702445268
74948 8.4218114128
75251 8.3864854584
75314 8.0092545428
75683 7.4671322876
76400 6.1448945957
77150 5.9073442011
77542 5.2497687002
77719 3.5050517771
83233 1.5837589084
96787 1.3109871471
100030 4.3092073723
evaluations raw_y
1 2641.1022089941
2 2016.8812255231
6 1993.9980913198
8 1868.4847380321
14 1660.8902970711
16 1601.1796174620
30 1567.6727507395
40 1543.4067792445
52 1540.8719654743
59 1478.7564829059
63 1165.2064784611
461 1159.3649924470
519 1081.0084253654
549 1017.2787008527
630 982.4334723909
953 874.6715094807
1009 784.7806810512
1392 570.7984576156
14406 567.5428453575
15292 442.3235511049
19516 438.3884745968
19585 432.8988613999
19915 376.7148050681
22136 294.6859363945
23448 292.6173797759
24771 268.1590388962
25810 210.2937690848
28501 178.7550406975
30594 158.9134902670
31163 131.9323665350
33118 131.3540149860
36019 121.2975237023
37014 117.4038061033
37210 94.7674619495
38612 83.8033686853
39768 79.6476925393
41656 73.6517309937
43190 71.8907090720
43529 55.9252198073
44763 53.9952835641
47456 51.7510221707
48677 44.2098268185
50703 33.5982758407
53050 33.3178220920
54429 31.8684579049
54447 25.1829920259
57495 19.7882682739
57755 17.7750637408
62164 17.0509211917
62529 14.2358702163
63328 14.1425256650
63745 13.4096012566
65074 9.3551790019
70190 8.9821062691
70212 8.3383554849
71986 7.8682084058
72231 7.5224057119
73320 7.2460336705
74054 5.5354335687
75338 5.0083399464
77256 4.5831440977
80437 4.4335799611
80755 3.7263921683
81254 3.2199385728
83928 2.8811305901
84472 1.8348900826
92839 1.8142470997
93631 1.6869699881
93694 1.4987818303
93995 1.2749926370
99088 1.2344652139
99872 0.9891956011
100028 5.2061083814
evaluations raw_y
1 2617.5967194282
2 1659.0060498825
11 1493.7537809604
12 1455.6511087004
17 1251.9754082191
358 1192.8702105979
405 1078.8799178982
536 1027.2142428840
653 919.8293820752
755 869.3497921755
1200 831.7409044169
1213 720.0356874687
1252 717.1135503463
1256 656.3450627171
11187 542.6785487307
13547 459.5516438511
13921 371.0715196846
16682 304.4326523290
23521 277.1571712259
24144 252.3011800047
26273 242.9832891070
26390 224.8545128920
26462 216.7009392735
27782 214.9451426604
27803 151.9590940055
33176 145.3502047172
34378 133.6098344920
34599 128.2095927013
35860 99.2091095427
38044 90.5123326419
38990 84.7318826468
40091 78.5677104018
42569 65.4563812168
45187 64.2611958938
45610 54.7312367741
47654 50.6984117902
47784 50.0559892072
48634 38.5022345489
50913 37.5392330075
55197 31.8838747691
55420 27.0873646582
58392 26.9238452505
58938 26.6541724995
59459 24.6609071788
60174 24.1217225924
61530 22.3114990902
61975 18.8480806542
64043 17.2665507790
64075 15.9673837253
66325 12.9959952119
69155 12.9488464913
69771 9.4937006270
70852 8.7886946728
74207 8.3372932292
74350 7.0459433558
76700 4.5779637702
81381 4.4681862928
82573 4.3190323284
82761 4.0496934995
83208 3.7201109679
85308 3.6546881079
87340 3.3768478858
87893 3.2959021473
88038 2.8266953800
88702 1.9099002785
92624 1.6998836690
92927 1.4560535174
98116 1.2331815575
99358 1.1112492845
100032 2.5277674494
evaluations raw_y
1 2745.9278650177
6 2542.4732469304
13 2217.1882458729
38 2167.0946871643
46 1851.5795108775
54 1712.9388126204
231 1538.8829335749
488 1265.7985573378
644 1248.6447100329
704 1151.1986259852
751 1097.3677592591
948 979.2477527839
1053 960.0511823044
1612 904.9046044595
1738 759.5154895940
14366 722.2098471207
14450 678.6097649329
15336 647.7032963916
15483 503.6304089068
18280 501.0146221378
19832 404.9492751910
20559 388.1430215639
22180 387.8081876828
24552 353.0757857944
24815 313.6614481881
25099 283.6124429026
25854 155.5511114148
31207 134.6305542893
36063 130.6003459541
37058 123.8212109901
37533 122.2667450399
38501 117.2130709051
38645 116.2250534680
38801 97.4335908520
39812 97.3293894227
41454 95.4853291681
41623 83.5964731065
43137 79.4141962260
43573 69.7062413599
43996 59.6592716803
47370 55.1089819998
47500 54.6121230343
49139 53.4586202638
49647 50.9305284541
50095 49.0895154435
50747 43.3352572175
52127 41.4827099078
52781 39.0198747338
53094 36.2428094338
54473 33.7430368776
55815 32.2133381745
57539 22.5979962848
58188 21.7916122752
61583 21.2655024148
62208 20.1614494828
62573 18.0820043276
63789 12.3159452820
70132 11.7389066796
70234 10.4231518170
70256 9.0624212439
74098 6.1547481916
74986 5.6696927010
77300 4.4946784867
81298 3.9568550190
83972 3.1793905529
88491 3.0987969987
88579 2.3586229033
91958 2.3059056781
93017 1.9103061543
93738 1.8314400858
94039 1.6799477735
95162 1.6439644227
99132 1.4574038612
100024 4.7328928743
evaluations raw_y
1 2244.6599405833
2 1919.1145313240
14 1639.8160136303
19 1461.9487958968
53 1366.6317042540
100 1304.8115706639
226 1060.3034566828
817 896.6108109405
989 883.8683624956
996 757.0159611816
1189 752.5686664126
1949 587.3451825257
13861 495.7603244876
14169 459.7375008578
16623 408.4334201271
17653 307.4913955235
19230 292.1160238390
23197 205.9140102770
24201 175.1404123152
27246 172.6477726089
31267 141.4295924256
32211 132.2044120533
33834 122.7078392770
33939 113.9373517851
35661 102.8663681794
36017 85.7510126819
37741 76.6080595375
37783 75.1412286922
41636 72.3255508159
42525 63.7727786303
44297 62.9462274650
44401 57.6860932349
45769 56.2931209393
45903 53.4375566768
47687 44.0444216244
48550 39.7757582405
50100 39.2752186917
53066 37.2327543517
53122 33.9477653219
54240 32.7722241025
54549 32.2604742202
54843 31.5946142369
55133 26.5819410380
55660 20.9714454500
60651 19.8380496396
62268 17.6900986603
62506 12.2554708323
64503 10.8607019148
69203 10.6020577924
69535 9.3180719061
