evaluations raw_y
1 425.4249442743
4 407.7193759110
7 284.1627653610
51 271.7424330210
58 270.2862089807
59 188.1244112860
61 184.1722446848
370 183.0916874789
427 133.9291778663
483 126.5728469559
956 121.6899302000
958 117.3088504791
1015 104.3173468678
1020 80.9236294290
1425 79.7111595116
1468 73.4994730805
1520 67.7829192331
1552 51.2987245118
2398 46.1269273432
41541 43.7487456572
46063 43.2762032452
46222 38.5621546033
46801 35.4324613786
47194 32.5418952783
50184 31.9647683041
50236 25.6673436122
54378 22.6495147246
54978 21.6318824199
60876 17.8447877691
65318 17.3972127510
67200 17.2172158422
68517 16.1319278459
68558 15.9801033641
68872 11.7254990095
71739 11.6049019301
71873 11.5502095651
72255 11.4292537264
72295 10.4773540577
72745 10.4346144981
74083 10.1453730066
74457 9.9336447910
74702 9.2500881790
77833 8.6211310365
80818 7.8750335792
81300 5.5326484952
84554 5.5098135743
84717 5.4471356427
86248 5.1469740482
86636 4.7260137832
90127 4.0921264535
90949 3.5459144065
93950 3.4733888009
95548 3.0168429213
96067 2.4473302499
99544 2.3868103285
100051 2.1863647999
100385 2.1315795593
100402 1.7237241313
102372 1.7205745004
102442 1.6361078269
103745 1.4890689551
104190 1.4240105687
104596 1.3848070240
106594 1.3509967917
107221 1.2500662865
107753 1.2468929224
108203 1.2356107792
108251 1.0531224595
108531 1.0014622537
109223 0.9782973071
110522 0.9505479780
111580 0.7824923170
112428 0.6089784809
114321 0.5523893040
115151 0.5243535445
116378 0.5035821606
117932 0.4904730854
118486 0.4270929502
119390 0.3909178873
120661 0.3719428591
122784 0.3057411990
123782 0.2968656629
124630 0.2645435312
127571 0.2498289480
128225 0.2130798940
129449 0.2105043651
130435 0.2076420306
131942 0.1847744117
132659 0.1842672073
133893 0.1816007788
134193 0.1730927386
134853 0.1614181378
136436 0.1568229692
138676 0.1190243362
138914 0.1153571995
140229 0.0886282678
146851 0.0849502360
148930 0.0778896294
151154 0.0723234090
153038 0.0713823275
153798 0.0712538877
154141 0.0670871136
158709 0.0645711430
159785 0.0642721885
160016 0.0372770753
169397 0.0360511411
170212 0.0286513370
176778 0.0240695017
193176 0.0236300879
193331 0.0232576077
193970 0.0210057855
198071 0.0194245090
198483 0.0188190986
198565 0.0184779111
201209 0.0184514540
201680 0.0183100853
202853 0.0157790808
203272 0.0155940732
203335 0.0152293403
203720 0.0103778170
215301 0.0100169904
216314 0.0090713149
216699 0.0085486636
217356 0.0084528490
220053 0.0075516259
221372 0.0070706887
223278 0.0058622616
238039 0.0055189208
238823 0.0053707541
242009 0.0044823576
245418 0.0037000892
258924 0.0034411362
263645 0.0030876806
264572 0.0028491663
270963 0.0026882291
275714 0.0026614756
280071 0.0025595746
284693 0.0023786500
287215 0.0021332324
290596 0.0018674323
298279 0.0018625750
299418 0.0018364232
300162 0.0018230255
300687 0.0017502909
301038 0.0014456856
308253 0.0013933829
315747 0.0013018550
319184 0.0011729380
326601 0.0010984344
328902 0.0010791758
331492 0.0010273125
335378 0.0009825381
337800 0.0009339685
341489 0.0009186601
346179 0.0007569309
356499 0.0006951606
372708 0.0006466404
376489 0.0006064375
382067 0.0005888746
384902 0.0005431669
386856 0.0005235254
400308 0.0008025908
evaluations raw_y
1 767.4316116711
2 223.8203944736
16 212.2076542213
18 163.5771693543
28 136.8305439297
134 129.4300122220
151 103.5804862504
424 87.8862424361
1029 80.4712156636
1434 77.0791461358
1496 75.7004108187
1570 75.0534444622
1741 74.2153533750
2244 71.8618820630
2349 67.8406930354
2900 65.2440521426
31727 60.7099771774
34847 59.4288318658
36991 56.8601208259
37833 56.0056161174
39670 55.7286648979
39974 50.8486203524
41591 49.1568295660
42674 43.6881235557
43989 42.2556638323
44126 41.8961431857
44163 39.3818888414
45688 34.8014004693
45752 31.4301366617
47743 30.1043739487
50050 25.5397259927
54299 24.5042049858
56369 23.1897625486
57267 22.7167426482
57748 22.4803749630
58199 17.4903712482
59426 16.9855294254
59821 16.4982613834
62593 15.9470474620
62604 15.9224321966
64681 15.3755965213
66126 15.2935123999
66565 14.9724138052
67584 14.9635964142
68395 13.1144809339
71150 12.5514339342
73321 12.3895551209
73721 12.3241299173
74661 12.1752857584
74809 10.9100344190
76465 10.3726172273
81398 9.7953173551
84143 9.6723347581
84701 6.2907677005
91152 6.2891511405
91217 5.2714262323
91540 4.2525565592
95433 3.9487154449
97182 3.9173836805
97430 3.6984395459
98358 3.1298278369
99730 2.9699853126
99793 2.1055142866
102933 2.0474590747
104344 1.5022589686
107404 1.4608008090
108292 1.1468341523
110591 1.1130584540
111460 1.0702398461
111753 0.9954054044
113720 0.8761898590
