evaluations raw_y
1 7512.2797273601
2 6166.8142482964
4 5884.4652060252
6 5581.0295070462
7 4586.1852260041
9 4024.6111620279
18 3082.2277633703
33 2915.1615838916
36 2888.3889124965
304 2802.6148415967
328 2693.0100912068
481 2634.1055827501
523 2396.5099550345
543 2190.1344847165
948 2001.0522760084
963 1924.1500664535
1423 1900.9229174555
1453 1844.3047501784
1565 1752.9716330661
1653 1686.3446715107
1677 1658.5081663619
1761 1493.1938277508
2170 1242.4882019773
400156 -nan
evaluations raw_y
1 5602.0369238389
3 4690.2411180331
4 3863.8506607748
9 3584.9078660559
10 3344.5407966396
14 3326.3525772001
18 3266.1201146354
28 2998.6584513907
33 2963.9017248422
49 2933.5902088555
59 2891.5775272924
70 2617.0304664703
235 2146.9323648329
338 1981.5242676552
492 1759.7001560036
630 1707.9505192461
975 1595.3114578232
1013 1505.2905959447
1444 1448.1276625626
2304 1338.9319213178
2675 1230.8582168528
166790 1198.6595092296
216267 1188.5311419930
220911 1129.3513274387
221760 1073.7049626446
222213 1058.6492310374
224058 910.8105348716
225360 830.1565571446
227193 786.3606498012
229382 750.2163599536
230066 695.5092061980
230375 692.3050805525
231077 668.0347431983
232979 651.7903417965
233105 648.0265680490
234010 631.3959158843
234367 565.4320803007
235313 555.5091530809
238012 551.1380915331
238641 534.5427831409
239183 500.8394862346
240114 435.7000880401
243823 435.2940238263
244200 429.4743235220
245490 422.2780570948
246631 409.8980926474
248778 369.6054985510
252215 328.6335034054
256000 323.2761029691
259418 321.6591746729
262075 305.1984343669
263935 301.8058053753
267623 301.4368347509
267793 291.9694988234
274461 271.3272256874
274959 257.1644152797
286310 244.8538796721
313129 242.7471979415
339656 238.6025336647
342953 226.2656383978
354038 214.8208475760
361199 207.9804971327
365000 201.8369434776
367087 198.4816276421
367159 194.7556655813
369483 193.1761974343
371268 183.8518531948
371713 181.6607706223
372543 171.2039460404
373361 169.7322092691
375058 168.5093928673
375115 164.1730523082
375254 147.4362965379
376829 144.6750327237
377342 118.7967818041
379191 107.6125141132
382951 93.4903209219
385420 91.6832159626
385894 80.5115916013
385962 78.3044578108
386001 76.8910084424
386380 72.6092767825
388101 66.4604494668
388648 65.6406031689
389146 61.3477528510
389247 52.8771240509
392188 42.8342667116
394448 39.0386240872
395081 30.3113443511
397702 27.1519539018
399401 24.0775733712
400304 48.4753923735
evaluations raw_y
1 12500.3021446210
4 8960.6736997119
19 8372.1171981423
26 8203.8510090903
30 7047.7935005489
33 6619.9964090732
36 6236.8974038220
65 5723.5967810637
83 5354.1626805797
130 4306.4608485516
177 3673.3433535721
473 3075.2042313050
960 2505.0037363382
1012 2241.7151820608
1088 2135.6175716596
1415 1735.5026668253
2162 1673.8646277547
2168 1558.9725104649
2740 1518.0486093692
400129 -nan
evaluations raw_y
1 6203.2459664620
4 4062.9115940638
16 2876.4344420520
216 2626.9024058663
500 2204.8524149326
963 1984.7687541220
1185 1978.6780752235
1246 1652.7512733324
1289 1485.2855407149
2630 1455.3126422967
2639 1439.5905741492
400128 -nan
evaluations raw_y
1 6546.1705698221
2 4484.5838048201
9 4050.6975585098
24 3052.0480380089
87 2968.1230789589
108 2760.6124487887
237 2496.1841219944
543 2062.6774237811
946 1992.8907017469
980 1959.7675375542
1013 1709.8864487042
1459 1588.4474921500
1490 1562.7313281533
1712 1553.8798792193
1901 1432.7511532534
2346 1393.9481361684
2394 1070.3899832207
400122 -nan
evaluations raw_y
1 10629.6316822115
2 9733.6125904802
3 5042.1799103216
8 3623.8016446397
17 3520.4779729881
105 3493.0865935547
165 3225.2562840112
179 2764.6338996638
425 2690.9848306162
493 2005.7915619681
958 1491.1952610856
1456 1346.7626616725
2028 1285.4932283478
2187 1219.3911820272
400163 -nan
evaluations raw_y
1 14233.5909842944
3 8826.9007821486
7 8065.3618714323
16 7915.8807932931
19 6075.8127981217
26 5248.1093378810
47 5030.5094908395
119 4948.4911489280
313 4516.7435148663
477 3758.1182419923
485 3730.9163908420
489 3025.7417418018
608 3017.4738264238
952 2835.0594401418
1025 2045.4323729716
2422 1923.6650879433
2999 1916.5541686144
3081 1798.5296541577
400034 -nan
evaluations raw_y
1 10083.0854424672
12 7054.6492695904
17 5796.0985962102
33 3785.6464218335
524 3329.7596151014
748 3210.6601236244
941 3169.9221682185
969 2426.6354077915
1087 2348.6284131485
1158 2270.5488801500
1491 2194.6976917826
1651 1993.7742463893
1789 1984.2803472250
2030 1980.9445535426
2094 1922.2653633127
2320 1610.7606295850
83516 1591.9448527879
400027 -nan
evaluations raw_y
1 8456.9540444550
5 8094.2479540912
6 6769.5838943274
8 5676.1855967607
16 5211.4983878719
17 5131.6053652846
23 4554.1166942860
36 4042.7670837161
43 3684.2488976408
68 2809.3094371218
754 2683.1189698830
774 2440.5544716000
811 2428.7790788789
1015 2131.9016034600
1162 1876.9075051529
1493 1742.5268070513
1755 1734.3810179191
2229 1707.8891660270
2648 1596.0211964840
400081 -nan
evaluations raw_y
1 10465.7235613626
8 9853.1258081716
13 9101.4571355493
14 7143.3642132145
20 6965.8019584433
29 6593.5639398546
30 6577.7122784556
34 5877.6026937382
46 5103.3970122437
149 5089.0841263032
152 4850.6648742269
339 4526.3113649741
423 4320.8718888501
499 3513.2886476004
