evaluations raw_y
1 47.3364682685
6 44.7030723071
56 43.9414283881
113 41.1447136088
473 39.5251249528
500 38.7264734014
552 35.3498239865
1374 33.7545645787
1496 29.2156837521
2491 28.7293661352
4729 22.9685832214
7200 24.1838779302
15673 24.1691981210
32446 20.3658677920
92651 20.1253657957
112053 18.1857265334
199497 14.7462402503
200044 38.8416397780
evaluations raw_y
1 65.9193605980
6 56.4573813670
16 48.4601643736
29 37.6542666028
197 33.9688864140
739 34.9171001933
2168 30.6643661513
3778 27.1750071831
4386 22.2283968749
18579 20.2518010694
33647 20.2389598098
64412 19.2400112577
121954 18.9249395904
148003 13.8063619875
200380 89.6665874708
evaluations raw_y
1 82.7767717800
2 45.5069148978
27 36.9503285137
148 34.6424864211
282 31.0384236574
458 22.4516178518
1763 26.3264190764
4030 25.9762364256
5089 24.1049006838
12534 23.3728036499
22681 22.4022199831
24762 20.8417724176
45768 19.7144159576
89861 14.5377750218
200332 159.6051092026
evaluations raw_y
1 69.9554498533
3 64.7246169329
4 33.2476112373
286 30.7567813505
365 24.9472926977
23081 17.9480979954
24304 20.3210065078
69840 14.8950168571
200209 49.3822158186
evaluations raw_y
1 59.5819306659
4 57.0394499156
27 44.2114797047
120 41.7758135196
211 35.6463104807
312 33.6372407174
730 28.4510376434
1661 28.9927640283
2533 25.6607416985
3872 24.8950050467
24743 24.4203993828
30815 19.4883316614
200317 47.6582213280
evaluations raw_y
1 68.4749466421
7 58.5750313769
17 52.3616356219
19 48.5204247781
36 47.8076572610
38 45.3247421854
55 40.4290797528
56 36.2253282068
206 32.8599095276
398 30.4270956785
1082 29.8762528868
1317 26.9475907573
3730 26.6823848472
12136 26.0571536484
16425 23.3624242210
40833 22.7297660735
66791 21.0629605272
74429 16.6412539939
200083 69.2547572838
evaluations raw_y
1 117.4499111813
2 72.2738953447
5 59.4808494708
7 55.3049933861
17 54.8142587524
45 37.3905829583
335 39.1492055169
699 39.0656485797
852 32.4596078557
1045 37.9332015039
1212 24.9195647789
2558 25.8088372550
5423 23.3683814214
22711 22.1445806682
39163 21.7278577470
50134 14.0452359631
200297 69.5575883766
evaluations raw_y
1 134.8618109010
2 78.4843039055
5 68.5712010940
30 59.7162703272
31 51.9021402442
34 41.5244933037
89 41.9182578285
174 28.9836666308
1329 24.6904391334
13824 24.0424150112
18478 20.4879177587
24523 21.3144507172
67871 17.7913881048
105071 17.2920282044
108072 15.8652848077
108995 12.8377347224
116238 9.6083794626
119560 7.8086420792
135941 7.3655778078
139848 7.1785894497
140120 7.0284471902
140692 6.6215580268
140727 4.5634644672
141901 4.5291468362
144341 4.0966189333
146226 3.2243385302
153881 2.8634963487
154048 2.4315780968
156693 1.8198610399
160685 1.7981901596
163348 1.5468832330
163694 1.4838602128
164592 1.4329173614
165478 1.4070824438
165606 1.1126815270
171549 0.8538517696
175686 0.7809984096
177117 0.7167424431
179232 0.4836571674
188616 0.3950579148
193827 0.2538613819
194462 0.2421890312
197245 0.2142661968
198411 0.2118111963
200209 1.6556110748
evaluations raw_y
1 57.1922530039
15 36.0892042487
18 37.8440102429
42 30.9319367421
1533 31.0143432981
2532 29.8357751483
3032 27.3424962771
4628 24.5049213841
7980 21.1977878847
32645 21.1307731317
48859 18.0866683358
161676 17.3095217318
199159 16.2722493516
200137 69.7261411930
evaluations raw_y
1 67.8192005409
11 65.5867330106
13 41.8149407992
37 37.4044426338
83 33.6513349045
878 30.3993418524
1283 22.3328676390
15073 20.3141310400
74416 16.3909157319
120279 15.4216843134
200378 77.1850746553
evaluations raw_y
1 66.1383815403
17 60.8796647989
21 49.6688651520
24 48.0137962698
45 40.0612940668
105 38.4792848454
174 32.1986868355
640 24.3062922509
10759 24.4671596280
18290 21.0578116932
19291 19.6422252158
51762 16.9009015500
198712 16.8558824935
200269 65.9535904997
evaluations raw_y
1 86.7389082560
4 54.5178845224
7 53.7056894741
15 43.8399647586
179 33.8205805385
236 36.4270317887
719 28.5860139087
1623 28.8020283599
3259 23.4560012579
5799 25.1115205079
13030 24.0556256695
16327 22.6518010730
52296 22.7303687678
75108 20.1976392246
82675 19.0978441204
123331 18.6758508774
145173 17.4716465931
149296 15.9566653596
161523 14.9290015809
161869 14.1823740788
163593 11.6288714002
169205 10.0721694281
170034 8.2882869258
170333 5.8419107139
188326 5.6553946204
188972 4.8696626136
196796 3.4346062568
200209 14.3757846809
evaluations raw_y
1 89.8373363827
5 77.7095529649
6 29.7063134234
668 31.8317040927
1051 27.2410698132
1433 21.6397809859
39101 20.0839433382
81100 20.7628595185
177472 19.3490520912
183041 19.1968184856
196712 18.8430958170
200395 84.7811842825
evaluations raw_y
1 77.2787274639
3 67.0717372892
4 68.3372582099
12 57.9685643448
21 52.3789850351
25 50.7971266645
40 42.9311337223
66 37.8657451951
73 24.4209154286
437 22.7857450539
11053 18.8660456630
200187 130.1853725289
evaluations raw_y
1 79.5782586580
4 71.9986913481
8 66.4954175126
20 48.3627255944
23 49.4085106021
37 39.5881565365
120 34.7610950503
373 27.3434258442
608 28.7800026735
666 24.9346146035
1263 23.7379413284
22785 23.1496589078
27467 22.4462814682
60552 19.7802567188
138439 19.0498480527
141344 18.9980603501
144893 18.3315254558
148402 14.3070482414
155103 13.9377112630
155543 11.4799224043
162007 10.9500278930
166412 9.6993875698
167972 8.9952727773
169078 8.0266562389
