evaluations raw_y
1 150.2358036844
6 218.4499952518
9 109.1828590219
14 108.3021347877
60 76.5063778654
523 60.6466728065
718 62.3383795780
1048 60.2760473878
1217 61.4009639649
2256 59.1024811755
2440 42.1057991054
29222 37.7264069947
31522 36.1282779230
32142 34.3360420886
32316 31.7752359174
33562 29.7923499211
34661 28.5822936895
39105 25.7518454929
39824 25.5035856726
41754 18.7920256443
47387 17.2954061111
48161 16.8394415894
49846 16.3097370495
53205 15.0342612269
53396 14.9853868123
54630 13.4774670775
57802 13.2997599492
59101 12.3977741464
60842 10.8826408508
65306 9.0391723670
69897 8.2225979438
70449 7.9674936587
74069 7.5863575387
74910 7.4419708168
76703 7.2658288471
77280 6.2109206574
80143 5.9228820314
81931 4.8465775791
86837 4.5455038499
89877 4.2294947122
90815 4.0950035398
92544 4.0046706650
93686 3.6790020584
95533 3.5729569998
95868 3.5017334856
96204 2.8653842608
100747 2.7901193714
102267 2.7782048958
103260 2.7119015193
103389 2.6553778776
104505 2.6229189606
104562 2.6047828327
104776 2.4786066344
104833 2.2864010633
105911 2.1238960509
106898 1.8149782365
110812 1.7196670627
114435 1.6319022313
114512 1.5379795389
116113 1.3907340403
117399 1.3780979844
118914 1.3406882013
120800 1.2148055602
122517 0.9741420313
125047 0.9428190939
126241 0.9336391829
128838 0.8899425717
130513 0.8517788877
130788 0.8324895492
131138 0.8149693358
131765 0.7795280130
132643 0.7563849266
133007 0.7189559998
136615 0.7110953053
137371 0.6521002946
137544 0.5812303062
138106 0.5793135517
140611 0.5539181437
142067 0.5262813996
144009 0.5255668077
144398 0.5192834553
145199 0.4861445728
146617 0.4436060694
147763 0.4390529124
148066 0.4047782125
150647 0.4007862968
151751 0.4003062987
152052 0.3826407486
152782 0.3473776118
153001 0.3302402182
153164 0.3180404460
155129 0.3098079008
157371 0.3082134366
157380 0.2983689118
157413 0.2556989941
160568 0.2466745687
161744 0.2204257985
166053 0.2193882152
167835 0.2125012008
168498 0.2018911493
169259 0.1747791772
170493 0.1717903815
174669 0.1492538526
175106 0.1475391368
176087 0.1441323181
179727 0.1387214446
181294 0.1359869118
183094 0.1203945130
183379 0.1197981645
183831 0.1188387309
184845 0.1105726591
185469 0.1006832336
186680 0.0994161105
190421 0.0967677622
190877 0.0830200852
195281 0.0806015120
196658 0.0728897170
197099 0.0726877653
197952 0.0649845846
198793 0.0648083266
200062 0.0617363240
201228 0.0591488765
201826 0.0489670738
203440 0.0483559199
205037 0.0456819352
209232 0.0447752591
211037 0.0440065429
211711 0.0422776327
211967 0.0421985059
213164 0.0410208085
213473 0.0379484452
214936 0.0373699521
217723 0.0354807649
217738 0.0348803218
218483 0.0339925862
219334 0.0339126194
219624 0.0324277497
220643 0.0310175846
220946 0.0309157442
221141 0.0296411719
221601 0.0277912453
221742 0.0275740191
222070 0.0260008259
225288 0.0252447330
225722 0.0243700303
226261 0.0236076630
228867 0.0206294965
230176 0.0202339553
234534 0.0196533437
234750 0.0196340030
235036 0.0196036022
236401 0.0188122944
236670 0.0163771960
242026 0.0161475084
243415 0.0159893400
243911 0.0149860999
244877 0.0145548281
245044 0.0128235025
250080 0.0113534780
250774 0.0097769224
260011 0.0094969408
260832 0.0092615091
261127 0.0092488759
262533 0.0089858886
262769 0.0083588350
262935 0.0076397581
265943 0.0070511871
267766 0.0069284869
268676 0.0068845075
268867 0.0064320257
269909 0.0064124913
270615 0.0063704635
271145 0.0057355791
273610 0.0051324352
275120 0.0049071920
279462 0.0047414568
279765 0.0044705547
280772 0.0042384008
281716 0.0039367058
283351 0.0036825006
285780 0.0035822505
286602 0.0029938708
288420 0.0029605182
290990 0.0024532265
294674 0.0023253013
295404 0.0022415953
298786 0.0022332611
299005 0.0021657285
301975 0.0021542754
302731 0.0020405093
302914 0.0020268630
303265 0.0020017803
303339 0.0019467779
303377 0.0019043106
305286 0.0018833836
305520 0.0016639882
307011 0.0015899903
310094 0.0014968866
310371 0.0014576310
310595 0.0013063902
312901 0.0012085852
315253 0.0011856666
316649 0.0011677676
317859 0.0010590242
320076 0.0010026967
320520 0.0009862761
320533 0.0008231589
327546 0.0007948936
327708 0.0007605861
329487 0.0007570264
330509 0.0007190488
331029 0.0006866271
333223 0.0006828898
333236 0.0006758968
333337 0.0006639081
334520 0.0006235641
337050 0.0006201685
337458 0.0005533788
338502 0.0005503157
340357 0.0005414355
341496 0.0005195419
341610 0.0004333420
347414 0.0003839523
352877 0.0003837077
353528 0.0003784865
354876 0.0003704618
355757 0.0003511592
356186 0.0003445709
357047 0.0003274712
357369 0.0003064195
359396 0.0002935876
362869 0.0002236656
368148 0.0002140990
371427 0.0002061626
371760 0.0001938529
373113 0.0001895027
375517 0.0001855367
377669 0.0001839646
378870 0.0001832520
379170 0.0001806725
380069 0.0001733298
380658 0.0001585873
382654 0.0001569045
383170 0.0001533387
383477 0.0001526144
385285 0.0001432347
386425 0.0001309124
390132 0.0001274245
390678 0.0001246860
390706 0.0001127433
394845 0.0001036565
399218 0.0001003380
400380 0.0001515345
evaluations raw_y
1 174.1215277097
4 150.8474989231
5 142.1545377746
23 114.5179757509
204 84.6671017100
218 83.0224313336
568 84.9302720837
680 73.6529020586
955 70.9148724506
1294 64.3462239343
1630 64.1889491890
1732 59.8479223871
1939 56.7426911543
2654 55.4890730197
2692 50.7099362010
3362 39.6622931416
26164 42.3919629260
27813 37.3962537788
29908 33.2315892586
30493 32.9022598203
32856 29.4245814735
33945 29.2845275587
34323 27.4369096043
39973 22.8241041442
40720 22.2520863469
43883 22.3427880206
44575 19.5065517974
47595 19.3260130339
47731 18.6917230426
47892 18.1761964879
48561 17.9540605482
48780 17.3856880734
48897 16.5558986295
52876 16.3522709315
53463 16.2574572380
53937 13.2903872361
58459 12.4648721583
61027 11.1264902185
62356 11.0762275178
62694 10.4517623710
64252 9.8122399239
64432 8.7554325924
66781 8.6121606187
70174 8.4145366004
71443 6.8498438182
76374 6.4554312508
76978 6.3231444700
77207 6.0994469982
79435 5.6229885637
80218 5.5919774854
82647 5.2370314725
82833 5.0797912406
83295 4.9538208556
84285 4.8398917373
84673 4.7553684748
85656 4.4861124226
86437 4.0839637442
87704 3.9286991003
87939 3.8764129977
88044 3.5784113629
90112 3.5236133671
90838 3.5202376603
91409 3.3892888508
93244 3.2629542259
94112 3.1895005489
94279 3.1629080943
94550 2.8248457958
95452 2.7760499072
96908 2.7279632007
97875 2.3653299601
99263 2.2918823191
99765 2.2476802456
103201 2.2398638489
103345 2.1015809031
104720 2.0452455393
105483 1.7859522921
106918 1.7704865541
108703 1.6728212436
108912 1.5797670344
109294 1.3861697753
113025 1.3147881087
115035 1.3055280975
116097 1.2774338463
116141 1.2537724048
116378 1.2510549770
117022 1.1482913567
118176 1.1405131161
118569 1.1238770177
119180 1.0756674574
120462 1.0285433364
121791 0.9819594769
122223 0.9280575197
125409 0.8629036275
125909 0.8520972936
125937 0.8420902362
125985 0.8055798966
127166 0.7270271685
129813 0.7156474961
131075 0.6661599670
132123 0.6616611804
132146 0.6172246121
135094 0.6032100445
137183 0.5853799835
138396 0.5767130245
138543 0.5161286147
140311 0.4709400164
142057 0.4543102527
145373 0.4380728645
145690 0.4240524256
146595 0.4229710189
146643 0.3939302460
146649 0.3911128383
147307 0.3890259827
148266 0.3817165785
148293 0.3802757445
148340 0.3781916901
148534 0.3609129793
149656 0.3607825331
149714 0.3587245983
149771 0.2903588540
154215 0.2898975565
156237 0.2884314201
156480 0.2757815760
157390 0.2413111913
158753 0.2411349392
159610 0.2235433157
159622 0.2148860332
159967 0.2009226417
162822 0.1964702099
165405 0.1941483884
165412 0.1855713169
166091 0.1780508608
167322 0.1750326203
168369 0.1749977939
168504 0.1682970365
168749 0.1664613012
169002 0.1541071653
170166 0.1439418448
170567 0.1429506964
172073 0.1400981984
175127 0.1392151577
175483 0.1306482680
175861 0.1189431310
178467 0.1182351620
181205 0.1171092202
181550 0.1108902259
181751 0.1102761627
183050 0.0961584218
185429 0.0811379176
187297 0.0807791932
190125 0.0796396651
190358 0.0723094825
190643 0.0688102882
190787 0.0610122585
194775 0.0523804661
197458 0.0519008890
200400 0.0475073373
203777 0.0464774649
205059 0.0429835890
205531 0.0425482369
206540 0.0412463520
207472 0.0402264027
207958 0.0383120722
208151 0.0382119730
208395 0.0360658319
208935 0.0341652993
209477 0.0337766943
211566 0.0333056949
211998 0.0295411537
212589 0.0259784056
217270 0.0228024895
219110 0.0224473479
219832 0.0211158783
222221 0.0200506661
223219 0.0179889509
224896 0.0170989534
229824 0.0137593098
234226 0.0134967886
235196 0.0132220037
235507 0.0128621088
235554 0.0126340177
235870 0.0121062338
236215 0.0116519126
239970 0.0103672797
243016 0.0100746490
243366 0.0097889245
243624 0.0090872472
244353 0.0086897044
244497 0.0085973854
246303 0.0084937178
246412 0.0078282881
247118 0.0077968376
247507 0.0073112475
251034 0.0061895518
255221 0.0061583952
255476 0.0056966096
258351 0.0048051338
261547 0.0047311990
263275 0.0045554004
263567 0.0045261242
263847 0.0042830936
265085 0.0041550285
265246 0.0040465676
265528 0.0038165172
266996 0.0037289481
267765 0.0035100296
268743 0.0034767639
270780 0.0033886288
271935 0.0029403758
272004 0.0028568805
275826 0.0026406263
278515 0.0025815196
279455 0.0025278447
280082 0.0023241121
283427 0.0022793705
284168 0.0021358356
286695 0.0021079322
286713 0.0020964081
287025 0.0020235354
287263 0.0019895099
287279 0.0019038279
287611 0.0018927548
287844 0.0017974141
288963 0.0017929182
290225 0.0017442240
291422 0.0017438220
292102 0.0014874238
293845 0.0014309612
294634 0.0014297356
295371 0.0013987695
295429 0.0012900692
297220 0.0011775998
300104 0.0011626924
300504 0.0011336035
301180 0.0010955960
303625 0.0010733783
303651 0.0010069455
304167 0.0009704540
304568 0.0009064252
306147 0.0009010214
307308 0.0008613685
307697 0.0007723738
309564 0.0006913967
312809 0.0006622281
314200 0.0006553474
316437 0.0005960994
317633 0.0005921435
318873 0.0005852292
318917 0.0005829553
319362 0.0005821677
319422 0.0005677705
319469 0.0004974268
319879 0.0004645789
323507 0.0004548951
323792 0.0004421723
