evaluations raw_y
1 53.9558846309
3 50.2253661192
7 46.0724084366
8 44.8621979988
10 27.6379759874
20 21.6994230481
45 17.9170279810
85 9.8668951589
576 9.3680039439
678 5.4334301041
10877 5.2964192530
14057 4.7439063000
18517 4.7100929778
19697 4.3724936064
21932 3.9107051534
22634 3.7765902388
25179 2.9414860644
30152 1.6346473617
50239 1.3913018170
67009 1.3292762438
100036 8.1543504526
evaluations raw_y
1 328.4222063840
2 242.7725570139
5 90.9787256379
13 79.7582400313
15 38.0469110658
48 36.7006196827
88 21.8196310254
305 19.1260770399
560 18.3801274795
572 14.6147969920
742 12.2163984867
1043 10.5160299716
1246 9.7802625815
12882 8.8720989526
14329 6.4528911041
17132 5.3667802504
17752 5.0851878948
22047 4.1821989782
23234 3.8515166169
25542 3.6056258066
28850 3.4394410992
30209 3.0862382252
35275 2.4163645433
48918 2.3346348841
52621 1.9915373259
58021 1.5261228941
58531 0.9889957944
100459 9.9004027106
evaluations raw_y
1 226.3300601805
3 196.3528406134
4 142.4515995600
6 36.3870074611
13 25.5334817491
17 13.8945782386
55 10.7530878105
1424 8.8937468405
1683 8.5869536336
5884 8.1095732071
7543 7.6927271653
10297 3.8639257824
21746 3.7123463703
25934 3.4622324216
29890 2.7513428482
31802 2.4870518228
35910 2.0810124328
50734 1.7776664027
79032 1.3584068753
97525 1.0889547087
100036 9.2579290388
evaluations raw_y
1 47.1610670459
2 42.8732264628
3 36.7483209866
6 26.7887592855
11 17.9555978223
19 17.7291532095
39 15.1992032718
66 14.8754061905
113 13.6111442402
173 11.2261426692
221 9.9356545374
282 9.9328811203
432 8.1512090929
1002 8.1184539285
1407 8.0529842599
5726 6.4216621658
9364 6.0605449978
10714 5.0655302516
14145 4.6796838140
19072 2.6026517479
29597 2.4977738504
39781 1.1052258196
100045 8.2704540377
evaluations raw_y
1 57.9915143614
2 40.1980585749
4 21.8475173357
12 17.3969344140
19 8.7224926860
128 4.7677060293
9387 4.6757015807
13033 4.3879759446
16020 3.8759224076
24084 3.7196654690
24132 2.8259453279
24601 2.3995057616
31062 1.9630481066
33151 1.8302010119
48241 1.4552134065
100045 13.8646807816
evaluations raw_y
1 21.5679547715
13 11.5498266130
93 10.5913246434
251 10.2493246723
525 10.2263392256
668 9.7532039084
737 9.7100407454
770 8.6291860295
848 8.4651560828
893 8.1439629566
948 7.7653396313
1130 5.4293780363
2576 5.2629269795
9171 4.7570541310
11885 4.0072091430
16669 2.7528700856
34853 2.5885826625
36554 2.5629299449
37944 1.4831948748
53701 1.4640719968
85226 0.5692502612
100055 11.1551856614
evaluations raw_y
1 98.4744309986
2 96.6001099125
5 66.2077925816
9 63.0581290191
12 38.3599520037
26 36.5825876825
28 21.7195788341
37 17.9011781918
95 16.5010453869
143 15.5340207565
362 15.3038866851
379 12.5083988665
560 10.0842407635
698 9.0611951870
981 8.2755166964
1153 7.4332682311
14248 6.8078354061
15279 6.8003383263
15707 6.3734547250
16584 5.9594094421
18317 5.7627875791
18511 5.5393693303
19079 5.5072512923
19456 4.7755260283
23385 4.4584174088
23502 3.0458706089
33036 2.1586843074
35964 1.9094212909
90973 1.4303835664
