evaluations raw_y
1 50.1547745917
2 19.4939109173
5 16.2336161839
8 15.2132550943
15 10.9720786947
16 10.8840525383
17 5.0833702969
29 1.8180953409
33 1.5950703574
42 0.8262610336
258 0.7078645550
309 0.3212628230
645 0.1540154664
962 0.1013724705
1425 0.0433948473
2543 0.0193986188
6877 0.0094198059
8198 0.0062295053
8957 0.0045168263
11643 0.0033630662
11720 0.0030942125
12835 0.0019261488
13244 0.0012283002
16003 0.0004804852
16868 0.0001249704
18762 0.0000593876
22383 0.0000345499
24427 0.0000198787
24586 0.0000025744
29922 0.0000006143
30002 0.0001119979
evaluations raw_y
1 2.3796505066
15 1.1033593119
20 0.7260077533
179 0.3660425888
214 0.1175410154
942 0.0778196921
1405 0.0297856379
2261 0.0165133089
2523 0.0065343354
6516 0.0047238988
6922 0.0024293746
8898 0.0020599292
8937 0.0015323217
11623 0.0008294568
12815 0.0004394820
13224 0.0004195045
15871 0.0003186993
15983 0.0001555606
16848 0.0000347511
18742 0.0000310521
19276 0.0000240895
19718 0.0000211530
22363 0.0000169469
24407 0.0000079961
24566 0.0000008926
29902 0.0000002171
30035 0.0003077996
evaluations raw_y
1 60.5550743411
3 28.6547276122
4 10.8924304225
13 6.9563384790
14 6.5973531454
17 6.0482707970
19 3.7021828601
35 2.9188599429
42 2.0476494492
72 1.8854954505
151 0.1270539940
1432 0.0438141097
4193 0.0435736669
5926 0.0358191003
6565 0.0343109623
7703 0.0069799810
8170 0.0035269791
10025 0.0001603302
17717 0.0000923488
21313 0.0000686396
21583 0.0000463826
22668 0.0000360040
23103 0.0000107334
24363 0.0000041303
29859 0.0000035612
30468 0.0001595896
evaluations raw_y
1 53.4224023244
2 52.0189209427
6 35.8697180644
8 25.6923644556
19 18.8503365453
26 10.5952762389
58 9.6008043150
96 8.6568619862
245 2.5992985332
545 2.4057533253
592 2.3392537017
688 1.7884433485
898 1.2909246004
988 0.5789530835
994 0.5298255676
1328 0.2954390118
1450 0.1161516236
2920 0.0702091376
7721 0.0653269494
8188 0.0179368976
8228 0.0102790676
10043 0.0032956501
12657 0.0007840367
16126 0.0005764451
17735 0.0001020975
21601 0.0000805782
23121 0.0000322723
26592 0.0000249632
