evaluations raw_y
1 454904.3168118936
2 122365.6937128899
4 118049.9096824750
5 78304.0245774845
8 77329.7754102122
12 43287.6821673466
22 29665.4991274600
33 24792.2319906485
54 18824.9815231620
58 14564.9765266649
107 6038.1068855787
467 3720.0237429097
602 3699.8744838153
687 2046.9678219757
793 1446.4976441696
975 1196.8060677818
989 988.1216998109
1228 746.5427865769
1349 600.6769584844
10630 76.1082576032
12829 5.2782798117
13025 4.5241474076
15320 4.4217242373
15371 3.7284186055
16432 3.7249440041
18628 3.5527647211
20163 2.5901730664
25214 2.4339327461
44729 1.7007834123
100045 4.8795448437
evaluations raw_y
1 562122.5098076506
2 231079.9378352409
4 193602.9127159950
14 97588.3825759025
16 85033.5635601861
44 72562.4404763728
65 66985.8081862020
117 38257.7674522331
455 21439.7902601067
472 14564.6178341401
727 14476.5447127257
939 10831.5474200428
940 9659.4777712054
1060 368.8031908329
14520 206.8531962490
17115 83.0323622970
19323 78.9924171749
19690 57.6548671668
21162 4.9885430461
21351 4.0586499195
23219 3.3154875171
24433 3.3090540800
25849 2.7587311108
26283 2.7253572638
30235 2.3487719149
37669 2.3468651818
49066 2.3325340274
53878 2.1775570768
56406 2.1373976228
60534 2.0473676318
75372 1.9415594776
86577 1.1862816196
100017 3.9864079995
evaluations raw_y
1 103527.7915446970
9 70181.3055339641
12 53832.1470371473
25 19842.3214727947
43 8439.5326303982
576 4864.6005824131
1023 4568.7870953936
1154 2579.9000563851
1182 990.5567439817
11266 912.6206001351
12766 704.4212258705
13949 153.3529633671
14057 15.5885669542
14444 5.4251020278
16422 3.5819011507
18945 3.3590748990
19796 2.3897680762
26036 2.2969153604
38273 1.9641037177
77795 1.9062114703
100037 11.9758839337
evaluations raw_y
1 409890.1472605697
2 306254.8254618063
5 259495.5980625970
6 229107.4191229394
8 118484.6142311824
20 84724.8877880051
27 80280.3477535638
86 64985.0288767255
136 64272.3166012894
140 43418.3037489633
152 42706.7115903901
453 19462.9346714459
478 13759.4276453560
935 11324.6701210144
1109 7499.9531436097
1193 6746.5067099421
1236 3967.9284884697
1893 1216.9139844412
12906 774.3711946015
14322 35.7308688047
17453 22.6649609613
19296 16.4371570987
20575 4.0504318184
20966 3.9108569253
21820 3.9007665730
23061 3.4544743325
23287 3.1356408733
24069 2.8468954067
29375 2.8058211442
32510 2.3866873328
71847 2.3472748649
81350 1.5677727616
100023 3.1817415305
evaluations raw_y
1 69063.5247260422
5 63461.7108645756
6 43119.1430758371
10 27872.9196342104
20 19905.6509368911
76 17398.1405024959
95 12709.7024879555
371 12268.8404508684
403 9380.0853926365
453 9283.0093342553
466 7676.2901952824
471 4314.6901532106
703 3778.3669695822
791 2450.0372712089
1058 1215.5172997577
1151 266.0043789826
8237 41.8795701576
13211 4.8293786795
13803 4.1961641359
15137 4.1511426025
16363 3.9031547308
16819 3.9011217944
18005 3.8898632220
18437 3.4637528256
20614 3.2464006885
21589 3.2138490593
22648 3.1279336860
24166 3.1241773361
24364 3.1021156460
25116 2.9905765110
25981 2.9535478310
26715 2.8509005114
27765 2.8434440434
28798 2.7582196768
28924 2.5799272440
29804 2.5144404032
32876 1.4574874746
81314 1.3745429923
100046 4.2993560089
evaluations raw_y
1 91971.9475876049
4 36665.0677984995
6 23275.5790167876
19 14885.1661144873
102 6421.8787198935
383 2007.0916827928
1184 522.5379785257
6259 214.2963390198
11874 98.7225263221
12603 54.9843601870
14131 41.9989299330
14818 4.7487022605
16444 3.9201775088
17619 3.4927369536
17640 3.2327332619
18775 3.1474489507
20256 3.0870403697
21952 2.8732682857
23361 2.7537215932
25519 2.4991830867
25679 2.3290945726
35629 1.9678438509
94021 1.6462963977
100043 3.6888044818
evaluations raw_y
1 99771.9186829309
15 75230.3910927840
16 56205.3029389575
22 46103.6653810046
57 41824.1787393643
105 34026.5825508383
186 25555.9281381388
224 13248.1613300871
460 10540.6853836384
708 10315.0977493387
787 7804.0192241511
1237 1617.7512000301
2203 1524.4003705232
16908 1234.0105009447
17616 939.9814349327
18280 872.3010635664
18580 15.6961875468
21048 5.2319233402
22098 5.1865682300
22642 3.7256709085
23422 3.6073166808
24740 3.5188766660
25691 2.8880465097
28653 2.8087833076
30600 2.2345905148
64879 2.0927598573
70453 2.0557730254
72674 1.9692076084
85538 1.8814170613
88078 1.6985219204
99163 1.4157170204
100020 2.7787229643
evaluations raw_y
1 253292.2944842881
2 41692.9750908189
22 33971.6351913843
24 14763.9546250950
43 724.6855771381
594 133.7257659241
8793 77.1022903435
12303 45.1977894336
12870 7.4067111698
13756 6.1910875850
14439 4.7097201939
14869 3.6271966716
16413 2.9174907709
22351 2.8603180596
22752 2.7628718927
25294 2.6741971334
25819 2.2373404624
59703 2.1571240605
62638 2.0687826573
64183 2.0650491778
72302 2.0172335991
72967 1.9297626425
91000 1.4583669576
100046 3.6609673871
evaluations raw_y
1 182673.4217570605
2 164191.5101287256
6 138349.8656522909
7 135072.5768586102
12 68674.7050134674
16 44565.2529390350
35 36405.4236000983
36 36088.7084150050
80 9581.7639847224
666 4334.7503301674
1241 4128.0353162755
8382 1183.9476521570
13034 430.8441183172
13978 389.0738955596
14647 356.5126628855
14912 33.7286635135
17023 3.2060687643
17965 2.8021698590
28047 2.6131602972
28497 2.3362277886
55615 2.0227065559
80364 1.8752694141
86438 1.8403874855
89196 1.7393272643
100032 3.7955479479
evaluations raw_y
1 12858.5438577873
39 7573.8383153649
115 7372.4646518453
181 234.5622200564
681 9.4730780520
10073 3.0563790207
17129 3.0327179694
17845 2.9120781164
19321 2.6967367320
19873 2.6351663226
23271 2.3792979592
37619 1.9336005652
69740 1.8409059697
85821 1.8049502280
86225 1.5175895142
93204 1.4806796946
95351 1.3853753435
100048 12.6907337643
evaluations raw_y
1 162623.0632608414
3 75392.4949564573
14 51915.2570070723
15 28941.3002220945
17 15788.7055510155
115 15048.7299054680
117 14926.0539501518
196 12491.6940499578
232 6555.7145085161
511 2435.0045812517
633 1619.5459811377
875 1028.6106738838
1026 1023.1962959910
1444 79.7953406742
5520 35.4783567508
11564 4.5693329295
15277 3.3498706430
17018 3.1690357261
17400 2.7861703890
17417 2.6577073562
24013 2.1794115814
30140 2.1286699938
54972 1.8843212590
69657 1.6522241429
100051 182.7615767692
evaluations raw_y
1 205217.2044315350
3 184969.6324042494
6 93707.8321266307
12 89650.4820836692
26 84502.4551400562
29 83191.0074325073
35 71562.6591905905
37 68392.2733139114
49 48525.8163901630
67 46670.2117580909
149 32156.8411950823
498 25679.8660366854
514 14898.1896344114
597 9795.3846195503
857 5375.8867388180
1036 1440.1277424298
13487 372.5252419895
15184 48.5482505121
17794 3.9338492489
21073 3.7353460377
22555 2.9212851336
26714 2.5570009089
40464 2.5415951454
40784 2.2293692789
65021 2.1705464684
74586 2.1176050606
84666 2.0120861702
85193 1.9015382016
100023 3.5757658703
evaluations raw_y
1 79507.3912824381
2 63866.4273296149
11 31986.3451360868
28 22351.4410218734
69 19214.9126583223
103 2605.7463462055
725 1339.7859273588
981 476.0290790413
13057 280.9158365772
14255 81.0362946744
16887 51.1464765416
17138 10.7467534999
17180 4.0421409746
18285 3.8825352847
18813 2.7546718956
26269 2.6581541897
26912 2.5492634222
28554 2.5013714532
29435 2.2537532760
53812 2.1642825586
57836 2.0505029440
69098 1.8952874801
79936 1.8260213322
84747 1.6822260835
92111 1.5676341798
97397 1.4531072516
100037 3.6467825812
evaluations raw_y
1 27496.6328550370
29 16054.5351998554
40 11650.7734117813
100 5503.6214403508
551 3223.4733772299
559 3148.2298256459
1083 1966.2789180653
1135 1055.5460944559
1668 194.0738032470
14573 85.4349508841
15228 16.0416483010
17801 4.0234943643
18211 3.6744827859
18786 3.4901244164
22103 3.2855797229
22517 3.2400240665
23156 3.1775480530
24955 3.1436433803
26383 3.1226412830
26531 3.1121458052
27015 2.9664892169
28228 2.8430856761
28812 2.8115366076
28960 2.4882942411
30777 2.4881214284
31242 2.2903634772
71657 2.2330596620
87423 1.8579151490
99810 1.7510359996
100029 194.8164520838
evaluations raw_y
1 238192.7518292087
2 133439.1373305231
5 97107.1982948329
12 56927.3669341396
13 56535.1279820356
30 42903.3582653440
33 14183.9510525677
484 12607.7934853670
507 8952.7599416137
622 4848.1369240872
713 2189.2012283862
975 1969.1394524127
11307 1777.0371979889
11747 533.6547432153
13493 269.8824156243
16196 16.7517923186
19241 4.9883579762
19365 4.2148071006
21821 3.8523382737
21974 3.4813892039
22344 3.3388566917
25586 3.3268195287
26856 2.9704265422
27623 2.7986412974
28203 2.7388530886
28746 2.6488979748
29257 2.5486458367
30403 2.4712718353
46154 2.3821439058
46914 2.3662100323
48649 2.0989212694
84359 2.0594853664
91465 2.0429491003
100028 4.0693927061
