evaluations raw_y
1 90.9950617662
2 85.3134258707
6 85.2390046473
12 83.0885349209
15 82.9430273787
20 81.8204005058
37 78.6694919987
39 75.8637625341
192 75.3996232611
513 73.1869654284
812 72.7211303576
1238 69.4409819208
1557 61.4103490695
22666 50.8323392287
26724 45.1287486640
29233 34.5700749451
31180 28.0405360668
33580 27.1322533878
34051 26.8503279144
35341 25.4532869605
35378 20.2172328540
37635 16.8004744154
37818 16.1140757904
38338 8.9888030502
40736 6.4589437886
46075 5.6752170817
48716 4.2882584494
50400 3.7485300811
51252 3.3441156169
51793 2.8772238304
51813 2.8167753550
52689 2.2224670932
54516 2.2090554424
54655 2.0874380118
54999 2.0683731349
56496 2.0435038239
57381 2.0378848852
57451 1.9685173782
60105 1.9587410276
60656 1.8418154351
62004 1.8155493287
63573 1.7277245611
63949 1.7179871669
64614 1.6482619104
65734 1.6124795528
66067 1.4819543238
68548 1.3145208423
68845 1.2965589751
71998 1.2080667781
74800 1.1937763759
75638 1.1390093006
77525 1.1317693540
78134 1.1215487512
78439 1.0396298507
81757 1.0112804659
83851 1.0070627709
85837 0.9925852191
86705 0.9836505921
89268 0.9819455322
89551 0.9751878614
90105 0.9734194924
90787 0.9625959987
93896 0.9611131662
94006 0.9582513784
94916 0.9490685291
97620 0.9473484639
98477 0.9469900204
100202 0.9465853253
100378 0.9458282873
101379 0.9431834453
101630 0.9419700540
101968 0.9415584651
102297 0.9385010744
103900 0.9372840033
104775 0.9370197067
105137 0.9347529416
109464 0.9327102751
113792 0.9317617157
117981 0.9314418051
118256 0.9314404415
118699 0.9313735141
120697 0.9311480930
123821 0.9310547958
124646 0.9310526441
124857 0.9310184301
125772 0.9310003281
126625 0.9309024611
126849 0.9308772664
127414 0.9307873957
128282 0.9306772789
128313 0.9305573610
128676 0.9304894864
128897 0.9304042273
131066 0.9303717455
133160 0.9303284526
133401 0.9302774103
134466 0.9302193911
136697 0.9302115531
137293 0.9302037415
137473 0.9301869983
139603 0.9301804856
140107 0.9301316379
141355 0.9301281521
142434 0.9301202999
142502 0.9300891503
145458 0.9300798880
146117 0.9300769283
146624 0.9300679287
147835 0.9300660960
148386 0.9300552604
149037 0.9300530378
149782 0.9300378378
152150 0.9300374057
152645 0.9300313027
153134 0.9300256804
155301 0.9300255009
155602 0.9300234684
157456 0.9300094286
161786 0.9300094255
162461 0.9300069889
163284 0.9300062754
164811 0.9300038121
166142 0.9300037701
168416 0.9300027111
168446 0.9300024537
169172 0.9300019492
170249 0.9300016533
171635 0.9300011757
173010 0.9300009555
173246 0.9300008356
