evaluations raw_y
1 15.3478310197
3 10.3564104989
12 7.1526759961
17 6.8675201103
27 4.5810464312
28 2.2798833440
51 4.8094344567
413 4.2552260967
644 2.9602301454
997 2.2411222342
2382 1.2239776780
4611 1.3397586170
5523 1.1013722285
12022 0.8903179112
50153 21.4847368629
evaluations raw_y
1 31.0369432498
2 25.5302381263
3 21.6638735235
4 15.7868198451
7 14.4831951054
10 12.9839219480
25 6.7376557939
119 3.3503540730
320 3.1447869382
465 2.0573970956
3346 1.0514036407
19331 1.0170162060
50155 18.2816804844
evaluations raw_y
1 24.3195273463
2 15.6306612893
5 11.9199068516
20 12.3680561914
24 5.0649379785
98 4.0966313602
180 2.3720397371
649 2.1482071204
3567 1.6039543773
7081 1.5860996417
11711 1.5679178119
16145 1.3887318189
16368 1.2908898809
50140 11.6322688326
evaluations raw_y
1 18.9343254532
2 8.3605467623
10 7.3188331017
43 3.8373026141
140 2.8597197857
199 1.8156653219
1211 1.4229674287
3445 0.9489189570
22324 0.8939099197
50148 11.7496334060
evaluations raw_y
1 16.0569794189
2 11.5879500571
13 10.2264863761
15 8.0283110936
51 7.5697356834
64 5.0025202449
91 3.2239183158
208 1.4119122844
484 1.3252832363
8850 1.1388575410
13664 0.8425198210
50152 21.2199371376
evaluations raw_y
1 13.6878444923
2 12.2063609946
7 7.5931723996
11 6.4632763148
13 1.3963234999
5995 1.0729878223
9755 0.9533331792
23814 0.7315707928
50157 29.5321681567
evaluations raw_y
1 17.7125245888
5 14.5483707863
9 13.7732037690
12 11.2165266425
18 10.0398962339
38 8.3768971060
59 2.1795966909
92 2.6856577830
290 2.3304128491
315 1.7221928515
2331 1.0139284081
32568 0.9443740999
50159 7.4691508702
evaluations raw_y
1 22.8932274354
3 17.3256645139
6 15.7185484780
9 7.4796710201
21 5.5966224490
35 4.5569553373
41 4.0453596399
431 3.7350263948
489 2.8645924748
569 2.7858005528
1348 1.8964869087
4516 1.1658419860
9210 0.8562101919
50177 39.6925094438
evaluations raw_y
1 19.0886315024
3 14.6327132121
4 15.8143241881
8 13.7231585813
10 11.2235311461
20 9.0212069942
21 3.2423158565
190 2.4392340232
1566 2.2543628341
2102 2.1844054781
5544 1.9691918428
6386 1.7847920392
6684 1.5667480975
8801 1.5114307480
17693 0.9413195597
50155 9.7985142108
evaluations raw_y
1 4.9437663386
150 4.3013339030
473 2.5249536789
1163 2.0351120179
2097 2.0153039150
3124 1.5914960295
11440 1.4402269345
11948 1.3926314913
13675 1.0179963614
18543 0.7527281274
50148 26.6354350997
evaluations raw_y
1 22.9808887198
2 19.4436802558
3 13.2851853540
12 10.5392292907
13 5.7380596180
15 5.6205540762
32 2.9634204739
540 1.8624592691
5072 1.7518365094
5813 1.3878345493
24350 1.0706220915
50143 33.4571618425
evaluations raw_y
1 22.4554803908
2 9.3728108128
7 3.2383247499
153 2.0017071030
494 1.5817942300
5053 1.4860260416
6489 1.2081626702
11909 1.0802444462
29525 0.8236962170
37823 0.4652702906
50227 26.0407682875
evaluations raw_y
1 14.8010465243
3 5.5997886623
13 4.5709743308
50 1.6187125462
9419 1.5595798985
15565 1.5478760577
17805 1.0902661768
48616 1.0199942197
50195 17.0848295652
evaluations raw_y
1 14.8430851123
9 4.0245730468
81 5.4032634197
137 4.3454341225
198 2.4561410433
585 1.3774519136
16310 1.1240661915
24318 1.0293132570
50155 26.9856619656
evaluations raw_y
1 39.0527195359
2 25.1350834287
4 19.1271959847
7 14.9710462162
11 9.3756948063
22 2.7713246731
74 1.9698856160
326 1.9264983699
791 1.6933648885
3280 1.6818428850
9156 1.4831228360
11095 1.4751343181
15286 0.7674368658
50166 32.1029369405
