evaluations raw_y
1 2333.5187479973
5 121.8899230592
6 90.7962679219
18 87.4582506612
21 79.5431628168
28 74.6889238773
40 57.4936445326
94 33.3207671712
1058 32.1241176037
1314 30.5814888160
1427 26.1009412056
5305 23.6783697486
6298 20.9577433725
11398 17.7384942893
12945 16.1007818011
16762 11.9260206461
23527 11.7686576630
24459 11.1120937803
26766 9.1637837521
29984 8.1800608072
31943 7.2567870530
50179 64.2983133258
evaluations raw_y
1 160191.0126694352
2 9200.6861860935
4 130.0873700115
8 97.3951893294
30 66.1109019945
42 60.7090748182
91 45.7978058230
255 45.7184639378
426 41.4870942082
616 39.8840870311
882 39.3384588848
1430 31.7745696401
1658 29.5559261440
2454 27.5117497506
3275 20.6815137932
7914 19.3377800524
10631 15.3261228183
17819 15.0291214670
19466 14.1937549128
19765 11.3698151837
28363 10.3351196630
33275 8.4625398810
50144 64.9678298517
evaluations raw_y
1 14968.2882029026
3 11539.2421413963
6 129.7702326074
14 126.9039600200
18 124.8408996696
24 108.8817977041
39 101.8969725694
42 86.5458578313
97 84.5009049370
176 65.0249978348
553 55.6596665054
685 53.9539281050
723 49.5191889070
909 47.1109993067
1060 44.3244713571
1494 34.9354590087
1931 32.1850180437
4252 27.2173139097
5656 24.7742999984
10471 23.7561124314
10967 23.7156310994
12822 20.1135704720
13463 17.4092005039
15064 17.3332834884
15594 13.5356425968
19502 9.7966072455
21738 8.5542091756
30534 8.1048525361
41322 8.0248405729
50149 65.0127389185
evaluations raw_y
1 49465.7444684089
2 202.6415982287
4 107.8832712326
5 98.2259843472
9 34.7678163853
47 26.7803637086
1642 22.7875552327
10829 22.3110686602
10917 22.0677836216
13043 21.8758185160
13653 21.1649817433
14252 20.6649073895
14498 17.8747319005
15406 13.5738476164
22018 10.9939134773
28530 8.2486048179
48925 7.7796439863
50143 41.3236084452
evaluations raw_y
1 1261.7761113506
4 123.8601588967
5 84.2254006748
17 68.3545269785
21 54.5116560878
83 28.1441360043
533 18.5604345264
9119 18.4108815827
11036 14.4585253798
12626 8.0138008499
38598 7.1184765639
48512 6.9016434096
50203 58.0644581295
evaluations raw_y
1 15223.8153267802
2 286.0662164311
8 255.5740476874
13 240.7091598185
19 199.1598766613
29 196.8929018265
34 185.3024019112
48 174.7250598392
60 83.3343311967
456 75.0206499823
519 57.5489892375
779 33.4115839024
1455 20.1065543408
12662 16.8563082424
20941 16.1264850981
24193 15.6374686105
26049 14.7880072328
28102 12.9721453025
29614 12.7553157226
32129 11.4279063290
37443 11.3588257185
39367 8.3336548496
50148 56.5227555294
evaluations raw_y
1 41.2776806595
23 41.1710856090
30 39.9059128647
97 35.8030171083
273 35.7247895856
291 26.6634043627
1415 23.1108844296
1851 22.9634088349
4253 22.1978991855
5434 20.6368755889
6328 19.6515572188
8937 16.1742561268
11865 15.6817879619
13781 14.9035647157
13790 14.4126219915
14679 9.9411644561
29782 8.5848768764
44992 8.1245596249
50250 71.7919199320
evaluations raw_y
1 37094.5311643068
2 118.0833880154
11 100.2663925758
12 68.1309341629
25 60.4408466192
44 53.8749771030
78 39.7049721723
91 9.2527729699
30206 8.0557581542
50145 52.0061054161
evaluations raw_y
1 94428.6535588622
2 10420.4856774930
3 8067.8936955278
6 5362.8933962009
8 129.8409485003
21 128.4421092213
22 117.3516776971
27 69.2697110025
93 65.2171206222
490 41.8746837272
808 38.8374312769
864 34.7629323036
1620 28.4435761301
4166 18.8019157862
13690 17.2874729086
15612 15.1300499475
15969 12.0167159389
24953 9.5220030461
31766 9.3587290889
41466 8.9829990628
42207 8.8545279059
50148 51.4589862874
evaluations raw_y
1 3993.0239158447
3 1572.2021976631
6 166.2645323539
9 153.6889274461
16 117.8535367013
75 97.8727402983
315 91.0039490421
454 90.3284789963
469 70.2225916306
505 60.8522803912
732 36.0014042345
933 26.2547156842
7708 18.5480330056
20482 17.4087269125
21454 15.5037991525
22639 14.5468240484
24774 13.6656882221
29245 13.5359064472
29845 12.2653690274
30300 11.7215522422
31627 10.9073774716
33923 10.0467774027
50149 65.1417897990
evaluations raw_y
