evaluations raw_y
1 68886262.3557882607
4 57066978.1059939638
5 35502197.9373466671
8 11049352.3909951672
51 8963159.4778480306
114 8098617.0187429897
254 6405781.5791273359
291 5913004.2400622787
587 5065198.9628066225
752 4800900.4454280064
1050 3612002.5092466250
1244 3492378.7558238576
2597 3420361.3466240130
2644 2959734.5474515446
8229 2362270.2739094552
17791 1736029.7406438377
25556 1563579.4729496760
33224 1443658.7721422736
33277 1363924.8542075981
35264 1210518.9563729602
42883 1044440.9269691036
49057 933980.0289513397
50078 885698.4809765806
53307 565753.1619129434
56576 429077.6797084364
56744 410055.8352502419
62912 368233.8422249280
69306 351404.6873919275
70202 310826.1055473725
72205 217178.7622392550
92299 210357.9441115596
92922 187445.5404990248
94122 181495.6329815357
97426 144104.3493752910
107642 140127.3454237652
110369 123215.6176632732
117184 122618.7538178274
117837 109431.0496685733
122318 82837.0982310611
128757 60528.9151946240
147844 49724.6360037447
154361 47295.5039777642
155089 43909.3486921076
164361 40515.5331389626
164448 32884.6671053926
173577 29082.7623205682
175970 25255.1933051280
176885 25044.2095967526
192169 22762.7564696490
195918 22087.2004444624
202426 18939.0427326072
211225 18629.1231595375
216742 15981.6754620491
219966 15652.0262526739
226342 12218.2499857766
227519 7435.0543038545
244883 7425.3856623443
248110 7145.9128310614
254064 6507.9530389881
255504 5622.3523859325
261797 5145.0419972947
265019 4378.7464126599
272966 4245.3012490695
274127 3621.8478445527
299130 3502.1361038597
299622 3191.2723698310
310333 3119.0404365308
319177 2801.6890321596
342888 2598.5866933746
356018 2258.7010723939
368090 2181.4738467157
371704 2047.9926654125
374503 1950.2022569113
376838 1944.6368788974
377006 1914.7099785487
378184 1874.9419207250
382207 1805.6398960081
385061 1611.4884068370
391434 1546.7972979119
395832 1535.0807771964
395933 1355.0511278355
400386 3196.4379541355
evaluations raw_y
1 75514624.8297313005
11 42066592.6863993034
22 40350893.5485091582
25 35465583.2416101471
35 29532084.7316401564
136 26911489.3106720299
237 26720623.7149460055
241 25984239.8156566955
346 23182830.6032559313
355 19738953.6381360292
508 18579069.4668268338
538 17198756.9663589559
624 16844892.1892607994
636 16527016.6380748432
640 12387239.9927544110
942 11059512.2779007554
1229 8114696.0151338885
1732 7336722.2214966184
1826 6114570.0351229487
1853 5653156.5537563730
2218 5626146.7296128049
2644 4351710.7011930859
41860 4052060.0528306467
42632 3962617.6453404082
46096 3541099.9295705087
46429 2788324.1836690209
53383 2176186.7366073844
56652 1982085.1117759217
56820 1940862.1356314227
70071 1620499.1484185965
70278 1538902.4630538430
75861 1375998.4356207985
76019 1293735.2573627001
77344 1059385.3019740933
90648 1052115.3265159233
92998 1046055.9336974077
94198 893864.7127794971
94700 857517.0108819447
96458 854195.6963343477
97502 713017.2628477553
100922 502080.2110333454
118755 491876.2073777266
120088 434882.3132950687
122057 414161.9658992794
122394 375617.8199758619
123183 364641.8645913832
127122 332753.9088755350
133581 330621.4515553743
135562 327041.8548088009
137032 256505.9160330377
139636 248396.7175361831
143250 195295.0196180955
145293 150238.4389256010
155160 136464.2316416571
164828 126253.1318357661
170047 93379.8119414069
173653 91425.1963426218
177791 70367.2891239683
188875 68173.4216803914
193512 63865.2383818983
198013 62654.1476476585
199979 59878.1522235910
206770 55782.2670275094
212832 45625.2717591145
223977 38637.4263562432
227595 33639.9999682791
235089 30564.9833025899
249572 30546.6216373311
249695 28869.2581592009
249785 26689.3915605914
252987 26252.0020234535
254140 22910.4173851912
260430 21279.1029707258
265254 17541.9548844717
278801 15234.8823945288
286595 14620.4770456606
287443 13914.8543911080
300230 12067.6056117266
301807 11347.2904105355
306073 10579.1191913175
307752 9993.6103940587
309698 9610.4191420800
316924 8141.7165132799
321784 7931.8821415817
325362 7502.6110550464
326254 7123.6664173938
327775 6867.3621050262
328104 6420.5834065508
333867 5928.4696147043
341309 5288.2715488324
348834 5039.7089753302
353463 4241.8879126647
358790 4229.3991385518
362125 4115.0247759201
367141 3824.5032782034
382283 3647.0727456991
385156 3463.6040184934
391510 3423.7320504552
396009 3012.5468138181
400271 5196.5824892904
evaluations raw_y
1 56547001.1958126426
3 50111715.0137113929
14 47726604.4989834651
16 34311843.6430688277
45 20853025.3454144336
207 15009569.5312039498
480 14412766.7106597181
670 8429368.6664560493
1002 8194386.4034804087
1080 6452375.4391831001
1692 3764809.9929072186
32554 2655684.2243162668
33780 2340283.8822853873
37217 2121657.5329200611
