evaluations raw_y
1 993.6669115979
2 726.6833243154
4 721.4004288734
7 608.4284862035
15 608.3080842740
23 499.2264655010
46 429.0602946375
67 374.0827698989
170 358.3395944795
219 326.2886734832
492 265.2414715730
907 250.8964477355
921 247.3207351149
1042 230.5983257496
1173 185.1865387486
9930 171.6315718942
10790 157.9966089853
12170 141.4245158361
12775 128.1287490319
15327 127.8904481347
15946 102.6185633047
18102 101.7927583125
18684 100.9160742080
18963 95.6666302328
20266 86.5968784146
21061 82.3977155149
21395 78.0549393904
22034 74.4155239798
23070 69.7958999596
24108 53.7660893895
26485 53.1831731838
35298 52.2315511821
37466 44.3586027333
43267 43.2632527020
44096 34.6755166562
44650 34.0527565979
51871 32.9637672773
59211 23.9970911714
63952 22.4877222760
82626 20.7696987963
88779 16.0631682896
100023 72.1606625790
evaluations raw_y
1 1553.6303706699
2 1091.2675610968
3 970.9499131690
6 928.9285365772
10 816.0844313410
13 592.3193642714
29 551.2442277016
74 442.6719399313
102 386.8491192319
460 333.8063072891
759 305.0509585702
923 262.1830688483
940 212.3005989578
1513 198.2592111413
1534 189.6787028443
1891 154.2471576070
2213 137.4889756478
15418 133.8960021365
15946 122.3077706239
15983 116.5350190109
17044 105.4479390676
17645 97.4146101364
20813 89.4236054335
22039 86.4987424534
23405 81.8227040220
24064 76.4285641958
26846 74.7659940859
27746 70.1184584912
28016 69.3842776336
28270 67.4895949901
29563 64.8743297021
31618 57.9853829995
34586 49.7930010766
34988 47.3981550851
35205 37.4518598336
44417 27.0936255129
50136 23.0835074239
97071 21.5529921641
100015 90.8091094596
evaluations raw_y
1 597.0667942402
2 440.7968664605
26 437.5770408655
28 391.4254147288
55 357.1250182891
96 268.5882212596
156 261.3700052778
265 221.9889770321
456 211.5477825587
575 187.9506209847
690 174.3053474132
1275 140.2592173373
3114 135.1539379266
6909 125.2067720649
10118 109.0959992113
13179 103.5216054011
15946 91.5204486276
17370 86.1744525253
18350 85.6186805518
18729 75.7382189265
19802 73.5203751067
22176 72.6081319001
22334 69.5791921162
22524 48.3882613657
32237 48.3572898830
35391 47.1109221947
35410 44.9156561702
36867 44.2166504425
37498 43.0561324862
44302 41.8991527927
47009 36.4866516319
50708 35.3273229722
54554 29.3589468780
57067 28.2761676162
78073 26.5806403876
90269 25.6327456231
95598 10.7327804423
100036 99.7282402956
evaluations raw_y
1 981.6809770704
2 583.3027401277
21 565.5296085713
28 449.2686745112
67 418.6997759706
72 365.0984998735
465 329.8592865350
467 301.8769926742
537 291.8610953580
624 263.2033340342
954 240.8639910023
1023 191.3707227822
1588 181.3713160302
1843 161.7367709401
10118 153.2711730398
10951 120.6059726947
11246 110.7289309611
12136 86.9297971744
19490 83.4415223319
24108 73.6947378778
24605 64.0596248434
25081 61.7798754480
29545 61.2295075074
29994 54.6173747747
34949 46.5215178031
39472 42.5111716094
40151 41.8749617425
40891 34.5168711208
54430 31.8455023156
59899 30.1691572850
71117 28.2274255522
72032 25.8288104478
72387 23.6588687972
89921 18.0583696670
100019 125.0577291893
evaluations raw_y
1 509.5888669503
2 297.8427071282
8 287.2698248546
15 277.7807560145
16 214.5084251473
295 190.2705047951
467 146.4146805639
1013 133.6565457479
1023 131.0269899946
1843 129.6321901399
1952 128.0505675919
1955 126.3946315131
2204 121.4113757044
3314 113.9837974104
13530 104.3424268597
14462 94.7489446377
15418 82.2482770791
19589 82.1882103058
19602 70.5637402811
23688 68.6733600992
24954 62.3500441111
26507 60.3736857057
26875 57.5781145138
27056 54.6445104650
27675 46.6380991802
31624 45.7866004223
38163 44.5773144565
38192 31.8358016871
60107 31.7367909057
63063 31.0334107903
63646 27.0413991188
66836 26.8833987013
78869 24.5049923115
84209 19.1244558386
89136 15.4404373313
100038 76.6576564908
evaluations raw_y
1 1473.2358754219
2 847.7034020903
3 640.0530430349
5 571.5182927819
6 558.6699289677
10 448.3085234062
30 276.6087404562
473 256.9733547224
499 199.8640045779
1073 193.5272286448
1372 184.5290133199
1409 163.8977665743
1595 149.7061110887
10934 147.2667629330
13169 135.9325638270
15983 133.1383338495
16228 124.2329944376
16468 116.5339662574
17316 112.0283667826
17335 94.8528174512
17645 81.1460138294
18987 71.2962849360
21372 40.3185585077
37181 27.7433187199
53671 22.7278565506
55626 22.3352836228
93955 20.0617130011
100025 132.9385466956
evaluations raw_y
1 450.9028199533
2 350.3560228720
11 290.1047569458
18 195.8246140749
214 182.0474427178
449 145.0522952903
833 134.4871201384
1340 128.5616073222
1386 127.6490331389
9940 102.6037938165
12014 95.8116096648
13179 91.2403370685
13552 79.1657400055
17169 74.2345858670
18607 66.4967615094
19602 54.5997640329
22362 53.7910681136
27050 52.9300251794
27827 49.3053544554
30577 48.9097891781
31372 39.3023820889
32790 33.3990508443
36404 19.5207088973
86496 17.1351576941
100044 126.5565683779
evaluations raw_y
1 1210.5683049834
2 838.2963506275
3 500.3950862469
4 363.4902707073
11 323.3364005259
14 250.2601366876
37 227.4879859394
48 220.3927605816
78 213.4820028261
116 131.3365038366
849 105.3734355373
1058 97.7888219647
1588 89.2209466194
12136 88.7010345212
12170 88.5445144558
13498 85.6202762605
15366 77.6731611830
15882 77.5370416239
15946 75.4703568961
17543 75.2636958095
18007 72.2829005126
19723 57.1405614636
20729 51.3367085631
26429 46.4833688477
32256 43.9075618975
32392 38.3664414165
37823 37.2097194187
41826 30.3781990586
46383 28.3379277373
56939 27.6437668654
58547 25.9801696543
75408 19.5183717521
91886 9.8763517267
100050 101.7972158163
evaluations raw_y
1 1289.3016230356
2 752.8143610295
3 722.1927234244
6 663.0794201610
9 621.9060244994
10 578.4085981925
15 494.3689030322
21 469.7259718160
41 430.8154229502
100 385.2471543469
454 353.9450728273
499 336.9478813468
511 327.2199018880
700 309.3159240544
740 264.7717676552
743 252.5771207733
921 252.2510141480
1013 233.5663249701
1271 216.3690325046
1659 204.7880635203
2093 200.0622208235
2138 185.9671651057
6278 170.0549327820
10815 166.6321622453
15327 154.0700172426
15418 114.4927714340
15946 109.8695720074
18607 92.1048546939
22256 89.3625238822
22524 84.5353028875
23688 83.0608835910
24011 81.6511116446
24273 76.4330329127
24540 65.3456182459
29289 57.4496623457
33769 53.1087254027
37311 50.7021977303
39306 44.5175907427
39427 41.9949118835
43238 39.4084368978
45191 33.2425353492
50319 32.2608855259
58657 29.7466047115
59797 26.3042038112
65518 20.6605648450
100019 93.6268875802
evaluations raw_y
1 1117.6047314595
2 453.4975599787
26 426.7486365530
28 396.8794909997
40 378.7211167982
67 359.9309330127
72 326.0186833724
242 295.9573405176
