evaluations raw_y
1 215.4078332249
4 189.7406229417
9 111.4032809193
10 69.6381009397
48 68.6943355258
60 67.4752173407
73 59.1982963462
88 53.6605873718
182 36.6622294790
236 33.9410363099
544 29.6057264821
613 23.3225622998
746 14.7039336825
1171 13.8085599830
1916 12.6770012197
3629 9.3753626250
4698 9.3410957868
5105 7.8135599987
5497 7.2642244076
8458 6.9448444403
8689 5.9740938783
9756 5.7221055004
11602 4.4161908513
12064 3.7348759255
13493 1.5566940734
27778 1.5358019250
30439 38.8897731269
evaluations raw_y
1 115.8404093685
3 109.5609462222
7 76.2142250184
13 27.7987651214
109 27.3219657110
270 10.3025397775
1663 8.0536202500
1954 7.3133663224
1997 7.0570108280
4000 4.1967778574
5155 3.8859245688
8384 3.3765386993
8934 2.9190234734
15131 2.4492245043
30464 34.1792936564
evaluations raw_y
1 111.0587379770
4 105.0581010268
19 41.2154761392
44 34.7687156967
482 25.2810430065
596 11.8733888888
3135 9.7986292841
3317 8.4346007382
3506 5.5667503059
9010 5.3400243702
11085 3.5416643836
13213 2.9594576436
16874 2.5669659269
18604 1.1909843819
30430 53.2005313782
evaluations raw_y
1 708.1468519093
9 601.5455984234
10 504.3407719879
12 429.0283504669
20 259.8895129899
22 172.4677669408
55 113.1250276286
78 59.5791809856
714 27.1287775359
720 26.3930014926
905 24.8103998971
3496 13.6101165787
6279 9.0691259142
8953 8.9112982119
10233 8.6528577204
10463 8.1596965761
11222 6.8551962703
12550 4.8640472456
15674 4.0122916826
16674 3.3166856953
17634 2.4093023552
18287 2.1804470539
24022 1.9189824379
27767 1.2693664718
30430 5.7164334636
evaluations raw_y
1 394.8492240461
3 181.1553385199
9 122.4722726585
18 86.5263018395
55 80.0041439610
57 41.0029767510
422 27.1070906642
465 24.3160734187
663 22.0325851446
1107 14.8826005642
1161 14.7842183211
2421 7.4621231564
8875 5.2505845284
11472 2.8678986531
22751 2.6999116435
25506 2.5179053109
25896 2.3541315962
27165 1.4398767555
30434 38.4807582063
evaluations raw_y
1 311.1927813494
4 214.8212181420
9 127.6690926510
11 95.2247738634
123 86.2804683322
134 67.3791692083
181 52.7660713244
500 37.1146174186
746 23.8987797418
768 20.2760372972
1482 16.4366788366
2981 15.0125717309
3177 12.7816437528
4379 11.9523255578
5798 9.1341710578
7907 8.1508179171
9184 6.0166169939
9852 3.4614748609
16439 2.2168882348
17647 1.0328871085
30432 24.8351463136
evaluations raw_y
1 94.0807664409
4 49.3203264950
27 27.1814298106
82 23.2411003053
216 19.1258126022
968 18.3790777858
1530 13.0895847051
2561 8.1009098363
2583 8.0294929720
6722 3.7894783485
7368 2.5923696161
10161 2.4020716406
16594 2.2530856213
18829 2.2009679430
20364 2.1875289270
26284 0.7108822976
30430 39.6502587369
evaluations raw_y
1 306.2948710489
4 190.2378867192
9 130.1289412753
11 95.6230985883
36 56.5341324961
134 42.3452132172
500 19.3449449715
1927 9.7608146682
8246 9.5878053375
8590 7.0691272903
11097 6.2184491029
11701 5.9539985865
15352 5.3042136581
15621 3.2856943807
15710 3.2269806527
20108 2.4839014219
30432 18.2047794821
evaluations raw_y
1 126.5746010509
8 119.6242766834
11 67.4919402912
44 65.3360726003
54 18.7258073539
160 11.4679832121
1168 7.8497799001
6687 7.3026963490
7575 3.9988984043
11338 2.0076769692
20337 1.1299572119
30435 7.7678344340
evaluations raw_y
1 381.6233254781
2 202.4310653288
3 167.9807378710
14 54.5525286732
89 42.5420852225
406 23.0494003829
1072 21.9885261767
1098 14.4878346423
2889 14.1068199991
4632 11.5251736198
4848 7.0381627025
7972 3.5627841635
9022 1.9816758667
30432 26.3862200102
evaluations raw_y
1 390.9247262713
3 219.0057509264
9 210.2422460317
15 129.9792427951
18 78.1539877875
57 58.0867745497
371 48.2565698838
464 46.6416742530
621 39.8274451823
707 27.8983702959
827 26.7715981432
1166 19.9718376751
2613 16.6859119263
3002 15.4824119376
3037 13.5109361140
3153 11.5110186832
4169 9.4562589840
6494 8.7952747730
11500 5.2778542065
11783 2.5095740223
27202 2.0884635182
30434 41.0117733099
evaluations raw_y
1 220.2573901827
2 147.3720123637
13 145.3801758688
14 38.3254803241
47 18.6549985858
1143 9.2938673867
5653 7.2508379119
8574 6.1679344094
9770 3.5218013184
14709 2.7787721731
17065 0.8502794961
30436 37.1169229550
evaluations raw_y
1 3092.0008101663
2 320.4304439340
8 252.3368191211
11 197.8411585729
14 157.7094153252
18 151.1973171152
25 62.0931131466
466 43.1568204416
498 42.2541553831
567 26.2042427818
826 18.6122643802
924 18.5562411914
1019 16.0473602153
1104 11.7469498046
4252 9.2290841816
4327 6.8583228470
6052 4.5716208656
6212 3.8993618123
11275 1.5933776395
19123 1.4677533188
24440 1.4285638449
30436 30.3962536578
evaluations raw_y
1 286.9587449670
3 176.0522160843
4 137.0650992659
12 117.5417351743
13 90.1597034258
17 70.9857875889
42 52.3939117223
75 30.7084575743
550 22.4864076834
889 21.9298190965
1160 14.6040892940
1978 11.2899987558
3258 6.3080820179
5994 4.1012487531
11322 3.4287744926
14370 2.4005634843
16631 1.6775360073
30434 31.7773665518
evaluations raw_y
1 285.8642620221
6 42.7288920906
58 41.8704960644
279 23.9605162094
383 20.7266829382
468 19.2664681967
888 16.2112649402
1350 13.8592238226
2996 11.6673004735
3513 11.4034105363
3567 11.3097703943
4247 10.2562199984
4325 8.6001657037
7617 7.7570831749
7938 4.5769141375
9604 4.4120871885
13207 2.0616071034
17322 2.0329966730
30433 35.7243998094
