evaluations raw_y
1 57.4592003586
2 30.1006401009
7 5.0887603436
37 2.2291005795
58 1.9570897548
75 0.3930346115
102 0.0000000000
20113 0.0000000000
evaluations raw_y
1 56.3130465564
3 45.5318450982
4 38.1466599262
9 34.6424489111
10 16.0662845193
21 14.7575598342
62 6.5023921989
126 4.4931041073
446 0.4770922855
938 0.2771956104
947 0.0000000000
20006 0.0000000000
evaluations raw_y
1 53.6869534436
2 31.9027107123
7 4.9112396564
34 3.0126015264
86 0.9013373347
366 0.0000000000
20249 0.0000000000
evaluations raw_y
1 56.3130465564
3 45.5318450982
4 38.1466599262
9 34.6424489111
10 16.0662845193
21 14.7575598342
62 6.5023921989
126 4.4931041073
446 0.4770922855
938 0.2771956104
947 0.0000000000
20006 0.0000000000
evaluations raw_y
1 53.6869534436
2 31.9027107123
7 4.9112396564
34 3.0126015264
86 0.9013373347
366 0.0000000000
20249 0.0000000000
evaluations raw_y
1 57.4592003586
2 30.1006401009
7 5.0887603436
37 2.2291005795
58 1.9570897548
75 0.3930346115
102 0.0000000000
20113 0.0000000000
evaluations raw_y
1 53.6869534436
2 31.9027107123
7 4.9112396564
34 3.0126015264
86 0.9013373347
366 0.0000000000
20249 0.0000000000
evaluations raw_y
1 56.3130465564
3 45.5318450982
4 38.1466599262
9 34.6424489111
10 16.0662845193
21 14.7575598342
62 6.5023921989
126 4.4931041073
446 0.4770922855
938 0.2771956104
947 0.0000000000
20006 0.0000000000
evaluations raw_y
1 56.3130465564
3 45.5318450982
4 38.1466599262
9 34.6424489111
10 16.0662845193
21 14.7575598342
62 6.5023921989
126 4.4931041073
446 0.4770922855
938 0.2771956104
947 0.0000000000
20006 0.0000000000
evaluations raw_y
1 53.6869534436
2 31.9027107123
7 4.9112396564
34 3.0126015264
86 0.9013373347
366 0.0000000000
20249 0.0000000000
evaluations raw_y
1 52.5407996414
3 50.8515322491
4 37.7632564045
9 32.6319781689
10 15.2406483394
21 12.0111949198
62 7.0671457459
104 5.3875524473
112 3.3068072784
282 2.1189719778
422 1.5902944956
427 1.3836296914
436 0.5273251817
536 0.0000000000
20217 0.0000000000
evaluations raw_y
1 52.5407996414
3 50.8515322491
4 37.7632564045
9 32.6319781689
10 15.2406483394
21 12.0111949198
62 7.0671457459
104 5.3875524473
112 3.3068072784
282 2.1189719778
422 1.5902944956
427 1.3836296914
436 0.5273251817
536 0.0000000000
20217 0.0000000000
evaluations raw_y
1 53.6869534436
2 31.9027107123
7 4.9112396564
34 3.0126015264
86 0.9013373347
366 0.0000000000
20249 0.0000000000
evaluations raw_y
1 56.3130465564
3 45.5318450982
4 38.1466599262
9 34.6424489111
10 16.0662845193
21 14.7575598342
62 6.5023921989
126 4.4931041073
446 0.4770922855
938 0.2771956104
947 0.0000000000
20006 0.0000000000
evaluations raw_y
1 57.4592003586
2 30.1006401009
7 5.0887603436
37 2.2291005795
58 1.9570897548
75 0.3930346115
102 0.0000000000
20113 0.0000000000
