evaluations raw_y
1 22.1500813049
18 8.1808438135
280 6.9203140119
320 4.6425304313
616 3.3863633255
1376 2.4085651670
1526 0.4875530542
3728 0.1410788283
11481 0.0916772030
12843 0.0886708406
14363 0.0830698085
14912 0.0716825991
15793 0.0631493514
17338 0.0488632056
17437 0.0439264496
17496 0.0369174225
18175 0.0183203755
20101 0.0090651780
22644 0.0036803738
30434 49.5681780523
evaluations raw_y
1 278376.5093823134
6 117067.1098447432
10 60629.8864531662
11 899.1877654891
26 442.6654617301
33 94.0980125808
41 44.0517774399
52 6.4450027196
109 5.8193508551
469 4.2897212687
517 3.0868975088
952 2.6708064600
3119 2.2303752063
5159 1.8616255533
6100 1.1731410254
7160 0.9924066851
8955 0.5410585747
11658 0.2751208488
13613 0.1449618182
15840 0.0846730111
19276 0.0511818978
21214 0.0257743495
23599 0.0229334729
23681 0.0160124409
26949 0.0144394552
27805 0.0122607918
28842 0.0075719772
30436 21.7545591212
evaluations raw_y
1 315772.0720635865
2 1080.4816721726
3 73.6963250689
11 64.3887662836
12 7.8489699978
181 6.7066937717
456 3.6437996175
829 2.4448158843
1542 1.7772705916
4782 0.8680646365
6761 0.3332587453
7669 0.1752739760
8795 0.1453722010
13582 0.0916594198
17806 0.0422308954
21350 0.0319050044
21372 0.0234506241
22012 0.0045080681
24400 0.0015133261
30433 0.1459840376
evaluations raw_y
1 57.5732992963
9 26.2446423429
74 25.4596003396
448 15.1132990293
568 7.2070801953
1619 6.8540573680
1695 6.7937803097
1759 2.4817509719
2391 2.2074659237
3416 1.3578309832
4733 1.2673211612
6888 0.7244064876
7091 0.6487398453
10324 0.5451699614
10985 0.4416060307
12298 0.1605711746
12637 0.0863131822
15794 0.0659177732
17464 0.0112657139
27580 0.0104449961
27714 0.0041379080
29302 0.0028732478
30435 0.3039861616
evaluations raw_y
1 100407.2707062630
3 35597.3640210723
4 7234.0345746804
23 93.1444020578
70 83.7523193482
95 36.7758519114
107 23.5389562755
143 7.0238525362
186 6.8862822458
323 3.8744706363
630 1.6733013797
7475 1.3601509150
10027 0.7676083941
11374 0.3859026189
12650 0.3597298016
15318 0.3155644085
17002 0.2999699169
17135 0.2210028209
18927 0.1635511117
18937 0.1400315552
20797 0.1308002781
21653 0.0432709677
26497 0.0259440956
26944 0.0117031921
29443 0.0041113926
30433 3.0939563810
evaluations raw_y
1 720642.7700869718
2 583738.9916834108
8 292434.2314337037
18 192256.7967956436
