evaluations raw_y
1 2913.5293419228
2 2325.1030378185
3 2278.5573618833
4 2113.7190308737
7 1453.3356711194
25 1321.6301485004
26 1249.4260843746
38 1236.5578824419
44 961.7256492921
48 912.8753270857
155 696.9781631582
481 675.6751152415
505 494.5454217990
890 455.5444782481
1004 332.5528125092
1267 273.8293493062
19799 239.9558279804
22424 229.3839216368
22607 224.2071723078
22663 208.5793120602
23197 159.3564594773
23803 151.1044840491
23823 149.9991541203
24746 131.7976959566
26739 83.1833047345
32017 65.8578961780
38200 57.9555943516
40208 55.8802335674
40417 36.2363802368
42206 35.3500104872
43133 34.3075050974
44730 27.6418523688
46023 20.1773927565
46649 11.1224702078
57040 10.4049571058
58848 9.4305556192
59384 9.3776026963
63906 8.7192785404
64507 8.5458568011
65033 7.1542061403
66589 6.0732293664
69735 4.6089092417
73362 2.9853339749
80171 2.8908995186
84918 2.7315709320
86356 2.5533221644
87383 1.2482418521
93667 1.0963636001
97510 0.9523943265
100202 0.8984317633
100526 0.7129419009
101123 0.6171613520
104887 0.4758102736
110403 0.4301033243
112598 0.2801646315
118400 0.2773131205
118740 0.2225651265
122533 0.1622706331
125356 0.1537230733
126250 0.1323621233
126892 0.0819994357
128918 0.0815188668
131310 0.0815044134
132379 0.0734624445
132894 0.0602989191
134508 0.0594464802
135696 0.0569930829
136571 0.0506888841
137549 0.0501807504
137559 0.0413599095
140899 0.0369210339
141986 0.0316955789
144187 0.0303222881
145007 0.0249447477
145441 0.0148066970
150608 0.0128794991
154272 0.0097585351
154987 0.0000000000
171469 0.0147276547
evaluations raw_y
1 7111.1167998741
2 2648.5607165411
22 2139.2893252446
23 1961.5959819962
31 1671.5074197830
67 1190.1691050522
472 742.3508559994
936 737.5415173954
937 686.8194867047
1100 680.1347512126
1429 512.3493391956
1493 508.6184592089
1513 402.0378796872
2125 359.9082552733
25673 281.8113987183
26686 278.9929200157
26752 185.9670592496
33033 155.0297541302
33636 121.9857272191
35567 109.7590259207
40073 108.7348728614
40463 102.1120415435
40578 97.7755927946
41508 68.7169063265
41607 50.3067096457
46676 44.4428293525
51519 39.0370242411
52644 27.4963977516
55039 25.5630408842
59936 20.8163577276
60303 19.3380396020
63159 13.1324273511
68493 11.0232185577
68545 10.3937083722
68768 8.0155233070
75941 6.6659703148
77082 6.4964953187
77858 5.5695714376
79056 5.2655444418
80392 5.1162326437
81031 3.6524252020
84424 3.2183658122
85041 2.0328282638
99103 1.9066032595
99575 1.8482670651
100152 1.7147783470
101726 1.3734581279
102604 1.2529462588
103069 0.8936359255
109785 0.8262250778
110037 0.6776510108
110901 0.6614467213
