evaluations raw_y
1 1226742.2703324584
2 882505.6022535467
9 619381.2000267892
15 541210.7383129895
21 450223.8044546123
22 417862.6138132372
30 408707.4781870074
55 329590.6417352792
138 274768.4170252144
198 202355.0819574270
210 159456.0831945632
476 153480.4833428475
526 148662.0358753006
611 128995.3699020586
651 90396.3835925791
950 67905.1159196064
1795 35966.3762174857
23921 35078.2952486885
24118 28335.0985368095
25128 23308.6427580366
25292 11748.8426296127
26086 9461.2204087025
29629 8046.6893536564
30047 7235.4995901296
32429 3770.2427353588
34300 3667.7218748659
34809 2575.5324931787
38938 2547.9798013016
39187 2269.7165980066
39261 1580.6008370438
39966 1047.3910154461
40933 871.6831690228
46928 821.5501135432
47750 650.1993326735
48409 626.6161000026
48590 577.8547851112
48937 574.2656077720
50828 475.0719995045
51688 167.1320517865
58161 161.8743767773
60220 146.3340194834
63741 141.8301494629
63819 104.1767115745
64581 95.9159301852
65284 89.0882997838
66859 82.7980666864
68771 81.8478006439
69892 62.8307470449
71777 43.0542047991
77085 31.3625874173
84994 29.5704728864
86218 28.9873168528
86296 28.9000437713
88288 26.6030971637
90265 26.3916865650
91917 26.1663325086
92114 25.1914126953
92442 24.8813808957
92772 24.4655807397
93392 22.2208386609
98785 21.9992824774
100660 21.5060017112
101707 21.3118409356
101718 20.9556727678
102459 20.1698530471
103072 19.8671845733
104956 19.1083917101
112446 18.9257526271
112769 18.9089720588
116087 18.7939899690
117687 18.7172579631
120277 18.4717884819
125664 18.4067642428
125691 17.7302801462
126794 17.4645156185
132021 17.3818663088
135235 17.3748894882
135446 16.8440559237
138650 16.3639300326
149656 16.1064210021
151023 16.0272914290
153677 15.7657847947
157714 15.6404046983
160663 15.5946937962
161145 15.5516991886
161598 15.5246972523
162387 15.3568331166
166427 15.2298785726
167549 15.2046239136
168546 15.0944433007
170528 14.9753595623
172435 14.9645083831
172594 14.6136542658
174913 14.5083080263
182172 14.3198049957
184480 14.1725353511
188212 14.1462633083
188471 13.8565339965
191452 13.8454078372
196159 13.5628253555
199711 13.5260761183
200115 13.5014293912
200142 25.9422465692
evaluations raw_y
1 3324649.5131774624
2 1081045.3226135396
8 737504.8424122968
15 702422.8817632708
25 298607.9223209927
482 269725.1134066204
518 254960.8447511720
542 239928.3116940709
547 178745.8097149284
758 130676.5700621443
1068 99582.7944729070
1185 66302.6535150419
1696 64874.5954944600
18529 38009.2523001328
23706 35480.0648588101
24180 25580.3967607804
25289 22738.7309328529
25787 15246.5565218110
29070 7594.2897430290
31120 6299.4683682857
35235 5399.4264358558
36669 3712.3266709672
39576 3196.2442281736
39816 2211.7626596743
41777 901.6483747246
46008 859.4576156743
46867 626.4268252300
49860 506.3598319773
50787 490.7928738702
51933 437.7673876993
54814 437.7596747251
55221 397.2835180290
56395 319.8574812168
57968 275.2248739833
58264 264.9297040020
60213 231.4080121003
61143 216.4120326151
62122 134.1287623170
65897 127.9223239315
65898 118.2877711350
67463 110.4248903391
68843 93.5448319661
69685 85.6611833610
70149 75.5407643647
70608 61.8400496701
73243 43.7758496039
77521 39.9060734787
80707 39.6999363325
81554 35.6652263421
85095 32.2601667870
