evaluations raw_y
1 3255.5715428574
2 1116.5051876803
5 227.9268263115
21 119.3905795000
27 3.2948263247
86 3.2210981397
591 2.6287322863
768 2.4616625398
972 2.0802856839
1006 1.8393415476
1069 0.7395337463
2570 0.2699503774
5174 0.2325717760
5454 0.1937152628
6546 0.1441827357
7079 0.0426927415
7313 0.0229193553
8521 0.0132438729
11307 0.0000156941
20109 0.0147450535
evaluations raw_y
1 35596.2514973646
2 8084.9669510700
3 431.4398509175
7 3.4026664577
20 3.0909384055
45 2.8841339985
140 1.9471709119
176 1.2394399902
506 1.0503912332
517 0.1187438767
1832 0.0447282987
2078 0.0426312381
2649 0.0370109327
2681 0.0254262424
2938 0.0115145980
3250 0.0106002890
3653 0.0012890452
13107 0.0004395002
15013 0.0002707355
20116 4.1698365596
evaluations raw_y
1 43331.3884856385
4 13067.7008586571
6 2155.9661681318
13 1666.2755352416
17 7.7368115694
237 1.1182103695
529 0.1712851609
1129 0.0315564205
2871 0.0049004084
5721 0.0027080853
10297 0.0000908599
20106 19.4943486934
evaluations raw_y
1 9568.9303068883
2 2798.2854308494
3 947.9012335918
4 916.7417862540
5 750.1908874026
13 365.0253859972
14 154.1542055206
25 12.7114744099
85 0.3979757259
1383 0.3661095131
1826 0.2340317910
1847 0.1688351106
1980 0.0406997242
2367 0.0093046341
3808 0.0063824220
20108 0.3116472063
evaluations raw_y
1 23989.1437549413
2 9102.4076921523
3 406.9461721615
8 297.3933639277
12 262.5036890037
14 5.1401424408
79 1.7333036196
174 0.6878983838
209 0.1461239419
296 0.1042156833
1376 0.0663971037
5600 0.0173004855
7737 0.0016957324
19963 0.0014297903
20104 2.7856080130
evaluations raw_y
1 41608.0711119869
2 11.5557678377
14 0.7745385059
94 0.6659301669
190 0.1193407978
333 0.0250696311
1533 0.0042845962
1882 0.0030958117
9981 0.0019184457
10779 0.0017636586
12078 0.0003886666
19770 0.0003533012
20141 0.3478267214
evaluations raw_y
1 1063.3197248555
8 763.6762498432
12 723.9127969593
23 151.7015642189
41 138.0624663442
42 92.7378894179
64 0.8904426856
534 0.0206724354
3477 0.0026033598
14973 0.0002343921
18520 0.0002166109
20107 0.3699696018
evaluations raw_y
1 606.6943787027
3 2.7842959406
78 1.0744547464
129 0.7399422770
257 0.2988611676
463 0.1545495971
748 0.0868968561
1318 0.0174981547
1905 0.0131157141
3872 0.0087883041
4389 0.0035420380
4987 0.0008214786
16237 0.0005432239
20105 0.1365008494
evaluations raw_y
1 262.0210036868
5 24.6004039245
40 17.6305296404
59 12.7827242614
77 12.4525830245
121 10.0610002658
169 2.8277047500
246 1.8418723208
420 0.5747997889
822 0.1841941847
949 0.0200879767
4256 0.0151885702
4663 0.0036995095
7259 0.0027607664
9586 0.0009622391
18722 0.0002671725
19558 0.0000416611
20112 12.0704112168
evaluations raw_y
1 11688.5174513777
2 231.8513293072
3 150.4391029038
11 33.3706375438
15 2.7093392526
34 0.4445543898
314 0.1600107985
486 0.0954050130
1748 0.0470965732
2021 0.0392318109
2927 0.0002416622
20102 6.9127590282
evaluations raw_y
1 17379.8565017056
6 498.8332710239
8 69.9072307530
16 38.8087559298
17 28.1399657686
23 5.2557648268
146 1.5118617059
974 1.4937080729
1104 1.3630666056
1142 0.9197923827
1558 0.8045250263
1689 0.3425535714
1830 0.1916097759
2616 0.0099689669
12187 0.0057683397
16056 0.0045868939
16153 0.0000662758
20099 3.9780187788
evaluations raw_y
1 3291.6360308680
2 518.6723452257
3 49.9682163975
4 14.3626793182
28 8.4673758491
153 4.2744812234
1138 2.7252988464
1170 0.6262997022
1350 0.0899391376
1765 0.0301991511
2394 0.0180534066
3271 0.0106140864
4814 0.0022747163
17523 0.0019127335
20108 8.1338498782
evaluations raw_y
1 1332.6034638047
5 75.5844741940
10 28.2901800526
18 5.4183311324
25 0.8932832529
36 0.4855509781
175 0.0023010063
8230 0.0006297436
18284 0.0003619543
18503 0.0000316035
20106 0.0916962587
evaluations raw_y
1 1776.7205179475
2 114.2314459209
3 13.8111321947
17 6.1731371461
52 5.6807564680
78 2.9854811506
211 2.4316299513
420 0.2347328402
539 0.1786069647
673 0.0083448227
6210 0.0029843066
8561 0.0022671261
17354 0.0007876518
20110 0.2971170230
evaluations raw_y
1 309731.9111005168
2 47445.6488659871
3 9941.3628134195
5 7152.8350343163
7 3075.9556928160
8 2715.5107838746
12 2011.3015938517
16 1048.3646454825
26 972.7318329174
35 655.1901136534
50 470.2131101616
109 371.2796487940
127 14.0283145990
422 0.8722902126
637 0.3129895782
923 0.2316209982
1212 0.0554079941
2479 0.0208734857
5547 0.0053543654
14398 0.0041817530
20108 7.1180503578
