evaluations raw_y
1 5383682.8414875586
6 3363890.1763170762
9 1309787.2981637535
23 1135766.5051460620
27 865919.7600496565
40 778747.5679346863
41 344756.0791247127
87 340016.0596075554
88 323141.9978486713
102 280381.9720946972
104 232361.9251973745
116 206120.3049032197
117 197688.4963115436
119 180502.2678072259
122 160676.8267197599
128 127062.8011271729
133 125192.7885304332
138 112999.3911878254
139 107895.3595234536
142 66363.2923530599
153 61432.8211061776
155 46862.4950144720
157 40022.3684507310
162 31903.0726645706
166 30586.0420576777
360 30514.9313285806
361 30484.4656236257
362 30389.8674406967
364 30350.6982482432
368 30331.6179843576
370 30210.8896387053
371 30179.2377294678
373 30119.4859159566
377 29986.6496135235
380 29872.8964932642
381 29828.5801223903
382 29824.1095757977
386 29800.3356315866
387 29773.2911716384
388 29729.9878561903
391 29682.6073930696
392 29621.1812053641
393 29522.8686419464
394 29490.7997018462
395 29332.7946049115
402 29293.7610459964
403 29260.6170709566
405 29192.3007682921
408 29078.8374663197
411 29000.7979726269
413 28819.8571057444
415 28743.7377550519
416 28703.3656191765
417 28697.9277511658
419 28613.5180620795
420 28588.1768022178
425 28474.5374759011
427 28303.6638559788
428 28110.7217361676
453 28050.7948219485
455 27316.4158485358
457 27242.2329672217
458 27185.3968373543
460 27160.6014594476
462 27129.0265537704
464 26731.8311911793
466 26132.1274538256
467 25654.9203138294
469 25344.6863863794
470 25156.3839794161
471 24721.6012001050
473 24385.8944807812
474 24352.3158915345
475 23896.5334185043
477 23781.6377395370
479 23530.8638099681
483 23121.5263765360
485 22653.6400627814
487 22449.6202026143
488 21950.8496392022
492 21732.6187283085
493 20946.1561764261
496 20622.0507734788
497 19467.1006058704
501 18442.4107039072
504 18120.8316471258
506 17710.4594757436
509 16978.8257447550
512 16771.6303827847
515 16729.5455723014
531 15510.6341543534
534 14286.1204083025
536 13720.2939555824
537 13449.9900109904
541 11940.3832529944
543 10810.3686183936
545 9981.5847797588
547 9486.5492591145
548 9331.0036896468
563 9013.8498706866
566 8770.3057914971
570 8415.9068328328
571 6730.0532837400
572 6317.8067357387
573 6255.6733370811
574 5959.1976457482
576 5579.4047962958
580 5255.8427037409
586 4287.8693752236
587 3119.3704111971
592 3051.4280855147
597 2981.2885468835
605 2073.9136417312
607 1885.7047825371
610 1655.3175118746
612 1516.8816513953
613 1404.0603322380
668 1314.6084431782
671 1276.7431303871
684 1238.2413679339
686 1218.5432788874
700 1215.1240142277
709 1187.5293919984
713 1169.9522811885
719 1156.6755394711
720 1147.9714532731
723 1143.9234860507
726 1138.7587988994
727 1134.3526516209
731 1119.0574652607
734 1116.7753433553
735 1112.1560131238
746 1112.0786058860
748 1108.8035009087
749 1108.5410046098
758 1108.3234866686
762 1107.5780239646
768 1105.1600745575
769 1104.7017737189
770 1104.0398387034
774 1100.9049671580
775 1099.5829477224
777 1098.9662230879
779 1095.6943351861
783 1093.0323074153
787 1092.3719249216
794 1091.1932546743
797 1087.3745647143
802 1086.9878657610
806 1086.2289484924
807 1084.4737613063
809 1081.3308700960
816 1079.3847953700
819 1077.7351186855
824 1076.8036248323
830 1075.9435462917
