evaluations raw_y
1 386794563.3523839712
8 335965703.5806153417
11 263753730.8614626825
21 257630211.7179964185
50 239945311.3572216332
51 224014686.3216683269
54 189342763.2697683871
75 186474586.8245080113
97 186186667.2894296646
99 168268704.5582034588
120 164719441.5323205590
121 150869405.3332565427
122 144605036.5572693050
126 135380580.4518278837
130 132177636.5819884688
136 121421792.2265674770
156 120985801.9614164680
162 119769799.0082959384
164 118190230.6953036487
165 113429810.1418576837
166 103675804.5932609886
168 100148006.5423195362
169 91591176.2614896595
182 78957903.0722372085
184 71003425.2573638558
187 63877656.4450972378
192 58699543.0815524608
205 51398693.4071116522
211 49042725.1503399834
213 41967018.4841270223
215 39996629.0441214442
217 39730936.8465421870
244 37092680.2977080345
256 32746595.0303074196
258 27682653.9934188314
267 21103117.5555684045
270 15883249.6475926582
272 15816524.4500160348
454 15537444.0423050150
455 15488848.3796329331
459 14867668.3073597793
462 14437609.5863913093
464 13823493.9797389787
465 13659645.8144857176
469 12912370.9210524019
475 12832524.3897031117
477 12476049.2684241179
478 11886479.5282523725
479 11638734.9966481607
483 11566805.4390379023
485 11401931.7566938028
491 11252368.6158383209
520 11232189.2964893263
529 11174888.5384345669
531 10986314.3501439672
534 10973170.8466157671
536 10933015.3031148873
537 10861927.1744462755
540 10640092.5613645688
541 10540969.4556191508
559 10393889.6805477533
567 10333772.7216064930
568 10220884.0331455041
571 10186290.9216758013
573 10065050.3805836327
574 9905990.5128308516
578 9779195.9329926521
579 9501608.4233054668
581 9253326.8471962642
583 9184387.5893559959
587 9101726.8742966168
589 9041509.0291823819
590 8827312.0228603650
592 8705142.8281000424
593 8481298.4393284898
619 8366541.8670095019
620 8334930.7950457931
622 8186022.3616141779
624 8131591.4257102758
626 7878543.3834989835
627 7795950.2813123837
631 7791808.8361913674
632 7622051.5089607518
645 7526703.9940987797
650 7424343.1905665826
654 7398473.1389873754
690 7394815.8289856026
691 7310077.6759237777
693 7250824.0686848983
694 7186124.7212997125
695 7120614.7298881030
696 7116967.0125320368
731 7054753.3124910668
733 7004023.0521796914
735 6859926.9733777288
737 6761210.0944223916
739 6741565.1405024808
742 6665077.4923956404
743 6618689.5318287332
749 6603424.9741481990
750 6582225.1051881490
759 6517999.3049609112
768 6506946.5767151052
771 6485651.1983218603
773 6459803.0860000541
775 6452371.8597387504
777 6366122.6973672537
780 6312199.8834440066
790 6273248.7866273411
800 6266041.3493991094
802 6245643.6183011914
804 6214857.5322137829
811 6192125.3893879168
812 6168094.1183639588
813 6116196.0659723738
815 6087313.7124625072
817 6084007.2387753781
819 6068977.7953612944
826 6068484.0970080383
831 6063495.0665882239
834 6055111.5491404599
836 6032447.2014965694
841 6015642.8991828691
843 6009170.8008654695
846 6004528.0937361848
855 5995312.5542114899
856 5988705.0805675341
860 5955886.9073591726
871 5945926.5830067117
873 5898354.4645153079
876 5887932.9869025368
878 5862686.6017282456
880 5845965.4667329555
882 5843999.7537166486
885 5820646.9813581109
888 5779062.4858739655
889 5747177.2970672790
890 5738397.4006766826
895 5723129.8951678220
898 5710816.5483779777
899 5674050.1007712726
921 5672403.3183077993
923 5631010.1454880433
927 5630406.8577689510
928 5625341.5157849556
929 5609323.4902480654
934 5587089.0521810753
938 5586457.3339314274
941 5536024.3231270965
943 5530995.2560224459
944 5500941.0982675171
945 5470981.1799652651
947 5445818.0582315186
948 5438235.3485036846
953 5416268.9481109167
956 5416091.0199829508
958 5404193.1690367637
959 5382985.3209756203
960 5332111.1035539657
962 5316650.8233337607
963 5271808.8008157630
1010 5269773.6289826836
1011 5231243.4313283237
1012 5201124.9292719252
1019 5186664.0986298118
1020 5182804.0921714306
1022 5162312.9925192837
1023 5152902.9428085256
1025 5125019.7277117409
1027 5105529.4598775487
1029 5090364.4791830294
1030 5088184.0094030453
1040 5081222.3618697822
1041 5066125.0648585074
1046 5065858.6088983780
1048 5045247.5835986976
1049 5029312.6888351161
1054 5015799.6268027481
1058 4998343.3673218274
1060 4995980.9803455640
1096 4978665.1078150114
1097 4976730.1476146467
1098 4975682.5447286367
1104 4938368.3984696623
1105 4938282.5070772944
1106 4890637.6933982838
1107 4856693.5302623287
1110 4854864.8608268313
1111 4831453.2093708236
1116 4794884.4026158629
1118 4775391.7404336603
1119 4767494.6893858882
1122 4758795.8048461843
1123 4748357.6333815912
1132 4735599.5593231879
1148 4721757.7165238243
1149 4701255.9425959168
1151 4685543.6723105833
1152 4674578.2905565239
1153 4670982.2131478637
1156 4670870.8118659463
1157 4646119.9110867074
1158 4642444.8681127606
1160 4625596.1026171539
1161 4618784.7219205676
1163 4609238.7220890857
1165 4591042.2971512014
1167 4577360.1979907453
1175 4574015.0870371722
1177 4549320.0541244363
1190 4527507.5106698694
1192 4511254.4507797370
1194 4488854.9835145622
1196 4474416.3058778597
1211 4455551.2307964172
1219 4445753.7295695785
1222 4436498.8860086836
1223 4424375.4324307423
1224 4415186.0104370201
1225 4401791.5047320733
1244 4396448.6064605890
1249 4382818.5300549008
1251 4378242.7081107888
1255 4371452.6071921941
1257 4359675.1924811490
1264 4352759.0857239226
1266 4345757.6119765742
1268 4344224.8068685429
1269 4343131.5038062604
1271 4338341.7287457231
1274 4337323.7088965615
1275 4334360.1138432212
1276 4325855.3172926065
1277 4319460.7993395217
1280 4314072.4895816576
1281 4303578.6768415505
1283 4301457.9150441624
1288 4301432.8790569967
1359 4300982.0328930691
1360 4288952.1685002241
1362 4286320.3327319287
1363 4280647.5053067235
1370 4277023.1157046249
1371 4253273.7697411673
1373 4248977.8972061425
1375 4238462.1185691236
1378 4223951.2526567262
1380 4206375.1641848739
1381 4186898.3613706292
1383 4182108.5190954101
1388 4178405.7886537914
1389 4132226.0476484308
1393 4127362.1252251910
1430 4118998.4097891375
1432 4111136.3788397480
1433 4108345.4043939002
1436 4105091.1761975046
1437 4103932.5853605103
1438 4101528.3125425549
1451 4098760.0304969540
1453 4098323.7912040907
1481 4073260.8416015455
1486 4072773.8367243591
1491 4063903.8181096828
1518 4059630.8380939374
1522 4056307.3740084227
1523 4029246.8726551235
1526 4025485.0649342756
1545 4020969.9264915660
1549 4020896.4628726002
1554 4018798.6590981111
1574 4016345.0952114374
1575 4013961.0160790426
1579 4013418.0021281675
1581 4011768.4952117670
1582 4005693.1730573135
1585 4000805.2363186758
1587 4000107.7538844468
1589 3995485.6831960897
1591 3995282.2690045484
1594 3995021.1950282753
1596 3986553.5508316518
1600 3985715.2295896099
1601 3984844.8400753178
1611 3971397.2797231018
1613 3960160.2771522999
1615 3955876.0219192435
1618 3943120.8775292644
1619 3926286.5225219382
1622 3918555.1670307852
1632 3916027.9794730535
1640 3907391.5430021007
1646 3907115.7999252211
1647 3904581.3342961473
1649 3899584.5494690393
1651 3899234.6410657503
1653 3890314.2059438433
1666 3885206.6297619017
1667 3882121.2027737349
1669 3881548.0483426275
1670 3874849.1697495682
1673 3863253.5349084875
1713 3861802.5316689839
1714 3859615.6286868239
1719 3844372.1330934861
1722 3842683.4369998174
1724 3839266.6372889378
1729 3831866.6982993521
1736 3826160.8704095101
1738 3820858.8024490140
1741 3819312.6146865804
1743 3815393.1943251640
1744 3813974.6676739492
1745 3809276.0544619146
1748 3809112.7186786057
1749 3807807.8607258615
1752 3805999.7589787743
1753 3791585.2239731252
1759 3787911.2366128089
1763 3784193.0528163686
1770 3760999.0288319285
1771 3759144.3024873417
1773 3757375.1980288527
1774 3756040.9026036127
1775 3753501.3479944719
1778 3751862.6641869443
1779 3737357.0964456885
1781 3727939.6193728969
1783 3724392.0982575188
1784 3722865.1909639258
1788 3710887.9820649875
1789 3708293.0293226382
1790 3699240.1209637038
1791 3698264.0050878376
1806 3697994.3446537638
1808 3670315.7050552741
1821 3668350.1367018009
1822 3667272.4548364738
1823 3638793.0372021450
1825 3635385.3348106919
1826 3626208.0935782176
1827 3620776.4927613717
1829 3603878.3624224649
1833 3586270.5662404457
1837 3580522.9900452597
1840 3569698.6000078558
1841 3563932.4076082204
1842 3543911.9848906426
1843 3537650.3303153291
1844 3520805.6431372231
1846 3518738.4868122526
1847 3510392.2279809872
1849 3488885.6823088611
1851 3488717.6246890854
1852 3479249.6563487421
1855 3474504.5841950113
1857 3471157.0628023790
1860 3428457.2372374898
1862 3413929.1473903023
1863 3396323.8641168233
1869 3395221.6356881605
1871 3390481.4083004082
1873 3368097.1294591455
1876 3350714.0000003832
1878 3332182.4477764415
1879 3322101.1007857528
1881 3316249.6216511084
1883 3305882.9629798201
1885 3302424.8278737133
1886 3290014.2293273099
1887 3280574.4482185827
1892 3280358.9652053630
1893 3269913.8812522581
1896 3262464.7909364840
1897 3254898.9073436623
1901 3252319.4201199841
1903 3244037.8861786397
1904 3236529.1333362018
1905 3225345.9878021353
1907 3211291.7636415209
1909 3204965.6147055598
1910 3201823.9844757891
1911 3198262.2093358524
1913 3190040.0673580240
1917 3189609.4625179982
1943 3183903.5791865932
1946 3163328.7547923196
1950 3140238.2524538171
1951 3111147.9926507855
1953 3103865.3021837403
1954 3081620.1737370789
1956 3080162.2761879591
1957 3075057.2396997660
1959 3058435.7097198386
1961 3056445.3560983026
1966 3042090.5753581449
1967 3027359.7280234331
1969 3010896.1173847164
1971 2969075.2487553102
1973 2934180.5314561045
1975 2908222.8946441924
1976 2903516.9716879050
1979 2895301.1365715354
1983 2889040.9043151294
1985 2866846.7925409446
1988 2818401.4015026106
2000 2789935.1797192008
2005 2788653.8059957786
2008 2781885.9066973617
2009 2775533.0946353627
2012 2758289.6008218578
2013 2721491.5000632363
2016 2703068.2931928346
2018 2690051.9542527222
2019 2678338.3039698652
2020 2664130.9258955880
2022 2657588.0789963957
2023 2629396.0837540147
2045 2604852.9629962328
2047 2594982.0684751533
2048 2571117.5905624707
2049 2523794.4226113879
2052 2510993.9745684173
2068 2510438.5590951182
2069 2502887.7653725883
2070 2497984.5008581919
2071 2482718.9908302873
2096 2479292.4800701505
2098 2458780.0245246850
2099 2421122.0290103257
2101 2396252.6691529378
2105 2375197.0553905317
2109 2352943.4806345608
2137 2337443.2562552514
2140 2303451.9076879183
2141 2293587.3415510785
2142 2264284.7625915450
2143 2253551.1659715492
2146 2245734.7840617700
2159 2229798.9113182742
2161 2222192.8597872187
2164 2211164.2843777975
2165 2204746.8634102484
2167 2204721.9423934654
2169 2195630.7311624042
2174 2171004.2511862842
2175 2160983.6533308169
2189 2151401.3652456105
2227 2137419.1599922683
2229 2096023.3807057696
2234 2095016.5452957982
2239 2072463.6870197065
2241 2066852.7395790752
2242 2064802.2527388860
2243 2063507.5766626371
2246 2009221.6657092753
2251 1968265.6557790234
2265 1958726.5589388772
2269 1954407.8861226980
2272 1935821.5772902104
2278 1934116.4974533520
2287 1899221.9039376741
2305 1879632.7450907503
2312 1858694.2409728388
2314 1845443.5096930636
2319 1834936.2079137245
2322 1813149.8144022305
2327 1799545.3351347363
2338 1796100.7255029117
2340 1793324.8363847323
2341 1790422.8569197650
2343 1788263.6095912619
2347 1784110.4930621588
2351 1780140.7870222011
2358 1775288.8150779251
2360 1751011.8767253682
2381 1744775.0111646743
2387 1737300.5969657917
2390 1729973.5943397146
2392 1725500.2518328631
2393 1723840.6275693546
2394 1716460.0633400213
2395 1716028.0483859349
2396 1705983.5905287312
2549 1705738.7247996745
2552 1699621.6115424698
2555 1698779.5649994367
2557 1696094.5721499817
2562 1693806.3563352181
2570 1693698.5774437655
2571 1689326.0949220611
