evaluations raw_y
1 1322.8666441634
2 175.9868656676
12 175.5846751638
23 163.4624063712
265 150.3123447321
279 148.4686938078
301 146.0160955807
306 141.2920868920
320 128.9717345668
435 112.3424070118
1556 181.8844634136
evaluations raw_y
1 36506.5284431681
2 18897.0264176124
3 559.0991799600
12 268.2230493283
15 220.0889698483
29 178.6437070876
53 172.1650337096
55 102.9966843127
66 98.3371314857
767 96.2510083723
1152 214.9130962638
evaluations raw_y
1 335.8517484884
2 311.7664374609
4 290.7798578162
243 277.3040325056
255 255.5267016577
260 247.1655394548
271 243.9015584341
308 206.1433542778
423 205.9947211350
794 205.1018908442
816 203.5950750010
817 191.4549362363
819 189.4469995818
824 187.4507729603
999 186.6188047149
1003 168.2184637346
1017 162.5523623894
1034 162.3988381013
1063 160.7136118567
1071 159.3078266070
1214 159.0179050359
1215 158.6348593054
1218 158.5813721743
1219 158.3959276791
1222 158.1425443239
1225 158.0261644350
1230 157.6769599158
1251 157.4395547647
1254 157.1393373775
1257 156.6997109947
1260 156.3154973735
1264 156.2220901329
1266 155.5416691460
1267 155.2816373603
1269 155.1211991574
1271 155.0371664022
1289 155.0308138853
1291 154.6085089732
1292 153.7612109458
1295 153.4748969316
1299 153.4225034499
1307 153.3195974628
1309 153.2239221328
1324 153.0950093422
1327 152.8847041708
1355 152.6059907242
1356 152.5869968131
1361 152.2531800687
1498 152.1636218840
1500 152.1233986371
1505 152.1183534962
1507 152.1046359301
1512 152.0538763883
1527 152.0278650415
1530 151.8972554091
1531 151.8677459960
1547 151.8582182368
1609 151.8542147244
1613 151.8486467960
1615 151.8283222863
1617 151.8116260623
1620 151.7982946123
1622 151.7846303614
1624 151.7765497652
1642 151.7760372682
1644 151.7534504873
1649 151.7521028411
1652 151.7515644357
1653 151.7356289017
1654 151.7283586363
1656 151.7177793440
1657 151.7163692975
1661 151.7087712215
1671 151.7082573626
1674 151.6853035007
1677 151.6818027217
1680 151.6805587450
1689 151.6804202277
1691 151.6692418295
1693 151.6624664967
1694 151.6606031731
1695 151.6502780417
1703 151.6459036370
1706 151.6387694726
1707 151.6315279594
1708 151.6227476822
1710 151.6201592627
1712 151.6099994869
1714 151.5963600087
1717 151.5834282636
1721 151.5781228360
1723 151.5707669359
1738 151.5694518582
1739 151.5645620995
1742 151.5620324615
1745 151.5606467348
1749 151.5568814138
1752 151.5567894977
1762 151.5548245482
1763 151.5517443436
1769 151.5513146949
1770 151.5508895038
1771 151.5483100204
1773 151.5459720874
1775 151.5450452482
1776 151.5402001656
1789 151.5393085289
1791 151.5372346555
1795 151.5365706678
1798 151.5357298836
1800 151.5313489283
1801 151.5284077477
1803 151.5266843557
1807 151.5213342154
1810 151.5206334844
1828 151.5189204833
1829 151.5162470506
1834 151.5125367365
1836 151.5071409088
1837 151.5058373780
1838 151.5046320918
1839 151.5044896442
1840 151.5015142695
1843 151.4986891452
1846 151.4941689779
1847 151.4934855017
1849 151.4878903042
1851 151.4878195239
1852 151.4848381871
1853 151.4773857461
1857 151.4745579524
1859 151.4710328519
1860 151.4692622586
1861 151.4675548867
1862 151.4673849921
1863 151.4643955731
1869 151.4592651695
1871 151.4529898967
1889 151.4486741974
1928 151.4477192807
1929 151.4434235845
1931 151.4419649103
1933 151.4330404585
1936 151.4325816879
1944 151.4325517163
1946 151.4272454386
1949 151.4221619389
1954 151.4209595856
1955 151.4146916942
1956 151.4142572382
1972 151.4095894439
1973 151.4085816277
1976 151.4071236687
1977 151.4043998570
1978 151.4007908008
1984 151.4001897166
1985 151.3997996997
1986 151.3989843731
1989 151.3936302516
1992 151.3930960411
1993 151.3895465487
1994 151.3805305325
1995 151.3678522507
2001 151.3625535420
2002 151.3585990813
2005 151.3507497180
2009 151.3436358412
2011 151.3360840244
2014 151.3304938606
2061 151.3277358060
2064 151.3272492252
2069 151.3267010226
2071 151.3258425478
2079 151.3256880658
2080 151.3221456993
2081 151.3207035288
2084 151.3196275552
2086 151.3180702662
2087 151.3178656497
2088 151.3162261470
2089 151.3139521868
2094 151.3138943546
2095 151.3114970742
2097 151.3099327421
2099 151.3091630557
2103 151.3086742235
2123 151.3084449273
2126 151.3074508616
2128 151.3065959094
2129 151.3065652504
2133 151.3048171780
2135 151.3032571239
2137 151.3023857415
2139 151.3012327960
2141 151.3005103261
2147 151.2999360697
2152 151.2994986288
2158 151.2984602448
2159 151.2972769965
2162 151.2960925887
2163 151.2930142735
2166 151.2885578669
2189 151.2884895362
2192 151.2867640695
2195 151.2859515021
2196 151.2839390642
2197 151.2831717819
2200 151.2816058530
2207 151.2800753816
2209 151.2789842549
2211 151.2783436783
2212 151.2745849912
2213 151.2741561022
2220 151.2706880159
2231 151.2702484364
2232 151.2688196338
2234 151.2686918766
2236 151.2659849954
2237 151.2653154330
2240 151.2638791325
2241 151.2612699008
2244 151.2568190835
2252 151.2537899318
2253 151.2530613126
2254 151.2499025752
2255 151.2465173563
2259 151.2426047756
2261 151.2398130933
2263 151.2324033337
2266 151.2321059720
2288 151.2314529869
2290 151.2311553155
2293 151.2268728141
2296 151.2187994832
2302 151.2162027483
2303 151.2152745979
2306 151.2113328435
2308 151.2052479110
2309 151.2051468438
2313 151.1991856980
2330 151.1961137554
2332 151.1942976615
2333 151.1923492854
2335 151.1914199680
2336 151.1904469144
2337 151.1894523111
2338 151.1865692057
2340 151.1863395050
2341 151.1835144624
2350 151.1827847227
2351 151.1823028662
2359 151.1822817570
2371 151.1810473721
2372 151.1809798043
2381 151.1793306216
2382 151.1783014165
2398 151.1772843594
2400 151.1753456638
2402 151.1745877345
2404 151.1738354789
2412 151.1720964066
2413 151.1708516155
2416 151.1704112942
2418 151.1694450007
2419 151.1682468227
2435 151.1674201083
2437 151.1655098214
2438 151.1645042394
2442 151.1641835813
2443 151.1610068681
2445 151.1556111933
2455 151.1530636917
2457 151.1513187343
2477 151.1490958157
2481 151.1487664732
2482 151.1485535086
2486 151.1452235673
2487 151.1426269053
2491 151.1421270048
2493 151.1420117727
2495 151.1408076531
2499 151.1355006213
2501 151.1337029685
2503 151.1331631452
2507 151.1302933135
2510 151.1285993554
2511 151.1260954816
2514 151.1255141009
2516 151.1237899528
2517 151.1234034429
2518 151.1228712283
2520 151.1222898926
2522 151.1217775891
2529 151.1201213796
2539 151.1188712334
2541 151.1175275517
2543 151.1168826003
2546 151.1159604983
2591 151.1139273139
2596 151.1114751559
2599 151.1109482901
2637 151.1087351542
2642 151.1070733156
2643 151.1069311616
2644 151.1063248816
2645 151.1043965788
2647 151.1026892536
2649 151.1026455443
2650 151.1019192165
2651 151.1007971635
